country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,HOOD,2021-07-29,,,,,,34.82,34.82,0.0,0.0,0.0,,,,6.9,
US,HOOD,2021-07-30,0.947731,,,,,34.870769,34.844444,0.026325,0.005265,0.04212,,,,6.673571,
US,HOOD,2021-08-02,7.197724,,,,,35.302959,35.054486,0.248473,0.053907,0.389133,,,,6.399031,
US,HOOD,2021-08-03,24.203822,,,,,37.071734,35.924524,1.14721,0.272567,1.749286,,,,6.758386,
US,HOOD,2021-08-04,50.405983,44.968,,,,42.197621,38.477522,3.720099,0.962074,5.516051,,,,9.004215,86533046.8
US,HOOD,2021-08-05,-27.589146,48.198,,,,43.547218,39.402891,4.144327,1.598524,5.091606,64.464221,,,9.784628,82527179.8
US,HOOD,2021-08-06,7.926231,52.17,,,,45.310723,40.558973,4.75175,2.22917,5.045161,67.084699,,,9.793583,88427078.2
US,HOOD,2021-08-09,3.308489,56.0,,,,47.082919,41.764234,5.318685,2.847073,4.943225,68.221597,,,9.447613,89936419.4
US,HOOD,2021-08-10,-5.085342,57.428,,,,48.137855,42.666143,5.471712,3.372001,4.199423,64.41678,,,9.129212,74585850.2
US,HOOD,2021-08-11,-5.098257,53.588,49.278,,,48.607416,43.29754,5.309876,3.759576,3.100601,60.934265,,,8.87784,42606370.2
US,HOOD,2021-08-12,-6.036335,53.014,50.606,,,48.529352,43.653277,4.876074,3.982875,1.786398,57.192767,,,8.505851,28802538.2
US,HOOD,2021-08-13,5.259875,52.138,52.154,,,48.852528,44.170072,4.682457,4.122792,1.11933,59.391381,,,8.262576,19908155.8
US,HOOD,2021-08-16,-6.794391,50.21,53.105,,,48.596755,44.39377,4.202985,4.13883,0.128309,55.237194,,,7.931678,16819608.4
US,HOOD,2021-08-17,-1.101928,48.756,53.092,,,48.300331,44.56238,3.737951,4.058654,-0.641406,54.615314,,,7.567987,15238397.8
US,HOOD,2021-08-18,6.706664,48.478,51.033,,,48.531049,44.950352,3.580698,3.963063,-0.764731,57.702186,,,7.412416,16941369.4
US,HOOD,2021-08-19,-10.261044,47.796,50.405,,,47.940119,44.931066,3.009052,3.772261,-1.526417,51.538985,,,7.287244,17959635.8
US,HOOD,2021-08-20,-4.587156,46.198,49.168,,,47.124716,44.761358,2.363358,3.49048,-2.254245,49.265587,,,6.989583,15180534.0
US,HOOD,2021-08-23,6.214822,45.818,48.014,,,46.842452,44.800516,2.041935,3.200771,-2.317672,52.200783,,,6.791042,15902976.6
US,HOOD,2021-08-24,9.030691,46.36,47.558,,,47.232844,45.139737,2.093106,2.979238,-1.772264,56.393959,,,6.659539,17492466.2
US,HOOD,2021-08-25,-0.810045,46.196,47.337,48.3075,,47.501637,45.424201,2.077436,2.798878,-1.442884,55.877683,63.735231,32.879769,6.433143,14778370.4
US,HOOD,2021-08-26,-4.328297,46.63,47.213,48.9095,,47.402924,45.530557,1.872367,2.613576,-1.482417,53.102904,63.072896,34.746104,6.220061,12512401.2
