country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,INTC,2016-06-23,,,,,,26.53,26.53,0.0,0.0,0.0,,,,0.4,
US,INTC,2016-06-24,-4.372409,,,,,26.351538,26.444074,-0.092536,-0.018507,-0.148057,0.0,,,0.462857,
US,INTC,2016-06-27,-2.601498,,,,,26.098994,26.315624,-0.21663,-0.058132,-0.316997,0.0,,,0.493367,
US,INTC,2016-06-28,1.497369,,,,,25.942226,26.224096,-0.281871,-0.10288,-0.357982,2.469018,,,0.48527,
US,INTC,2016-06-29,2.392344,25.474,,,,25.901883,26.183793,-0.28191,-0.138686,-0.286448,6.500527,,,0.496322,28412408.8
US,INTC,2016-06-30,2.725857,25.444,,,,25.97544,26.198327,-0.222887,-0.155526,-0.134723,11.116646,,,0.515156,30908435.8
US,INTC,2016-07-01,-0.15163,25.638,,,,26.031526,26.208821,-0.177295,-0.15988,-0.034831,11.082974,,,0.502645,26706489.6
US,INTC,2016-07-05,-0.22779,25.952,,,,26.069753,26.214094,-0.144341,-0.156772,0.024862,11.029009,,,0.483885,23637121.8
US,INTC,2016-07-06,0.913242,26.24,,,,26.139022,26.236753,-0.097732,-0.144964,0.094464,12.85682,,,0.484321,23112391.0
US,INTC,2016-07-07,0.678733,26.444,25.959,,,26.225326,26.271068,-0.045742,-0.12512,0.158755,14.279197,,,0.483298,23782068.4
US,INTC,2016-07-08,2.397004,26.636,26.04,,,26.396814,26.350248,0.046566,-0.090782,0.274697,19.321528,,,0.494491,21544658.6
US,INTC,2016-07-11,1.13387,26.898,26.268,,,26.589612,26.446526,0.143086,-0.044009,0.37419,21.723366,,,0.488456,22891878.0
US,INTC,2016-07-12,1.627486,27.262,26.607,,,26.821979,26.569006,0.252974,0.015388,0.475172,25.204318,,,0.487138,24483262.4
US,INTC,2016-07-13,0.213523,27.59,26.915,,,27.027829,26.686857,0.340972,0.080505,0.520934,25.678889,,,0.473057,26093399.8
US,INTC,2016-07-14,0.53267,27.912,27.178,,,27.225086,26.80709,0.417996,0.148003,0.539986,26.927151,,,0.458553,25928785.6
