country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,JNJ,Q2,2016-07-03,2016-08-04,0.711287,0.27562,0.216264,0.055152,0.028588,3.078148,0.481647,0.929187,0.13219,1.929187,0.269992,1.248436,0.310951,,
US,JNJ,Q3,2016-10-02,2016-11-04,0.692144,0.307127,0.239731,0.058706,0.030434,2.725743,0.481588,0.928967,0.126951,1.928967,0.300842,1.254916,0.3422,,
US,JNJ,Q4,2016-12-31,2017-02-27,0.694355,0.248978,0.210648,0.054162,0.02701,2.473922,0.501317,1.005283,0.128222,2.005283,0.367447,1.744363,0.427814,,
US,JNJ,Q1,2017-04-02,2017-05-08,0.695542,0.325284,0.248902,0.062865,0.030514,2.521876,0.514615,1.060221,0.122593,2.060221,0.163965,0.658752,0.195486,,
US,JNJ,Q2,2017-07-02,2017-08-03,0.689686,0.26408,0.203142,0.05321,0.025045,1.343482,0.529328,1.124621,0.123286,2.124621,0.306386,1.508231,0.342959,0.019316,-0.042532
US,JNJ,Q3,2017-10-01,2017-11-02,0.647583,0.25542,0.191552,0.050879,0.024181,1.315129,0.524734,1.104084,0.126238,2.104084,0.31888,1.664718,0.359084,0.102694,-0.118914
US,JNJ,Q4,2017-12-31,2018-02-21,0.641347,0.140332,-0.530478,-0.178075,-0.068104,1.41101,0.617553,1.614744,0.128383,2.614744,0.302303,-0.569868,0.363704,0.115376,-3.808862
US,JNJ,Q1,2018-04-01,2018-05-01,0.669449,0.286871,0.218252,0.069038,0.027882,1.579262,0.596137,1.476089,0.127751,2.476089,0.180219,0.825738,0.213104,0.126252,-0.012438
US,JNJ,Q2,2018-07-01,2018-08-01,0.667451,0.250888,0.189822,0.062873,0.02545,1.653012,0.595218,1.470464,0.134071,2.470464,0.291839,1.53743,0.333845,0.105685,0.033185
US,JNJ,Q3,2018-09-30,2018-10-31,0.676184,0.22931,0.193336,0.060873,0.025266,1.720086,0.584941,1.409293,0.130685,2.409293,0.308237,1.594306,0.348486,0.035522,0.045165
US,JNJ,Q4,2018-12-31,2019-02-20,0.658674,0.165343,0.149162,0.05091,0.019888,1.473999,0.609347,1.559814,0.133334,2.559814,0.306168,2.052597,0.370795,0.009854,1.283954
US,JNJ,Q1,2019-03-31,2019-05-01,0.669597,0.225963,0.187253,0.063591,0.024989,1.442307,0.607037,1.544771,0.133449,2.544771,0.176964,0.945052,0.20973,0.0006,-0.141516
US,JNJ,Q2,2019-06-30,2019-07-29,0.662484,0.346464,0.272687,0.092243,0.036147,1.333174,0.608135,1.551896,0.132558,2.551896,0.289271,1.060817,0.329978,-0.012866,0.418058
US,JNJ,Q3,2019-09-29,2019-10-28,0.668725,0.08177,0.084568,0.030115,0.011272,1.260821,0.62571,1.671723,0.133287,2.671723,0.363114,4.293782,0.399054,0.018724,-0.554398
US,JNJ,Q4,2019-12-31,2020-02-18,0.656143,0.207403,0.193281,0.067428,0.025424,1.25887,0.622952,1.652183,0.131537,2.652183,0.308382,1.595511,0.369114,0.017309,0.318212
US,JNJ,Q1,2020-03-29,2020-04-29,0.658692,0.315789,0.280122,0.094561,0.037389,1.312773,0.604598,1.529073,0.133476,2.529073,0.162293,0.579365,0.192499,0.033465,0.546012
US,JNJ,Q2,2020-06-28,2020-07-24,0.641198,0.217332,0.197753,0.057576,0.022894,1.248015,0.602361,1.514846,0.115772,2.514846,0.188264,0.952013,0.224367,-0.108258,-0.353308
US,JNJ,Q3,2020-09-27,2020-10-23,0.669291,0.210843,0.16858,0.055124,0.020821,1.482174,0.622287,1.647511,0.123508,2.647511,0.397638,2.358751,0.432597,0.017029,1.027382
US,JNJ,Q4,2020-12-31,2021-02-22,0.652325,0.077152,0.07733,0.027466,0.009937,1.205775,0.638192,1.763899,0.128506,2.763899,0.371212,4.800345,0.430078,0.083289,-0.566584
US,JNJ,Q1,2021-04-04,2021-04-30,0.683572,0.335648,0.277631,0.094131,0.035913,1.283421,0.61848,1.621092,0.129354,2.621092,0.182519,0.657415,0.212849,0.078778,0.069186
US,JNJ,Q2,2021-07-04,2021-07-29,0.674545,0.287491,0.269303,0.090227,0.035582,1.388626,0.605645,1.535786,0.132124,2.535786,0.227951,0.846448,0.262826,0.271379,0.731384
US,JNJ,Q3,2021-10-03,2021-10-29,0.689348,0.165781,0.157126,0.052183,0.02046,1.343978,0.607918,1.55049,0.130214,2.55049,0.355215,2.260704,0.387223,0.107011,0.031795
US,JNJ,Q4,2021-12-31,2022-02-17,0.679286,0.197388,0.190937,0.06398,0.026019,1.348317,0.59332,1.458938,0.136272,2.458938,0.231092,1.210304,0.288139,0.103626,1.724971
US,JNJ,Q1,2022-04-03,2022-04-29,0.67566,0.250662,0.219799,0.068921,0.028869,1.392579,0.581122,1.38733,0.131345,2.38733,0.169854,0.772771,0.195765,0.049505,-0.169114
US,JNJ,Q2,2022-07-03,2022-07-29,0.670316,0.244713,0.200416,0.063046,0.027087,1.424489,0.570362,1.32754,0.135153,2.32754,0.232348,1.159327,0.268276,0.030371,-0.233195
US,JNJ,Q3,2022-10-02,2022-10-27,0.691338,0.261202,0.222945,0.05976,0.025456,1.432405,0.574022,1.347538,0.114182,2.347538,0.314263,1.409601,0.361872,-0.1432,0.215708
US,JNJ,Q4,2022-12-31,2023-02-16,0.672446,0.184679,0.148486,0.045831,0.018786,0.990896,0.590112,1.439691,0.126514,2.439691,0.225681,1.519886,0.292626,-0.044267,-0.256757
US,JNJ,Q1,2023-04-02,2023-04-28,0.679956,-0.05145,-0.003255,-0.00096,-0.000347,1.066503,0.638366,1.765229,0.106619,2.765229,0.155882,-47.897059,0.197186,-0.108085,-1.013206
US,JNJ,Q2,2023-07-02,2023-07-31,0.699707,0.303127,0.239045,0.068451,0.026836,1.118091,0.601385,1.533979,0.112262,2.550746,0.19434,0.812986,0.246573,-0.104122,0.06855
US,JNJ,Q3,2023-10-01,2023-10-27,0.6906,0.253337,1.219053,0.365418,0.156738,1.210345,0.571073,1.331401,0.128573,2.331401,0.350756,0.287729,0.396047,0.067764,4.838493
US,JNJ,Q4,2023-12-31,2024-02-16,0.682262,0.232624,0.18925,0.058874,0.024165,1.155849,0.589551,1.436357,0.127687,2.436357,0.367516,1.941961,0.441785,-0.097486,0.150284
US,JNJ,Q1,2024-03-31,2024-05-01,0.695506,0.180938,0.152224,0.046487,0.018928,1.169872,0.592826,1.455955,0.124344,2.455955,0.171024,1.123502,0.208764,0.023404,48.867647
US,JNJ,Q2,2024-06-30,2024-07-25,0.69399,0.268098,0.208758,0.065504,0.025877,1.072015,0.604954,1.531354,0.123956,2.531354,0.250947,1.202091,0.294427,0.043125,-0.089036
US,JNJ,Q3,2024-09-29,2024-10-23,0.690134,0.157136,0.119888,0.038399,0.01511,1.028787,0.606488,1.541221,0.126038,2.541221,0.355703,2.966964,0.457123,0.052457,-0.896496
US,JNJ,Q4,2024-12-29,2025-02-13,0.683481,0.178686,0.152353,0.047993,0.01905,1.110729,0.603063,1.519289,0.125039,2.519289,0.31008,2.035267,0.405329,0.052582,-0.15263
US,JNJ,Q1,2025-03-30,2025-04-23,0.663957,0.631937,0.502398,0.140816,0.056792,1.257421,0.596692,1.479497,0.113042,2.479497,0.190655,0.379489,0.227607,0.023851,2.379109
US,JNJ,Q2,2025-06-29,2025-07-24,0.678726,0.286358,0.233206,0.070559,0.028631,1.005869,0.594222,1.464402,0.122773,2.464402,0.163332,0.700379,0.222213,0.057736,0.181605
US,JNJ,Q3,2025-09-28,2025-10-22,0.69562,0.31305,0.214729,0.064987,0.02672,1.073562,0.588846,1.432181,0.124435,2.432181,0.382153,1.779697,0.414996,0.067732,0.912398
US,JNJ,Q4,2025-12-28,2026-02-11,0.675623,0.210878,0.208272,0.062739,0.025681,1.027676,0.590663,1.442976,0.123307,2.442976,0.297549,1.428655,0.372333,0.090764,0.49111
US,JNJ,Q1,2026-03-29,2026-04-22,0.714945,0.265772,0.217563,0.064482,0.026059,1.025244,0.595876,1.474491,0.119775,2.474491,0.10448,0.480229,0.148076,0.099073,-0.524048
