code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
JNJ,强生,US,USD,Q2,2016-07-03,2016-08-04,18482000000.0,13146000000.0,5094000000.0,4904000000.0,907000000.0,3997000000.0,3997000000.0,1.4600091903505703,139814000000.0,66291000000.0,73523000000.0,18640000000.0,12062000000.0,15972000000.0,67341000000.0,21536000000.0,45805000000.0,6061000000.0,72473000000.0,72473000000.0,4990000000.0,1322000000.0,-757000000.0,-1464000000.0
JNJ,强生,US,USD,Q3,2016-10-02,2016-11-04,17820000000.0,12334000000.0,5473000000.0,5281000000.0,1009000000.0,4272000000.0,4272000000.0,1.5690975925811654,140369000000.0,63319000000.0,77050000000.0,18205000000.0,11798000000.0,16095000000.0,67600000000.0,23230000000.0,44370000000.0,5971000000.0,72769000000.0,72769000000.0,5361000000.0,-2372000000.0,-737000000.0,-3445000000.0
JNJ,强生,US,USD,Q4,2016-12-31,2017-02-27,18106000000.0,12572000000.0,4508000000.0,4324000000.0,510000000.0,3814000000.0,3814000000.0,1.4091943465221461,141208000000.0,65032000000.0,76176000000.0,18972000000.0,11699000000.0,15912000000.0,70790000000.0,26287000000.0,44503000000.0,6918000000.0,70418000000.0,70418000000.0,6653000000.0,-2174000000.0,-1093000000.0,-3464000000.0
JNJ,强生,US,USD,Q1,2017-04-02,2017-05-08,17766000000.0,12357000000.0,5779000000.0,5575000000.0,1153000000.0,4422000000.0,4422000000.0,1.6408717325891153,144918000000.0,63347000000.0,81571000000.0,20909000000.0,12300000000.0,16191000000.0,74577000000.0,25119000000.0,49458000000.0,6082000000.0,70341000000.0,70341000000.0,2913000000.0,-936000000.0,-560000000.0,-150000000.0
JNJ,强生,US,USD,Q2,2017-07-02,2017-08-03,18839000000.0,12993000000.0,4975000000.0,4748000000.0,921000000.0,3827000000.0,3827000000.0,1.4252250306309795,152807000000.0,38789000000.0,114018000000.0,12598000000.0,13283000000.0,16458000000.0,80885000000.0,28872000000.0,52013000000.0,6135000000.0,71922000000.0,71922000000.0,5772000000.0,-12247000000.0,-689000000.0,-1917000000.0
JNJ,强生,US,USD,Q3,2017-10-01,2017-11-02,19650000000.0,12725000000.0,5019000000.0,4790000000.0,1026000000.0,3764000000.0,3764000000.0,1.4018715954147924,155658000000.0,41829000000.0,113829000000.0,15721000000.0,13155000000.0,16628000000.0,81679000000.0,31806000000.0,49873000000.0,6390000000.0,73979000000.0,73979000000.0,6266000000.0,-1180000000.0,-790000000.0,-2069000000.0
JNJ,强生,US,USD,Q4,2017-12-31,2018-02-21,20195000000.0,12952000000.0,2834000000.0,2560000000.0,13273000000.0,-10713000000.0,-10713000000.0,-3.9900927408842044,157303000000.0,43088000000.0,114215000000.0,17824000000.0,13490000000.0,17005000000.0,97143000000.0,30537000000.0,66606000000.0,7310000000.0,60160000000.0,60160000000.0,6105000000.0,-505000000.0,-1240000000.0,-3537000000.0
JNJ,强生,US,USD,Q1,2018-04-01,2018-05-01,20009000000.0,13395000000.0,5740000000.0,5481000000.0,1114000000.0,4367000000.0,4367000000.0,1.6281477554340875,156625000000.0,42768000000.0,113857000000.0,14639000000.0,14166000000.0,17040000000.0,93370000000.0,27081000000.0,66289000000.0,6443000000.0,63255000000.0,63255000000.0,3606000000.0,-925000000.0,-658000000.0,-5970000000.0
JNJ,强生,US,USD,Q2,2018-07-01,2018-08-01,20830000000.0,13903000000.0,5226000000.0,4973000000.0,1019000000.0,3954000000.0,3954000000.0,1.47410749203762,155365000000.0,45438000000.0,109927000000.0,17569000000.0,14111000000.0,16632000000.0,92476000000.0,27488000000.0,64988000000.0,6516000000.0,62889000000.0,62889000000.0,6079000000.0,-201000000.0,-875000000.0,-2674000000.0
JNJ,强生,US,USD,Q3,2018-09-30,2018-10-31,20348000000.0,13759000000.0,4666000000.0,4423000000.0,489000000.0,3934000000.0,3934000000.0,1.4661843985904652,155703000000.0,47194000000.0,108509000000.0,16056000000.0,14048000000.0,16629000000.0,91077000000.0,27437000000.0,63640000000.0,7000000000.0,64626000000.0,64626000000.0,6272000000.0,-4269000000.0,-819000000.0,-3477000000.0
