country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,JNJ,2016-06-20,,,,,,88.62,88.62,0.0,0.0,0.0,,,,0.54,
US,JNJ,2016-06-21,-0.304672,,,,,88.578462,88.6,-0.021538,-0.004308,-0.034462,0.0,,,0.554286,
US,JNJ,2016-06-22,0.237691,,,,,88.575621,88.597037,-0.021416,-0.007729,-0.027373,5.645161,,,0.570408,
US,JNJ,2016-06-23,0.790425,,,,,88.68091,88.646145,0.034765,0.00077,0.067991,21.544017,,,0.579665,
US,JNJ,2016-06-24,-1.490029,88.544,,,,88.565386,88.593098,-0.027712,-0.004927,-0.04557,16.020496,,,0.667546,7526160.0
US,JNJ,2016-06-27,0.796088,88.546,,,,88.575326,88.595831,-0.020505,-0.008042,-0.024925,26.67584,,,0.70915,8587729.8
US,JNJ,2016-06-28,1.444206,88.858,,,,88.780661,88.693177,0.087484,0.011063,0.152842,41.33394,,,0.757782,9506949.2
US,JNJ,2016-06-29,0.923145,89.294,,,,89.082098,88.844793,0.237304,0.056311,0.361986,48.520451,,,0.775083,10008489.2
US,JNJ,2016-06-30,1.653075,89.89,,,,89.567929,89.09629,0.471638,0.139377,0.664524,58.431017,,,0.841863,10965299.0
US,JNJ,2016-07-01,-0.010841,90.75,89.647,,,89.977478,89.328417,0.649061,0.241314,0.815495,58.350367,,,0.822444,9587674.4
US,JNJ,2016-07-05,0.813184,91.62,90.083,,,90.439405,89.598905,0.8405,0.361151,0.958698,62.527826,,,0.869412,9275292.4
US,JNJ,2016-07-06,0.30114,92.29,90.574,,,90.873342,89.870097,1.003246,0.48957,1.027352,63.980345,,,0.86874,9123848.2
US,JNJ,2016-07-07,-0.107227,92.774,91.034,,,91.225136,90.113793,1.111342,0.613924,0.994836,63.040493,,,0.850259,8667302.8
US,JNJ,2016-07-08,0.27909,93.01,91.45,,,91.562807,90.358698,1.20411,0.731961,0.944297,64.500623,,,0.851669,7581301.0
US,JNJ,2016-07-11,0.064226,93.26,92.005,,,91.85776,90.589905,1.267855,0.83914,0.85743,64.845771,,,0.847978,7513346.6
US,JNJ,2016-07-12,-0.010697,93.358,92.489,,,92.105797,90.803245,1.302551,0.931822,0.741458,64.732807,,,0.819551,6929690.6
US,JNJ,2016-07-13,0.064192,93.412,92.851,,,92.324905,91.005227,1.319678,1.009393,0.620569,65.125367,,,0.820297,6109381.2
US,JNJ,2016-07-14,0.149685,93.514,93.144,,,92.531843,91.202618,1.329225,1.07336,0.51173,66.07428,,,0.807419,5962179.4
US,JNJ,2016-07-15,-0.149461,93.536,93.273,,,92.685405,91.375017,1.310389,1.120766,0.379247,64.193271,,,0.836175,6174749.8
US,JNJ,2016-07-18,0.117609,93.568,93.414,91.5305,,92.832266,91.542793,1.289473,1.154507,0.269932,65.035509,95.868451,87.192549,0.818591,6152272.4
US,JNJ,2016-07-19,1.719351,93.924,93.641,91.862,,93.204225,91.817401,1.386824,1.20097,0.371707,74.492548,96.272327,87.451673,0.902263,7134240.2
US,JNJ,2016-07-20,-0.094488,94.25,93.831,92.2025,,93.505114,92.065001,1.440113,1.248799,0.382628,73.299034,96.526359,87.878641,0.894244,7555003.0
US,JNJ,2016-07-21,0.010509,94.55,94.032,92.533,,93.76125,92.295001,1.466249,1.292289,0.34792,73.350126,96.700311,88.365689,0.876798,7603246.8
US,JNJ,2016-07-22,-0.094568,94.86,94.198,92.824,,93.964135,92.501297,1.462837,1.326399,0.272878,72.014538,96.846772,88.801228,0.852027,7332532.8
US,JNJ,2016-07-25,-0.115692,95.126,94.347,93.176,,94.118883,92.684164,1.434719,1.348063,0.173313,70.328991,96.613717,89.738283,0.844739,6988806.8
US,JNJ,2016-07-26,0.210593,95.11,94.517,93.503,,94.280593,92.8683,1.412293,1.360909,0.102769,71.629203,96.340634,90.665366,0.827258,5841639.0
US,JNJ,2016-07-27,-0.304718,95.054,94.652,93.7515,,94.37281,93.017315,1.355495,1.359826,-0.008662,67.041669,96.11845,91.38455,0.816739,5337239.2
US,JNJ,2016-07-28,-0.252951,94.948,94.749,93.9465,,94.413916,93.137514,1.276402,1.343141,-0.133478,63.421541,95.894425,91.998575,0.790544,5088530.4
US,JNJ,2016-07-29,0.623415,94.978,94.919,94.096,,94.539467,93.292513,1.246955,1.323904,-0.153899,67.996636,95.953971,92.238029,0.787648,5324873.4
US,JNJ,2016-08-01,0.136512,95.056,95.091,94.2525,,94.665703,93.44566,1.220043,1.303132,-0.166177,68.91909,95.977967,92.527033,0.764959,5271780.2
US,JNJ,2016-08-02,-0.440436,95.01,95.06,94.3505,,94.707903,93.556352,1.151551,1.272816,-0.24253,62.637443,95.996556,92.704444,0.787462,5585546.6
US,JNJ,2016-08-03,-0.758374,94.878,94.966,94.3985,,94.632841,93.605511,1.02733,1.223719,-0.392777,53.615639,95.968803,92.828197,0.802643,5685148.0
US,JNJ,2016-08-04,-0.03184,94.788,94.868,94.45,,94.564711,93.648806,0.915905,1.162156,-0.492502,53.271347,95.918727,92.981273,0.786026,5766702.4
