country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,JPM,Q2,2016-06-30,2016-08-03,0.855919,0.34791,0.230947,0.024562,0.002514,0.391465,0.897643,8.769696,0.010886,9.769696,-0.056768,-0.245806,-0.056768,,
US,JPM,Q3,2016-09-30,2016-11-01,0.86227,0.329366,0.231614,0.024716,0.002493,0.413087,0.899116,8.912394,0.010765,9.912394,0.154458,0.666879,0.154458,,
US,JPM,Q4,2016-12-31,2017-02-28,0.862892,0.332669,0.257848,0.026464,0.002701,0.358593,0.897955,8.799646,0.010473,9.799646,1.491472,5.784302,1.491472,,
US,JPM,Q1,2017-03-31,2017-05-02,0.846223,0.298779,0.23097,0.025201,0.002532,0.428853,0.899515,8.951771,0.010964,9.951771,-0.808074,-3.498604,-0.808074,,
US,JPM,Q2,2017-06-30,2017-08-02,0.836757,0.341734,0.24639,0.027193,0.002742,0.413975,0.899155,8.916219,0.01113,9.916219,0.142772,0.579457,0.142772,0.062654,0.13371
US,JPM,Q3,2017-09-30,2017-11-01,0.818746,0.324295,0.228459,0.026054,0.002627,0.417766,0.899191,8.919708,0.011497,9.919708,-0.166118,-0.727124,-0.166118,0.085741,0.070951
US,JPM,Q4,2017-12-31,2018-02-27,0.81244,0.293538,0.150503,0.016551,0.00167,0.357266,0.899079,8.908758,0.011098,9.908758,0.481418,3.198724,0.481418,0.077811,-0.370893
US,JPM,Q1,2018-03-31,2018-05-02,0.828182,0.330195,0.269805,0.034005,0.003338,0.380649,0.901831,9.186475,0.012373,10.186475,-1.087303,-4.029959,-1.087303,0.156643,0.351117
US,JPM,Q2,2018-06-30,2018-08-01,0.8084,0.321983,0.253274,0.0323,0.003211,0.378251,0.900597,9.060087,0.012677,10.060087,1.086831,4.291126,1.086831,0.150939,0.183099
US,JPM,Q3,2018-09-30,2018-10-31,0.802415,0.325974,0.255558,0.032361,0.003204,0.376003,0.90098,9.098947,0.012539,10.098947,0.402214,1.573866,0.402214,0.112804,0.244801
US,JPM,Q4,2018-12-31,2019-02-26,0.748971,0.2696,0.215473,0.027546,0.002694,0.282994,0.902188,9.223698,0.012504,10.223698,0.012869,0.059723,0.012869,0.166222,0.66966
US,JPM,Q1,2019-03-31,2019-05-02,0.766189,0.311517,0.254555,0.035326,0.003353,0.314432,0.905072,9.53425,0.013174,10.53425,-2.242991,-8.811417,-2.242991,0.116723,0.053604
US,JPM,Q2,2019-06-30,2019-08-05,0.767635,0.315476,0.268469,0.03667,0.003539,0.327267,0.903492,9.361792,0.013182,10.361792,-0.385347,-1.43535,-0.385347,0.094963,0.160654
US,JPM,Q3,2019-09-30,2019-11-04,0.76766,0.315195,0.25094,0.034349,0.003284,0.356588,0.904383,9.458415,0.013088,10.458415,0.442599,1.763767,0.442599,0.103474,0.083532
US,JPM,Q4,2019-12-31,2020-02-25,0.789159,0.309897,0.249912,0.032602,0.00317,0.320742,0.902757,9.283469,0.012686,10.283469,2.437082,9.751761,2.437082,0.039612,0.205774
US,JPM,Q1,2020-03-31,2020-05-07,0.606109,0.097276,0.086821,0.010966,0.000913,0.378506,0.91678,11.016409,0.010511,12.016409,-3.639171,-41.915881,-3.639171,-0.084861,-0.687874
US,JPM,Q2,2020-06-30,2020-08-03,0.63974,0.160204,0.132663,0.017723,0.001459,0.430016,0.917692,11.149445,0.010996,12.149445,2.346986,17.691274,2.346986,-0.017301,-0.514401
US,JPM,Q3,2020-09-30,2020-11-02,0.928643,0.381553,0.306144,0.03483,0.002909,0.376592,0.91648,10.973148,0.009502,11.973148,-0.476187,-1.555438,-0.476187,-0.147551,0.039978
US,JPM,Q4,2020-12-31,2021-02-23,1.018162,0.492997,0.397146,0.043443,0.003585,0.348074,0.917467,11.116372,0.009028,12.116372,-0.917992,-2.31147,-0.917992,-0.103661,0.424413
US,JPM,Q1,2021-03-31,2021-05-04,1.082957,0.526195,0.42519,0.050942,0.003876,0.403481,0.923912,12.142686,0.009116,13.142686,-1.304472,-3.067972,-1.304472,0.019182,3.991274
US,JPM,Q2,2021-06-30,2021-08-02,1.029052,0.474167,0.375263,0.04172,0.003243,0.377051,0.922268,11.864651,0.008642,12.864651,0.424951,1.132407,0.424951,-0.098811,1.549179
US,JPM,Q3,2021-09-30,2021-11-02,1.003638,0.4543,0.37626,0.040294,0.00311,0.38592,0.922812,11.955327,0.008266,12.955327,0.824732,2.191923,0.824732,0.007003,0.237636
