code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
JPM,摩根大通,US,USD,Q2,2016-06-30,2016-08-03,26846000000.0,22978000000.0,9340000000.0,9340000000.0,3140000000.0,6200000000.0,6200000000.0,1.705264315968975,2466096000000.0,655015000000.0,1811081000000.0,365305000000.0,64911000000.0,14262000000.0,2213673000000.0,1673239000000.0,540434000000.0,184635000000.0,252423000000.0,252423000000.0,-1524000000.0,-17483000000.0,0.0,20575000000.0
JPM,摩根大通,US,USD,Q3,2016-09-30,2016-11-01,27140000000.0,23402000000.0,8939000000.0,8939000000.0,2653000000.0,6286000000.0,6286000000.0,1.747373102796464,2521029000000.0,702313000000.0,1818716000000.0,417590000000.0,64333000000.0,14208000000.0,2266698000000.0,1700156000000.0,566542000000.0,190412000000.0,254331000000.0,254331000000.0,4192000000.0,-60038000000.0,0.0,57540000000.0
JPM,摩根大通,US,USD,Q4,2016-12-31,2017-02-28,26089000000.0,22512000000.0,8679000000.0,8679000000.0,1952000000.0,6727000000.0,6727000000.0,1.8655019412090958,2490972000000.0,680856000000.0,1810116000000.0,389635000000.0,52330000000.0,14131000000.0,2236782000000.0,1898690000000.0,338092000000.0,109842000000.0,254190000000.0,254190000000.0,38911000000.0,-2847000000.0,0.0,-33428000000.0
JPM,摩根大通,US,USD,Q1,2017-03-31,2017-05-02,27917000000.0,23624000000.0,8341000000.0,8341000000.0,1893000000.0,6448000000.0,6448000000.0,1.7806193064642446,2546290000000.0,753370000000.0,1792920000000.0,460395000000.0,60038000000.0,14227000000.0,2290427000000.0,1756711000000.0,533716000000.0,183200000000.0,255863000000.0,255863000000.0,-22559000000.0,47112000000.0,0.0,43605000000.0
JPM,摩根大通,US,USD,Q2,2017-06-30,2017-08-02,28528000000.0,23871000000.0,9749000000.0,9749000000.0,2720000000.0,7029000000.0,7029000000.0,1.9530425118088357,2563174000000.0,728896000000.0,1834278000000.0,449161000000.0,64038000000.0,14206000000.0,2304691000000.0,1760724000000.0,543967000000.0,189160000000.0,258483000000.0,258483000000.0,4073000000.0,-22573000000.0,0.0,4306000000.0
JPM,摩根大通,US,USD,Q3,2017-09-30,2017-11-01,29467000000.0,24126000000.0,9556000000.0,9556000000.0,2824000000.0,6732000000.0,6732000000.0,1.8920981294029857,2563074000000.0,735770000000.0,1827304000000.0,457804000000.0,61757000000.0,14218000000.0,2304692000000.0,1761203000000.0,543489000000.0,196764000000.0,258382000000.0,258382000000.0,-4895000000.0,23167000000.0,0.0,-11506000000.0
JPM,摩根大通,US,USD,Q4,2017-12-31,2018-02-27,28119000000.0,22845000000.0,8254000000.0,8254000000.0,4022000000.0,4232000000.0,4232000000.0,1.2088520418802104,2533600000000.0,701258000000.0,1832342000000.0,431304000000.0,67729000000.0,14159000000.0,2277907000000.0,1962846000000.0,315061000000.0,102727000000.0,255693000000.0,255693000000.0,13537000000.0,12059000000.0,0.0,-21763000000.0
JPM,摩根大通,US,USD,Q1,2018-03-31,2018-05-02,32290000000.0,26742000000.0,10662000000.0,10662000000.0,1950000000.0,8712000000.0,8712000000.0,2.5063658874166452,2609785000000.0,696617000000.0,1913168000000.0,414812000000.0,72659000000.0,14382000000.0,2353584000000.0,1830075000000.0,523509000000.0,192295000000.0,256201000000.0,256201000000.0,-35109000000.0,-45021000000.0,0.0,60589000000.0
JPM,摩根大通,US,USD,Q2,2018-06-30,2018-08-01,32834000000.0,26543000000.0,10572000000.0,10572000000.0,2256000000.0,8316000000.0,8316000000.0,2.4211721547733425,2590050000000.0,682858000000.0,1907192000000.0,405180000000.0,75669000000.0,14132000000.0,2332592000000.0,1805302000000.0,527290000000.0,196984000000.0,257458000000.0,257458000000.0,35685000000.0,6047000000.0,0.0,-46823000000.0
JPM,摩根大通,US,USD,Q3,2018-09-30,2018-10-31,32791000000.0,26312000000.0,10689000000.0,10689000000.0,2309000000.0,8380000000.0,8380000000.0,2.468844828094158,2615183000000.0,697919000000.0,1917264000000.0,419097000000.0,78792000000.0,14180000000.0,2356227000000.0,1856155000000.0,500072000000.0,209707000000.0,258956000000.0,258956000000.0,13189000000.0,-15125000000.0,0.0,2553000000.0
JPM,摩根大通,US,USD,Q4,2018-12-31,2019-02-26,32793000000.0,24561000000.0,8841000000.0,8841000000.0,1775000000.0,7066000000.0,7066000000.0,2.118231872944459,2622532000000.0,582387000000.0,2040145000000.0,278793000000.0,73200000000.0,14934000000.0,2366017000000.0,2057945000000.0,308072000000.0,114794000000.0,256515000000.0,256515000000.0,422000000.0,-158211000000.0,0.0,17839000000.0
JPM,摩根大通,US,USD,Q1,2019-03-31,2019-05-02,36059000000.0,27628000000.0,11233000000.0,11233000000.0,2054000000.0,9179000000.0,9179000000.0,2.7747045131646564,2737188000000.0,611360000000.0,2125828000000.0,302604000000.0,72240000000.0,24160000000.0,2477351000000.0,1944330000000.0,533021000000.0,216173000000.0,259837000000.0,259837000000.0,-80880000000.0,36301000000.0,0.0,69435000000.0
JPM,摩根大通,US,USD,Q2,2019-06-30,2019-08-05,35952000000.0,27598000000.0,11342000000.0,11342000000.0,1690000000.0,9652000000.0,9652000000.0,2.9611231406312606,2727379000000.0,632794000000.0,2094585000000.0,268038000000.0,88399000000.0,24665000000.0,2464164000000.0,1933573000000.0,530591000000.0,216137000000.0,263215000000.0,263215000000.0,-13854000000.0,-3637000000.0,0.0,-12966000000.0
