country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,JPM,2016-06-20,,,,,,48.06,48.06,0.0,0.0,0.0,,,,1.16,
US,JPM,2016-06-21,0.915522,,,,,48.127692,48.092593,0.0351,0.00702,0.05616,,,,1.124286,
US,JPM,2016-06-22,-0.371134,,,,,48.157278,48.109438,0.047841,0.015184,0.065313,96.949153,,,1.100408,
US,JPM,2016-06-23,2.131623,,,,,48.340774,48.201331,0.139443,0.040036,0.198814,97.431958,,,1.101093,
US,JPM,2016-06-24,-6.950355,48.03,,,,47.968347,48.032344,-0.063997,0.019229,-0.166452,62.156136,,,1.281729,19432138.4
US,JPM,2016-06-27,-3.331882,47.296,,,,47.417832,47.76254,-0.344708,-0.053558,-0.5823,52.947358,,,1.330177,24574548.8
US,JPM,2016-06-28,3.311557,46.768,,,,47.178166,47.621611,-0.443446,-0.131536,-0.62382,59.201563,,,1.341593,28069970.6
US,JPM,2016-06-29,2.834714,46.536,,,,47.175371,47.587418,-0.412047,-0.187638,-0.448818,63.7859,,,1.339337,29837873.0
US,JPM,2016-06-30,1.526718,46.242,,,,47.283775,47.609091,-0.325315,-0.215173,-0.220284,66.060535,,,1.307955,30789874.4
US,JPM,2016-07-01,-0.647452,46.572,47.301,,,47.32781,47.606195,-0.278385,-0.227816,-0.101139,64.191048,,,1.261673,24811692.0
US,JPM,2016-07-05,-2.79588,46.942,47.119,,,47.160455,47.504996,-0.344541,-0.251161,-0.18676,56.768358,,,1.291553,21898173.8
US,JPM,2016-07-06,1.081315,47.118,46.943,,,47.095769,47.448329,-0.35256,-0.271441,-0.162239,58.701757,,,1.2843,20166385.6
US,JPM,2016-07-07,0.641849,47.094,46.815,,,47.087189,47.418083,-0.330893,-0.283331,-0.095124,59.861643,,,1.24685,18624066.6
US,JPM,2016-07-08,2.083333,47.122,46.682,,,47.230699,47.462669,-0.23197,-0.273059,0.082177,63.470857,,,1.24636,17755106.2
US,JPM,2016-07-11,0.708038,47.28,46.926,,,47.404437,47.529138,-0.124701,-0.243387,0.237373,64.658209,,,1.219477,17541833.8
US,JPM,2016-07-12,1.488834,47.848,47.395,,,47.662216,47.644017,0.0182,-0.19107,0.418539,67.097203,,,1.203801,16187918.6
US,JPM,2016-07-13,-0.061125,48.31,47.714,,,47.875721,47.748164,0.127558,-0.127344,0.509804,66.890066,,,1.161386,15807345.0
US,JPM,2016-07-14,1.508665,48.86,47.977,,,48.170226,47.899411,0.270815,-0.047712,0.637055,69.399504,,,1.179144,18850248.6
US,JPM,2016-07-15,0.100422,49.224,48.173,,,48.427114,48.043158,0.383956,0.038621,0.69067,69.567338,,,1.160634,18971905.8
US,JPM,2016-07-18,-0.341091,49.486,48.383,47.842,,48.618327,48.163665,0.454662,0.121829,0.665666,68.197762,50.737048,44.946952,1.105589,18506498.2
US,JPM,2016-07-19,-0.161063,49.588,48.718,47.9185,,48.767815,48.269319,0.498496,0.197163,0.602667,67.524064,50.911741,44.925259,1.062332,17136353.4
US,JPM,2016-07-20,0.120992,49.708,49.009,47.976,,48.903536,48.371592,0.531944,0.264119,0.53565,67.781134,51.054678,44.897322,1.015023,15513187.0
US,JPM,2016-07-21,-0.382679,49.642,49.251,48.033,,48.989146,48.452215,0.536931,0.318681,0.436499,65.999504,51.176572,44.889428,0.973236,11706550.0
US,JPM,2016-07-22,0.545896,49.62,49.422,48.052,,49.103124,48.546866,0.556258,0.366197,0.380122,67.314309,51.23157,44.87243,0.930862,9824270.0
US,JPM,2016-07-25,-0.261412,49.606,49.546,48.236,,49.179566,48.624876,0.554691,0.403896,0.30159,65.991108,51.325404,45.146596,0.891514,9293050.0
US,JPM,2016-07-26,0.403226,49.648,49.618,48.5065,,49.275017,48.711922,0.563096,0.435736,0.25472,67.063772,51.110845,45.902155,0.858549,8959130.0
US,JPM,2016-07-27,0.321285,49.71,49.709,48.7115,,49.380399,48.804372,0.576027,0.463794,0.224467,67.935087,51.085579,46.337421,0.832224,9238270.0
US,JPM,2016-07-28,-0.360288,49.774,49.708,48.8425,,49.441876,48.876641,0.565236,0.484082,0.162307,65.825333,51.147823,46.537177,0.807065,9250404.8
US,JPM,2016-07-29,-0.200884,49.764,49.692,48.9325,,49.478511,48.936149,0.542362,0.495738,0.093247,64.624596,51.220974,46.644026,0.779418,10253347.2
US,JPM,2016-08-01,-0.261675,49.754,49.68,49.0315,,49.489509,48.981619,0.50789,0.498169,0.019443,63.015325,51.245747,46.817253,0.763031,10904207.4
US,JPM,2016-08-02,-0.24218,49.68,49.664,49.191,,49.480354,49.014833,0.465521,0.491639,-0.052236,61.493096,51.000529,47.381471,0.743529,12000651.8
US,JPM,2016-08-03,1.577989,49.73,49.72,49.3645,,49.592607,49.103364,0.489244,0.49116,-0.003833,67.062652,50.834255,47.894745,0.746848,12263760.8
US,JPM,2016-08-04,-0.139414,49.802,49.788,49.5195,,49.676821,49.180151,0.49667,0.492262,0.008816,66.13812,50.570071,48.468929,0.724216,12235677.4
