country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,JPM,2016-06-20,63.45,63.85,62.34,62.37,48.89,49.2,48.04,48.06,12213239.0,769464590.0975,0.7705627706,36.358,2267.64846,36.358,2267.64846,0.003359161395016228
US,JPM,2016-06-21,62.73,63.0,62.14,62.95,48.33,48.54,47.88,48.5,11611632.0,728107384.56,0.7704527403,36.358,2288.7361,36.358,2288.7361,0.0031936938225424947
US,JPM,2016-06-22,62.95,63.71,62.68,62.71,48.5,49.09,48.3,48.32,12643500.0,796698543.75,0.7705310158,36.358,2280.01018,36.358,2280.01018,0.0034775015127344743
US,JPM,2016-06-23,63.7,64.15,63.53,64.05,49.08,49.43,48.95,49.35,16583609.0,1058987811.7175,0.7704918033,36.358,2328.7299,36.358,2328.7299,0.004561199460916442
US,JPM,2016-06-24,60.48,61.7,59.34,59.6,46.6,47.54,45.72,45.92,44108712.0,2658873159.36,0.7704697987,36.358,2166.9368,36.358,2166.9368,0.012131776225314925
US,JPM,2016-06-27,58.71,58.75,57.05,57.61,45.24,45.27,43.96,44.39,37925291.0,2200804636.73,0.7705259504,36.358,2094.58438,36.358,2094.58438,0.010431071841135377
US,JPM,2016-06-28,59.19,59.55,58.26,59.52,45.61,45.88,44.89,45.86,29088741.0,1720017255.33,0.7704973118,36.358,2164.02816,36.358,2164.02816,0.008000643874800595
US,JPM,2016-06-29,60.36,61.21,60.0,61.2,46.51,47.17,46.24,47.16,21483012.0,1303857705.81,0.7705882353,36.358,2225.1096,36.358,2225.1096,0.005908744155344079
US,JPM,2016-06-30,61.63,62.19,61.02,62.14,47.49,47.92,47.02,47.88,21343616.0,1317861569.92,0.7705181847,35.974,2235.42436,35.974,2235.42436,0.005933067215210986
US,JPM,2016-07-01,61.52,62.01,61.16,61.26,47.77,48.15,47.49,47.57,14217800.0,874216977.5,0.7765262814,35.974,2203.76724,35.974,2203.76724,0.003952243286818258
US,JPM,2016-07-05,60.45,60.6,59.1,59.55,46.94,47.06,45.89,46.24,23357700.0,1399710172.5,0.7764903442,35.974,2142.2517,35.974,2142.2517,0.00649293934508256
US,JPM,2016-07-06,59.01,60.29,58.76,60.19,45.82,46.82,45.63,46.74,20429800.0,1216849962.5,0.7765409536,35.974,2165.27506,35.974,2165.27506,0.005679045977650526
US,JPM,2016-07-07,60.52,61.14,60.16,60.58,46.99,47.47,46.71,47.04,13771417.0,834547870.2,0.7764938924,35.974,2179.30492,35.974,2179.30492,0.003828158392172125
US,JPM,2016-07-08,61.33,62.17,61.33,61.83,47.63,48.28,47.63,48.02,16998814.0,1048231865.31,0.7766456413,35.974,2224.27242,35.974,2224.27242,0.004725305498415523
US,JPM,2016-07-11,62.42,62.95,62.14,62.27,48.48,48.89,48.26,48.36,13151438.0,821241545.91,0.7766179541,35.974,2240.10098,35.974,2240.10098,0.003655817534886307
US,JPM,2016-07-12,63.03,63.56,62.89,63.2,48.95,49.36,48.84,49.08,16588124.0,1047871793.08,0.7765822785,35.974,2273.5568,35.974,2273.5568,0.0046111424917996335
US,JPM,2016-07-13,63.08,63.43,62.64,63.16,48.99,49.26,48.65,49.05,18526932.0,1168632553.23,0.7765991134,35.974,2272.11784,35.974,2272.11784,0.005150089509089899
US,JPM,2016-07-14,64.74,64.98,64.05,64.12,50.27,50.46,49.74,49.79,28985935.0,1868795694.2875,0.7765127885,35.974,2306.65288,35.974,2306.65288,0.008057467893478625
US,JPM,2016-07-15,64.75,64.8,63.61,64.18,50.28,50.32,49.4,49.84,17607100.0,1132752778.5,0.7765659084,35.974,2308.81132,35.974,2308.81132,0.0048943959526324575
US,JPM,2016-07-18,64.13,64.4,63.9,63.96,49.8,50.01,49.62,49.67,10824400.0,693816979.0,0.7765791119,35.974,2300.89704,35.974,2300.89704,0.0030089509089898264
US,JPM,2016-07-19,63.61,64.1,63.46,63.86,49.4,49.78,49.28,49.59,9737400.0,620832280.5,0.7765424366,35.974,2297.29964,35.974,2297.29964,0.0027067882359481854
US,JPM,2016-07-20,64.11,64.23,63.71,63.93,49.79,49.88,49.48,49.65,10411100.0,666258344.5,0.7766306898,35.974,2299.81782,35.974,2299.81782,0.002894062378384389
US,JPM,2016-07-21,64.0,64.18,63.63,63.69,49.7,49.84,49.41,49.46,9952750.0,635731906.25,0.7765740305,35.974,2291.18406,35.974,2291.18406,0.002766650914549397
US,JPM,2016-07-22,63.9,64.09,63.6,64.04,49.62,49.77,49.39,49.73,8195700.0,523766697.75,0.7765459088,35.974,2303.77496,35.974,2303.77496,0.002278228720742759
US,JPM,2016-07-25,63.98,64.17,63.68,63.87,49.69,49.83,49.45,49.6,8168300.0,522158577.5,0.7765774229,35.974,2297.65938,35.974,2297.65938,0.002270612108745205
US,JPM,2016-07-26,63.98,64.26,63.71,64.13,49.68,49.9,49.47,49.8,8067800.0,516500556.0,0.7765476376,35.974,2307.01262,35.974,2307.01262,0.002242675265469506
US,JPM,2016-07-27,64.08,64.69,64.06,64.33,49.77,50.24,49.75,49.96,11806800.0,759059172.0,0.7766205503,35.974,2314.20742,35.974,2314.20742,0.003282037026741536
US,JPM,2016-07-28,64.0,64.19,63.72,64.1,49.7,49.85,49.48,49.78,10013424.0,640884169.56,0.776599064,35.974,2305.9334,35.974,2305.9334,0.002783516984488798
US,JPM,2016-07-29,63.8,64.29,63.75,63.97,49.55,49.93,49.51,49.68,13210412.0,844838873.43,0.7766140378,35.974,2301.25678,35.974,2301.25678,0.0036722110413076117
US,JPM,2016-08-01,64.15,64.31,63.61,63.8,49.82,49.95,49.4,49.55,11422601.0,730675229.4675,0.776645768,35.974,2295.1412,35.974,2295.1412,0.003175237949630289
US,JPM,2016-08-02,63.59,64.01,63.38,63.65,49.38,49.71,49.22,49.43,13550022.0,862560525.465,0.7765907306,35.974,2289.7451,35.974,2289.7451,0.00376661533329627
US,JPM,2016-08-03,63.69,64.67,63.65,64.66,49.46,50.22,49.43,50.21,13122345.0,842028072.7875,0.7765233529,35.974,2326.07884,35.974,2326.07884,0.0036477303052204375
US,JPM,2016-08-04,64.49,64.82,64.27,64.56,50.09,50.34,49.91,50.14,9873007.0,637154506.745,0.7766418835,35.974,2322.48144,35.974,2322.48144,0.0027444840718296552
US,JPM,2016-08-05,65.14,66.37,65.07,66.3,50.59,51.54,50.53,51.49,20752730.0,1363869415.6,0.7766214178,35.974,2385.0762,35.974,2385.0762,0.0057688135875910386
US,JPM,2016-08-08,66.07,66.49,65.84,66.1,51.31,51.63,51.13,51.33,11359200.0,751127100.0,0.7765506808,35.974,2377.8814,35.974,2377.8814,0.0031576138322121534
US,JPM,2016-08-09,66.18,66.28,65.69,65.87,51.39,51.47,51.01,51.15,10097000.0,666452485.0,0.7765295279,35.974,2369.60738,35.974,2369.60738,0.0028067493189525773
US,JPM,2016-08-10,65.92,66.07,65.16,65.28,51.19,51.3,50.6,50.69,11556100.0,758166830.75,0.7765012255,35.974,2348.38272,35.974,2348.38272,0.003212347806749319
US,JPM,2016-08-11,65.27,65.69,65.02,65.46,50.68,51.01,50.49,50.83,9604549.0,627753322.64,0.7765047357,35.974,2354.85804,35.974,2354.85804,0.0026698585089231113
US,JPM,2016-08-12,64.97,65.35,64.86,65.32,50.46,50.75,50.37,50.73,7685400.0,500511675.0,0.7766380894,35.974,2349.82168,35.974,2349.82168,0.002136376271751821
US,JPM,2016-08-15,65.56,65.83,65.46,65.72,50.92,51.13,50.84,51.04,8371600.0,549532753.0,0.7766281193,35.974,2364.21128,35.974,2364.21128,0.002327125145938734
US,JPM,2016-08-16,65.36,65.96,65.24,65.71,50.76,51.22,50.67,51.03,10128900.0,664126650.75,0.7765941257,35.974,2363.85154,35.974,2363.85154,0.0028156168343803863
US,JPM,2016-08-17,65.8,65.98,65.54,65.89,51.1,51.24,50.9,51.17,11868100.0,780950650.25,0.7765973592,35.974,2370.32686,35.974,2370.32686,0.003299077111247012
US,JPM,2016-08-18,65.62,65.99,65.53,65.95,50.95,51.24,50.88,51.21,9313621.0,612580137.2225,0.7764973465,35.974,2372.4853,35.974,2372.4853,0.0025889867682214935
US,JPM,2016-08-19,65.72,65.91,65.22,65.86,51.03,51.18,50.64,51.14,9084900.0,596673519.75,0.7764955967,35.974,2369.24764,35.974,2369.24764,0.0025254072385611833
US,JPM,2016-08-22,65.75,65.88,65.41,65.8,51.06,51.16,50.8,51.1,9055631.0,595045513.01,0.7765957447,35.974,2367.0892,35.974,2367.0892,0.0025172710846722637
US,JPM,2016-08-23,66.07,66.34,65.76,65.77,51.31,51.52,51.07,51.08,8949607.0,590539817.895,0.7766458872,35.974,2366.00998,35.974,2366.00998,0.0024877986879412914
US,JPM,2016-08-24,65.99,66.23,65.77,65.95,51.24,51.43,51.07,51.21,10167204.0,670882955.94,0.7764973465,35.974,2372.4853,35.974,2372.4853,0.002826264524378718
US,JPM,2016-08-25,65.91,66.14,65.79,66.07,51.19,51.36,51.09,51.31,9978700.0,658369679.25,0.7766005751,35.974,2376.80218,35.974,2376.80218,0.0027738644576638686
US,JPM,2016-08-26,66.33,66.88,65.85,66.22,51.51,51.93,51.13,51.42,14038600.0,931039952.0,0.7765025672,35.974,2382.19828,35.974,2382.19828,0.003902429532440096
US,JPM,2016-08-29,66.49,67.1,66.46,66.95,51.63,52.11,51.61,51.99,14583145.0,973424928.75,0.7765496639,35.974,2408.4593,35.974,2408.4593,0.004053801356535276
US,JPM,2016-08-30,66.96,67.6,66.95,67.5,52.0,52.5,51.99,52.42,13791200.0,927492678.0,0.7765925926,35.974,2428.245,35.974,2428.245,0.0038336576416300666
US,JPM,2016-08-31,67.46,67.77,66.86,67.5,52.39,52.63,51.92,52.42,14952329.0,1007749593.7775,0.7765925926,35.974,2428.245,35.974,2428.245,0.004156426585867572
US,JPM,2016-09-01,67.64,67.72,66.65,67.21,52.52,52.59,51.76,52.19,12226517.0,822905726.685,0.776521351,35.974,2417.81254,35.974,2417.81254,0.003398709345638517
US,JPM,2016-09-02,67.4,67.58,66.98,67.49,52.34,52.48,52.01,52.41,13720700.0,924260653.75,0.7765594903,35.974,2427.88526,35.974,2427.88526,0.0038140601545560687
US,JPM,2016-09-06,67.5,67.55,66.71,67.44,52.42,52.46,51.8,52.37,16649400.0,1120504620.0,0.7765421115,35.974,2426.08656,35.974,2426.08656,0.0046281759048201485
US,JPM,2016-09-07,67.16,67.59,66.96,67.16,52.15,52.48,51.99,52.15,10070407.0,676907582.5225,0.7765038714,35.974,2416.01384,35.974,2416.01384,0.002799357035636849
US,JPM,2016-09-08,67.22,67.68,67.0,67.25,52.2,52.55,52.03,52.22,12253000.0,824473737.5,0.7765055762,35.974,2419.2515,35.974,2419.2515,0.0034060710513148388
US,JPM,2016-09-09,67.03,67.43,66.64,66.65,52.06,52.37,51.75,51.76,19686900.0,1317791868.75,0.7765941485,35.974,2397.6671,35.974,2397.6671,0.0054725357202423984
US,JPM,2016-09-12,66.14,67.3,65.76,67.06,51.37,52.27,51.07,52.08,16453000.0,1095193945.0,0.7766179541,35.974,2412.41644,35.974,2412.41644,0.004573580919553011
US,JPM,2016-09-13,66.11,66.86,65.82,66.53,51.34,51.93,51.12,51.67,18876100.0,1252051713.0,0.7766421163,35.974,2393.35022,35.974,2393.35022,0.00524715071996442
US,JPM,2016-09-14,66.27,67.25,66.21,66.4,51.46,52.22,51.41,51.56,12648600.0,841542979.5,0.7765060241,35.974,2388.6736,35.974,2388.6736,0.0035160393617612723
US,JPM,2016-09-15,66.29,66.93,66.09,66.64,51.48,51.98,51.32,51.75,12639749.0,840385311.6375,0.7765606242,35.974,2397.30736,35.974,2397.30736,0.0035135789737032307
US,JPM,2016-09-16,66.09,66.26,65.44,65.82,51.32,51.45,50.81,51.11,25161500.0,1658205753.75,0.7765116986,35.974,2367.80868,35.974,2367.80868,0.00699435703563685
US,JPM,2016-09-19,66.15,66.64,65.85,66.19,51.37,51.75,51.14,51.4,13466900.0,891609781.75,0.7765523493,35.974,2381.11906,35.974,2381.11906,0.0037435092010896765
US,JPM,2016-09-20,66.75,66.85,66.24,66.46,51.84,51.91,51.44,51.61,10092200.0,671888215.0,0.7765573277,35.974,2390.83204,35.974,2390.83204,0.002805415021960305
US,JPM,2016-09-21,66.84,67.13,66.31,66.84,51.91,52.14,51.5,51.91,14116800.0,942719904.0,0.77663076,35.974,2404.50216,35.974,2404.50216,0.00392416745427253
US,JPM,2016-09-22,66.99,67.42,66.84,67.39,52.02,52.35,51.9,52.33,12781744.0,858421927.04,0.7765247069,35.974,2424.28786,35.974,2424.28786,0.003553050536498583
US,JPM,2016-09-23,67.39,67.9,67.18,67.25,52.33,52.72,52.17,52.22,13967400.0,941821782.0,0.7765055762,35.974,2419.2515,35.974,2419.2515,0.0038826374603880584
US,JPM,2016-09-26,66.6,66.8,65.54,65.78,51.72,51.87,50.89,51.08,16408130.0,1085890043.4,0.77652782,35.974,2366.36972,35.974,2366.36972,0.0045611080224606665
US,JPM,2016-09-27,65.41,66.41,65.11,66.36,50.79,51.57,50.56,51.53,13711400.0,902518626.5,0.7765220012,35.974,2387.23464,35.974,2387.23464,0.0038114749541335413
US,JPM,2016-09-28,66.58,66.77,65.99,66.71,51.7,51.85,51.24,51.8,11278036.0,750130369.45,0.7764952781,35.974,2399.82554,35.974,2399.82554,0.003135051981986991
US,JPM,2016-09-29,66.7,67.21,65.35,65.65,51.8,52.19,50.75,50.98,18727200.0,1240255638.0,0.7765422696,35.974,2361.6931,35.974,2361.6931,0.005205759715349975
US,JPM,2016-09-30,66.08,67.06,66.08,66.59,51.31,52.07,51.31,51.71,21680100.0,1440696845.25,0.7765430245,36.06,2401.2354,36.06,2401.2354,0.006012229617304492
US,JPM,2016-10-03,66.35,66.92,66.26,66.51,51.53,51.97,51.46,51.65,14901700.0,991112067.0,0.7765749511,36.06,2398.3506,36.06,2398.3506,0.004132473655019412
US,JPM,2016-10-04,66.21,67.18,66.1,66.6,51.78,52.54,51.7,52.09,17226900.0,1145976455.25,0.7821321321,36.06,2401.596,36.06,2401.596,0.004777287853577371
US,JPM,2016-10-05,66.89,68.07,66.8,67.69,52.32,53.25,52.25,52.95,16280000.0,1096661500.0,0.7822425765,36.06,2440.9014,36.06,2440.9014,0.0045146977260122016
US,JPM,2016-10-06,67.73,67.97,67.05,67.87,52.98,53.17,52.45,53.09,17485000.0,1182947675.0,0.7822307352,36.06,2447.3922,36.06,2447.3922,0.004848863006100943
US,JPM,2016-10-07,67.79,68.18,67.4,68.11,53.02,53.32,52.71,53.27,18497019.0,1255392679.53,0.7821171634,36.06,2456.0466,36.06,2456.0466,0.005129511647254576
US,JPM,2016-10-10,68.34,69.06,68.23,68.64,53.46,54.02,53.37,53.69,13027500.0,893263106.25,0.7821969697,36.06,2475.1584,36.06,2475.1584,0.003612728785357737
US,JPM,2016-10-11,68.5,68.82,67.93,68.31,53.58,53.83,53.13,53.43,15657104.0,1070789342.56,0.7821695213,36.06,2463.2586,36.06,2463.2586,0.0043419589572934
US,JPM,2016-10-12,68.26,68.59,68.05,68.13,53.39,53.65,53.23,53.29,11899831.0,812252714.4825,0.7821811243,36.06,2456.7678,36.06,2456.7678,0.003300008596783139
US,JPM,2016-10-13,67.46,67.87,66.82,67.74,52.77,53.09,52.27,52.99,17890046.0,1207086128.735,0.7822556835,36.06,2442.7044,36.06,2442.7044,0.004961188574597893
US,JPM,2016-10-14,68.8,69.03,67.3,67.52,53.81,53.99,52.64,52.81,24163800.0,1647065017.5,0.7821386256,36.06,2434.7712,36.06,2434.7712,0.0067009983361064895
US,JPM,2016-10-17,67.42,67.79,66.74,67.17,52.74,53.02,52.2,52.54,14963411.0,1006738292.08,0.782194432,36.06,2422.1502,36.06,2422.1502,0.004149587077093733
US,JPM,2016-10-18,67.85,68.21,67.54,67.7,53.07,53.35,52.82,52.95,11870300.0,805103097.5,0.782127031,36.06,2441.262,36.06,2441.262,0.0032918191902384913
US,JPM,2016-10-19,67.81,68.5,67.81,68.35,53.04,53.58,53.04,53.46,12705800.0,865487331.5,0.782150695,36.06,2464.701,36.06,2464.701,0.003523516361619523
US,JPM,2016-10-20,68.08,68.68,67.94,68.26,53.25,53.72,53.14,53.39,14122005.0,963685621.2,0.7821564606,36.06,2461.4556,36.06,2461.4556,0.0039162520798668886
US,JPM,2016-10-21,67.81,68.53,67.7,68.49,53.04,53.6,52.95,53.57,12175700.0,829560880.25,0.7821579793,36.06,2469.7494,36.06,2469.7494,0.0033765113699389905
US,JPM,2016-10-24,68.97,69.05,68.5,68.87,53.95,54.01,53.58,53.87,10197123.0,702046425.7425,0.7821983447,36.06,2483.4522,36.06,2483.4522,0.0028278211314475875
US,JPM,2016-10-25,68.88,68.93,68.38,68.8,53.87,53.91,53.48,53.81,9945100.0,683700762.25,0.782122093,36.06,2480.928,36.06,2480.928,0.0027579312257348864
US,JPM,2016-10-26,68.37,69.25,68.37,69.13,53.48,54.16,53.48,54.07,9801300.0,674133414.0,0.7821495733,36.06,2492.8278,36.06,2492.8278,0.002718053244592346
US,JPM,2016-10-27,69.49,69.77,69.1,69.23,54.35,54.57,54.05,54.15,14210700.0,986187053.25,0.7821753575,36.06,2496.4338,36.06,2496.4338,0.0039408485856905155
US,JPM,2016-10-28,69.53,69.55,68.47,69.11,54.39,54.4,53.56,54.06,12766500.0,882994972.5,0.7822312256,36.06,2492.1066,36.06,2492.1066,0.003540349417637271
US,JPM,2016-10-31,69.43,69.58,69.23,69.26,54.3,54.42,54.15,54.17,14336300.0,994580812.5,0.7821253249,36.06,2497.5156,36.06,2497.5156,0.003975679423183583
US,JPM,2016-11-01,69.48,69.78,68.33,68.97,54.35,54.58,53.45,53.95,15564500.0,1076129530.0,0.7822241554,36.06,2487.0582,36.06,2487.0582,0.004316278424847476
US,JPM,2016-11-02,68.65,68.85,68.01,68.68,53.7,53.85,53.2,53.72,12449800.0,853402665.5,0.7821782178,36.06,2476.6008,36.06,2476.6008,0.0034525235718247367
US,JPM,2016-11-03,68.86,69.19,68.22,68.38,53.87,54.12,53.36,53.49,10369700.0,712009526.25,0.7822462708,36.06,2465.7828,36.06,2465.7828,0.0028756794231835827
US,JPM,2016-11-04,68.49,68.56,67.64,67.76,53.57,53.63,52.91,53.0,13571306.0,924375579.925,0.7821723731,36.06,2443.4256,36.06,2443.4256,0.003763534664448142
US,JPM,2016-11-07,69.08,69.97,69.0,69.88,54.03,54.73,53.97,54.66,16515137.0,1147513006.6025,0.7821980538,36.06,2519.8728,36.06,2519.8728,0.004579904880754299
US,JPM,2016-11-08,69.7,70.55,69.24,70.03,54.52,55.19,54.16,54.78,17531748.0,1225118550.24,0.7822361845,36.06,2525.2818,36.06,2525.2818,0.004861826955074876
