country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,KLAC,Q4,2016-06-30,2016-08-05,0.632747,0.390978,0.295419,0.394044,0.054719,3.858682,0.861134,6.201177,0.185226,7.201177,0.385231,1.304013,0.393399,,
US,KLAC,Q1,2016-09-30,2016-10-20,0.629884,0.33199,0.237255,0.227894,0.035648,4.030981,0.843576,5.392886,0.150252,6.392886,0.226166,0.953262,0.239332,,
US,KLAC,Q2,2016-12-31,2017-01-26,0.636774,0.38485,0.271702,0.246868,0.046767,3.39439,0.81056,4.278704,0.172125,5.278704,0.25364,0.933524,0.26348,,
US,KLAC,Q3,2017-03-31,2017-04-27,0.624348,0.382597,0.277478,0.221005,0.047622,3.404881,0.78452,3.6408,0.171625,4.6408,0.246045,0.886718,0.256347,,
US,KLAC,Q4,2017-06-30,2017-08-04,0.629328,0.378928,0.272906,0.193123,0.046304,3.396377,0.760236,3.170765,0.169671,4.170765,0.492876,1.806033,0.504242,0.021189,-0.056636
US,KLAC,Q1,2017-09-30,2017-10-26,0.635462,0.378233,0.28975,0.191902,0.04937,3.110076,0.742732,2.887001,0.170389,3.887001,0.385351,1.329943,0.401601,0.291616,0.577397
US,KLAC,Q2,2017-12-31,2018-01-25,0.64406,0.383962,-0.137647,-0.109592,-0.02484,3.732374,0.773337,3.411845,0.180465,4.411845,0.132576,-0.963162,0.146277,0.112828,-1.563771
US,KLAC,Q3,2018-03-31,2018-04-26,0.638999,0.385885,0.300483,0.223977,0.054818,3.782391,0.755252,3.085839,0.182433,4.085839,0.345255,1.149002,0.359937,0.117623,0.21028
US,KLAC,Q4,2018-06-30,2018-08-06,0.646826,0.406352,0.325949,0.21522,0.062065,3.734557,0.71162,2.467644,0.190414,3.467644,0.349076,1.070953,0.370424,0.139943,0.36151
US,KLAC,Q1,2018-09-30,2018-10-31,0.651147,0.415208,0.362168,0.252617,0.070139,3.44873,0.722349,2.601646,0.193665,3.601646,0.348869,0.96328,0.369295,0.127559,0.409374
US,KLAC,Q2,2018-12-31,2019-01-29,0.635449,0.395126,0.329584,0.231031,0.065849,3.025564,0.714979,2.508519,0.199793,3.508519,0.251962,0.764487,0.275505,0.147646,3.747936
US,KLAC,Q3,2019-03-31,2019-05-08,0.556238,0.230178,0.175637,0.067645,0.020977,2.611995,0.685926,2.211938,0.119434,3.224747,0.149086,0.848834,0.17274,0.074432,-0.371978
US,KLAC,Q4,2019-06-30,2019-08-16,0.528951,0.216004,0.173108,0.081924,0.024182,2.439983,0.70276,2.380807,0.139694,3.387796,0.258624,1.494003,0.303001,0.176103,-0.375385
US,KLAC,Q1,2019-09-30,2019-10-31,0.572495,0.291398,0.245169,0.130216,0.037546,2.241249,0.709665,2.461247,0.153143,3.468183,0.351097,1.432061,0.374137,0.292843,-0.124813
US,KLAC,Q2,2019-12-31,2020-02-05,0.580233,0.308323,0.252115,0.142543,0.041138,2.547627,0.709431,2.458176,0.163171,3.464995,0.256869,1.018857,0.279972,0.347849,0.031035
US,KLAC,Q3,2020-03-31,2020-05-06,0.585553,0.108451,0.055094,0.034,0.008869,2.612069,0.737146,2.825976,0.160974,3.833674,0.310421,5.634375,0.340931,0.297685,-0.592939
US,KLAC,Q4,2020-06-30,2020-08-07,0.574166,0.305078,0.281759,0.154292,0.044316,2.778906,0.711097,2.47576,0.157284,3.481607,0.310255,1.101137,0.338886,0.159848,0.887824
US,KLAC,Q1,2020-09-30,2020-10-30,0.596676,0.34004,0.27334,0.15309,0.045125,2.718792,0.703614,2.387081,0.165086,3.3926,0.332877,1.217811,0.369224,0.088584,0.21367
US,KLAC,Q2,2020-12-31,2021-02-04,0.594315,0.34302,0.276976,0.155783,0.046589,2.585477,0.699398,2.338641,0.168205,3.343794,0.33987,1.227074,0.375696,0.093688,0.201537
US,KLAC,Q3,2021-03-31,2021-04-30,0.606586,0.376708,0.314616,0.18219,0.057097,2.663343,0.686811,2.191554,0.18148,3.190915,0.358221,1.138598,0.392141,0.266727,6.233672
US,KLAC,Q4,2021-06-30,2021-08-06,0.598934,0.388899,0.328739,0.187407,0.061627,2.708337,0.671346,2.041561,0.187464,3.040995,0.241823,0.735609,0.270583,0.319183,0.539145
US,KLAC,Q1,2021-09-30,2021-10-28,0.609555,0.386143,0.512716,0.276725,0.095852,2.435453,0.653784,1.88747,0.18695,2.886993,0.414522,0.808483,0.447613,0.354355,1.54042
US,KLAC,Q2,2021-12-31,2022-01-28,0.61398,0.410586,0.304954,0.177211,0.061424,2.413991,0.653538,1.885496,0.20142,2.885058,0.344635,1.13012,0.372221,0.425085,0.569038
US,KLAC,Q3,2022-03-31,2022-04-29,0.610215,0.387238,0.319212,0.179048,0.060791,2.326885,0.660618,1.945733,0.19044,2.945321,0.357796,1.120872,0.401622,0.268827,0.287361
US,KLAC,Q4,2022-06-30,2022-08-05,0.606487,0.399678,0.323868,0.574713,0.063933,2.496936,0.888935,7.990859,0.197406,8.989245,0.329439,1.017203,0.358859,0.291496,0.272357
US,KLAC,Q1,2022-09-30,2022-10-28,0.617818,0.420061,0.37659,0.488085,0.078179,2.434869,0.839826,5.243192,0.207596,6.243192,0.371288,0.98592,0.402249,0.307407,-0.039709
US,KLAC,Q2,2022-12-31,2023-01-27,0.594896,0.407942,0.328027,0.375988,0.071294,2.335271,0.810383,4.273801,0.217341,5.273801,0.230669,0.703201,0.262051,0.26832,0.364281
US,KLAC,Q3,2023-03-31,2023-04-28,0.586721,0.359884,0.286868,0.260117,0.050998,2.345678,0.803941,4.100509,0.177776,5.100509,0.415544,1.448555,0.45045,0.062889,-0.044807
US,KLAC,Q4,2023-06-30,2023-08-04,0.591128,0.360487,0.290707,0.23449,0.048652,2.236811,0.792519,3.819708,0.167359,4.819708,0.407244,1.400875,0.440653,-0.052922,-0.149893
US,KLAC,Q1,2023-09-30,2023-10-27,0.604961,0.3863,0.309299,0.247934,0.052443,2.208318,0.788481,3.727697,0.169554,4.727697,0.368693,1.192028,0.397081,-0.120197,-0.277406
US,KLAC,Q2,2023-12-31,2024-01-26,0.607216,0.307823,0.234257,0.191389,0.040792,1.913963,0.786862,3.691806,0.174134,4.691806,0.250225,1.068164,0.28111,-0.166615,-0.404846
US,KLAC,Q3,2024-03-31,2024-04-26,0.591079,0.3324,0.255389,0.194366,0.040217,2.137042,0.793085,3.832906,0.157474,4.832906,0.386338,1.512745,0.416819,-0.031742,-0.137992
US,KLAC,Q4,2024-06-30,2024-08-05,0.620434,0.400909,0.325943,0.248327,0.054197,2.152249,0.781753,3.581966,0.166276,4.581966,0.347831,1.067152,0.371502,0.089632,0.221706
US,KLAC,Q1,2024-09-30,2024-10-31,0.596194,0.408531,0.332866,0.26571,0.060315,2.131718,0.773003,3.405336,0.181201,4.405336,0.350246,1.052214,0.371499,0.185479,0.275806
US,KLAC,Q2,2024-12-31,2025-01-31,0.603016,0.340449,0.267978,0.230023,0.054962,2.361526,0.761057,3.1851,0.2051,4.1851,0.276099,1.030306,0.306105,0.23731,0.415414
US,KLAC,Q3,2025-03-31,2025-05-01,0.616168,0.436275,0.35534,0.271782,0.071661,2.543529,0.736327,2.792583,0.20167,3.792583,0.350032,0.985064,0.377778,0.300433,0.80938
US,KLAC,Q4,2025-06-30,2025-08-08,0.632402,0.441587,0.378881,0.256337,0.07486,2.618533,0.707962,2.424206,0.197583,3.424206,0.366956,0.968526,0.398583,0.237122,0.438047
US,KLAC,Q1,2025-09-30,2025-10-31,0.612714,0.430119,0.349267,0.224879,0.0687,2.691664,0.694504,2.273368,0.196697,3.273368,0.361901,1.036173,0.391777,0.129562,0.185218
US,KLAC,Q2,2025-12-31,2026-01-30,0.614451,0.424601,0.347477,0.209612,0.068521,2.770439,0.673107,2.059102,0.197195,3.059102,0.414785,1.193706,0.446806,0.071598,0.389502
US,KLAC,Q3,2026-03-31,2026-04-29,0.611232,0.388815,0.351673,0.205984,0.071176,3.025673,0.654459,1.894011,0.202393,2.894011,0.207155,0.589057,0.2321,0.114935,0.103429
