country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,KLAC,2016-06-20,,,,,,62.47,62.47,0.0,0.0,0.0,,,,0.62,
US,KLAC,2016-06-21,0.272131,,,,,62.496154,62.482593,0.013561,0.002712,0.021698,,,,0.599286,
US,KLAC,2016-06-22,0.606641,,,,,62.576746,62.522401,0.054345,0.013039,0.082612,,,,0.593622,
US,KLAC,2016-06-23,0.729927,,,,,62.715708,62.593334,0.122374,0.034906,0.174936,,,,0.603364,
US,KLAC,2016-06-24,-3.071834,62.628,,,,62.533291,62.514568,0.018723,0.031669,-0.025893,57.703927,,,0.702409,1416375.4
US,KLAC,2016-06-27,-1.755241,62.224,,,,62.212785,62.361637,-0.148853,-0.004435,-0.288835,46.079285,,,0.747237,1463565.2
US,KLAC,2016-06-28,1.009098,61.908,,,,62.035433,62.26522,-0.229786,-0.049505,-0.360562,51.965285,,,0.750292,1649699.6
US,KLAC,2016-06-29,0.114641,61.53,,,,61.896136,62.181129,-0.284994,-0.096603,-0.376781,52.604656,,,0.793128,1764750.2
US,KLAC,2016-06-30,1.635858,61.26,,,,61.932115,62.177342,-0.245227,-0.126328,-0.237798,60.660536,,,0.810762,1801007.4
US,KLAC,2016-07-01,-1.030098,61.252,61.94,,,61.864097,62.126428,-0.262331,-0.153528,-0.217604,54.29937,,,0.800707,1643095.2
US,KLAC,2016-07-05,-0.536673,61.394,61.809,,,61.755775,62.054841,-0.299066,-0.182636,-0.23286,51.311485,,,0.7928,1640465.4
US,KLAC,2016-07-06,0.212557,61.44,61.674,,,61.684117,61.998186,-0.314069,-0.208922,-0.210293,52.422162,,,0.786885,1586862.4
US,KLAC,2016-07-07,-0.032632,61.468,61.499,,,61.620407,61.944246,-0.323839,-0.231906,-0.183867,52.22478,,,0.780679,1586309.8
US,KLAC,2016-07-08,2.089114,61.552,61.406,,,61.763421,61.989117,-0.225696,-0.230664,0.009936,62.068494,,,0.825631,1390245.0
US,KLAC,2016-07-11,0.847322,61.87,61.561,,,61.965972,62.069923,-0.103951,-0.205321,0.20274,65.260276,,,0.829514,1282657.2
US,KLAC,2016-07-12,1.299937,62.418,61.906,,,62.263514,62.205484,0.05803,-0.152651,0.421363,69.531971,,,0.830977,1153577.2
US,KLAC,2016-07-13,0.28169,62.976,62.208,,,62.542974,62.344337,0.198637,-0.082393,0.56206,70.392602,,,0.805193,883125.0
US,KLAC,2016-07-14,-0.436954,63.482,62.475,,,62.736362,62.452164,0.284198,-0.009075,0.586547,67.212135,,,0.82268,875234.6
US,KLAC,2016-07-15,-0.125392,63.716,62.634,,,62.887691,62.546078,0.341613,0.061063,0.561102,66.290557,,,0.80106,1036154.6
US,KLAC,2016-07-18,1.067169,63.98,62.925,62.4325,,63.120354,62.683405,0.436949,0.13624,0.601418,70.049703,64.789081,60.075919,0.792412,1104787.4
US,KLAC,2016-07-19,0.031056,64.084,63.251,62.53,,63.3203,62.812042,0.508258,0.210643,0.595228,70.155121,65.041016,60.018984,0.770812,1119268.4
US,KLAC,2016-07-20,0.946911,64.274,63.625,62.6495,,63.583331,62.976335,0.606995,0.289914,0.634163,73.247936,65.38732,59.91168,0.781468,1127965.0
US,KLAC,2016-07-21,-1.214824,64.362,63.922,62.7105,,63.684357,63.06994,0.614417,0.354814,0.519204,63.998116,65.531716,59.889284,0.78922,851855.8
US,KLAC,2016-07-22,0.420299,64.52,64.118,62.762,,63.811379,63.176611,0.634768,0.410805,0.447925,65.597136,65.673677,59.850323,0.767133,612178.8
US,KLAC,2016-07-25,0.558053,64.614,64.297,62.929,,63.974243,63.302047,0.672196,0.463083,0.418226,67.659649,65.920902,59.937098,0.743766,500352.2
US,KLAC,2016-07-26,0.662864,64.79,64.437,63.1715,,64.178206,63.450044,0.728162,0.516099,0.424126,69.975094,66.106034,60.236966,0.74564,480920.2
US,KLAC,2016-07-27,0.015314,64.846,64.56,63.384,,64.352328,63.587818,0.76451,0.565781,0.397457,70.028836,66.291545,60.476455,0.734523,461903.6
US,KLAC,2016-07-28,0.58184,65.136,64.749,63.612,,64.558124,63.743536,0.814588,0.615543,0.398091,72.074337,66.49181,60.73219,0.740629,556383.2
US,KLAC,2016-07-29,-2.253007,65.076,64.798,63.716,,64.504566,63.778088,0.726478,0.63773,0.177496,56.034086,66.523543,60.908457,0.808441,756547.4
US,KLAC,2016-08-01,1.152468,65.092,64.853,63.889,,64.573095,63.864897,0.708198,0.651823,0.112749,60.73895,66.549097,61.228903,0.811409,840221.2
US,KLAC,2016-08-02,-1.123941,64.876,64.833,64.042,,64.518772,63.891201,0.627572,0.646973,-0.038803,54.538669,66.390383,61.693617,0.823452,904032.2
US,KLAC,2016-08-03,0.482716,64.72,64.783,64.204,,64.5205,63.938519,0.581981,0.633974,-0.103988,56.566325,66.189663,62.218337,0.797491,1005776.0
US,KLAC,2016-08-04,0.945297,64.61,64.873,64.3975,,64.615807,64.027518,0.58829,0.624838,-0.073096,60.316999,65.896378,62.898622,0.79267,896860.0
US,KLAC,2016-08-05,1.074609,64.936,65.006,64.562,,64.804145,64.161776,0.642369,0.628344,0.02805,64.143514,65.930175,63.193825,0.786051,693851.0
US,KLAC,2016-08-08,-0.789793,65.01,65.051,64.674,,64.883507,64.24757,0.635937,0.629862,0.012149,59.549748,65.897673,63.450327,0.767047,644591.0
US,KLAC,2016-08-09,0.505205,65.296,65.086,64.7615,,65.001429,64.351454,0.649975,0.633885,0.032181,61.437217,66.00144,63.52156,0.757258,523994.6
US,KLAC,2016-08-10,-10.251333,64.174,64.447,64.5035,,64.065825,63.949124,0.116701,0.530448,-0.827495,30.34218,67.332445,61.674555,1.206025,1797785.8
US,KLAC,2016-08-11,-2.087576,62.684,63.647,64.198,,63.084929,63.485485,-0.400557,0.344247,-1.489608,27.593403,68.298657,60.097343,1.319881,2402227.0
US,KLAC,2016-08-12,1.144046,61.186,63.061,63.9295,,62.356478,63.105079,-0.748601,0.125678,-1.748557,31.195324,68.758697,59.100303,1.304889,2895299.0
US,KLAC,2016-08-15,1.696658,59.99,62.5,63.6765,,61.892404,62.826184,-0.93378,-0.086214,-1.695132,36.31311,68.895076,58.457924,1.293826,3196180.4
US,KLAC,2016-08-16,-0.353893,58.686,61.991,63.412,,61.467419,62.552393,-1.084973,-0.285966,-1.598015,35.706403,68.977722,57.846278,1.232124,3385881.4
US,KLAC,2016-08-17,0.642652,58.804,61.489,63.136,,61.166278,62.32703,-1.160752,-0.460923,-1.399659,37.733701,68.897432,57.374568,1.217686,2120948.4
US,KLAC,2016-08-18,0.134431,59.184,60.934,62.9035,,60.923773,62.124287,-1.200514,-0.608841,-1.183345,38.175678,68.840581,56.966419,1.159994,1557877.8
US,KLAC,2016-08-19,1.745259,59.64,60.413,62.7095,,60.878578,62.013599,-1.135022,-0.714077,-0.841889,43.764097,68.677412,56.741588,1.162852,1305886.4
US,KLAC,2016-08-22,-0.610259,59.824,59.907,62.479,,60.783412,61.883703,-1.100291,-0.79132,-0.617942,42.299175,68.45143,56.50657,1.133363,1103125.0
US,KLAC,2016-08-23,-3.501494,59.628,59.157,62.1215,,60.378271,61.607132,-1.228861,-0.878828,-0.700065,35.086422,68.230111,56.012889,1.261694,1347804.8
US,KLAC,2016-08-24,-1.289768,59.206,59.005,61.726,,59.920076,61.295493,-1.375417,-0.978146,-0.794542,32.936558,67.980171,55.471829,1.240144,1403357.8
US,KLAC,2016-08-25,0.191638,58.79,58.987,61.317,,59.549295,61.015086,-1.465791,-1.075675,-0.780232,33.57938,67.550603,55.083397,1.182277,1554803.2
US,KLAC,2016-08-26,0.330377,58.204,58.922,60.9915,,59.264788,60.769524,-1.504736,-1.161487,-0.686498,34.742912,67.266582,54.716418,1.143543,1507761.8
US,KLAC,2016-08-29,1.785095,57.898,58.861,60.6805,,59.182513,60.618448,-1.435935,-1.216377,-0.439117,40.797489,66.753283,54.607717,1.196861,1699782.6
US,KLAC,2016-08-30,-0.527839,57.952,58.79,60.3905,,59.065203,60.4556,-1.390397,-1.251181,-0.278432,39.606436,66.311535,54.469465,1.172085,1437138.2
US,KLAC,2016-08-31,1.318042,58.31,58.758,60.1235,,59.084403,60.361852,-1.277449,-1.256435,-0.042029,43.981111,65.747969,54.499031,1.172651,1738658.2
US,KLAC,2016-09-01,2.128738,58.898,58.844,59.889,,59.294495,60.368382,-1.073887,-1.219925,0.292076,50.322435,65.027381,54.750619,1.181033,1852652.6
US,KLAC,2016-09-02,-0.760959,59.356,58.78,59.5965,,59.401495,60.340353,-0.938858,-1.163712,0.449708,48.178221,63.953092,55.239908,1.170245,1742960.4
