country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,KLAC,2016-06-20,73.3,74.01,73.28,73.65,62.17,62.78,62.16,62.47,1001200.0,73648272.0,0.8482009504,1.55712,114.681888,1.55712,114.681888,0.006429819153308672
US,KLAC,2016-06-21,73.75,74.05,73.66,73.86,62.55,62.8,62.47,62.64,1232829.0,91019765.07,0.8480909829,1.55712,115.008883,1.55712,115.008883,0.007917366676942046
US,KLAC,2016-06-22,73.96,74.47,73.85,74.3,62.73,63.16,62.64,63.02,1321210.0,97961115.45,0.8481830417,1.55712,115.694016,1.55712,115.694016,0.008484959412248253
US,KLAC,2016-06-23,74.88,75.17,74.57,74.85,63.51,63.75,63.24,63.48,1638338.0,122658270.215,0.8480961924,1.55712,116.550432,1.55712,116.550432,0.010521591142622277
US,KLAC,2016-06-24,72.97,74.46,72.5,72.55,61.89,63.15,61.49,61.53,1888300.0,138072496.0,0.8481047553,1.55712,112.969056,1.55712,112.969056,0.012126875256884505
US,KLAC,2016-06-27,72.19,72.22,70.98,71.27,61.23,61.26,60.2,60.45,1237149.0,88660283.085,0.8481829662,1.55712,110.975942,1.55712,110.975942,0.007945110203452527
US,KLAC,2016-06-28,71.61,72.2,71.55,71.99,60.74,61.24,60.69,61.06,2163501.0,155420503.0875,0.8481733574,1.55712,112.097069,1.55712,112.097069,0.013894247071516647
US,KLAC,2016-06-29,72.3,73.14,71.55,72.08,61.32,62.03,60.68,61.13,1896463.0,137052639.8525,0.8480854606,1.55712,112.23721,1.55712,112.23721,0.012179298962186601
US,KLAC,2016-06-30,72.37,73.25,72.02,73.25,61.38,62.13,61.09,62.13,1819624.0,132327606.34,0.8481911263,1.56129,114.364492,1.56129,114.364492,0.01165461893690474
US,KLAC,2016-07-01,73.0,73.11,72.47,72.5,61.91,62.01,61.46,61.49,1098739.0,79955237.03,0.848137931,1.56129,113.193525,1.56129,113.193525,0.007037379346565981
US,KLAC,2016-07-05,72.23,72.36,71.68,72.11,61.26,61.37,60.8,61.16,1224000.0,88244280.0,0.8481486618,1.56129,112.584622,1.56129,112.584622,0.007839671041254347
US,KLAC,2016-07-06,71.96,72.34,71.51,72.26,61.04,61.36,60.65,61.29,1895486.0,136508163.005,0.8481871021,1.56129,112.818815,1.56129,112.818815,0.012140512012502483
US,KLAC,2016-07-07,72.16,72.9,72.08,72.24,61.2,61.83,61.13,61.27,1893700.0,136999726.5,0.848145072,1.56129,112.78759,1.56129,112.78759,0.012129072753940652
US,KLAC,2016-07-08,72.41,73.9,72.34,73.75,61.41,62.68,61.35,62.55,839300.0,61352830.0,0.8481355932,1.56129,115.145138,1.56129,115.145138,0.005375682928860109
US,KLAC,2016-07-11,73.52,74.56,73.52,74.38,62.35,63.23,62.35,63.08,560800.0,41496396.0,0.8480774402,1.56129,116.12875,1.56129,116.12875,0.0035919015685747045
US,KLAC,2016-07-12,74.8,75.37,74.62,75.34,63.44,63.93,63.29,63.9,578600.0,43413804.5,0.8481550305,1.56129,117.627589,1.56129,117.627589,0.0037059098565929457
US,KLAC,2016-07-13,75.54,75.89,75.37,75.55,64.07,64.37,63.93,64.08,543225.0,41061019.6875,0.8481800132,1.56129,117.95546,1.56129,117.95546,0.0034793343965566935
US,KLAC,2016-07-14,76.0,76.1,74.87,75.22,64.46,64.55,63.5,63.8,1854248.0,140083800.78,0.8481786759,1.56129,117.440234,1.56129,117.440234,0.011876384271980222
US,KLAC,2016-07-15,75.38,75.58,74.96,75.13,63.93,64.1,63.58,63.72,1643900.0,123724023.75,0.8481299082,1.56129,117.299718,1.56129,117.299718,0.010529113745684658
US,KLAC,2016-07-18,75.31,75.93,75.18,75.93,63.87,64.4,63.76,64.4,903964.0,68328378.85,0.8481496115,1.56129,118.54875,1.56129,118.54875,0.005789853262366376
US,KLAC,2016-07-19,75.7,76.18,75.61,75.95,64.21,64.62,64.13,64.42,651005.0,49385239.3,0.8481895984,1.56129,118.579976,1.56129,118.579976,0.004169660985467146
US,KLAC,2016-07-20,76.0,76.9,75.82,76.67,64.46,65.23,64.31,65.03,586708.0,44793689.03,0.8481805139,1.56129,119.704104,1.56129,119.704104,0.0037578412722812544
US,KLAC,2016-07-21,76.47,76.51,75.62,75.74,64.86,64.89,64.14,64.24,473702.0,36041616.67,0.8481647742,1.56129,118.252105,1.56129,118.252105,0.0030340423624054466
US,KLAC,2016-07-22,75.72,76.2,75.63,76.06,64.22,64.63,64.15,64.51,445515.0,33815702.2875,0.8481462004,1.56129,118.751717,1.56129,118.751717,0.002853505754856561
US,KLAC,2016-07-25,76.09,76.49,75.97,76.49,64.53,64.87,64.43,64.87,344831.0,26296812.06,0.848084717,1.56129,119.423072,1.56129,119.423072,0.0022086287621133805
US,KLAC,2016-07-26,76.82,77.26,76.35,76.99,65.16,65.53,64.76,65.3,553845.0,42565757.475,0.848162099,1.56129,120.203717,1.56129,120.203717,0.003547355071767577
US,KLAC,2016-07-27,76.98,77.32,76.62,77.0,65.29,65.58,64.99,65.31,491625.0,37845292.5,0.8481818182,1.56129,120.21933,1.56129,120.21933,0.003148838460503814
US,KLAC,2016-07-28,77.38,77.85,76.88,77.45,65.63,66.03,65.21,65.69,946100.0,73218679.0,0.8481601033,1.56129,120.92191,1.56129,120.92191,0.006059732656969557
