country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,LITE,Q4,2016-06-30,2016-09-02,0.32892,0.018618,0.059164,0.026819,0.019689,2.818077,0.265868,0.362153,0.332783,1.362153,0.054199,0.916084,0.131154,,
US,LITE,Q1,2016-10-01,2016-10-27,0.316544,-0.022084,-0.013173,-0.006397,-0.00461,2.992661,0.279322,0.387582,0.349966,1.387582,0.140643,-10.676471,0.252615,,
US,LITE,Q2,2016-12-31,2017-02-07,0.328302,0.067547,0.044528,0.021369,0.014811,2.611881,0.306891,0.442774,0.332622,1.442774,0.072453,1.627119,0.206038,,
US,LITE,Q3,2017-04-01,2017-05-04,0.320954,-0.169273,-0.218921,-0.111023,-0.044998,4.901614,0.594697,1.467288,0.205544,2.467288,0.064113,-0.292857,0.203675,,
US,LITE,Q4,2017-06-30,2017-08-29,0.3022,-0.104176,-0.24652,-0.083868,-0.044529,5.050489,0.469057,0.88344,0.180631,1.88344,0.058824,-0.238616,0.229906,-0.07861,-4.839161
US,LITE,Q1,2017-09-30,2017-11-01,0.281661,0.032484,0.029194,0.010489,0.005687,5.205982,0.457786,0.84429,0.194809,1.84429,0.039885,1.366197,0.175576,-0.05773,3.088235
US,LITE,Q2,2017-12-30,2018-02-06,0.422887,0.247405,0.506179,0.22753,0.135863,4.840606,0.402879,0.674703,0.268409,1.674703,0.259763,0.513184,0.302274,0.526792,16.355932
US,LITE,Q3,2018-03-31,2018-05-02,0.324632,0.024431,0.009036,0.002959,0.001778,5.559791,0.399025,0.663963,0.196812,1.663963,0.318273,35.222222,0.394244,0.1681,1.048214
US,LITE,Q4,2018-06-30,2018-08-28,0.31717,0.107273,0.111259,0.034827,0.021182,5.26729,0.39178,0.644142,0.190389,1.644142,0.124875,1.122388,0.192295,0.352043,1.6102
US,LITE,Q1,2018-09-29,2018-11-01,0.355832,0.162948,0.13386,0.046503,0.028815,5.521739,0.380365,0.613853,0.215258,1.613853,0.161536,1.206751,0.245128,0.456003,5.676056
US,LITE,Q2,2018-12-29,2019-02-07,0.333958,0.07011,0.043618,0.010451,0.005829,4.168664,0.442287,0.793037,0.133627,1.793037,0.274017,6.282209,0.339042,-0.076372,-0.92041
