country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,LLY,Q2,2016-06-30,2016-07-28,0.728945,0.182745,0.13834,0.051082,0.020499,1.544733,0.598188,1.490651,0.148177,2.491942,0.259381,1.87495,0.304785,,
US,LLY,Q3,2016-09-30,2016-10-28,0.730165,0.196063,0.149855,0.049906,0.020697,1.618062,0.584579,1.409598,0.138113,2.411304,0.320069,2.135861,0.363889,,
US,LLY,Q4,2016-12-31,2017-02-21,0.745508,0.163771,0.133981,0.055098,0.019889,1.374529,0.637156,1.765129,0.148444,2.770326,0.367485,2.742809,0.448173,,
US,LLY,Q1,2017-03-31,2017-05-01,0.742192,0.020619,-0.021192,-0.007897,-0.002945,1.241979,0.625144,1.676331,0.138961,2.681512,0.065012,-3.06769,0.097336,,
US,LLY,Q2,2017-06-30,2017-07-28,0.730148,0.225624,0.173068,0.071485,0.024617,1.394174,0.653946,1.898956,0.142242,2.903842,0.283485,1.637996,0.321532,0.077616,0.348134
US,LLY,Q3,2017-09-30,2017-10-27,0.719636,0.1155,0.098197,0.037313,0.012918,1.375944,0.652163,1.883763,0.13155,2.888484,0.332467,3.385709,0.411594,0.089816,-0.285861
US,LLY,Q4,2017-12-31,2018-02-20,0.736264,0.056325,-0.268947,-0.142932,-0.036836,1.321012,0.740604,2.873751,0.136962,3.880282,0.283004,-1.052266,0.363108,0.069473,-3.1468
US,LLY,Q1,2018-03-31,2018-04-27,0.765381,0.287461,0.245256,0.083803,0.027446,1.408288,0.671117,2.049136,0.111909,3.053321,0.087937,0.358551,0.135582,-0.05059,11.987365
US,LLY,Q2,2018-06-30,2018-07-25,0.778997,0.0188,-0.046535,-0.022492,-0.006136,1.404245,0.725661,2.660136,0.131849,3.665813,0.27171,-5.838784,0.604423,-0.041086,-1.257837
US,LLY,Q3,2018-09-30,2018-11-06,0.782755,0.264166,0.216605,0.087905,0.025759,1.910638,0.682894,2.330438,0.118922,3.412592,0.399819,1.845846,0.456312,-0.062054,1.068934
US,LLY,Q4,2018-12-31,2019-02-19,0.752477,0.157969,0.174727,0.114461,0.025622,1.728586,0.751549,3.357443,0.146637,4.467366,0.225002,1.287733,0.321871,0.045109,1.678979
US,LLY,Q1,2019-03-31,2019-05-02,0.776383,0.160559,0.83296,1.710116,0.111601,1.121163,0.932512,14.28932,0.133981,15.323469,0.061133,0.073392,0.139802,0.025867,2.484147
US,LLY,Q2,2019-06-30,2019-08-02,0.800433,0.279738,0.235457,0.477324,0.034324,1.134884,0.926104,12.878655,0.145778,13.906276,0.186545,0.792269,0.23716,0.009257,6.106579
US,LLY,Q3,2019-09-30,2019-10-25,0.785451,0.276303,0.228956,0.370702,0.03309,1.169292,0.90863,10.179098,0.144528,11.20269,0.275737,1.204323,0.33802,0.031977,0.090822
US,LLY,Q4,2019-12-31,2020-02-19,0.790219,0.2877,0.244635,0.573747,0.038072,1.164277,0.931296,14.034677,0.155628,15.070045,0.321181,1.312897,0.374583,-0.050415,0.329511
US,LLY,Q1,2020-03-31,2020-05-01,0.792638,0.302468,0.248558,0.473074,0.035436,1.109752,0.922215,12.31181,0.142564,13.350266,0.065258,0.262547,0.109338,0.15074,-0.656615
US,LLY,Q2,2020-06-30,2020-07-31,0.777794,0.314943,0.256755,0.344988,0.033645,1.216324,0.898206,9.209851,0.131041,10.25361,0.453759,1.76728,0.548896,-0.024358,0.063894
US,LLY,Q3,2020-09-30,2020-10-28,0.768944,0.265965,0.210501,0.250347,0.027497,1.355935,0.886315,8.069361,0.130628,9.104394,0.314706,1.495035,0.387015,0.048205,-0.036287
US,LLY,Q4,2020-12-31,2021-02-17,0.768844,0.343858,0.284516,0.375213,0.045393,1.399027,0.875084,7.233391,0.159543,8.265935,0.243978,0.857521,0.354126,0.216879,0.415257
US,LLY,Q1,2021-03-31,2021-04-30,0.723963,0.22984,0.199145,0.196457,0.028936,1.417468,0.84843,5.760361,0.1453,6.789439,0.249412,1.252416,0.32172,0.161405,-0.069482
US,LLY,Q2,2021-06-30,2021-08-03,0.710212,0.249373,0.206258,0.215722,0.029078,1.145913,0.860622,6.384691,0.14098,7.418689,0.263423,1.277154,0.34225,0.225606,-0.015439
US,LLY,Q3,2021-09-30,2021-10-27,0.788743,0.196211,0.163906,0.143109,0.023037,1.301586,0.834933,5.186657,0.140552,6.212067,0.240861,1.469507,0.30813,0.179807,-0.081347
US,LLY,Q4,2021-12-31,2022-02-23,0.743722,0.240166,0.215765,0.192233,0.035367,1.225853,0.812425,4.415895,0.163912,5.435451,0.269566,1.249348,0.318841,0.075255,-0.184571
US,LLY,Q1,2022-03-31,2022-04-29,0.734686,0.273816,0.243649,0.203937,0.040557,1.267346,0.798335,4.014372,0.166456,5.028433,0.323047,1.325871,0.435851,0.147584,0.404043
US,LLY,Q2,2022-06-30,2022-08-04,0.779516,0.180657,0.146809,0.111473,0.020239,1.095681,0.816011,4.494529,0.137856,5.507929,0.182383,1.24231,0.307784,-0.037403,-0.314847
US,LLY,Q3,2022-09-30,2022-11-01,0.772516,0.237265,0.20913,0.144159,0.030587,1.126949,0.785807,3.703598,0.146257,4.713111,0.319336,1.526968,0.413276,0.024923,0.30772
US,LLY,Q4,2022-12-31,2023-02-22,0.787984,0.298611,0.265373,0.181947,0.039154,1.052298,0.78227,3.635223,0.147542,4.647017,0.216344,0.815245,0.292435,-0.087264,0.122588
US,LLY,Q1,2023-03-31,2023-04-27,0.766279,0.234555,0.193233,0.120183,0.025298,1.2999,0.787542,3.74143,0.130918,4.750769,0.248649,1.286787,0.378463,-0.108835,-0.293237
US,LLY,Q2,2023-06-30,2023-08-08,0.782558,0.265781,0.212124,0.159367,0.032167,1.127761,0.796598,3.946628,0.151642,4.954356,0.076022,0.358382,0.176634,0.28115,0.851129
US,LLY,Q3,2023-09-30,2023-11-02,0.804171,0.058093,-0.006043,-0.005116,-0.000991,1.045858,0.80476,4.153872,0.164008,5.161625,0.230508,-38.144599,0.651749,0.368359,-1.03954
US,LLY,Q4,2023-12-31,2024-02-21,0.80884,0.282999,0.234107,0.203279,0.034211,0.942616,0.830271,4.933447,0.146132,5.941969,-0.033346,-0.14244,0.143178,0.280972,0.130051
US,LLY,Q1,2024-03-31,2024-04-30,0.809135,0.309729,0.255805,0.17506,0.035076,1.354375,0.7983,3.984179,0.137121,4.990829,0.132984,0.519863,0.245472,0.25977,0.667708
US,LLY,Q2,2024-06-30,2024-08-08,0.807994,0.327423,0.262501,0.218773,0.04128,1.113679,0.810288,4.2943,0.157257,5.29972,0.12972,0.494169,0.253831,0.359801,0.682736
US,LLY,Q3,2024-09-30,2024-10-30,0.81023,0.155703,0.084823,0.068139,0.012833,1.273201,0.81059,4.303806,0.151297,5.309473,0.324492,3.825518,0.689101,0.204293,17.904181
US,LLY,Q4,2024-12-31,2025-02-19,0.822372,0.388937,0.32586,0.310722,0.056022,1.153757,0.818693,4.540787,0.171922,5.546388,0.1828,0.560978,0.311909,0.446832,1.013883
US,LLY,Q1,2025-03-31,2025-05-01,0.825258,0.290671,0.216781,0.175029,0.030869,1.372258,0.822721,4.66495,0.142395,5.670151,0.130856,0.603631,0.387485,0.451699,0.230238
US,LLY,Q2,2025-06-30,2025-08-07,0.842663,0.451571,0.363839,0.309776,0.056088,1.277656,0.818186,4.518905,0.154155,5.523075,0.198416,0.545341,0.314365,0.376447,0.907819
US,LLY,Q3,2025-09-30,2025-10-30,0.829082,0.421117,0.317173,0.234625,0.048571,1.546336,0.792485,3.828162,0.153136,4.830578,0.502017,1.582785,0.514738,0.538653,4.753375
US,LLY,Q4,2025-12-31,2026-02-12,0.850524,0.426902,0.343977,0.250085,0.058999,1.579113,0.764083,3.238779,0.171521,4.238779,0.167147,0.485925,0.299155,0.425573,0.50483
US,LLY,Q1,2026-03-31,2026-04-30,0.819334,0.446992,0.373554,0.237066,0.063444,1.496834,0.732381,2.73665,0.169838,3.73665,0.269357,0.721065,0.386838,0.555486,1.68039
