code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
LLY,礼来,US,USD,Q2,2016-06-30,2016-07-28,5404800000.0,3939800000.0,987700000.0,944500000.0,196800000.0,747700000.0,747700000.0,0.6773605478785631,36475300000.0,12977300000.0,23498000000.0,3238000000.0,3947900000.0,8066100000.0,21819100000.0,8401000000.0,13418100000.0,1207800000.0,14656200000.0,14637300000.0,1401900000.0,-1020900000.0,-245400000.0,579300000.0
LLY,礼来,US,USD,Q3,2016-09-30,2016-10-28,5191700000.0,3790800000.0,1017900000.0,970700000.0,192700000.0,778000000.0,778000000.0,0.704743192531773,37590300000.0,13385900000.0,24204400000.0,3489000000.0,3848500000.0,8251900000.0,21974500000.0,8272800000.0,13701700000.0,1161200000.0,15615800000.0,15589200000.0,1661700000.0,-794700000.0,-227500000.0,-600100000.0
LLY,礼来,US,USD,Q4,2016-12-31,2017-02-21,5760500000.0,4294500000.0,943400000.0,892000000.0,120200000.0,771800000.0,771800000.0,0.7010786874077438,38805900000.0,15101400000.0,23704500000.0,4582100000.0,4029400000.0,8252600000.0,24725400000.0,10986600000.0,13738800000.0,1349300000.0,14080500000.0,14007700000.0,2116900000.0,-1178100000.0,-464800000.0,274800000.0
LLY,礼来,US,USD,Q1,2017-03-31,2017-05-01,5228300000.0,3880400000.0,107800000.0,61200000.0,172000000.0,-110800000.0,-110800000.0,-0.1004179177129778,37624300000.0,12976200000.0,24648100000.0,2616900000.0,4017200000.0,8425500000.0,23520600000.0,10448000000.0,13072600000.0,1220100000.0,14103700000.0,14031000000.0,339900000.0,-1429600000.0,-169000000.0,-875700000.0
LLY,礼来,US,USD,Q2,2017-06-30,2017-07-28,5824300000.0,4252600000.0,1314100000.0,1260500000.0,252500000.0,1008000000.0,1008000000.0,0.9155404822391504,40946500000.0,15746500000.0,25200000000.0,3069900000.0,4349900000.0,8582800000.0,26776800000.0,11294500000.0,15482300000.0,1257200000.0,14169700000.0,14100800000.0,1651100000.0,-2248900000.0,-221600000.0,1059900000.0
LLY,礼来,US,USD,Q3,2017-09-30,2017-10-27,5658000000.0,4071700000.0,653500000.0,591600000.0,36000000.0,555600000.0,555600000.0,0.5045887464988468,43010400000.0,17428400000.0,25582000000.0,3724300000.0,4401300000.0,8598500000.0,28049800000.0,12666500000.0,15383300000.0,1200100000.0,14960600000.0,14890300000.0,1881100000.0,-1758000000.0,-447700000.0,500700000.0
LLY,礼来,US,USD,Q4,2017-12-31,2018-02-20,6160700000.0,4535900000.0,347000000.0,284100000.0,1941000000.0,-1656900000.0,-1656900000.0,-1.5749655663421807,44981000000.0,19202100000.0,25778900000.0,6536200000.0,4546300000.0,8826500000.0,33313100000.0,14535900000.0,18777200000.0,1410700000.0,11667900000.0,11592200000.0,1743500000.0,1652900000.0,-493500000.0,-542300000.0
LLY,礼来,US,USD,Q1,2018-03-31,2018-04-27,4963800000.0,3799200000.0,1426900000.0,1365700000.0,148300000.0,1217400000.0,1217400000.0,1.161641221374046,44355600000.0,16261500000.0,28094100000.0,3084300000.0,4495100000.0,8958200000.0,29767800000.0,11547000000.0,18220800000.0,1267400000.0,14587800000.0,14527000000.0,436500000.0,-170300000.0,-236500000.0,-3866500000.0
LLY,礼来,US,USD,Q2,2018-06-30,2018-07-25,5585000000.0,4350700000.0,105000000.0,41700000.0,301600000.0,-259900000.0,-259900000.0,-0.25227866163209445,42359200000.0,18332700000.0,24026500000.0,6817300000.0,4823000000.0,8770800000.0,30738400000.0,13055200000.0,17683200000.0,1316900000.0,11620800000.0,11555200000.0,1517500000.0,3133400000.0,-1858200000.0,-831400000.0
LLY,礼来,US,USD,Q3,2018-09-30,2018-11-06,5306900000.0,4154000000.0,1401900000.0,1341100000.0,191600000.0,1149500000.0,1149500000.0,1.1265190121520972,44625100000.0,20685900000.0,23939200000.0,8960000000.0,4859400000.0,8814100000.0,30474200000.0,10826700000.0,19647500000.0,1281200000.0,14150900000.0,13076600000.0,2121800000.0,-398100000.0,-299800000.0,432700000.0
