country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,LRCX,Q4,2016-06-30,2016-08-16,0.451919,0.232976,0.167461,0.042435,0.021101,3.810899,0.502158,1.009862,0.126004,2.011044,0.274096,1.636772,0.307548,,
US,LRCX,Q1,2016-09-25,2016-10-24,0.438734,0.20474,0.161622,0.041306,0.020879,3.860832,0.494526,0.978342,0.129184,1.978342,0.289891,1.793636,0.315607,,
US,LRCX,Q2,2016-12-25,2017-01-30,0.449874,0.218587,0.1768,0.050476,0.028885,3.199329,0.427743,0.747466,0.163379,1.747466,0.214683,1.21427,0.234081,,
US,LRCX,Q3,2017-03-26,2017-04-24,0.450978,0.257815,0.266813,0.083035,0.048396,3.219727,0.417158,0.71573,0.181386,1.71573,0.196234,0.735477,0.216715,,
US,LRCX,Q4,2017-06-30,2017-08-15,0.455865,0.267988,0.224497,0.07534,0.043424,3.099031,0.423621,0.734968,0.19343,1.734968,0.311003,1.385332,0.325848,0.516501,1.033004
US,LRCX,Q1,2017-09-24,2017-10-23,0.463793,0.287161,0.23836,0.079735,0.047642,3.30943,0.4025,0.673641,0.199872,1.673641,0.346351,1.453057,0.370588,0.518078,1.238861
US,LRCX,Q2,2017-12-24,2018-01-30,0.467126,0.293526,-0.003857,-0.001587,-0.000771,2.471083,0.51414,1.058205,0.199873,2.058205,0.011122,-2.883375,0.043938,0.371097,-1.029914
US,LRCX,Q3,2018-03-25,2018-04-24,0.460118,0.275727,0.269284,0.113131,0.056999,2.640498,0.496174,0.984812,0.211667,1.984812,0.363187,1.348715,0.380149,0.342675,0.355111
US,LRCX,Q4,2018-06-30,2018-08-14,0.47327,0.314332,0.32667,0.155188,0.081826,2.90445,0.472731,0.896565,0.250485,1.896565,0.229806,0.703482,0.255288,0.333071,0.939779
US,LRCX,Q1,2018-09-23,2018-10-23,0.454028,0.263082,0.228842,0.099107,0.048675,2.660519,0.508866,1.036105,0.212701,2.036105,0.309044,1.350469,0.333113,-0.0595,-0.097056
US,LRCX,Q2,2018-12-23,2019-01-30,0.453897,0.269363,0.225497,0.097384,0.052826,3.394739,0.457548,0.843481,0.234265,1.843481,0.254658,1.129319,0.296646,-0.022529,58.142642
US,LRCX,Q3,2019-03-31,2019-04-30,0.440474,0.252685,0.224428,0.102489,0.042449,3.365464,0.585818,1.4144,0.189143,2.4144,0.382453,1.704125,0.413417,-0.156656,-0.297137
US,LRCX,Q4,2019-06-30,2019-08-20,0.457782,0.277342,0.229475,0.114713,0.045147,3.609474,0.606435,1.540877,0.19674,2.540877,0.372906,1.625039,0.400837,-0.244657,-0.469395
US,LRCX,Q1,2019-09-29,2019-10-29,0.45329,0.262599,0.215071,0.093552,0.037736,3.594694,0.596634,1.47914,0.175456,2.47914,0.214267,0.99626,0.232392,-0.070771,-0.126689
US,LRCX,Q2,2019-12-29,2020-02-04,0.456607,0.276834,0.199152,0.116465,0.043185,3.295639,0.629202,1.696886,0.216844,2.696886,0.11919,0.598488,0.14321,0.024113,-0.095534
US,LRCX,Q3,2020-03-29,2020-04-28,0.466127,0.268041,0.22958,0.126349,0.044424,4.468328,0.648405,1.844186,0.1935,2.844186,0.216258,0.941973,0.236778,0.026476,0.050039
US,LRCX,Q4,2020-06-30,2020-08-18,0.458594,0.285622,0.249537,0.134402,0.047852,3.432011,0.643968,1.808735,0.191761,2.808735,0.29122,1.167044,0.309328,0.182419,0.28579
US,LRCX,Q1,2020-09-27,2020-10-27,0.474077,0.306693,0.259185,0.151774,0.054689,3.309457,0.63967,1.775234,0.211003,2.775234,0.202233,0.780266,0.222002,0.466968,0.767863
US,LRCX,Q2,2020-12-27,2021-02-02,0.464029,0.298687,0.251496,0.157796,0.056552,3.193479,0.641613,1.790277,0.224864,2.790277,0.099715,0.396486,0.126354,0.337811,0.689431
US,LRCX,Q3,2021-03-28,2021-04-28,0.462654,0.315055,0.278383,0.199285,0.070077,3.134337,0.648357,1.843793,0.251729,2.843793,0.302803,1.08772,0.326089,0.536833,0.863529
US,LRCX,Q4,2021-06-30,2021-08-17,0.462031,0.328202,0.276142,0.189916,0.072027,3.302955,0.620744,1.636744,0.260832,2.636744,0.346411,1.254467,0.37165,0.484735,0.643033
US,LRCX,Q1,2021-09-26,2021-10-26,0.459233,0.322556,0.274074,0.202704,0.075792,3.268983,0.626095,1.674474,0.276538,2.674474,0.106291,0.387816,0.137985,0.354849,0.432683
US,LRCX,Q2,2021-12-26,2022-02-01,0.467968,0.331922,0.282693,0.184507,0.071609,3.132899,0.61189,1.576589,0.253311,2.576589,0.340819,1.205616,0.373586,0.222892,0.374586
US,LRCX,Q3,2022-03-27,2022-04-26,0.447399,0.290957,0.251644,0.169548,0.061594,2.834049,0.636718,1.752685,0.244765,2.752685,0.186609,0.74156,0.22241,0.055297,-0.046067
US,LRCX,Q4,2022-06-30,2022-08-24,0.453131,0.303121,0.260796,0.192556,0.070305,2.691322,0.634886,1.738871,0.269577,2.738871,0.095767,0.367211,0.122894,0.1183,0.056154
US,LRCX,Q1,2022-09-25,2022-10-24,0.46054,0.33519,0.28101,0.19236,0.076164,2.693773,0.604057,1.525614,0.271035,2.525614,0.234442,0.834284,0.262046,0.178804,0.208634
US,LRCX,Q2,2022-12-25,2023-01-30,0.450273,0.321851,0.278254,0.17683,0.076459,3.01496,0.567611,1.31273,0.274782,2.31273,0.216044,0.776426,0.247001,0.248655,0.229051
US,LRCX,Q3,2023-03-26,2023-04-24,0.414933,0.254845,0.210361,0.096821,0.042301,3.091423,0.563102,1.288863,0.201086,2.288863,0.446158,2.12091,0.477029,-0.047002,-0.203342
US,LRCX,Q4,2023-06-30,2023-08-15,0.454634,0.283777,0.250225,0.097749,0.04273,3.160973,0.562862,1.287607,0.170766,2.287607,0.350058,1.39897,0.374586,-0.308118,-0.336161
US,LRCX,Q1,2023-09-24,2023-10-23,0.475208,0.307565,0.254848,0.110272,0.047868,3.059341,0.565912,1.303678,0.187829,2.303678,0.273161,1.071856,0.295272,-0.313761,-0.377648
US,LRCX,Q2,2023-12-24,2024-01-29,0.467625,0.301566,0.253912,0.116056,0.050802,3.055581,0.562258,1.284451,0.200079,2.284451,0.386839,1.523517,0.417511,-0.287881,-0.350179
US,LRCX,Q3,2024-03-31,2024-04-29,0.47463,0.300599,0.254596,0.120396,0.052836,2.819003,0.561146,1.278661,0.207529,2.278661,0.365049,1.433836,0.392373,-0.019643,0.186507
US,LRCX,Q4,2024-06-30,2024-08-29,0.475292,0.310162,0.263536,0.119479,0.05443,2.969553,0.544434,1.195073,0.206538,2.195073,0.222763,0.845286,0.248786,0.207108,0.271321
US,LRCX,Q1,2024-09-29,2024-10-28,0.480493,0.321313,0.267862,0.131782,0.057158,2.525399,0.566267,1.305564,0.213387,2.305564,0.376315,1.404881,0.402848,0.196985,0.25811
US,LRCX,Q2,2024-12-29,2025-01-31,0.473711,0.318426,0.272168,0.13522,0.060031,2.544317,0.556045,1.252482,0.220568,2.252482,0.169546,0.622948,0.144275,0.164381,0.248099
US,LRCX,Q3,2025-03-30,2025-04-25,0.49017,0.335138,0.281911,0.139907,0.066639,2.451858,0.52369,1.099473,0.236383,2.099473,0.277249,0.983464,0.338276,0.244261,0.37775
US,LRCX,Q4,2025-06-29,2025-08-11,0.500776,0.344004,0.332616,0.174422,0.080584,2.210118,0.537995,1.164478,0.242274,2.164478,0.493907,1.484917,0.527204,0.335757,0.685895
US,LRCX,Q1,2025-09-28,2025-10-24,0.504281,0.349323,0.29463,0.1539,0.071628,2.207351,0.534582,1.148606,0.243111,2.148606,0.33413,1.134066,0.3689,0.2774,0.40505
US,LRCX,Q2,2025-12-28,2026-01-29,0.496027,0.351573,0.298233,0.157115,0.074516,2.256185,0.525719,1.108455,0.24986,2.108455,0.276914,0.928514,0.242278,0.221374,0.338346
US,LRCX,Q3,2026-03-29,2026-04-23,0.498251,0.350427,0.312499,0.172461,0.087797,2.536419,0.490918,0.964322,0.28095,1.964322,0.195399,0.625278,0.252166,0.237558,0.371838
