code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
LRCX,拉姆研究,US,USD,Q4,2016-06-30,2016-08-16,1546261000.0,698784000.0,360241000.0,281992000.0,23053000.0,258939000.0,258939000.0,0.16197657980007757,12271528000.0,9214911000.0,3056617000.0,5039322000.0,1262145000.0,639608000.0,6162246000.0,2418041000.0,3744205000.0,348199000.0,6102069000.0,6102069000.0,423824000.0,521514000.0,-51726000.0,1861887000.0
LRCX,拉姆研究,US,USD,Q1,2016-09-25,2016-10-24,1632419000.0,716197000.0,334222000.0,292793000.0,28958000.0,263835000.0,263835000.0,0.16427366179556308,12636362000.0,9599002000.0,3037360000.0,5861701000.0,1290317000.0,649587000.0,6249012000.0,2486252000.0,3762760000.0,349743000.0,6387350000.0,6387350000.0,473224000.0,376752000.0,-41979000.0,-29508000.0
LRCX,拉姆研究,US,USD,Q2,2016-12-25,2017-01-30,1882299000.0,846797000.0,411446000.0,384805000.0,52014000.0,332791000.0,332791000.0,0.2045942739104507,11521059000.0,8503874000.0,3017185000.0,2503960000.0,1426307000.0,672553000.0,4928050000.0,2658018000.0,2270032000.0,445113000.0,6593009000.0,6593009000.0,404098000.0,-2027217000.0,-36513000.0,-1729258000.0
LRCX,拉姆研究,US,USD,Q3,2017-03-26,2017-04-24,2153995000.0,971404000.0,555332000.0,530580000.0,-44133000.0,574713000.0,574713000.0,0.3517043229217664,11875186000.0,8875948000.0,2999238000.0,2128570000.0,1636090000.0,675707000.0,4953824000.0,2756739000.0,2197085000.0,473415000.0,6921362000.0,6921362000.0,422688000.0,-467250000.0,-44116000.0,-333820000.0
LRCX,拉姆研究,US,USD,Q4,2017-06-30,2017-08-15,2344907000.0,1068961000.0,628407000.0,603495000.0,77071000.0,526424000.0,526424000.0,0.32452639430871755,12122765000.0,9142498000.0,2980267000.0,2377534000.0,1673398000.0,685595000.0,5135453000.0,2950115000.0,2185338000.0,464643000.0,6987312000.0,6987312000.0,729272000.0,59102000.0,-34811000.0,-539809000.0
LRCX,拉姆研究,US,USD,Q1,2017-09-24,2017-10-23,2478140000.0,1149343000.0,711625000.0,687720000.0,97030000.0,590690000.0,590690000.0,0.36430637531531196,12398626000.0,9228780000.0,3169846000.0,2406462000.0,1530762000.0,745600000.0,4990452000.0,2788631000.0,2201821000.0,471805000.0,7408174000.0,7408174000.0,858306000.0,-303891000.0,-60064000.0,-528804000.0
LRCX,拉姆研究,US,USD,Q2,2017-12-24,2018-01-30,2580815000.0,1205567000.0,757536000.0,734219000.0,744174000.0,-9955000.0,-9955000.0,-0.006178049461631551,12912265000.0,9666122000.0,3246143000.0,1745173000.0,2279044000.0,807340000.0,6638710000.0,3911695000.0,2727015000.0,421788000.0,6273555000.0,6273555000.0,28704000.0,-294813000.0,-84693000.0,-396022000.0
LRCX,拉姆研究,US,USD,Q3,2018-03-25,2018-04-24,2892115000.0,1330714000.0,797435000.0,771701000.0,-7099000.0,778800000.0,778800000.0,0.47962162361896316,13663499000.0,10425797000.0,3237702000.0,4698995000.0,2082632000.0,826500000.0,6779471000.0,3948420000.0,2831051000.0,630912000.0,6884028000.0,6884028000.0,1050379000.0,2085864000.0,-49057000.0,-186462000.0
LRCX,拉姆研究,US,USD,Q4,2018-06-30,2018-08-14,3125928000.0,1479408000.0,982580000.0,958149000.0,-62997000.0,1021146000.0,1021146000.0,0.6345832608317383,12479478000.0,9149911000.0,3329567000.0,4512257000.0,2176936000.0,902547000.0,5899435000.0,3150308000.0,2749127000.0,510983000.0,6580043000.0,6580043000.0,718358000.0,1261280000.0,-79655000.0,-2160769000.0
LRCX,拉姆研究,US,USD,Q1,2018-09-23,2018-10-23,2330691000.0,1058198000.0,613162000.0,591374000.0,58014000.0,533360000.0,533360000.0,0.3426486271184263,10957577000.0,7515873000.0,3441704000.0,2568085000.0,1846845000.0,951376000.0,5575940000.0,2824965000.0,2750975000.0,384403000.0,5381637000.0,5381637000.0,720286000.0,-672331000.0,-56098000.0,-1990193000.0
LRCX,拉姆研究,US,USD,Q2,2018-12-23,2019-01-30,2522673000.0,1145033000.0,679514000.0,659730000.0,90875000.0,568855000.0,568855000.0,0.3669511424184954,10768458000.0,7355845000.0,3412613000.0,3359793000.0,1868842000.0,1013306000.0,4927086000.0,2166837000.0,2760249000.0,343942000.0,5841372000.0,5841372000.0,642419000.0,666931000.0,-105923000.0,-515553000.0
LRCX,拉姆研究,US,USD,Q3,2019-03-31,2019-04-30,2439048000.0,1074337000.0,616312000.0,586049000.0,38659000.0,547390000.0,547390000.0,0.3620280289151527,12895262000.0,9442241000.0,3453021000.0,4931611000.0,1522273000.0,1040329000.0,7554283000.0,2805628000.0,4748655000.0,416187000.0,5340979000.0,5340979000.0,932821000.0,-1008171000.0,-75522000.0,1643522000.0
