country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,LRCX,2016-06-23,,,,,,7.67,7.67,0.0,0.0,0.0,,,,0.09,
US,LRCX,2016-06-24,-5.606258,,,,,7.603846,7.638148,-0.034302,-0.00686,-0.054883,0.0,,,0.114286,
US,LRCX,2016-06-27,-2.762431,,,,,7.517101,7.593841,-0.07674,-0.020836,-0.111808,0.0,,,0.125408,
US,LRCX,2016-06-28,1.988636,,,,,7.465239,7.563186,-0.097947,-0.036259,-0.123377,2.537874,,,0.12645,
US,LRCX,2016-06-29,0.696379,7.272,,,,7.429048,7.538506,-0.109457,-0.050898,-0.117118,3.480011,,,0.132418,3570142.2
US,LRCX,2016-06-30,2.351314,7.218,,,,7.424579,7.528246,-0.103667,-0.061452,-0.084429,6.779547,,,0.135103,3617887.6
US,LRCX,2016-07-01,-1.351351,7.23,,,,7.405413,7.511339,-0.105925,-0.070347,-0.071158,6.635843,,,0.134024,2816087.6
US,LRCX,2016-07-05,-1.369863,7.262,,,,7.373811,7.488277,-0.114465,-0.07917,-0.07059,6.487746,,,0.137308,2581408.2
US,LRCX,2016-07-06,0.138889,7.268,,,,7.34861,7.467664,-0.119054,-0.087147,-0.063814,6.711959,,,0.136786,2499552.6
US,LRCX,2016-07-07,0.0,7.264,7.268,,,7.327285,7.448577,-0.121292,-0.093976,-0.054632,6.711959,,,0.13773,2044581.6
US,LRCX,2016-07-08,3.606103,7.278,7.248,,,7.349241,7.450164,-0.100923,-0.095366,-0.011115,13.001864,,,0.149321,2008882.8
US,LRCX,2016-07-11,1.606426,7.336,7.283,,,7.386281,7.460522,-0.074241,-0.091141,0.033799,15.822875,,,0.150083,2046925.4
US,LRCX,2016-07-12,2.239789,7.448,7.355,,,7.443776,7.482706,-0.03893,-0.080699,0.083538,19.790869,,,0.15222,2151917.2
US,LRCX,2016-07-13,0.386598,7.564,7.416,,,7.497041,7.505468,-0.008427,-0.066244,0.115634,20.50304,,,0.149205,2170670.0
