code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
META,Meta Platforms Inc-A,US,USD,Q2,2016-06-30,2016-07-28,6436000000.0,5520000000.0,2734000000.0,2754000000.0,478000000.0,2276000000.0,2276000000.0,0.7815810000686307,55739000000.0,27010000000.0,28729000000.0,5108000000.0,2801000000.0,7104000000.0,5356000000.0,2211000000.0,3145000000.0,130000000.0,50383000000.0,50383000000.0,3665000000.0,-4971000000.0,-995000000.0,4000000.0
META,Meta Platforms Inc-A,US,USD,Q3,2016-09-30,2016-11-03,7011000000.0,6024000000.0,3117000000.0,3164000000.0,544000000.0,2620000000.0,2620000000.0,0.8962810001143877,59674000000.0,30328000000.0,29346000000.0,6038000000.0,3070000000.0,7899000000.0,5559000000.0,2595000000.0,2964000000.0,260000000.0,54115000000.0,54115000000.0,4036000000.0,-3117000000.0,-1095000000.0,-8000000.0
META,Meta Platforms Inc-A,US,USD,Q4,2016-12-31,2017-02-02,8809000000.0,7762000000.0,4566000000.0,4533000000.0,973000000.0,3560000000.0,3560000000.0,1.2147710003350713,64961000000.0,34401000000.0,30560000000.0,8903000000.0,3993000000.0,8591000000.0,5767000000.0,2875000000.0,2892000000.0,302000000.0,59194000000.0,59194000000.0,4930000000.0,-1975000000.0,-1269000000.0,4000000.0
META,Meta Platforms Inc-A,US,USD,Q1,2017-03-31,2017-05-04,8032000000.0,6873000000.0,3327000000.0,3408000000.0,349000000.0,3059000000.0,3059000000.0,1.0407600000642079,68714000000.0,36930000000.0,31784000000.0,7104000000.0,3415000000.0,9462000000.0,6526000000.0,2928000000.0,3598000000.0,170000000.0,62188000000.0,62188000000.0,5058000000.0,-5891000000.0,-1271000000.0,-992000000.0
META,Meta Platforms Inc-A,US,USD,Q2,2017-06-30,2017-07-27,9321000000.0,8084000000.0,4401000000.0,4488000000.0,598000000.0,3890000000.0,3890000000.0,1.319552000087708,73843000000.0,40804000000.0,33039000000.0,6252000000.0,3897000000.0,10628000000.0,7362000000.0,3315000000.0,4047000000.0,323000000.0,66481000000.0,66481000000.0,5360000000.0,-5440000000.0,-1444000000.0,-869000000.0
META,Meta Platforms Inc-A,US,USD,Q3,2017-09-30,2017-11-02,10328000000.0,8880000000.0,5122000000.0,5236000000.0,532000000.0,4704000000.0,4704000000.0,1.592354000296182,78998000000.0,44203000000.0,34795000000.0,7201000000.0,4424000000.0,12158000000.0,7790000000.0,3305000000.0,4485000000.0,383000000.0,71208000000.0,71208000000.0,6128000000.0,-3714000000.0,-1755000000.0,-1532000000.0
META,Meta Platforms Inc-A,US,USD,Q4,2017-12-31,2018-02-01,12972000000.0,11361000000.0,7749000000.0,7462000000.0,3194000000.0,4268000000.0,4268000000.0,1.445159000437845,84524000000.0,48563000000.0,35961000000.0,8079000000.0,5832000000.0,13721000000.0,10177000000.0,3760000000.0,6417000000.0,380000000.0,74347000000.0,74347000000.0,7670000000.0,-4993000000.0,-2262000000.0,-1842000000.0
META,Meta Platforms Inc-A,US,USD,Q1,2018-03-31,2018-04-26,11966000000.0,10039000000.0,5449000000.0,5610000000.0,622000000.0,4988000000.0,4988000000.0,1.6940576267705163,88945000000.0,50412000000.0,38533000000.0,12082000000.0,5115000000.0,16211000000.0,11325000000.0,5086000000.0,6239000000.0,593000000.0,77620000000.0,77620000000.0,7860000000.0,-1287000000.0,-2812000000.0,-2603000000.0
META,Meta Platforms Inc-A,US,USD,Q2,2018-06-30,2018-07-26,13231000000.0,11017000000.0,5863000000.0,5868000000.0,762000000.0,5106000000.0,5106000000.0,1.7426621160409557,90291000000.0,49833000000.0,40458000000.0,11552000000.0,5590000000.0,18357000000.0,10909000000.0,4670000000.0,6239000000.0,419000000.0,79382000000.0,79382000000.0,6299000000.0,-2383000000.0,-3459000000.0,-4271000000.0
META,Meta Platforms Inc-A,US,USD,Q3,2018-09-30,2018-10-31,13727000000.0,11309000000.0,5781000000.0,5912000000.0,775000000.0,5137000000.0,5137000000.0,1.763474081702712,92452000000.0,49147000000.0,43305000000.0,9637000000.0,6058000000.0,21112000000.0,12110000000.0,5462000000.0,6648000000.0,590000000.0,80342000000.0,80342000000.0,7496000000.0,-4248000000.0,-3343000000.0,-5157000000.0
