country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,META,2016-06-23,,,,,,114.18,114.18,0.0,0.0,0.0,,,,1.54,
US,META,2016-06-24,-2.601156,,,,,113.723077,113.96,-0.236923,-0.047385,-0.379077,0.0,,,1.718571,
US,META,2016-06-27,-2.778527,,,,,112.861065,113.527407,-0.666342,-0.171176,-0.990332,0.0,,,1.868673,
US,META,2016-06-28,3.422124,,,,,112.700901,113.400933,-0.700032,-0.276947,-0.846169,8.722007,,,2.003054,
US,META,2016-06-29,1.296727,111.72,,,,112.788455,113.391234,-0.602779,-0.342114,-0.521331,11.962673,,,1.969979,28202355.6
US,META,2016-06-30,0.105942,111.562,,,,112.881,113.391143,-0.510142,-0.375719,-0.268846,12.240363,,,1.936409,29605518.8
US,META,2016-07-01,-0.079372,111.98,,,,112.945462,113.384391,-0.43893,-0.388361,-0.101136,12.209258,,,1.891665,24472897.4
US,META,2016-07-05,-0.167696,112.978,,,,112.970775,113.364066,-0.393291,-0.389347,-0.007887,12.139126,,,1.842975,20032383.6
US,META,2016-07-06,2.369375,113.772,,,,113.404502,113.543765,-0.139263,-0.33933,0.400135,19.190253,,,1.982048,19537135.2
US,META,2016-07-07,-0.725451,114.108,112.914,,,113.642271,113.64793,-0.005659,-0.272596,0.533874,18.68412,,,1.954759,18669515.4
US,META,2016-07-08,1.200522,114.696,113.129,,,114.055768,113.846602,0.209166,-0.176244,0.770819,22.309364,,,1.932276,17659492.2
US,META,2016-07-11,0.532967,115.426,113.703,,,114.501034,114.076484,0.424551,-0.056085,0.961271,23.949801,,,1.897114,18205807.6
US,META,2016-07-12,0.051304,116.206,114.592,,,114.887029,114.293781,0.593248,0.073782,1.038933,24.116787,,,1.843034,18407940.2
US,META,2016-07-13,-0.974276,116.222,114.997,,,115.038255,114.410538,0.627717,0.184569,0.886297,23.079852,,,1.833532,16781960.2
US,META,2016-07-14,0.440148,116.508,115.308,,,115.244678,114.556424,0.688254,0.285306,0.805895,24.640906,,,1.769708,16371867.2
US,META,2016-07-15,-0.369479,116.432,115.564,,,115.353189,114.659652,0.693537,0.366952,0.65317,24.195057,,,1.764015,16072547.2
US,META,2016-07-18,2.147477,116.73,116.078,,,115.828083,114.939678,0.888405,0.471243,0.834325,31.881279,,,1.833013,16703907.2
US,META,2016-07-19,1.038501,117.262,116.734,,,116.419147,115.290072,1.129075,0.602809,1.052532,35.367514,,,1.857084,17968627.2
US,META,2016-07-20,1.086321,118.282,117.252,,,117.119278,115.710807,1.408471,0.763941,1.289059,38.925258,,,1.840864,18736387.2
US,META,2016-07-21,-1.074647,118.94,117.724,115.319,,117.511697,116.004081,1.507616,0.912676,1.189879,36.7469,121.440918,109.197082,1.840802,19380780.0
US,META,2016-07-22,0.325896,119.762,118.097,115.613,,117.903744,116.304519,1.599224,1.049986,1.098477,37.87022,122.044803,109.181197,1.83003,19736062.0
US,META,2016-07-25,0.516408,120.21,118.47,116.0865,,118.33086,116.628629,1.702231,1.180435,1.043592,39.703487,122.54629,109.62671,1.987885,19259871.8
US,META,2016-07-26,-0.331455,120.332,118.797,116.6945,,118.630728,116.899101,1.731627,1.290673,0.881907,38.905871,122.268933,111.120067,1.939465,18474011.8
US,META,2016-07-27,1.745926,120.614,119.448,117.2225,,119.207539,117.305093,1.902445,1.413028,0.978835,45.137285,122.850288,111.594712,2.068789,24995559.6
US,META,2016-07-28,1.34826,121.486,120.213,117.7605,,119.949456,117.803235,2.146221,1.559666,1.17311,49.496035,123.8151,111.7059,2.27459,37226379.6
US,META,2016-07-29,-0.846569,122.07,120.916,118.24,,120.415693,118.186699,2.228995,1.693532,1.070925,46.940274,124.352845,112.127155,2.263548,40553658.2
US,META,2016-08-01,0.292731,122.602,121.406,118.742,,120.865587,118.568425,2.297162,1.814258,0.965808,47.932957,124.798413,112.685587,2.224008,41857548.4
US,META,2016-08-02,-0.981028,122.972,121.652,119.193,,121.060112,118.832245,2.227867,1.89698,0.661774,44.89284,124.833777,113.552223,2.258722,43128831.2
US,META,2016-08-03,-0.466716,122.808,121.711,119.4815,,121.137018,119.034301,2.102717,1.938127,0.329179,43.493402,124.985125,113.977875,2.211671,36303049.8
US,META,2016-08-04,1.505429,122.68,122.083,119.9035,,121.48363,119.356945,2.126685,1.975839,0.301692,48.991129,125.244467,114.562533,2.215837,24725089.8
US,META,2016-08-05,0.640246,122.92,122.495,120.296,,121.898456,119.714209,2.184248,2.01752,0.333454,51.198512,125.68241,114.90959,2.162563,21750136.2
US,META,2016-08-08,0.088581,123.11,122.856,120.663,,122.266386,120.053156,2.21323,2.056662,0.313135,51.513147,126.087567,115.238433,2.071666,19795542.0
US,META,2016-08-09,-0.160914,123.502,123.237,121.017,,122.546942,120.352182,2.19476,2.084282,0.220957,50.870955,126.365331,115.668669,2.034404,18926059.2
US,META,2016-08-10,-0.145056,123.972,123.39,121.419,,122.756643,120.615724,2.14092,2.09561,0.09062,50.26362,126.35193,116.48607,1.956232,17355022.4
US,META,2016-08-11,0.016141,124.08,123.38,121.7965,,122.93716,120.861226,2.075934,2.091674,-0.031481,50.33457,126.262649,117.330351,1.861501,15487726.2
US,META,2016-08-12,-0.016138,124.026,123.473,122.1945,,123.086828,121.087061,1.999767,2.073293,-0.147052,50.257362,125.850993,118.538007,1.786394,13882719.2
US,META,2016-08-15,-0.782826,123.756,123.433,122.4195,,123.064239,121.224316,1.839923,2.026619,-0.373392,46.529553,125.65359,119.18541,1.745223,14694959.4
US,META,2016-08-16,-0.488043,123.406,123.454,122.553,,122.952817,121.306959,1.645858,1.950467,-0.609217,44.338758,125.532491,119.573509,1.701993,13615241.4
US,META,2016-08-17,0.866438,123.304,123.638,122.6745,,123.021615,121.461999,1.559616,1.872297,-0.625362,48.914966,125.583214,119.765786,1.688993,14240051.8
US,META,2016-08-18,-0.364668,123.108,123.594,122.8385,,123.010597,121.572221,1.438376,1.785512,-0.694273,47.142977,125.400298,120.276702,1.619779,14374311.2
US,META,2016-08-19,-0.284669,122.846,123.436,122.9655,,122.947428,121.648353,1.299075,1.688225,-0.7783,45.75464,125.193876,120.737124,1.566938,14280171.2
US,META,2016-08-22,0.473083,122.894,123.325,123.0905,,122.983209,121.761808,1.2214,1.59486,-0.74692,48.463208,125.057136,121.123864,1.576442,13298425.2
US,META,2016-08-23,0.1786,123.106,123.256,123.2465,,123.04733,121.883156,1.164174,1.508723,-0.689097,49.493369,124.733003,121.759997,1.530268,13115843.2
US,META,2016-08-24,-0.713128,122.93,123.117,123.2535,,122.966203,121.93033,1.035873,1.414153,-0.75656,45.569566,124.724857,121.782143,1.534535,12805747.0
US,META,2016-08-25,0.334639,122.926,123.017,123.1985,,122.960633,122.004379,0.956254,1.322573,-0.732639,47.651884,124.631375,121.765625,1.514925,12471746.0
US,META,2016-08-26,0.862279,123.204,123.025,123.249,,123.118997,122.151462,0.967535,1.251565,-0.568061,52.691015,124.718243,121.779757,1.498859,13635051.0
US,META,2016-08-29,1.266231,123.68,123.287,123.36,,123.494536,122.403947,1.090589,1.21937,-0.257561,58.988143,125.1421,121.5779,1.560369,13942951.0
US,META,2016-08-30,-0.557502,123.972,123.539,123.4965,,123.704607,122.585876,1.118731,1.199242,-0.161023,55.444573,125.298935,121.694065,1.551057,14841911.0
US,META,2016-08-31,0.224251,124.496,123.713,123.6755,,123.925437,122.775071,1.150366,1.189467,-0.078202,56.568469,125.381612,121.969388,1.519553,15233294.4
US,META,2016-09-01,0.039955,124.948,123.937,123.7655,,124.119985,122.953954,1.166031,1.18478,-0.037498,56.778134,125.587822,121.943178,1.484585,15794357.2
US,META,2016-09-02,0.271587,125.256,124.23,123.833,,124.336911,123.144773,1.192138,1.186252,0.011773,58.253941,125.805553,121.860447,1.439972,14717152.2
US,META,2016-09-06,2.541225,125.888,124.784,124.0545,,125.011232,123.557752,1.45348,1.239697,0.427565,68.9621,126.95786,121.15114,1.582831,16787653.6
US,META,2016-09-07,1.017713,126.922,125.447,124.3515,,125.78335,124.037178,1.746172,1.340992,0.81036,72.124307,128.252491,120.450509,1.629057,18824953.6
US,META,2016-09-08,-0.592171,127.746,126.121,124.619,,126.318219,124.424054,1.894166,1.451627,0.885077,67.754708,129.058729,120.179271,1.602696,19120146.4
US,META,2016-09-09,-2.436949,127.93,126.439,124.728,,126.286186,124.548939,1.737247,1.508751,0.456992,53.480296,129.201628,120.254372,1.713218,21833061.4
US,META,2016-09-12,1.252874,128.362,126.809,124.917,,126.502157,124.78161,1.720547,1.55111,0.338874,58.233418,129.552874,120.281126,1.804416,23659861.4
US,META,2016-09-13,-1.151226,127.862,126.875,125.081,,126.458748,124.888157,1.570591,1.555006,0.031169,52.825495,129.657199,120.504801,1.819815,22007420.0
US,META,2016-09-14,0.44367,127.212,127.067,125.303,,126.508172,125.028294,1.479878,1.539981,-0.120206,54.556834,129.754872,120.851128,1.824828,19553337.6
US,META,2016-09-15,0.449598,126.83,127.288,125.5005,,126.637684,125.200272,1.437412,1.519467,-0.16411,56.314295,129.947623,121.053377,1.795198,19440385.2
US,META,2016-09-16,0.565371,127.222,127.576,125.7565,121.304667,126.85804,125.412845,1.445196,1.504613,-0.118834,58.497687,130.176252,121.336748,1.736255,18844085.2
US,META,2016-09-19,-0.327946,127.214,127.788,126.009,121.529167,126.97988,125.57856,1.40132,1.483954,-0.165268,56.716922,130.25206,121.76594,1.731523,17585285.2
US,META,2016-09-20,-0.007834,127.498,127.68,126.232,121.803,127.081437,125.731259,1.350178,1.457199,-0.214042,56.672686,130.322969,122.141031,1.689271,16198806.8
US,META,2016-09-21,1.010655,127.928,127.57,126.5085,122.149833,127.365831,125.968203,1.397628,1.445285,-0.095313,60.908361,130.543597,122.473403,1.683609,15868396.4
US,META,2016-09-22,0.108586,128.272,127.551,126.836,122.437333,127.628011,126.197966,1.430046,1.442237,-0.024383,61.349966,130.575467,123.096533,1.646208,15953690.2
US,META,2016-09-23,-1.634772,128.05,127.636,127.0375,122.6655,127.52524,126.254413,1.270828,1.407955,-0.274255,51.844163,130.319712,123.755288,1.725765,16795110.2
US,META,2016-09-26,-0.504096,127.784,127.499,127.154,122.881,127.339819,126.259271,1.080548,1.342474,-0.523852,49.346613,130.148017,124.159983,1.698924,16816338.2
US,META,2016-09-27,1.084547,127.794,127.646,127.2605,123.120833,127.393693,126.365251,1.028442,1.279667,-0.502451,54.409664,130.170493,124.350507,1.698287,17726998.8
US,META,2016-09-28,0.415068,127.652,127.79,127.4285,123.372667,127.520817,126.50264,1.018177,1.227369,-0.418384,56.23229,130.146369,124.710631,1.652695,17322858.8
US,META,2016-09-29,-0.881298,127.256,127.764,127.526,123.561,127.454537,126.546148,0.90839,1.163573,-0.510368,51.504509,130.040807,125.011193,1.658217,17121645.6
US,META,2016-09-30,0.141632,127.318,127.684,127.63,123.766333,127.426147,126.599766,0.82638,1.096135,-0.539508,52.194007,129.910947,125.349053,1.620487,15136974.6
US,META,2016-10-03,0.392866,127.608,127.696,127.742,123.957,127.479047,126.68645,0.792597,1.035427,-0.48566,54.14433,129.809478,125.674522,1.596167,14755375.2
US,META,2016-10-04,-0.453941,127.508,127.651,127.6655,124.127667,127.434579,126.72375,0.710828,0.970507,-0.519358,51.51871,129.69545,125.63555,1.605012,14489462.6
US,META,2016-10-05,0.220143,127.358,127.505,127.5375,124.302,127.440028,126.779028,0.661,0.908606,-0.495212,52.710924,129.253494,125.821506,1.559654,14557295.4
US,META,2016-10-06,0.211815,127.488,127.372,127.4615,124.499833,127.486178,126.850211,0.635966,0.854078,-0.436223,53.888476,128.990006,125.932994,1.517536,13987393.0
US,META,2016-10-07,0.19571,127.632,127.475,127.5555,124.693333,127.563689,126.93464,0.629049,0.809072,-0.360047,55.005694,128.966719,126.144281,1.47414,12867688.0
US,META,2016-10-10,0.968826,127.924,127.766,127.6325,124.914667,127.820044,127.104667,0.715378,0.790333,-0.149911,60.161511,129.221523,126.043477,1.490273,13264043.4
US,META,2016-10-11,-1.044649,128.062,127.785,127.7155,125.072,127.829268,127.162099,0.667169,0.7657,-0.197062,53.036124,129.168311,126.262689,1.554539,13910119.4
US,META,2016-10-12,0.132937,128.178,127.768,127.779,125.211667,127.863227,127.227869,0.635358,0.739632,-0.208548,53.778516,129.172512,126.385488,1.529215,13647359.4
US,META,2016-10-13,-0.952753,127.996,127.742,127.753,125.309333,127.704269,127.198397,0.505872,0.69288,-0.374017,47.923673,129.196081,126.309919,1.582843,14738674.8
US,META,2016-10-14,0.047307,127.776,127.704,127.694,125.429667,127.578997,127.175553,0.403444,0.634993,-0.463098,48.222229,129.176368,126.211632,1.566925,14846850.8
US,META,2016-10-17,-0.267949,127.24,127.582,127.639,125.537833,127.42069,127.129216,0.291474,0.566289,-0.54963,46.592143,129.203185,126.074815,1.536431,14089446.8
US,META,2016-10-18,0.806006,127.178,127.62,127.6355,125.652667,127.44366,127.161867,0.281794,0.50939,-0.455192,51.850619,129.199974,126.071026,1.5574,13282661.2
US,META,2016-10-19,1.199342,127.388,127.783,127.644,125.799667,127.698482,127.305432,0.39305,0.486122,-0.186144,58.457853,129.238082,126.049918,1.581157,14418525.4
US,META,2016-10-20,-0.085205,127.82,127.908,127.64,125.909833,127.897177,127.430215,0.466962,0.48229,-0.030655,57.843288,129.220089,126.059911,1.55036,13624164.8
US,META,2016-10-21,1.58927,128.65,128.213,127.844,126.026667,128.380688,127.697606,0.683082,0.522448,0.321267,65.18835,129.977011,125.710989,1.611763,14772864.8
US,META,2016-10-24,0.915751,129.788,128.514,128.14,126.181,128.974429,128.03408,0.940349,0.606028,0.66864,68.633491,130.896759,125.383241,1.591637,15996570.2
US,META,2016-10-25,-0.741077,130.526,128.852,128.3185,126.313,129.326055,128.273037,1.053018,0.695426,0.715183,63.138044,131.380958,125.256042,1.568663,15963130.2
US,META,2016-10-26,-0.94469,130.71,129.049,128.4085,126.4445,129.432816,128.402442,1.030374,0.762416,0.535916,56.926988,131.558632,125.258368,1.55233,15229612.2
US,META,2016-10-27,-1.030611,130.648,129.234,128.488,126.563167,129.316998,128.423002,0.893996,0.788732,0.210529,51.079266,131.58075,125.39525,1.620735,15944391.6
US,META,2016-10-28,1.235623,130.494,129.572,128.638,126.677833,129.463614,128.559816,0.903797,0.811745,0.184105,56.755686,131.770651,125.505349,1.737825,17035741.0
US,META,2016-10-31,-0.230291,130.04,129.914,128.748,126.774333,129.541519,128.664274,0.877245,0.824845,0.1048,55.448374,131.905414,125.590586,1.701552,16675495.6
US,META,2016-11-01,-1.138724,129.486,130.006,128.813,126.844333,129.379747,128.651365,0.728382,0.805552,-0.154341,49.402689,131.891994,125.734006,1.81287,18423695.6
US,META,2016-11-02,-1.797805,128.718,129.714,128.7485,126.879167,128.887478,128.468301,0.419177,0.728277,-0.6182,41.750981,131.98723,125.50977,1.963379,25844794.4
US,META,2016-11-03,-5.634807,126.796,128.722,128.315,126.7985,127.377097,127.772131,-0.395034,0.503615,-1.797297,27.587663,133.631854,122.998146,2.366709,35249774.4
US,META,2016-11-04,0.621483,124.704,127.599,127.906,126.729833,126.212928,127.182343,-0.969415,0.209009,-2.356848,30.240134,134.390265,121.421735,2.387658,36449765.0
US,META,2016-11-07,1.16017,122.95,126.495,127.5045,126.684667,125.441708,126.739207,-1.297498,-0.092292,-2.410412,35.052601,134.578705,120.430295,2.391397,37917745.0
US,META,2016-11-08,1.691419,121.902,125.694,127.273,126.689833,125.104523,126.480747,-1.376224,-0.349079,-2.054291,41.466077,134.582033,119.963967,2.43844,37394345.0
US,META,2016-11-09,-0.8357,121.11,124.914,126.9815,126.687833,124.66075,126.165136,-1.504386,-0.58014,-1.848492,39.362849,134.601729,119.361271,2.527123,33739504.0
US,META,2016-11-10,-1.930944,121.268,124.032,126.633,126.628833,123.922173,125.698089,-1.775916,-0.819295,-1.913241,34.984338,134.862255,118.403745,2.978043,34555584.8
US,META,2016-11-11,-1.476723,120.924,122.814,126.193,126.547833,123.024916,125.134527,-2.109611,-1.077358,-2.064505,32.100337,135.222375,117.163625,2.953183,35014512.2
US,META,2016-11-14,-3.311034,119.52,121.235,125.5745,126.4075,121.664159,124.32308,-2.658921,-1.393671,-2.5305,26.837174,136.006968,115.142032,3.137955,40688140.2
US,META,2016-11-15,1.847959,118.128,120.015,125.0105,126.292667,120.837366,123.728037,-2.890672,-1.693071,-2.395201,33.20206,136.146387,113.874613,3.155958,43732260.2
US,META,2016-11-16,-0.73953,116.77,118.94,124.327,126.159833,120.005463,123.113368,-3.107905,-1.976038,-2.263734,31.980849,136.038178,112.615822,3.190533,43828645.6
US,META,2016-11-17,1.247509,116.172,118.72,123.721,126.065667,119.523084,122.650896,-3.127812,-2.206393,-1.842839,36.211589,135.656468,111.785532,3.089066,33978864.8
US,META,2016-11-18,-0.650295,115.776,118.35,122.9745,125.952,118.997994,122.166385,-3.168391,-2.398792,-1.539197,34.975128,134.852979,111.096021,3.030562,31986698.0
US,META,2016-11-21,4.056498,117.104,118.312,122.4035,125.899167,119.278303,122.066653,-2.78835,-2.476704,-0.623293,47.043392,133.51892,111.28808,3.163379,28794370.0
US,META,2016-11-22,-0.248303,117.95,118.039,121.8665,125.815167,119.469333,121.952086,-2.482753,-2.477914,-0.009679,46.452027,132.230915,111.502085,3.08528,27075930.0
US,META,2016-11-23,-0.514437,118.844,117.807,121.3605,125.7325,119.53559,121.80008,-2.26449,-2.435229,0.341478,45.187779,131.049383,111.671617,2.97276,23730767.8
US,META,2016-11-25,-0.383653,119.358,117.765,120.8985,125.6375,119.520884,121.625259,-2.104376,-2.369058,0.529366,44.226041,130.011311,111.785689,2.836134,21742928.8
US,META,2016-11-28,0.025117,120.03,117.903,120.3585,125.542167,119.513055,121.46561,-1.952555,-2.285758,0.666405,44.309288,128.403377,112.313623,2.76641,20787331.0
US,META,2016-11-29,0.385034,119.852,118.478,119.8565,125.448833,119.577201,121.351861,-1.774661,-2.183538,0.817755,45.648857,126.58499,113.12801,2.689524,17482451.0
US,META,2016-11-30,-2.026182,119.248,118.599,119.307,125.261833,119.257631,121.066538,-1.808907,-2.108612,0.59941,40.154135,124.808629,113.805371,2.769558,18302395.4
US,META,2016-12-01,-2.808511,118.108,118.476,118.708,124.998,118.479534,120.557906,-2.078372,-2.102564,0.048385,34.14355,123.667978,113.748022,2.886732,23823368.2
US,META,2016-12-02,0.262697,117.12,118.239,118.4795,124.752,117.867298,120.109172,-2.241874,-2.130426,-0.222896,35.094721,123.762281,113.196719,2.834823,27105727.2
US,META,2016-12-05,1.764192,116.53,118.28,118.315,124.592167,117.660022,119.843307,-2.183286,-2.140998,-0.084576,41.247885,123.626631,113.003369,2.809478,27525770.0
US,META,2016-12-06,-0.102987,115.824,117.838,118.075,124.404,117.466172,119.588248,-2.122076,-2.137213,0.030276,40.999223,123.276136,112.873864,2.713087,27573810.4
