code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
MRVL,迈威尔科技,US,USD,Q2,2016-07-31,2016-09-14,626404000.0,337935000.0,51080000.0,56643000.0,5338000.0,51305000.0,51305000.0,0.10035502264125108,4716676000.0,2230279000.0,2486397000.0,718752000.0,348683000.0,274774000.0,557588000.0,504488000.0,53100000.0,212950000.0,4159088000.0,4159088000.0,59282000.0,-85356000.0,-16504000.0,-35396000.0
MRVL,迈威尔科技,US,USD,Q3,2016-10-31,2016-12-15,654422000.0,367660000.0,88505000.0,88423000.0,15807000.0,72616000.0,72616000.0,0.1420806511573304,4754446000.0,2261141000.0,2493305000.0,751588000.0,362195000.0,265984000.0,573952000.0,503247000.0,70705000.0,183252000.0,4180494000.0,4180494000.0,121461000.0,-8082000.0,-13741000.0,-80543000.0
MRVL,迈威尔科技,US,USD,Q4,2017-01-31,2017-05-01,571400000.0,321337000.0,-4501999.0,-8353000.0,71738000.0,-80091000.0,-80091000.0,-0.15771098429801864,4648650000.0,2290434000.0,2358216000.0,814092000.0,335384000.0,243397000.0,620999000.0,496416000.0,124583000.0,143484000.0,4027651000.0,4027651000.0,118846000.0,44257000.0,-8656000.0,-100599000.0
MRVL,迈威尔科技,US,USD,Q1,2017-04-30,2017-06-14,579180000.0,348631000.0,102272000.0,102221000.0,3755000.0,98466000.0,98466000.0,0.1954504853212648,4636237000.0,2268988000.0,2367249000.0,725962000.0,357147000.0,239358000.0,674391000.0,540260000.0,134131000.0,179017000.0,3961846000.0,3961846000.0,134176000.0,-17337000.0,-10834000.0,-204969000.0
MRVL,迈威尔科技,US,USD,Q2,2017-07-31,2017-09-14,604750000.0,365178000.0,131631000.0,131550999.0,323999.0,131227000.0,131227000.0,0.26202584976148974,4587450000.0,2208946000.0,2378504000.0,630501000.0,371697000.0,235354000.0,613353000.0,462563000.0,150790000.0,153862000.0,3974097000.0,3974097000.0,101004000.0,-12491000.0,-5411000.0,-183974000.0
MRVL,迈威尔科技,US,USD,Q3,2017-10-31,2017-12-15,616302000.0,377769000.0,156358000.0,156096000.0,-44092000.0,200188000.0,200188000.0,0.405160130824779,4682204000.0,2358421000.0,2323783000.0,800099000.0,366114000.0,198173000.0,621255000.0,478081000.0,143174000.0,166096000.0,4060949000.0,4060949000.0,216191000.0,92801000.0,-14167000.0,-139394000.0
MRVL,迈威尔科技,US,USD,Q4,2018-01-31,2018-05-01,615409000.0,373482000.0,59090999.0,58799000.0,10036000.0,48763000.0,48763000.0,0.09877791124714633,4708287000.0,2363955000.0,2344332000.0,888482000.0,280395000.0,202222000.0,566874000.0,421142000.0,145732000.0,145236000.0,4141413000.0,4141413000.0,119742000.0,-23452000.0,-14726000.0,-7907000.0
MRVL,迈威尔科技,US,USD,Q1,2018-04-30,2018-06-14,604631000.0,375693000.0,132619000.0,132375000.0,3763000.0,128612000.0,128612000.0,0.2586023505283159,4864319000.0,2448092000.0,2416227000.0,1167258000.0,329650000.0,213656000.0,578808000.0,444641000.0,134167000.0,157043000.0,4285511000.0,4285511000.0,128774000.0,216699000.0,-13948000.0,-66697000.0
MRVL,迈威尔科技,US,USD,Q2,2018-07-31,2018-09-14,665310000.0,377110000.0,-7417000.0,-23212000.0,-29971000.0,6759000.0,6759000.0,0.012239288133015114,10362846000.0,1543934000.0,8818912000.0,498659000.0,443276000.0,327645000.0,2697780000.0,608222000.0,2089558000.0,196297000.0,7665066000.0,7665066000.0,61935000.0,-1983418000.0,-21704000.0,1252884000.0
MRVL,迈威尔科技,US,USD,Q3,2018-10-31,2018-12-15,851051000.0,383587000.0,-22092000.0,-44462000.0,9305000.0,-53767000.0,-53767000.0,-0.08177254193414943,10232025000.0,1520221000.0,8711804000.0,610261000.0,453775000.0,313113000.0,2656746000.0,656206000.0,2000540000.0,209562000.0,7575279000.0,7575279000.0,299394000.0,-1571000.0,-22564000.0,-186221000.0
