code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
MSFT,微软,US,USD,Q4,2016-06-30,2016-07-28,20614000000.0,12635000000.0,3692000000.0,3347000000.0,225000000.0,3122000000.0,3122000000.0,0.3981127263453201,193468000000.0,139660000000.0,53808000000.0,6510000000.0,18277000000.0,18356000000.0,121471000000.0,59357000000.0,62114000000.0,6898000000.0,71997000000.0,71997000000.0,8464000000.0,-10073000000.0,-2655000000.0,971000000.0
MSFT,微软,US,USD,Q1,2016-09-30,2016-10-20,21928000000.0,14084000000.0,7264000000.0,6827000000.0,1160000000.0,5667000000.0,5667000000.0,0.7275645140582874,212524000000.0,157909000000.0,54615000000.0,13928000000.0,11129000000.0,19224000000.0,142152000000.0,58810000000.0,83342000000.0,6296000000.0,70372000000.0,70372000000.0,11549000000.0,-18470000000.0,-2163000000.0,14329000000.0
MSFT,微软,US,USD,Q2,2016-12-31,2017-01-26,25826000000.0,15925000000.0,8543000000.0,8022000000.0,1755000000.0,6267000000.0,6267000000.0,0.8081237911025145,224610000000.0,144949000000.0,79661000000.0,8468000000.0,14343000000.0,21379000000.0,155801000000.0,70787000000.0,85014000000.0,6580000000.0,68809000000.0,68809000000.0,6293000000.0,-14751000000.0,-1988000000.0,3016000000.0
MSFT,微软,US,USD,Q3,2017-03-31,2017-04-27,23212000000.0,15152000000.0,7703000000.0,7094000000.0,1608000000.0,5486000000.0,5486000000.0,0.7101618122977347,225017000000.0,146313000000.0,78704000000.0,6713000000.0,12882000000.0,21962000000.0,155288000000.0,52005000000.0,103283000000.0,6217000000.0,69729000000.0,69729000000.0,10660000000.0,-6191000000.0,-1695000000.0,-6236000000.0
MSFT,微软,US,USD,Q4,2017-06-30,2017-08-02,25605000000.0,17149000000.0,8613000000.0,7958000000.0,-111000000.0,8069000000.0,8069000000.0,1.041698941389104,250312000000.0,162696000000.0,87616000000.0,7663000000.0,22431000000.0,30289000000.0,162601000000.0,55745000000.0,106856000000.0,7390000000.0,87711000000.0,87711000000.0,11005000000.0,-7369000000.0,-2283000000.0,-2701000000.0
MSFT,微软,US,USD,Q1,2017-09-30,2017-10-26,24538000000.0,16260000000.0,8656000000.0,7984000000.0,1408000000.0,6576000000.0,6576000000.0,0.8531395952257395,249097000000.0,161031000000.0,88066000000.0,6884000000.0,14561000000.0,31653000000.0,159450000000.0,51615000000.0,107835000000.0,6866000000.0,89647000000.0,89647000000.0,12440000000.0,-6904000000.0,-2132000000.0,-6341000000.0
MSFT,微软,US,USD,Q2,2017-12-31,2018-01-31,28918000000.0,17854000000.0,9867000000.0,9169000000.0,15471000000.0,-6302000000.0,-6302000000.0,-0.8173800259403372,256003000000.0,167633000000.0,88370000000.0,12859000000.0,18428000000.0,33053000000.0,177643000000.0,58099000000.0,119544000000.0,7850000000.0,78360000000.0,78360000000.0,7875000000.0,-331000000.0,-2586000000.0,-1552000000.0
MSFT,微软,US,USD,Q3,2018-03-31,2018-04-26,26819000000.0,17550000000.0,9332000000.0,8641000000.0,1217000000.0,7424000000.0,7424000000.0,0.9644063393089114,245497000000.0,156659000000.0,88838000000.0,9221000000.0,17208000000.0,34788000000.0,166258000000.0,46133000000.0,120125000000.0,7623000000.0,79239000000.0,79239000000.0,12151000000.0,3844000000.0,-2934000000.0,-19658000000.0
MSFT,微软,US,USD,Q4,2018-06-30,2018-08-03,30085000000.0,20343000000.0,11352000000.0,10680000000.0,1807000000.0,8873000000.0,8873000000.0,1.1548874137706624,258848000000.0,169662000000.0,89186000000.0,11946000000.0,26481000000.0,36146000000.0,176130000000.0,58488000000.0,117642000000.0,8617000000.0,82718000000.0,82718000000.0,11418000000.0,-2670000000.0,-3980000000.0,-6039000000.0
MSFT,微软,US,USD,Q1,2018-09-30,2018-10-24,29084000000.0,19179000000.0,10895000000.0,10221000000.0,1397000000.0,8824000000.0,8824000000.0,1.1500065163560538,257619000000.0,164195000000.0,93424000000.0,15137000000.0,17390000000.0,38164000000.0,171652000000.0,56277000000.0,115375000000.0,8511000000.0,85967000000.0,85967000000.0,13657000000.0,-2953000000.0,-3602000000.0,-7384000000.0
