country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,MSFT,2016-06-20,50.64,50.83,50.03,50.07,44.77,44.94,44.23,44.27,35607946.0,1794373418.805,0.884162173,78.42,3926.4894,78.42,3926.4894,0.004540671512369293
US,MSFT,2016-06-21,50.2,51.43,50.16,51.19,44.38,45.47,44.35,45.26,34097825.0,1730294129.625,0.8841570619,78.42,4014.3198,78.42,4014.3198,0.004348103162458557
US,MSFT,2016-06-22,51.08,51.46,50.95,50.99,45.17,45.51,45.05,45.09,28816848.0,1473117269.76,0.8842910375,78.42,3998.6358,78.42,3998.6358,0.003674680948737567
US,MSFT,2016-06-23,51.28,52.06,51.15,51.91,45.34,46.03,45.23,45.9,29028833.0,1497887782.8,0.8842226931,78.42,4070.7822,78.42,4070.7822,0.003701712955878602
US,MSFT,2016-06-24,49.81,50.94,49.52,49.83,44.04,45.04,43.79,44.06,133503000.0,6678487575.0,0.8842063014,78.42,3907.6686,78.42,3907.6686,0.017024100994644225
US,MSFT,2016-06-27,49.1,49.15,48.04,48.43,43.41,43.46,42.48,42.82,50576699.0,2462073707.32,0.8841627091,78.42,3797.8806,78.42,3797.8806,0.006449464294822749
US,MSFT,2016-06-28,48.92,49.47,48.67,49.44,43.26,43.75,43.04,43.72,38140700.0,1873661887.5,0.8843042071,78.42,3877.0848,78.42,3877.0848,0.004863644478449375
US,MSFT,2016-06-29,49.91,50.72,49.8,50.54,44.13,44.85,44.04,44.69,31304021.0,1572792275.0925,0.8842500989,78.42,3963.3468,78.42,3963.3468,0.003991841494516705
US,MSFT,2016-06-30,50.72,51.3,50.5,51.17,44.85,45.36,44.66,45.25,28527800.0,1452706895.5,0.8843072113,77.89,3985.6313,77.89,3985.6313,0.003662575426884067
US,MSFT,2016-07-01,51.13,51.72,51.07,51.16,45.21,45.74,45.16,45.24,21400400.0,1097198508.0,0.8842845973,77.89,3984.8524,77.89,3984.8524,0.0027475157273077417
US,MSFT,2016-07-05,50.83,51.28,50.74,51.17,44.95,45.35,44.87,45.25,24806400.0,1265250432.0,0.8843072113,77.89,3985.6313,77.89,3985.6313,0.0031847990756194633
US,MSFT,2016-07-06,50.78,51.54,50.39,51.38,44.9,45.57,44.55,45.43,28167500.0,1437176268.75,0.8841961853,77.89,4001.9882,77.89,4001.9882,0.0036163178841956607
US,MSFT,2016-07-07,51.42,51.61,51.07,51.38,45.47,45.63,45.16,45.43,19585200.0,1006091724.0,0.8841961853,77.89,4001.9882,77.89,4001.9882,0.0025144691231223522
US,MSFT,2016-07-08,51.73,52.36,51.55,52.3,45.74,46.29,45.58,46.24,28391026.0,1475907486.61,0.8841300191,77.89,4073.647,77.89,4073.647,0.003645015534728463
US,MSFT,2016-07-11,52.5,52.83,52.47,52.59,46.42,46.71,46.39,46.5,22269203.0,1171304404.7925,0.8841985168,77.89,4096.2351,77.89,4096.2351,0.0028590580305559122
US,MSFT,2016-07-12,52.94,53.4,52.79,53.21,46.81,47.22,46.68,47.05,27317600.0,1450154796.0,0.8842322872,77.89,4144.5269,77.89,4144.5269,0.0035072024650147646
US,MSFT,2016-07-13,53.56,53.86,53.18,53.51,47.35,47.62,47.02,47.31,25356841.0,1357288306.6275,0.8841338068,77.89,4167.8939,77.89,4167.8939,0.003255468096032867
US,MSFT,2016-07-14,53.84,53.99,53.58,53.74,47.61,47.74,47.38,47.52,24545520.0,1320242157.0,0.8842575363,77.89,4185.8086,77.89,4185.8086,0.003151305687508024
US,MSFT,2016-07-15,53.95,54.0,53.21,53.7,47.7,47.75,47.05,47.48,32024400.0,1720190646.0,0.8841713222,77.89,4182.693,77.89,4182.693,0.004111490563615355
US,MSFT,2016-07-18,53.7,54.34,53.55,53.96,47.48,48.05,47.35,47.71,31433900.0,1693894286.25,0.8841734618,77.89,4202.9444,77.89,4202.9444,0.004035678520991142
US,MSFT,2016-07-19,53.71,53.9,52.93,53.09,47.49,47.66,46.8,46.94,53336533.0,2848570886.1975,0.8841589753,77.89,4135.1801,77.89,4135.1801,0.006847674027474644
US,MSFT,2016-07-20,56.15,56.84,55.53,55.91,49.65,50.26,49.1,49.44,89893301.0,5043688385.8575,0.8842783044,77.89,4354.8299,77.89,4354.8299,0.011541058030555912
US,MSFT,2016-07-21,55.98,56.23,55.76,55.8,49.5,49.72,49.3,49.34,32776700.0,1833610539.75,0.8842293907,77.89,4346.262,77.89,4346.262,0.00420807549107716
US,MSFT,2016-07-22,56.08,56.63,55.78,56.57,49.59,50.07,49.32,50.02,32157200.0,1809324858.0,0.8842142478,77.89,4406.2373,77.89,4406.2373,0.0041285402490692
US,MSFT,2016-07-25,56.47,56.74,56.26,56.73,49.93,50.17,49.74,50.16,25610600.0,1448279430.0,0.8841882602,77.89,4418.6997,77.89,4418.6997,0.003288047246116318
US,MSFT,2016-07-26,56.52,57.29,56.51,56.76,49.98,50.66,49.97,50.19,28079000.0,1594044830.0,0.8842494715,77.89,4421.0364,77.89,4421.0364,0.003604955706765952
US,MSFT,2016-07-27,56.61,56.8,56.11,56.19,50.05,50.22,49.61,49.68,32327500.0,1824160006.25,0.884143086,77.89,4376.6391,77.89,4376.6391,0.004150404416484787
US,MSFT,2016-07-28,56.0,56.37,55.72,56.21,49.51,49.84,49.27,49.7,37550411.0,2105639296.825,0.8841843088,77.89,4378.1969,77.89,4378.1969,0.004820954037745538
US,MSFT,2016-07-29,56.26,56.76,56.05,56.68,49.75,50.19,49.56,50.12,30558718.0,1724657647.125,0.8842625265,77.89,4414.8052,77.89,4414.8052,0.0039233172422647325
US,MSFT,2016-08-01,56.6,56.75,56.14,56.58,50.05,50.18,49.64,50.03,26003419.0,1469648233.3325,0.8842347119,77.89,4407.0162,77.89,4407.0162,0.003338479779175761
