country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,MU,Q4,2016-09-01,2016-10-28,0.179981,0.005595,-0.052844,-0.014073,-0.006173,1.963806,0.530574,1.209603,0.116812,2.279801,0.27852,-5.270588,0.890581,,
US,MU,Q1,2016-12-01,2017-01-09,0.25466,0.090428,0.04534,0.01461,0.006466,1.713668,0.526944,1.190584,0.142621,2.259416,0.28665,6.322222,0.611083,,
US,MU,Q2,2017-03-02,2017-03-28,0.366609,0.224613,0.192341,0.062574,0.027631,1.909929,0.532221,1.205292,0.143656,2.264646,0.302281,1.571588,0.554647,,
US,MU,Q3,2017-06-01,2017-06-30,0.468739,0.352677,0.295904,0.101849,0.049509,2.143302,0.488412,1.004762,0.167313,2.057201,0.432447,1.461445,0.660438,,
US,MU,Q4,2017-08-31,2017-10-26,0.507006,0.409091,0.385793,0.127168,0.067014,2.335396,0.449004,0.852049,0.173704,1.897642,0.521831,1.352618,0.769958,0.907989,14.929412
US,MU,Q1,2017-11-30,2017-12-20,0.550786,0.456122,0.39365,0.118885,0.072007,2.39262,0.371004,0.612537,0.182921,1.651025,0.53447,1.35773,0.84154,0.713602,13.877778
US,MU,Q2,2018-03-01,2018-03-23,0.580873,0.486192,0.450143,0.12877,0.080193,2.581255,0.356179,0.571934,0.17815,1.605752,0.591484,1.313992,0.901782,0.58154,2.701342
US,MU,Q3,2018-05-31,2018-06-22,0.605746,0.508016,0.490317,0.133443,0.091361,2.63454,0.294587,0.430277,0.186331,1.460609,0.546492,1.11457,0.857894,0.400826,1.32119
US,MU,Q4,2018-08-30,2018-10-15,0.610308,0.508057,0.512441,0.133926,0.09971,2.787452,0.23543,0.31622,0.194578,1.34316,0.610782,1.191908,0.881754,0.375041,0.826436
US,MU,Q1,2018-11-29,2018-12-19,0.583217,0.479211,0.416151,0.097228,0.073842,2.898246,0.221011,0.291004,0.177441,1.316691,0.60786,1.460674,0.951599,0.163163,0.229649
US,MU,Q2,2019-02-28,2019-03-21,0.490831,0.34413,0.277464,0.046837,0.034094,2.248336,0.253901,0.348801,0.122876,1.373767,0.588689,2.12168,1.045587,-0.20623,-0.510728
US,MU,Q3,2019-05-30,2019-06-26,0.381788,0.212824,0.175439,0.023781,0.018147,2.791551,0.218156,0.285876,0.103439,1.310421,0.566207,3.227381,1.071637,-0.385918,-0.780277
US,MU,Q4,2019-08-29,2019-10-17,0.286448,0.117248,0.115195,0.015635,0.011475,2.582629,0.247857,0.3377,0.099617,1.362476,0.458522,3.980392,0.879261,-0.422986,-0.870289
US,MU,Q1,2019-11-28,2019-12-20,0.265552,0.1007,0.095451,0.013452,0.009889,2.559284,0.264839,0.360247,0.103607,1.360247,0.390941,4.095723,0.768663,-0.34993,-0.850896
US,MU,Q2,2020-02-27,2020-03-26,0.282468,0.091724,0.084428,0.010939,0.008157,2.744074,0.25429,0.341004,0.09662,1.341004,0.417136,4.940741,0.845737,-0.177892,-0.749846
US,MU,Q3,2020-05-28,2020-06-30,0.3242,0.164031,0.147665,0.021232,0.015441,2.893937,0.272762,0.375066,0.104567,1.375066,0.372012,2.519303,0.729496,0.135756,-0.044048
US,MU,Q4,2020-09-03,2020-10-19,0.34148,0.198811,0.163144,0.025336,0.018406,2.707611,0.27352,0.3765,0.112821,1.3765,0.375,2.298583,0.751486,0.243532,0.761141
US,MU,Q1,2020-12-03,2021-01-08,0.30071,0.151394,0.139096,0.020122,0.014956,2.905942,0.256728,0.345403,0.107523,1.345403,0.340724,2.449564,0.815001,0.122278,0.635438
US,MU,Q2,2021-03-04,2021-04-01,0.264432,0.10712,0.096697,0.014829,0.011139,3.180379,0.248859,0.331309,0.115193,1.331309,0.490218,5.069652,0.974182,0.299979,0.488889
US,MU,Q3,2021-06-03,2021-07-01,0.42118,0.303422,0.233764,0.041056,0.031014,3.398206,0.244606,0.323813,0.132671,1.323813,0.479655,2.051873,0.78402,0.36484,1.160648
