country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,MU,2016-06-20,12.51,12.66,12.29,12.32,12.21,12.35,11.99,12.02,21481700.0,267339756.5,0.9756493506,10.0040016,123.2493,10.0040016,123.2493,0.02147310732137428
US,MU,2016-06-21,12.54,12.83,12.42,12.75,12.23,12.51,12.11,12.43,25060548.0,316640023.98,0.9749019608,10.0040016,127.55102,10.0040016,127.55102,0.025050523782403234
US,MU,2016-06-22,12.78,13.04,12.67,12.72,12.47,12.72,12.36,12.41,26968200.0,345260380.5,0.9756289308,10.0040016,127.2509,10.0040016,127.2509,0.026957412721725273
US,MU,2016-06-23,13.41,14.16,13.41,14.05,13.08,13.81,13.08,13.7,71203000.0,979575272.5,0.975088968,10.0040016,140.556222,10.0040016,140.556222,0.07117451880455516
US,MU,2016-06-24,13.5,13.85,13.13,13.21,13.16,13.5,12.8,12.88,77486100.0,1040057177.25,0.9750189251,10.0040016,132.152861,10.0040016,132.152861,0.07745510556495713
US,MU,2016-06-27,13.13,13.24,12.1,12.23,12.81,12.92,11.8,11.93,45939547.0,582283758.225,0.9754701554,10.0040016,122.34894,10.0040016,122.34894,0.04592117118413896
US,MU,2016-06-28,12.64,13.05,12.62,12.99,12.33,12.73,12.31,12.67,34838100.0,446798632.5,0.9753656659,10.0040016,129.951981,10.0040016,129.951981,0.03482416476222874
US,MU,2016-06-29,13.3,13.42,12.94,13.19,12.97,13.08,12.62,12.86,36879800.0,487274357.5,0.9749810462,10.0040016,131.952781,10.0040016,131.952781,0.03686504808235936
US,MU,2016-06-30,13.34,13.78,13.22,13.76,13.01,13.44,12.89,13.42,48486133.0,655774948.825,0.9752906977,10.0040016,137.655062,10.0040016,137.655062,0.04846673854990187
US,MU,2016-07-01,12.58,12.9,12.31,12.5,12.27,12.58,12.0,12.19,68847100.0,865580164.75,0.9752,10.0040016,125.05002,10.0040016,125.05002,0.06881956116440445
US,MU,2016-07-05,12.38,12.45,11.8,11.91,12.08,12.15,11.51,11.62,37298900.0,452622151.5,0.9756507137,10.0040016,119.147659,10.0040016,119.147659,0.03728398044238618
US,MU,2016-07-06,11.76,11.85,11.5,11.73,11.47,11.56,11.22,11.44,35747849.0,418607311.79,0.9752770673,10.0040016,117.346939,10.0040016,117.346939,0.035733549862686946
US,MU,2016-07-07,11.9,12.55,11.89,12.2,11.61,12.24,11.6,11.9,33457144.0,406002442.44,0.9754098361,10.0040016,122.04882,10.0040016,122.04882,0.0334437611445404
US,MU,2016-07-08,12.39,12.72,12.38,12.62,12.09,12.41,12.08,12.31,27955735.0,350215470.2125,0.9754358162,10.0040016,126.2505,10.0040016,126.2505,0.02794455270778845
US,MU,2016-07-11,12.79,12.98,12.61,12.64,12.48,12.66,12.3,12.33,22797147.0,290777609.985,0.9754746835,10.0040016,126.45058,10.0040016,126.45058,0.022788028142658436
US,MU,2016-07-12,13.0,13.46,12.98,13.23,12.68,13.12,12.66,12.9,35226800.0,463848889.0,0.9750566893,10.0040016,132.352941,10.0040016,132.352941,0.03521270928225361
US,MU,2016-07-13,13.24,13.39,13.07,13.29,12.91,13.06,12.75,12.96,23067400.0,305585381.5,0.9751693002,10.0040016,132.953181,10.0040016,132.953181,0.023058173041475723
US,MU,2016-07-14,13.5,13.55,13.27,13.29,13.16,13.21,12.94,12.96,18698912.0,250612168.08,0.9751693002,10.0040016,132.953181,10.0040016,132.953181,0.018691432436396253
US,MU,2016-07-15,13.31,13.5,13.04,13.13,12.99,13.17,12.72,12.81,18046227.0,239022276.615,0.9756283321,10.0040016,131.352541,10.0040016,131.352541,0.018039008510354497
US,MU,2016-07-18,13.25,13.36,13.09,13.34,12.92,13.03,12.77,13.01,17180502.0,227813456.52,0.9752623688,10.0040016,133.453381,10.0040016,133.453381,0.01717362980029911
US,MU,2016-07-19,13.22,13.26,13.05,13.22,12.89,12.93,12.72,12.89,30569900.0,403140556.25,0.9750378215,10.0040016,132.252901,10.0040016,132.252901,0.03055767204195569
US,MU,2016-07-20,13.33,13.62,13.24,13.59,13.0,13.28,12.91,13.25,35666000.0,479529370.0,0.9749816041,10.0040016,135.954382,10.0040016,135.954382,0.03565173360228171
US,MU,2016-07-21,13.48,13.5,13.08,13.18,13.14,13.16,12.75,12.85,16734740.0,222739389.4,0.9749620637,10.0040016,131.852741,10.0040016,131.852741,0.016728046105070594
US,MU,2016-07-22,13.21,13.23,13.02,13.13,12.89,12.91,12.7,12.81,18755900.0,246593195.25,0.9756283321,10.0040016,131.352541,10.0040016,131.352541,0.0187483976411999
US,MU,2016-07-25,14.0,14.33,13.88,13.92,13.66,13.98,13.54,13.58,51357000.0,720667102.5,0.9755747126,10.0040016,139.255702,10.0040016,139.255702,0.051336457203285536
US,MU,2016-07-26,14.0,14.69,13.93,14.67,13.66,14.33,13.59,14.31,38959800.0,558001735.5,0.9754601227,10.0040016,146.758703,10.0040016,146.758703,0.03894421608249243
