country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,NBIS,Q2,2016-06-30,2016-08-14,0.73969,0.194956,0.11408,0.027723,0.018248,5.715397,0.341796,0.519286,0.159954,1.519286,0.45192,3.961435,0.589888,,
US,NBIS,Q3,2016-09-30,2016-11-14,0.745089,0.18416,0.126626,0.032031,0.021275,6.010815,0.328956,0.495259,0.168014,1.505549,0.319091,2.519941,0.461442,,
US,NBIS,Q4,2016-12-31,2017-03-31,0.745196,0.150866,0.055518,0.015856,0.010711,5.127206,0.311249,0.460732,0.192937,1.480269,0.269604,4.85616,0.411535,,
US,NBIS,Q1,2017-03-31,2017-05-15,0.741042,0.163422,0.040432,0.010601,0.007282,4.824433,0.296343,0.43141,0.180101,1.455778,0.279361,6.909419,0.467336,,
US,NBIS,Q2,2017-06-30,2017-08-14,0.740002,0.135586,0.158976,0.04395,0.028892,4.377416,0.302113,0.459575,0.181736,1.521204,0.321647,2.023244,0.494962,0.327322,0.849687
US,NBIS,Q3,2017-09-30,2017-11-14,0.742086,0.078804,0.038399,0.011006,0.00727,4.469182,0.296081,0.448252,0.189325,1.513953,0.138429,3.605005,0.22731,0.325463,-0.598056
US,NBIS,Q4,2017-12-31,2018-03-31,0.75603,0.18435,0.126561,0.04252,0.026978,2.267026,0.290301,0.45755,0.213158,1.576123,15.732252,124.305317,15.825988,0.341991,2.059272
US,NBIS,Q1,2018-03-31,2018-05-15,0.747413,0.11888,0.089565,0.016855,0.011211,2.662212,0.199995,0.300674,0.125174,1.503407,0.194633,2.173104,0.23801,0.267818,1.808464
US,NBIS,Q2,2018-06-30,2018-08-14,0.721893,0.146535,1.147412,0.189833,0.136274,2.850769,0.167584,0.233448,0.118767,1.393019,0.22975,0.200233,0.533019,0.260544,8.09801
US,NBIS,Q3,2018-09-30,2018-11-14,0.721523,0.180626,0.156647,0.028653,0.0202,2.627106,0.180269,0.255705,0.128954,1.418466,0.233019,1.487539,0.365081,0.220772,3.980069
US,NBIS,Q4,2018-12-31,2019-03-31,0.694686,0.204263,0.114721,0.024843,0.017151,3.087918,0.171581,0.248538,0.149499,1.448521,15.441524,134.600462,15.776945,0.15519,0.047119
US,NBIS,Q1,2019-03-31,2019-05-15,0.689277,0.129144,0.079176,0.016037,0.010875,2.602,0.192324,0.283619,0.137353,1.474695,0.285368,3.604215,0.339069,0.220892,0.079281
US,NBIS,Q2,2019-06-30,2019-08-14,0.696186,0.16878,0.089499,0.019748,0.013669,3.0323,0.17913,0.258784,0.152731,1.444671,0.255175,2.851145,0.442121,0.386209,-0.891874
US,NBIS,Q3,2019-09-30,2019-11-14,0.689852,0.165215,0.103257,0.023794,0.016354,2.769994,0.189648,0.275927,0.158382,1.454945,0.327029,3.167147,0.445178,0.396379,-0.079552
US,NBIS,Q4,2019-12-31,2020-03-30,0.658291,0.109351,0.018396,0.004873,0.003263,2.584529,0.211905,0.316481,0.177363,1.493505,0.17209,9.354736,0.280365,0.494229,-0.760394
US,NBIS,Q1,2020-03-31,2020-05-15,0.654597,0.110397,0.123269,0.028037,0.015021,4.78226,0.372216,0.694731,0.121857,1.866474,0.161504,1.310179,0.211987,0.053265,0.639822
US,NBIS,Q2,2020-06-30,2020-08-14,0.615717,0.012655,-0.082039,-0.012069,-0.007529,6.677167,0.296132,0.474698,0.091776,1.602994,-0.003184,0.038812,0.248507,-0.111585,-1.814364
US,NBIS,Q3,2020-09-30,2020-11-14,0.620451,0.107277,0.377132,0.068485,0.042551,5.012701,0.326738,0.525884,0.112827,1.609498,0.318767,0.84524,0.397928,0.081436,2.949806
US,NBIS,Q4,2020-12-31,2021-03-31,0.560804,0.057375,0.004413,0.000977,0.000615,4.620394,0.324876,0.515668,0.139427,1.587275,0.07192,16.295519,0.161898,0.160086,-0.721679
US,NBIS,Q1,2021-03-31,2021-05-15,0.534538,-0.003651,-0.040705,-0.009067,-0.005402,3.471004,0.364714,0.612162,0.132711,1.67847,0.116563,-2.863593,0.16502,0.616564,-1.533811
US,NBIS,Q2,2021-06-30,2021-08-14,0.486819,-0.058021,-0.047652,-0.011734,-0.006926,3.29757,0.37208,0.630414,0.145336,1.694295,-0.058644,1.23067,0.107303,0.913364,-0.111375
US,NBIS,Q3,2021-09-30,2021-11-14,0.499797,-0.062253,-0.037074,-0.013124,-0.006611,1.975696,0.465219,0.923529,0.178323,1.985148,0.024235,-0.653691,0.118046,0.670577,-1.164224
US,NBIS,Q4,2021-12-31,2022-03-31,0.524463,-0.019895,-0.040135,-0.01709,-0.008559,1.799858,0.470558,0.939557,0.213255,1.996684,0.032296,-0.804681,0.210799,0.525751,-14.874762
US,NBIS,Q1,2022-03-31,2022-05-15,0.51881,-0.117291,-0.136053,-0.063186,-0.028973,0.835763,0.510654,1.113675,0.212952,2.18088,-0.037196,0.273396,0.128006,0.347183,-3.502854
US,NBIS,Q2,2022-06-30,2022-08-14,0.586227,0.074277,0.048969,0.021052,0.011525,1.258447,0.416083,0.759987,0.235363,1.826529,0.183858,3.754584,0.251708,0.94154,2.995183
US,NBIS,Q3,2022-09-30,2022-11-14,0.582061,0.081081,0.324174,0.136439,0.074383,1.336474,0.419808,0.770048,0.229453,1.834287,0.204793,0.631738,0.240466,0.763816,16.422952
US,NBIS,Q4,2022-12-31,2023-03-31,0.527649,0.053812,0.030065,0.015848,0.008128,1.277305,0.45165,0.880601,0.270361,1.949742,-0.026064,-0.86692,0.116659,0.518175,2.137252
US,NBIS,Q1,2023-03-31,2023-05-15,-0.678192,24.047873,11.388298,0.014086,0.0068,1.228169,0.481966,0.998332,0.000597,2.071374,59.890961,5.258991,85.300536,-0.996068,1.329148
US,NBIS,Q2,2023-06-30,2023-08-14,-0.255319,-15.106383,37.510638,0.051896,0.023493,0.921762,0.547274,1.208907,0.000626,2.208962,28.863396,0.769472,89.286768,-0.997825,0.665775
US,NBIS,Q3,2023-09-30,2023-11-14,-0.5,-16.96,16.86,0.026991,0.011446,0.893164,0.575899,1.358003,0.000679,2.358056,35.24499,2.09045,89.730878,-0.99774,-0.88244
US,NBIS,Q4,2023-12-31,2024-04-26,-0.462687,-13.716418,-10.880597,-0.022133,-0.008327,0.892285,0.623774,1.658075,0.000765,2.658135,21.721245,-1.996328,-69.294227,-0.997006,-2.083418
US,NBIS,Q1,2024-03-31,2024-05-15,0.22488,-7.155981,11.594259,0.039288,0.01515,0.860609,0.61438,1.593311,0.001307,2.593362,0.0,0.0,0.0,1.204732,1.244605
US,NBIS,Q2,2024-06-30,2024-08-14,0.726185,-7.927667,-45.883856,-0.127953,-0.125614,51.772846,0.018237,0.018577,0.002738,1.018623,0.0,-0.0,0.0,1.571121,-4.145053
US,NBIS,Q3,2024-09-30,2024-11-14,0.56351,-2.009238,-2.17552,-0.03278,-0.031346,22.239963,0.043691,0.04569,0.014408,1.04576,-1.288684,0.592357,2.685912,7.66,-2.117438
US,NBIS,Q4,2024-12-31,2025-04-30,0.274406,-3.939314,-3.514512,-0.040938,-0.037536,9.595833,0.083103,0.090635,0.01068,1.090635,-1.968338,0.56006,9.05277,4.656716,-0.82716
US,NBIS,Q1,2025-03-31,2025-05-15,0.466546,-2.341772,-2.05425,-0.035935,-0.033057,18.003209,0.080081,0.087053,0.016092,1.087053,0.0,-0.0,0.0,3.894976,-1.867283
US,NBIS,Q2,2025-06-30,2025-08-07,0.713606,-1.05804,5.560419,0.154787,0.114665,14.696597,0.259212,0.349914,0.020622,1.349914,0.0,0.0,0.0,7.697257,2.053974
US,NBIS,Q3,2025-09-30,2025-11-12,0.706366,-0.820671,-0.818617,-0.024861,-0.011839,6.565568,0.523787,1.0999,0.014462,2.0999,-0.550308,0.672241,5.989733,2.374134,-0.269639
US,NBIS,Q4,2025-12-31,2026-04-30,0.699166,-1.029864,-1.096179,-0.054106,-0.020049,3.083781,0.629456,1.698734,0.018289,2.698734,3.664032,-3.342548,12.693456,5.007916,-0.873874
US,NBIS,Q1,2026-03-31,2026-05-13,0.208521,-0.320802,1.556892,0.08579,0.027852,8.330838,0.675299,2.080045,0.01789,3.080183,5.659148,3.6349,11.856892,6.21519,6.46831
