country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,NBIS,2024-10-21,14.29,20.36,14.09,20.0,14.29,20.36,14.09,20.0,13616749.0,234003831.565,1.0,2.36,47.2,2.36,47.2,0.05769808898305085
US,NBIS,2024-10-22,19.79,20.0,17.76,18.73,19.79,20.0,17.76,18.73,6443964.0,122886393.48,1.0,2.36,44.2028,2.36,44.2028,0.02730493220338983
US,NBIS,2024-10-23,18.0,18.43,17.1,17.16,18.0,18.43,17.1,17.16,9849849.0,174071456.4525,1.0,2.36,40.4976,2.36,40.4976,0.04173664830508474
US,NBIS,2024-10-24,16.8,17.75,16.71,17.63,16.8,17.75,16.71,17.63,7851777.0,135227229.3825,1.0,2.36,41.6068,2.36,41.6068,0.03327024152542373
US,NBIS,2024-10-25,17.27,19.58,17.27,19.57,17.27,19.58,17.27,19.57,6748210.0,124318898.725,1.0,2.36,46.1852,2.36,46.1852,0.028594110169491524
US,NBIS,2024-10-28,20.0,24.27,20.0,23.75,20.0,24.27,20.0,23.75,13233147.0,291195399.735,1.0,2.36,56.05,2.36,56.05,0.056072656779661015
US,NBIS,2024-10-29,22.9,24.5,22.5,23.65,22.9,24.5,22.5,23.65,7398169.0,173024677.4875,1.0,2.36,55.814,2.36,55.814,0.03134817372881356
US,NBIS,2024-10-30,23.0,23.19,20.75,22.06,23.0,23.19,20.75,22.06,22991974.0,511571421.5,1.0,2.36,52.0616,2.36,52.0616,0.0974236186440678
US,NBIS,2024-10-31,22.6,22.6,20.0,21.38,22.6,22.6,20.0,21.38,4580792.0,99151242.84,1.0,2.36,50.4568,2.36,50.4568,0.01941013559322034
US,NBIS,2024-11-01,21.7,21.7,19.57,20.14,21.7,21.7,19.57,20.14,3981548.0,82726613.57,1.0,2.36,47.5304,2.36,47.5304,0.016870966101694914
US,NBIS,2024-11-04,19.62,21.72,19.21,20.75,19.62,21.72,19.21,20.75,4185001.0,85060145.325,1.0,2.36,48.97,2.36,48.97,0.017733055084745764
US,NBIS,2024-11-05,20.74,21.2,18.51,19.0,20.74,21.2,18.51,19.0,12434700.0,246984228.75,1.0,2.36,44.84,2.36,44.84,0.05268940677966102
US,NBIS,2024-11-06,19.93,19.93,17.5,19.3,19.93,19.93,17.5,19.3,4144060.0,79420909.9,1.0,2.36,45.548,2.36,45.548,0.01755957627118644
US,NBIS,2024-11-07,19.08,20.9,19.08,20.68,19.08,20.9,19.08,20.68,2570100.0,51234943.5,1.0,2.36,48.8048,2.36,48.8048,0.010890254237288136
US,NBIS,2024-11-08,20.98,21.0,19.5,19.92,20.98,21.0,19.5,19.92,2356030.0,47945210.5,1.0,2.36,47.0112,2.36,47.0112,0.009983177966101695
US,NBIS,2024-11-11,19.8,21.3,19.18,20.94,19.8,21.3,19.18,20.94,2907500.0,59036787.5,1.0,2.36,49.4184,2.36,49.4184,0.012319915254237288
US,NBIS,2024-11-12,20.5,20.93,19.5,19.6,20.5,20.93,19.5,19.6,2125500.0,42791628.75,1.0,2.36,46.256,2.36,46.256,0.00900635593220339
US,NBIS,2024-11-13,19.43,20.0,18.42,18.57,19.43,20.0,18.42,18.57,2088900.0,39908434.5,1.0,2.36,43.8252,2.36,43.8252,0.008851271186440678
US,NBIS,2024-11-14,19.0,19.0,17.51,18.09,19.0,19.0,17.51,18.09,2164529.0,39827333.6,1.0,2.36,42.6924,2.36,42.6924,0.009171733050847458
US,NBIS,2024-11-15,18.0,18.41,17.39,17.6,18.0,18.41,17.39,17.6,2010824.0,35893208.4,1.0,2.36,41.536,2.36,41.536,0.008520440677966102
US,NBIS,2024-11-18,17.73,18.74,17.66,18.52,17.73,18.74,17.66,18.52,1782325.0,32371477.8125,1.0,2.36,43.7072,2.36,43.7072,0.007552224576271187
US,NBIS,2024-11-19,19.1,20.82,18.65,20.65,19.1,20.82,18.65,20.65,4774009.0,94549248.245,1.0,2.36,48.734,2.36,48.734,0.020228851694915253
US,NBIS,2024-11-20,20.53,20.75,19.46,20.58,20.53,20.75,19.46,20.58,3861700.0,78508361.0,1.0,2.36,48.5688,2.36,48.5688,0.01636313559322034
US,NBIS,2024-11-21,20.65,22.0,19.64,22.0,20.65,22.0,19.64,22.0,3639800.0,76699685.5,1.0,2.36,51.92,2.36,51.92,0.015422881355932203
US,NBIS,2024-11-22,21.56,23.82,21.56,23.49,21.56,23.82,21.56,23.49,4336900.0,98046466.75,1.0,2.36,55.4364,2.36,55.4364,0.018376694915254236
US,NBIS,2024-11-25,24.0,26.0,23.25,23.49,24.0,26.0,23.25,23.49,6115800.0,147910623.0,1.0,2.36,55.4364,2.36,55.4364,0.025914406779661017
US,NBIS,2024-11-26,23.16,23.6,22.0,22.12,23.16,23.6,22.0,22.12,2444576.0,55540766.72,1.0,2.36,52.2032,2.36,52.2032,0.010358372881355932
US,NBIS,2024-11-27,22.01,22.8,21.0,21.43,22.01,22.8,21.0,21.43,2595100.0,56599131.0,1.0,2.36,50.5748,2.36,50.5748,0.010996186440677966
US,NBIS,2024-11-29,22.0,22.92,21.25,21.99,22.0,22.92,21.25,21.99,2856209.0,62950846.36,1.0,2.36,51.8964,2.36,51.8964,0.012102580508474577
US,NBIS,2024-12-02,26.12,27.9,24.76,25.75,26.12,27.9,24.76,25.75,17142200.0,447968541.5,1.0,2.36,60.77,2.36,60.77,0.0726364406779661
US,NBIS,2024-12-03,25.8,30.0,25.43,29.33,25.8,30.0,25.43,29.33,22322100.0,616982844.0,1.0,2.36,69.2188,2.36,69.2188,0.09458516949152543
US,NBIS,2024-12-04,30.5,33.15,30.08,32.31,30.5,33.15,30.08,32.31,24007700.0,756482627.0,1.0,2.36,76.2516,2.36,76.2516,0.10172754237288135
US,NBIS,2024-12-05,33.94,34.6,30.54,31.16,33.94,34.6,30.54,31.16,10374700.0,337800232.0,1.0,2.36,73.5376,2.36,73.5376,0.04396059322033898
US,NBIS,2024-12-06,31.98,36.84,31.75,36.77,31.98,36.84,31.75,36.77,14708327.0,505010407.545,1.0,2.36,86.7772,2.36,86.7772,0.06232341949152542
US,NBIS,2024-12-09,38.57,38.69,31.53,31.96,38.57,38.69,31.53,31.96,16659004.0,586188703.25,1.0,2.36,75.4256,2.36,75.4256,0.070589
US,NBIS,2024-12-10,32.71,35.25,31.53,33.7,32.71,35.25,31.53,33.7,9979131.0,332280114.4725,1.0,2.36,79.532,2.36,79.532,0.04228445338983051
US,NBIS,2024-12-11,34.4,34.95,31.95,32.78,34.4,34.95,31.95,32.78,6029906.0,202122449.12,1.0,2.36,77.3608,2.36,77.3608,0.025550449152542374
US,NBIS,2024-12-12,32.36,33.0,31.12,31.33,32.36,33.0,31.12,31.33,5684700.0,181640376.75,1.0,2.36,73.9388,2.36,73.9388,0.02408771186440678
US,NBIS,2024-12-13,31.63,31.7,29.95,30.75,31.63,31.7,29.95,30.75,7228800.0,224147016.0,1.0,2.36,72.57,2.36,72.57,0.03063050847457627
US,NBIS,2024-12-16,30.78,34.43,30.49,33.4,30.78,34.43,30.49,33.4,7562032.0,244064582.8,1.0,2.36,78.824,2.36,78.824,0.03204250847457627
US,NBIS,2024-12-17,33.0,33.0,29.14,29.34,33.0,33.0,29.14,29.34,7593500.0,236309720.0,1.0,2.36,69.2424,2.36,69.2424,0.03217584745762712
US,NBIS,2024-12-18,28.94,30.0,26.99,27.09,28.94,30.0,26.99,27.09,8765100.0,247657900.5,1.0,2.36,63.9324,2.36,63.9324,0.03714025423728814
US,NBIS,2024-12-19,27.74,28.16,25.98,27.05,27.74,28.16,25.98,27.05,6797748.0,185119672.41,1.0,2.36,63.838,2.36,63.838,0.028804016949152543
US,NBIS,2024-12-20,26.49,28.76,26.0,26.71,26.49,28.76,26.0,26.71,5560013.0,150064750.87,1.0,2.36,63.0356,2.36,63.0356,0.023559377118644066
US,NBIS,2024-12-23,27.04,28.74,25.77,28.64,27.04,28.74,25.77,28.64,5599000.0,154238452.5,1.0,2.36,67.5904,2.36,67.5904,0.023724576271186442
US,NBIS,2024-12-24,28.77,28.96,27.37,28.25,28.77,28.96,27.37,28.25,2971700.0,84210548.75,1.0,2.36,66.67,2.36,66.67,0.012591949152542373
US,NBIS,2024-12-26,28.3,29.39,27.32,28.06,28.3,29.39,27.32,28.06,3024500.0,85495053.75,1.0,2.36,66.2216,2.36,66.2216,0.012815677966101694
US,NBIS,2024-12-27,27.94,28.0,25.53,27.31,27.94,28.0,25.53,27.31,5407527.0,147057696.765,1.0,2.36,64.4516,2.36,64.4516,0.02291325
US,NBIS,2024-12-30,26.95,27.2,25.9,26.92,26.95,27.2,25.9,26.92,3108440.0,83127456.7,1.0,2.36,63.5312,2.36,63.5312,0.01317135593220339
US,NBIS,2024-12-31,27.39,28.68,26.79,27.7,27.39,28.68,26.79,27.7,3810400.0,105319456.0,1.0,2.36,65.372,2.36,65.372,0.016145762711864405
US,NBIS,2025-01-02,28.13,30.58,28.13,30.51,28.13,30.58,28.13,30.51,6758900.0,198289228.75,1.0,2.38,72.6138,2.38,72.6138,0.02839873949579832
US,NBIS,2025-01-03,30.52,31.54,29.1,31.18,30.52,31.54,29.1,31.18,4399814.0,134568311.19,1.0,2.38,74.2084,2.38,74.2084,0.01848661344537815
US,NBIS,2025-01-06,31.96,33.18,30.7,31.22,31.96,33.18,30.7,31.22,5761500.0,183014047.5,1.0,2.38,74.3036,2.38,74.3036,0.02420798319327731
US,NBIS,2025-01-07,32.37,34.1,30.58,31.54,32.37,34.1,30.58,31.54,8432300.0,271077364.25,1.0,2.38,75.0652,2.38,75.0652,0.03542983193277311
US,NBIS,2025-01-08,31.35,31.74,29.58,30.74,31.35,31.74,29.58,30.74,4187126.0,129183304.915,1.0,2.38,73.1612,2.38,73.1612,0.017592966386554623
US,NBIS,2025-01-10,29.9,33.98,29.01,33.18,29.9,33.98,29.01,33.18,7197800.0,226856661.5,1.0,2.38,78.9684,2.38,78.9684,0.030242857142857144
US,NBIS,2025-01-13,32.26,36.0,31.1,35.72,32.26,36.0,31.1,35.72,11185500.0,377734335.0,1.0,2.38,85.0136,2.38,85.0136,0.04699789915966387
US,NBIS,2025-01-14,35.27,37.33,34.73,36.89,35.27,37.33,34.73,36.89,10025500.0,361469402.5,1.0,2.38,87.7982,2.38,87.7982,0.04212394957983193
US,NBIS,2025-01-15,37.53,39.38,35.58,37.02,37.53,39.38,35.58,37.02,10053300.0,375767220.75,1.0,2.38,88.1076,2.38,88.1076,0.042240756302521006
US,NBIS,2025-01-16,37.1,38.47,35.8,37.59,37.1,38.47,35.8,37.59,5614900.0,209098876.0,1.0,2.38,89.4642,2.38,89.4642,0.02359201680672269
US,NBIS,2025-01-17,38.35,38.39,35.61,36.04,38.35,38.39,35.61,36.04,4959412.0,183981786.67,1.0,2.38,85.7752,2.38,85.7752,0.020837865546218488
US,NBIS,2025-01-21,36.14,37.8,34.6,37.6,36.14,37.8,34.6,37.6,6532200.0,238653927.0,1.0,2.38,89.488,2.38,89.488,0.02744621848739496
US,NBIS,2025-01-22,38.4,40.96,37.9,39.52,38.4,40.96,37.9,39.52,10290132.0,403321723.74,1.0,2.38,94.0576,2.38,94.0576,0.0432358487394958
US,NBIS,2025-01-23,38.37,40.04,37.62,38.64,38.37,40.04,37.62,38.64,7608900.0,294217140.75,1.0,2.38,91.9632,2.38,91.9632,0.03197016806722689
US,NBIS,2025-01-24,39.37,43.66,39.25,41.69,39.37,43.66,39.25,41.69,14055909.0,576186849.6825,1.0,2.38,99.2222,2.38,99.2222,0.05905844117647059
US,NBIS,2025-01-27,33.5,33.59,24.41,26.08,33.5,33.59,24.41,26.08,44540500.0,1309267997.5,1.0,2.38,62.0704,2.38,62.0704,0.18714495798319328
US,NBIS,2025-01-28,28.2,30.24,26.7,30.09,28.2,30.24,26.7,30.09,22143820.0,637908094.65,1.0,2.38,71.6142,2.38,71.6142,0.09304126050420168
US,NBIS,2025-01-29,29.55,31.34,28.96,29.73,29.55,31.34,28.96,29.73,12971500.0,387782992.5,1.0,2.38,70.7574,2.38,70.7574,0.05450210084033613
US,NBIS,2025-01-30,31.2,33.4,30.66,31.8,31.2,33.4,30.66,31.8,11796622.0,374719697.83,1.0,2.38,75.684,2.38,75.684,0.04956563865546219
US,NBIS,2025-01-31,32.41,34.59,31.92,32.66,32.41,34.59,31.92,32.66,11648141.0,383165598.195,1.0,2.38,77.7308,2.38,77.7308,0.04894176890756303
US,NBIS,2025-02-03,29.97,34.13,29.6,33.31,29.97,34.13,29.6,33.31,11380034.0,361344529.585,1.0,2.38,79.2778,2.38,79.2778,0.047815268907563026
US,NBIS,2025-02-04,34.1,34.97,33.01,34.5,34.1,34.97,33.01,34.5,7675034.0,262064035.93,1.0,2.38,82.11,2.38,82.11,0.03224804201680672
US,NBIS,2025-02-05,34.8,35.51,33.57,33.93,34.8,35.51,33.57,33.93,6648700.0,229064336.75,1.0,2.38,80.7534,2.38,80.7534,0.027935714285714286
US,NBIS,2025-02-06,34.0,34.86,32.63,34.55,34.0,34.86,32.63,34.55,8747400.0,297499074.0,1.0,2.38,82.229,2.38,82.229,0.03675378151260504
US,NBIS,2025-02-07,35.34,39.5,34.91,38.13,35.34,39.5,34.91,38.13,17526616.0,647958993.52,1.0,2.38,90.7494,2.38,90.7494,0.07364124369747899
US,NBIS,2025-02-10,38.82,41.3,38.7,40.97,38.82,41.3,38.7,40.97,12583300.0,502671376.75,1.0,2.38,97.5086,2.38,97.5086,0.05287100840336134
