country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,NFLX,Q2,2016-06-30,2016-07-19,0.300259,0.041177,0.019359,0.01687,0.003515,1.3295,0.791622,3.798967,0.181585,4.798967,-0.107492,-5.552521,-0.093841,,
US,NFLX,Q3,2016-09-30,2016-10-19,0.330691,0.050067,0.022495,0.020371,0.004172,1.177378,0.795181,3.882366,0.18548,4.882366,-0.201704,-8.966768,-0.182223,,
US,NFLX,Q4,2016-12-31,2017-01-27,0.332233,0.054027,0.026941,0.024908,0.004913,1.247159,0.802762,4.070009,0.182352,5.070009,-0.224884,-8.347216,-0.192657,,
US,NFLX,Q1,2017-03-31,2017-04-19,0.371538,0.102606,0.067594,0.059933,0.012412,1.152528,0.792906,3.828725,0.183621,4.828725,-0.130415,-1.929369,-0.100871,,
US,NFLX,Q2,2017-06-30,2017-07-19,0.317059,0.045884,0.023551,0.021076,0.003972,1.307995,0.81156,4.306738,0.16864,5.306738,-0.191899,-8.148293,-0.165744,0.323133,0.609618
US,NFLX,Q3,2017-09-30,2017-10-18,0.332303,0.069895,0.043416,0.038947,0.007645,1.20236,0.803713,4.09459,0.176082,5.09459,-0.140578,-3.237958,-0.125777,0.303325,1.51548
US,NFLX,Q4,2017-12-31,2018-01-29,0.358639,0.074657,0.056461,0.051792,0.009758,1.403135,0.811602,4.307922,0.172819,5.307922,-0.148507,-2.630255,-0.13874,0.326216,1.779364
US,NFLX,Q1,2018-03-31,2018-04-18,0.406603,0.120669,0.078394,0.072157,0.014396,1.301717,0.800488,4.012223,0.18364,5.012223,-0.063974,-0.816055,-0.051013,0.403628,0.62788
US,NFLX,Q2,2018-06-30,2018-07-18,0.413947,0.135706,0.098368,0.085475,0.016959,1.537408,0.801593,4.04015,0.172403,5.04015,-0.132635,-1.348355,-0.122429,0.402736,4.858979
US,NFLX,Q3,2018-09-30,2018-10-18,0.396819,0.121937,0.100725,0.080412,0.01724,1.386098,0.785603,3.664241,0.17116,4.664241,-0.17263,-1.71388,-0.160862,0.339887,2.108535
US,NFLX,Q4,2018-12-31,2019-01-29,0.347145,0.059282,0.031989,0.025566,0.005156,1.49432,0.79831,3.958115,0.161191,4.958115,-0.294989,-9.221497,-0.276448,0.27424,-0.27805
US,NFLX,Q1,2019-03-31,2019-04-18,0.365048,0.118378,0.076101,0.060328,0.01264,0.607907,0.790472,3.772638,0.166099,4.772638,-0.084008,-1.1039,-0.068624,0.221607,0.185879
US,NFLX,Q2,2019-06-30,2019-07-19,0.389481,0.14349,0.054975,0.044329,0.00897,0.847587,0.797637,3.941627,0.163172,4.941627,-0.110449,-2.009067,-0.100825,0.259989,-0.295822
US,NFLX,Q3,2019-09-30,2019-10-18,0.409347,0.223642,0.126836,0.096953,0.0215,0.734063,0.778244,3.509464,0.169509,4.509464,-0.095673,-0.754301,-0.086146,0.311431,0.651406
US,NFLX,Q4,2019-12-31,2020-01-29,0.36606,0.059833,0.107357,0.077415,0.017276,0.901222,0.776836,3.481009,0.160922,4.481009,-0.267397,-2.490715,-0.247692,0.305861,3.382532
US,NFLX,Q1,2020-03-31,2020-04-21,0.375885,0.169904,0.122938,0.084319,0.020224,0.820984,0.760145,3.169186,0.16451,4.169186,0.045063,0.366555,0.062057,0.275758,1.06093
US,NFLX,Q2,2020-06-30,2020-07-20,0.407362,0.220863,0.117138,0.077152,0.019373,1.122957,0.748899,2.98246,0.165386,3.98246,0.169328,1.445545,0.192382,0.248861,1.660987
US,NFLX,Q3,2020-09-30,2020-10-22,0.39901,0.20431,0.12275,0.076449,0.020454,1.237624,0.732454,2.737669,0.166629,3.737669,0.196369,1.599746,0.213432,0.227026,0.187498
US,NFLX,Q4,2020-12-31,2021-01-28,0.373136,0.143615,0.081595,0.048996,0.013802,1.250557,0.718301,2.549888,0.169154,3.549888,-0.02072,-0.253934,0.001608,0.215276,-0.076348
US,NFLX,Q1,2021-03-31,2021-04-22,0.459953,0.311162,0.238259,0.132467,0.042537,1.269505,0.678886,2.114154,0.178533,3.114154,0.108507,0.455416,0.119815,0.241967,1.406987
US,NFLX,Q2,2021-06-30,2021-07-22,0.45272,0.25166,0.18429,0.097593,0.033024,1.226147,0.661617,1.955233,0.179195,2.955233,-0.008685,-0.047125,0.006336,0.194118,0.878673
US,NFLX,Q3,2021-09-30,2021-10-21,0.437882,0.247397,0.193636,0.09462,0.033904,1.169773,0.641678,1.790788,0.175093,2.790788,0.011008,0.05685,0.033368,0.162817,0.834323
US,NFLX,Q4,2021-12-31,2022-01-27,0.320358,0.096024,0.078792,0.038325,0.013624,0.950625,0.644513,1.813046,0.172914,2.813046,-0.05231,-0.663903,-0.03078,0.160266,0.120395
US,NFLX,Q1,2022-03-31,2022-04-21,0.45541,0.275462,0.203037,0.091054,0.03524,1.046302,0.612978,1.583835,0.173563,2.583835,0.117294,0.577696,0.132693,0.098347,-0.064022
US,NFLX,Q2,2022-06-30,2022-07-21,0.411459,0.225656,0.180794,0.075537,0.031088,1.045434,0.588445,1.429807,0.171952,2.429807,0.012892,0.071307,0.024186,0.085587,0.064994
US,NFLX,Q3,2022-09-30,2022-10-20,0.395797,0.226409,0.176421,0.068113,0.029398,1.135332,0.568394,1.316926,0.166636,2.316926,0.070255,0.398221,0.080974,0.05908,-0.035077
US,NFLX,Q4,2022-12-31,2023-01-26,0.311752,0.026737,0.007041,0.002661,0.001138,1.16839,0.572435,1.338828,0.161582,2.338828,0.056528,8.028688,0.07074,0.018515,-0.908987
US,NFLX,Q1,2023-03-31,2023-04-21,0.411429,0.210049,0.159912,0.059791,0.026371,1.260526,0.55894,1.267267,0.164911,2.267267,0.266953,1.669379,0.274552,0.037334,-0.182996
US,NFLX,Q2,2023-06-30,2023-07-21,0.429181,0.226466,0.181697,0.065154,0.029274,1.326256,0.550701,1.225692,0.161112,2.225692,0.17591,0.968152,0.188243,0.027247,0.032381
US,NFLX,Q3,2023-09-30,2023-10-20,0.422737,0.244052,0.196381,0.075875,0.033886,1.292702,0.553397,1.239127,0.172553,2.239127,0.233247,1.187724,0.245414,0.077733,0.199665
US,NFLX,Q4,2023-12-31,2024-01-26,0.399118,0.155345,0.106176,0.045552,0.019245,1.119345,0.57752,1.366974,0.181253,2.366974,0.188277,1.773242,0.197518,0.124906,15.964004
US,NFLX,Q1,2024-03-31,2024-04-22,0.468854,0.29752,0.24889,0.109158,0.047764,1.068046,0.562433,1.285363,0.191908,2.285363,0.236117,0.948681,0.244197,0.148127,0.786969
US,NFLX,Q2,2024-06-30,2024-07-19,0.458733,0.280548,0.22463,0.097107,0.043734,0.948279,0.54963,1.220394,0.194695,2.220394,0.135036,0.601147,0.143225,0.167578,0.44346
US,NFLX,Q3,2024-09-30,2024-10-18,0.478876,0.296139,0.240568,0.104024,0.045207,1.132806,0.565418,1.301063,0.187918,2.301063,0.236252,0.982057,0.249164,0.150209,0.409013
US,NFLX,Q4,2024-12-31,2025-01-27,0.437139,0.227089,0.182365,0.075519,0.034842,1.218028,0.538628,1.167447,0.191058,2.167447,0.149992,0.822481,0.165478,0.160049,0.992462
US,NFLX,Q1,2025-03-31,2025-04-18,0.500783,0.322296,0.274154,0.120291,0.05549,1.203643,0.538699,1.167783,0.202405,2.167783,0.26456,0.965004,0.276727,0.125113,0.239319
US,NFLX,Q2,2025-06-30,2025-07-18,0.51934,0.344279,0.282098,0.125258,0.058859,1.34116,0.530093,1.128081,0.208649,2.128081,0.218722,0.77534,0.232793,0.158992,0.455504
US,NFLX,Q3,2025-09-30,2025-10-22,0.464458,0.285371,0.221273,0.098132,0.046362,1.33201,0.527549,1.11662,0.209527,2.11662,0.245447,1.109253,0.259758,0.171568,0.077599
US,NFLX,Q4,2025-12-31,2026-01-23,0.458738,0.249124,0.200694,0.090869,0.043501,1.185709,0.521278,1.088896,0.216752,2.088896,0.175229,0.873113,0.195089,0.176084,0.294291
US,NFLX,Q1,2026-03-31,2026-04-17,0.519318,0.555861,0.431257,0.169721,0.086581,1.407153,0.489864,0.960263,0.200763,1.960263,0.431862,1.001403,0.447873,0.161907,0.827733
