code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
NFLX,奈飞,US,USD,Q2,2016-06-30,2016-07-19,2105204000.0,632106000.0,86687000.0,51232000.0,10477000.0,40755000.0,40755000.0,0.009511462531769054,11593507000.0,5386918000.0,6206589000.0,1390925000.0,0.0,162864000.0,9177673000.0,4051837000.0,5125836000.0,240458000.0,2415834000.0,2415834000.0,-226293000.0,-2896000.0,-28738000.0,17612000.0
NFLX,奈飞,US,USD,Q3,2016-09-30,2016-10-19,2290188000.0,757344000.0,114663000.0,79127000.0,27610000.0,51517000.0,51517000.0,0.012010388471966746,12347338000.0,5193893000.0,7153445000.0,969158000.0,0.0,191876000.0,9818372000.0,4411405000.0,5406967000.0,285753000.0,2528966000.0,2528966000.0,-461941000.0,23976000.0,-44615000.0,16639000.0
NFLX,奈飞,US,USD,Q4,2016-12-31,2017-01-27,2477541000.0,823122000.0,133855000.0,90269000.0,23521000.0,66748000.0,66748000.0,0.015532254536485022,13586610000.0,5720291000.0,7866319000.0,1467576000.0,0.0,250395000.0,10906810000.0,4586657000.0,6320153000.0,312842000.0,2679800000.0,2679800000.0,-557160000.0,24422000.0,-79845000.0,1042472000.0
NFLX,奈飞,US,USD,Q1,2017-03-31,2017-04-19,2636635000.0,979611000.0,270534000.0,223792000.0,45570000.0,178222000.0,178222000.0,0.041389224338132836,14359096000.0,5660330000.0,8698766000.0,1077824000.0,0.0,275083000.0,11385413000.0,4911229000.0,6474184000.0,294831000.0,2973683000.0,2973683000.0,-343856000.0,-75590000.0,-77895000.0,24239000.0
NFLX,奈飞,US,USD,Q2,2017-06-30,2017-07-19,2785464000.0,883156000.0,127807000.0,13962000.0,-51638000.0,65600000.0,65600000.0,0.015206446049569305,16517223000.0,6700785000.0,9816438000.0,1918777000.0,0.0,309831000.0,13404723000.0,5122945000.0,8281778000.0,273398000.0,3112500000.0,3112500000.0,-534528000.0,-56432000.0,-72855000.0,1420386000.0
NFLX,奈飞,US,USD,Q3,2017-09-30,2017-10-18,2984859000.0,991879000.0,208627000.0,116237000.0,-13353000.0,129590000.0,129590000.0,0.02996965800501383,16951540000.0,6385348000.0,10566192000.0,1746469000.0,0.0,322421000.0,13624179000.0,5310677000.0,8313502000.0,301443000.0,3327361000.0,3327361000.0,-419607000.0,202192000.0,-44180000.0,34422000.0
NFLX,奈飞,US,USD,Q4,2017-12-31,2018-01-29,3285755000.0,1178401000.0,245303000.0,131330000.0,-54187000.0,185517000.0,185517000.0,0.042833889006898974,19012742000.0,7669974000.0,11342768000.0,2822795000.0,0.0,319404000.0,15430786000.0,5466312000.0,9964474000.0,359555000.0,3581956000.0,3581956000.0,-487957000.0,-35841000.0,-32092000.0,1597943000.0
NFLX,奈飞,US,USD,Q1,2018-03-31,2018-04-18,3700856000.0,1504781000.0,446578000.0,299616000.0,9492000.0,290124000.0,290124000.0,0.06682205751611105,20152797000.0,7817576000.0,12335221000.0,2593666000.0,0.0,341932000.0,16132067000.0,6005587000.0,10126480000.0,436183000.0,4020730000.0,4020730000.0,-236757000.0,-49752000.0,-47966000.0,56014000.0
NFLX,奈飞,US,USD,Q2,2018-06-30,2018-07-18,3907270000.0,1617403000.0,530241000.0,428636000.0,44287000.0,384349000.0,384349000.0,0.0883363939535322,22663537000.0,9346889000.0,13316648000.0,3906357000.0,0.0,349646000.0,18166937000.0,6079641000.0,12087296000.0,448219000.0,4496600000.0,4496600000.0,-518239000.0,-40316000.0,-39875000.0,1909412000.0
NFLX,奈飞,US,USD,Q3,2018-09-30,2018-10-18,3999374000.0,1587028000.0,487672000.0,378810000.0,-24025000.0,402835000.0,402835000.0,0.09243384143053493,23366229000.0,8729981000.0,14636248000.0,3067534000.0,0.0,371152000.0,18356576000.0,6298240000.0,12058336000.0,441427000.0,5009653000.0,5009653000.0,-690411000.0,-168694000.0,-47064000.0,29237000.0
NFLX,奈飞,US,USD,Q4,2018-12-31,2019-01-29,4186841000.0,1453441000.0,248203000.0,119396000.0,-14538000.0,133934000.0,133934000.0,0.030691705718574196,25974400000.0,9694135000.0,16280265000.0,3794483000.0,362712000.0,418281000.0,20735635000.0,6487320000.0,14248315000.0,562985000.0,5238765000.0,5238765000.0,-1235072000.0,-80358000.0,-77627000.0,2053864000.0
NFLX,奈飞,US,USD,Q1,2019-03-31,2019-04-18,4520992000.0,1650378000.0,535188000.0,399659000.0,55607000.0,344052000.0,344052000.0,0.07873998448324396,27218632000.0,4168907000.0,23049725000.0,3348557000.0,432955000.0,434372000.0,21515574000.0,6857807000.0,14657767000.0,439496000.0,5703058000.0,5703058000.0,-379799000.0,-80103000.0,-69551000.0,22972000.0
NFLX,奈飞,US,USD,Q2,2019-06-30,2019-07-19,4923116000.0,1917459000.0,706419000.0,500916000.0,230266000.0,270650000.0,270650000.0,0.06185055771766529,30171339000.0,5877157000.0,24294182000.0,5004247000.0,492034000.0,452399000.0,24065791000.0,6933984000.0,17131807000.0,442194000.0,6105548000.0,6105548000.0,-543754000.0,-50036000.0,-47382000.0,2246900000.0
NFLX,奈飞,US,USD,Q3,2019-09-30,2019-10-18,5244905000.0,2146986000.0,1172983000.0,1012323000.0,347079000.0,665244000.0,665244000.0,0.15185098952270082,30941711000.0,5327758000.0,25613953000.0,4435018000.0,466168000.0,481992000.0,24080206000.0,7257900000.0,16822306000.0,444129000.0,6861505000.0,6861505000.0,-501794000.0,-49354000.0,-49967000.0,11989000.0
NFLX,奈飞,US,USD,Q4,2019-12-31,2020-01-29,5467434000.0,2001411000.0,327134000.0,149333000.0,-437637000.0,586970000.0,586970000.0,0.1338442629866354,33975712000.0,6178504000.0,27797208000.0,5018437000.0,454399000.0,565221000.0,26393555000.0,6855696000.0,19537859000.0,674347000.0,7582157000.0,7582157000.0,-1461975000.0,-207571000.0,-107737000.0,2223801000.0
NFLX,奈飞,US,USD,Q1,2020-03-31,2020-04-21,5767691000.0,2167990000.0,979953000.0,795870000.0,86803000.0,709067000.0,709067000.0,0.16138927329339572,35059910000.0,6447781000.0,28612129000.0,5151884000.0,539916000.0,650455000.0,26650616000.0,7853725000.0,18796891000.0,545488000.0,8409294000.0,8409294000.0,259912000.0,-98303000.0,-98015000.0,43694000.0
NFLX,奈飞,US,USD,Q2,2020-06-30,2020-07-20,6148286000.0,2504579000.0,1357928000.0,1035602000.0,315406000.0,720196000.0,720196000.0,0.16346951328849738,37175281000.0,8564139000.0,28611142000.0,7153248000.0,565668000.0,751941000.0,27840528000.0,7626418000.0,20214110000.0,446668000.0,9334753000.0,9334753000.0,1041076000.0,-142001000.0,-141741000.0,1090965000.0
NFLX,奈飞,US,USD,Q3,2020-09-30,2020-10-22,6435637000.0,2567886000.0,1314863000.0,861460000.0,71484000.0,789976000.0,789976000.0,0.17891947473081993,38622543000.0,9826480000.0,28796063000.0,8392391000.0,604789000.0,828118000.0,28289220000.0,7939795000.0,20349425000.0,541298000.0,10333323000.0,10333323000.0,1263761000.0,-118651000.0,-109811000.0,68665000.0
NFLX,奈飞,US,USD,Q4,2020-12-31,2021-01-28,6644442000.0,2479282000.0,954242000.0,506417000.0,-35739000.0,542156000.0,542156000.0,0.12259870652616345,39280359000.0,9761580000.0,29518779000.0,8205550000.0,610819000.0,960183000.0,28215119000.0,7805785000.0,20409334000.0,656183000.0,11065240000.0,11065240000.0,-137672000.0,-146399000.0,-148356000.0,33987000.0
NFLX,奈飞,US,USD,Q1,2021-03-31,2021-04-22,7163282000.0,3294771000.0,2228942000.0,2034502000.0,327787000.0,1706715000.0,1706715000.0,0.3850682724762197,40123014000.0,10107508000.0,30015506000.0,8403705000.0,807036000.0,1015419000.0,27238934000.0,7961770000.0,19277164000.0,532942000.0,12884080000.0,12884080000.0,777266000.0,-85616000.0,-81001000.0,-451929000.0
NFLX,奈飞,US,USD,Q2,2021-06-30,2021-07-22,7341777000.0,3323769000.0,1847630000.0,1593789000.0,240776000.0,1353013000.0,1353013000.0,0.30531096062587015,40970969000.0,9604276000.0,31366693000.0,7777530000.0,775222000.0,1107437000.0,27107098000.0,7832888000.0,19274210000.0,622931000.0,13863871000.0,13863871000.0,-63761000.0,-111278000.0,-110278000.0,-480273000.0
NFLX,奈飞,US,USD,Q3,2021-09-30,2021-10-21,7483467000.0,3276878000.0,1851388000.0,1660959000.0,211888000.0,1449071000.0,1449071000.0,0.32726806661577584,42739857000.0,9415787000.0,33324070000.0,7526681000.0,782350000.0,1220114000.0,27425240000.0,8049246000.0,19375994000.0,643059000.0,15314617000.0,15314617000.0,82379000.0,-188631000.0,-167327000.0,-81555000.0
NFLX,奈飞,US,USD,Q4,2021-12-31,2022-01-27,7709318000.0,2469743000.0,740282000.0,550853000.0,-56576000.0,607429000.0,607429000.0,0.13697430670497135,44584663000.0,8069825000.0,36514838000.0,6027804000.0,804320000.0,1323453000.0,28735415000.0,8488966000.0,20246449000.0,837483000.0,15849248000.0,15849248000.0,-403274000.0,-954328000.0,-165979000.0,-136019000.0
NFLX,奈飞,US,USD,Q1,2022-03-31,2022-04-21,7867767000.0,3583062000.0,2167271000.0,1979692000.0,382245000.0,1597447000.0,1597447000.0,0.35966709145190995,45330904000.0,8098015000.0,37232889000.0,6008946000.0,824650000.0,1383763000.0,27786865000.0,7739656000.0,20047209000.0,617202000.0,17544039000.0,17544039000.0,922839000.0,-245679000.0,-121158000.0,-686322000.0
NFLX,奈飞,US,USD,Q2,2022-06-30,2022-07-21,7970141000.0,3279386000.0,1798509000.0,1623054000.0,182103000.0,1440951000.0,1440951000.0,0.32413188859921227,46350935000.0,7840778000.0,38510157000.0,5819449000.0,765386000.0,1361920000.0,27274961000.0,7500022000.0,19774939000.0,504278000.0,19075974000.0,19075974000.0,102750000.0,-158894000.0,-90018000.0,11250000.0
NFLX,奈飞,US,USD,Q3,2022-09-30,2022-10-20,7925589000.0,3136924000.0,1794422000.0,1621847000.0,223605000.0,1398242000.0,1398242000.0,0.31429785244493996,47562187000.0,8816903000.0,38745284000.0,6113733000.0,875042000.0,1372754000.0,27034046000.0,7765924000.0,19268122000.0,560156000.0,20528141000.0,20528141000.0,556810000.0,-84960000.0,-84960000.0,4113000.0
NFLX,奈飞,US,USD,Q4,2022-12-31,2023-01-26,7852053000.0,2447893000.0,209939000.0,39336000.0,-15948000.0,55284000.0,55284000.0,0.012417789757412399,48594768000.0,9266473000.0,39328295000.0,5147176000.0,988898000.0,1398257000.0,27817367000.0,7930974000.0,19886393000.0,671513000.0,20777401000.0,20777401000.0,443858000.0,-1586859000.0,-111593000.0,6705000.0
NFLX,奈飞,US,USD,Q1,2023-03-31,2023-04-21,8161503000.0,3357878000.0,1714317000.0,1468874000.0,163754000.0,1305120000.0,1305120000.0,0.293124668720971,49490345000.0,10482623000.0,39007722000.0,6714594000.0,1025509000.0,1413094000.0,27662149000.0,8316070000.0,19346079000.0,591987000.0,21828196000.0,21828196000.0,2178740000.0,-263653000.0,-62019000.0,-374073000.0
NFLX,奈飞,US,USD,Q2,2023-06-30,2023-07-21,8187301000.0,3513831000.0,1854144000.0,1679332000.0,191722000.0,1487610000.0,1487610000.0,0.3351371200839865,50817473000.0,11506336000.0,39311137000.0,7662788000.0,1218326000.0,3659700000.0,27985258000.0,8675805000.0,19309453000.0,615374000.0,22832215000.0,22832215000.0,1440232000.0,97737000.0,-100972000.0,-649349000.0
NFLX,奈飞,US,USD,Q3,2023-09-30,2023-10-20,8541668000.0,3610880000.0,2084612000.0,1909049000.0,231627000.0,1677422000.0,1677422000.0,0.3799051948081361,49501786000.0,10779474000.0,38722312000.0,7353245000.0,1139974000.0,1498391000.0,27394159000.0,8338718000.0,19055441000.0,534429000.0,22107627000.0,22107627000.0,1992315000.0,296071000.0,-103929000.0,-2475108000.0
NFLX,奈飞,US,USD,Q4,2023-12-31,2024-01-26,8832825000.0,3525340000.0,1372134000.0,1148150000.0,210312000.0,937838000.0,937838000.0,0.2123866830022805,48731992000.0,9918133000.0,38813859000.0,7116913000.0,1287054000.0,1491444000.0,28143679000.0,8860655000.0,19283024000.0,747412000.0,20588313000.0,20588313000.0,1663014000.0,411596000.0,-81632000.0,-2452273000.0
NFLX,奈飞,US,USD,Q1,2024-03-31,2024-04-22,9370440000.0,4393367000.0,2787893000.0,2614579000.0,282370000.0,2332209000.0,2332209000.0,0.5397507463722836,48827721000.0,9921313000.0,38906408000.0,7024766000.0,1228691000.0,1501168000.0,27462311000.0,9289217000.0,18173094000.0,607348000.0,21365410000.0,21365410000.0,2212522000.0,-75714000.0,-75714000.0,-2132944000.0
NFLX,奈飞,US,USD,Q2,2024-06-30,2024-07-19,9559310000.0,4385167000.0,2681842000.0,2513856000.0,366550000.0,2147306000.0,2147306000.0,0.4992980130910444,49098895000.0,9615553000.0,39483342000.0,6624939000.0,1276359000.0,1510958000.0,26986202000.0,10139999000.0,16846203000.0,598557000.0,22112693000.0,22112693000.0,1290847000.0,-78287000.0,-78287000.0,-1489381000.0
NFLX,奈飞,US,USD,Q3,2024-09-30,2024-10-18,9824703000.0,4704819000.0,2909477000.0,2702954000.0,339445000.0,2363509000.0,2363509000.0,0.5519135342647447,52281844000.0,12129099000.0,40152745000.0,7457025000.0,1217659000.0,1568212000.0,29561108000.0,10707126000.0,18853982000.0,641953000.0,22720736000.0,22720736000.0,2321101000.0,-1869109000.0,-126863000.0,226596000.0
NFLX,奈飞,US,USD,Q4,2024-12-31,2025-01-27,10246513000.0,4479149000.0,2326871000.0,2134268000.0,265661000.0,1868607000.0,1868607000.0,0.4368803131049575,53630374000.0,13100379000.0,40529995000.0,7804733000.0,1335304000.0,1593756000.0,28886807000.0,10755400000.0,18131407000.0,899909000.0,24743567000.0,24743567000.0,1536894000.0,-158674000.0,-158674000.0,-678698000.0
NFLX,奈飞,US,USD,Q1,2025-03-31,2025-04-18,10542801000.0,5279654000.0,3397898000.0,3213726000.0,323375000.0,2890351000.0,2890351000.0,0.6764694455496525,52087644000.0,11697632000.0,40390012000.0,7199848000.0,1447986000.0,1644346000.0,28059571000.0,9718519000.0,18341052000.0,614489000.0,24028073000.0,24028073000.0,2789199000.0,485662000.0,-128277000.0,-4028316000.0
NFLX,奈飞,US,USD,Q2,2025-06-30,2025-07-18,11079166000.0,5753855000.0,3814324000.0,3631675000.0,506262000.0,3125413000.0,3125413000.0,0.7350263751408125,53099664000.0,11993106000.0,41106558000.0,8177405000.0,1579859000.0,1743566000.0,28147765000.0,8942335000.0,19205430000.0,632718000.0,24951899000.0,24951899000.0,2423258000.0,768684000.0,-155889000.0,-2502868000.0
NFLX,奈飞,US,USD,Q3,2025-09-30,2025-10-22,11510307000.0,5346057000.0,3284704000.0,3109410000.0,562494000.0,2546916000.0,2546916000.0,0.6000438208997421,54934835000.0,12962935000.0,41971900000.0,9287287000.0,1688793000.0,1837889000.0,28980800000.0,9731859000.0,19248941000.0,793233000.0,25954035000.0,25954035000.0,2825174000.0,43871000.0,-164719000.0,-1737029000.0
NFLX,奈飞,US,USD,Q4,2025-12-31,2026-01-23,12050762000.0,5528141000.0,3002136000.0,2767741000.0,349220000.0,2418521000.0,2418521000.0,0.571859687635146,55596993000.0,13020191000.0,42576802000.0,9033681000.0,2031476000.0,2004350000.0,28981505000.0,10980930000.0,18000575000.0,900612000.0,26615488000.0,26615488000.0,2111642000.0,-256529000.0,-239335000.0,-2077410000.0
NFLX,奈飞,US,USD,Q1,2026-03-31,2026-04-17,12249757000.0,6361519000.0,6809163000.0,6547086000.0,1264295000.0,5282791000.0,5282791000.0,1.2510200017192437,61015914000.0,17070982000.0,43944932000.0,11626404000.0,2003720000.0,4248299000.0,29889515000.0,12131578000.0,17757937000.0,894681000.0,31126399000.0,31126399000.0,5290205000.0,-781874000.0,-196130000.0,-1230814000.0
