code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
NVDA,英伟达,US,USD,Q2,2016-07-31,2016-08-23,1428000000.0,826000000.0,329000000.0,317000000.0,56000000.0,261000000.0,261000000.0,0.012219101123595505,7461000000.0,6156000000.0,1305000000.0,426000000.0,644000000.0,485000000.0,2981000000.0,2479000000.0,502000000.0,423000000.0,4480000000.0,4480000000.0,200000000.0,-269000000.0,-32000000.0,-52000000.0
NVDA,英伟达,US,USD,Q3,2016-10-30,2016-11-22,2004000000.0,1183000000.0,637000000.0,621000000.0,79000000.0,542000000.0,542000000.0,0.025185873605947956,9612000000.0,8307000000.0,1305000000.0,1940000000.0,833000000.0,503000000.0,4288000000.0,2086000000.0,2202000000.0,523000000.0,5324000000.0,5324000000.0,432000000.0,-327000000.0,-38000000.0,1409000000.0
NVDA,英伟达,US,USD,Q4,2017-01-29,2017-03-01,2173000000.0,1303000000.0,744000000.0,725000000.0,71000000.0,654000000.0,654000000.0,0.029566003616636527,9841000000.0,8536000000.0,1305000000.0,1766000000.0,826000000.0,521000000.0,4079000000.0,1819000000.0,2260000000.0,485000000.0,5762000000.0,5762000000.0,721000000.0,-373000000.0,-51000000.0,-522000000.0
NVDA,英伟达,US,USD,Q1,2017-04-30,2017-05-23,1937000000.0,1150000000.0,552000000.0,536000000.0,29000000.0,507000000.0,507000000.0,0.021410472972972973,9410000000.0,8116000000.0,1294000000.0,1989000000.0,976000000.0,539000000.0,3278000000.0,990000000.0,2288000000.0,348000000.0,6132000000.0,6132000000.0,282000000.0,754000000.0,-54000000.0,-813000000.0
NVDA,英伟达,US,USD,Q2,2017-07-30,2017-08-23,2230000000.0,1302000000.0,699000000.0,684000000.0,101000000.0,583000000.0,583000000.0,0.024413735343383584,9402000000.0,8070000000.0,1332000000.0,1988000000.0,1213000000.0,578000000.0,3429000000.0,1034000000.0,2395000000.0,431000000.0,5973000000.0,5973000000.0,705000000.0,262000000.0,-54000000.0,-968000000.0
NVDA,英伟达,US,USD,Q3,2017-10-29,2017-11-21,2636000000.0,1569000000.0,911000000.0,896000000.0,58000000.0,838000000.0,838000000.0,0.03474295190713101,9830000000.0,8479000000.0,1351000000.0,2802000000.0,1167000000.0,600000000.0,3478000000.0,1028000000.0,2450000000.0,511000000.0,6352000000.0,6352000000.0,1157000000.0,286000000.0,-69000000.0,-629000000.0
NVDA,英伟达,US,USD,Q4,2018-01-28,2018-02-28,2911000000.0,1801000000.0,1094000000.0,1079000000.0,-40000000.0,1119000000.0,1119000000.0,0.04616336633663366,11241000000.0,9255000000.0,1986000000.0,4002000000.0,1265000000.0,997000000.0,3770000000.0,1153000000.0,2617000000.0,596000000.0,7471000000.0,7471000000.0,1358000000.0,-24000000.0,-416000000.0,-134000000.0
NVDA,英伟达,US,USD,Q1,2018-04-29,2018-05-22,3207000000.0,2068000000.0,1326000000.0,1311000000.0,67000000.0,1244000000.0,1244000000.0,0.05132013201320132,11460000000.0,9448000000.0,2012000000.0,765000000.0,1220000000.0,1066000000.0,3743000000.0,1106000000.0,2637000000.0,623000000.0,7717000000.0,7717000000.0,1445000000.0,-3551000000.0,-118000000.0,-1131000000.0
NVDA,英伟达,US,USD,Q2,2018-07-29,2018-08-16,3123000000.0,1975000000.0,1194000000.0,1180000000.0,79000000.0,1101000000.0,1101000000.0,0.04534596375617792,12882000000.0,10831000000.0,2051000000.0,718000000.0,1662000000.0,1162000000.0,4087000000.0,1462000000.0,2625000000.0,800000000.0,8795000000.0,8795000000.0,913000000.0,-805000000.0,-129000000.0,-155000000.0
NVDA,英伟达,US,USD,Q3,2018-10-28,2018-11-15,3181000000.0,1921000000.0,1096000000.0,1081000000.0,-149000000.0,1230000000.0,1230000000.0,0.050492610837438424,13657000000.0,11386000000.0,2271000000.0,721000000.0,2219000000.0,1292000000.0,4182000000.0,1608000000.0,2574000000.0,902000000.0,9475000000.0,9475000000.0,487000000.0,219000000.0,-150000000.0,-703000000.0
NVDA,英伟达,US,USD,Q4,2019-01-27,2019-02-21,2205000000.0,1207000000.0,338000000.0,324000000.0,-242000000.0,566000000.0,566000000.0,0.023234811165845647,13292000000.0,10557000000.0,2735000000.0,782000000.0,1424000000.0,1404000000.0,3950000000.0,1329000000.0,2621000000.0,511000000.0,9342000000.0,9342000000.0,898000000.0,40000000.0,-203000000.0,-877000000.0
NVDA,英伟达,US,USD,Q1,2019-04-28,2019-05-16,2220000000.0,1296000000.0,402000000.0,389000000.0,-5000000.0,394000000.0,394000000.0,0.016227347611202637,14021000000.0,10629000000.0,3392000000.0,2772000000.0,1242000000.0,2009000000.0,4317000000.0,1183000000.0,3134000000.0,368000000.0,9704000000.0,9704000000.0,720000000.0,1495000000.0,-128000000.0,-225000000.0
NVDA,英伟达,US,USD,Q2,2019-07-28,2019-08-15,2579000000.0,1541000000.0,619000000.0,606000000.0,54000000.0,552000000.0,552000000.0,0.022660098522167486,14775000000.0,11391000000.0,3384000000.0,7105000000.0,1561000000.0,2019000000.0,4439000000.0,1317000000.0,3122000000.0,437000000.0,10336000000.0,10336000000.0,936000000.0,3545000000.0,-113000000.0,-148000000.0
NVDA,英伟达,US,USD,Q3,2019-10-27,2019-11-14,3014000000.0,1916000000.0,972000000.0,959000000.0,60000000.0,899000000.0,899000000.0,0.03684426229508197,15810000000.0,12420000000.0,3390000000.0,9765000000.0,1455000000.0,2044000000.0,4596000000.0,1475000000.0,3121000000.0,591000000.0,11214000000.0,11214000000.0,1640000000.0,1256000000.0,-103000000.0,-236000000.0
NVDA,英伟达,US,USD,Q4,2020-01-26,2020-02-20,3105000000.0,2015000000.0,1029000000.0,1016000000.0,65000000.0,951000000.0,951000000.0,0.038848039215686275,17315000000.0,13690000000.0,3625000000.0,10896000000.0,1657000000.0,2292000000.0,5111000000.0,1784000000.0,3327000000.0,687000000.0,12204000000.0,12204000000.0,1465000000.0,-151000000.0,-145000000.0,-183000000.0
NVDA,英伟达,US,USD,Q1,2020-04-26,2020-05-21,3080000000.0,2004000000.0,1006000000.0,981000000.0,64000000.0,917000000.0,917000000.0,0.0373371335504886,23254000000.0,19584000000.0,3670000000.0,15494000000.0,1907000000.0,2310000000.0,10155000000.0,1903000000.0,8252000000.0,761000000.0,13099000000.0,13099000000.0,909000000.0,-1055000000.0,-155000000.0,4744000000.0
NVDA,英伟达,US,USD,Q2,2020-07-26,2020-08-19,3866000000.0,2275000000.0,663000000.0,609000000.0,-13000000.0,622000000.0,622000000.0,0.025243506493506495,25180000000.0,14681000000.0,10499000000.0,3274000000.0,2084000000.0,2665000000.0,11266000000.0,2410000000.0,8856000000.0,893000000.0,13914000000.0,13914000000.0,1567000000.0,-13490000000.0,-217000000.0,-297000000.0
NVDA,英伟达,US,USD,Q3,2020-10-25,2020-11-18,4726000000.0,2960000000.0,1401000000.0,1348000000.0,12000000.0,1336000000.0,1336000000.0,0.0540453074433657,26881000000.0,14393000000.0,12488000000.0,2251000000.0,2546000000.0,2740000000.0,11547000000.0,3669000000.0,7878000000.0,1097000000.0,15334000000.0,15334000000.0,1279000000.0,-2001000000.0,-473000000.0,-301000000.0
NVDA,英伟达,US,USD,Q4,2021-01-31,2021-02-26,5003000000.0,3156000000.0,1523000000.0,1470000000.0,13000000.0,1457000000.0,1457000000.0,0.058844911147011306,28791000000.0,16055000000.0,12736000000.0,847000000.0,2429000000.0,2856000000.0,11898000000.0,3925000000.0,7973000000.0,1149000000.0,16893000000.0,16893000000.0,2067000000.0,-3129000000.0,-283000000.0,-342000000.0
NVDA,英伟达,US,USD,Q1,2021-05-02,2021-05-26,5661000000.0,3629000000.0,2097000000.0,2044000000.0,132000000.0,1912000000.0,1912000000.0,0.07697262479871175,30796000000.0,18127000000.0,12669000000.0,978000000.0,3024000000.0,2995000000.0,12022000000.0,4004000000.0,8018000000.0,1218000000.0,18774000000.0,18774000000.0,1874000000.0,-1272000000.0,-298000000.0,-471000000.0
NVDA,英伟达,US,USD,Q2,2021-08-01,2021-08-20,6507000000.0,4215000000.0,2454000000.0,2394000000.0,20000000.0,2374000000.0,2374000000.0,0.09522663457681509,38650000000.0,25806000000.0,12844000000.0,5628000000.0,3586000000.0,3165000000.0,17503000000.0,4448000000.0,13055000000.0,1474000000.0,21147000000.0,21147000000.0,2682000000.0,-2533000000.0,-183000000.0,4501000000.0
NVDA,英伟达,US,USD,Q3,2021-10-31,2021-11-19,7103000000.0,4631000000.0,2700000000.0,2638000000.0,174000000.0,2464000000.0,2464000000.0,0.09859943977591036,40632000000.0,25806000000.0,14826000000.0,1288000000.0,3954000000.0,3339000000.0,16834000000.0,3612000000.0,13222000000.0,1664000000.0,23798000000.0,23798000000.0,1519000000.0,-4439000000.0,-222000000.0,-1420000000.0
NVDA,英伟达,US,USD,Q4,2022-01-30,2022-03-17,7643000000.0,4999000000.0,2926000000.0,2865000000.0,-138000000.0,3003000000.0,3003000000.0,0.11992811501597445,44187000000.0,28829000000.0,15358000000.0,1990000000.0,4650000000.0,3607000000.0,17575000000.0,4335000000.0,13240000000.0,1783000000.0,26612000000.0,26612000000.0,3033000000.0,-1586000000.0,-273000000.0,-745000000.0
NVDA,英伟达,US,USD,Q1,2022-05-01,2022-05-27,8288000000.0,5431000000.0,1873000000.0,1805000000.0,187000000.0,1618000000.0,1618000000.0,0.06456504389465283,45212000000.0,29575000000.0,15637000000.0,3887000000.0,5438000000.0,3772000000.0,18892000000.0,5562000000.0,13330000000.0,1999000000.0,26320000000.0,26320000000.0,1731000000.0,2612000000.0,-361000000.0,-2446000000.0
NVDA,英伟达,US,USD,Q2,2022-07-31,2022-08-31,6704000000.0,2915000000.0,540000000.0,475000000.0,-181000000.0,656000000.0,656000000.0,0.026292585170340683,43476000000.0,27418000000.0,16058000000.0,3013000000.0,5317000000.0,4085000000.0,19625000000.0,7573000000.0,12052000000.0,2421000000.0,23851000000.0,23851000000.0,1270000000.0,1618000000.0,-433000000.0,-3762000000.0
NVDA,英伟达,US,USD,Q3,2022-10-30,2022-11-18,5931000000.0,3177000000.0,678000000.0,613000000.0,-67000000.0,680000000.0,680000000.0,0.02738622633910592,40488000000.0,23223000000.0,17265000000.0,2800000000.0,4908000000.0,4701000000.0,19139000000.0,6855000000.0,12284000000.0,1491000000.0,21349000000.0,21349000000.0,392000000.0,3148000000.0,-530000000.0,-3753000000.0
NVDA,英伟达,US,USD,Q4,2023-01-29,2023-02-24,6051000000.0,3833000000.0,1352000000.0,1288000000.0,-126000000.0,1414000000.0,1414000000.0,0.05738636363636364,41182000000.0,23073000000.0,18109000000.0,3389000000.0,3827000000.0,4845000000.0,19081000000.0,6563000000.0,12518000000.0,1193000000.0,22101000000.0,22101000000.0,2248000000.0,-3000000.0,-509000000.0,-1656000000.0
NVDA,英伟达,US,USD,Q1,2023-04-30,2023-05-26,7192000000.0,4648000000.0,2275000000.0,2209000000.0,166000000.0,2043000000.0,2043000000.0,0.08271255060728745,44460000000.0,24883000000.0,19577000000.0,5079000000.0,4080000000.0,4834000000.0,19940000000.0,7260000000.0,12680000000.0,1141000000.0,24520000000.0,24520000000.0,2911000000.0,-841000000.0,-248000000.0,-380000000.0
NVDA,英伟达,US,USD,Q2,2023-07-30,2023-08-25,13507000000.0,9462000000.0,7046000000.0,6981000000.0,793000000.0,6188000000.0,6188000000.0,0.2502224019409624,49555000000.0,28797000000.0,20758000000.0,5783000000.0,7066000000.0,5034000000.0,22054000000.0,10334000000.0,11720000000.0,1929000000.0,27501000000.0,27501000000.0,6348000000.0,-446000000.0,-289000000.0,-5099000000.0
NVDA,英伟达,US,USD,Q3,2023-10-29,2023-11-21,18120000000.0,13400000000.0,10585000000.0,10522000000.0,1279000000.0,9243000000.0,9243000000.0,0.3745137763371151,54148000000.0,32658000000.0,21490000000.0,5519000000.0,8309000000.0,5160000000.0,20883000000.0,9101000000.0,11782000000.0,2380000000.0,33265000000.0,33265000000.0,7332000000.0,-3170000000.0,-278000000.0,-4525000000.0
NVDA,英伟达,US,USD,Q4,2024-01-28,2024-02-21,22103000000.0,16791000000.0,14169000000.0,14106000000.0,1821000000.0,12285000000.0,12285000000.0,0.4981751824817518,65728000000.0,44345000000.0,21383000000.0,7280000000.0,9999000000.0,5260000000.0,22750000000.0,10631000000.0,12119000000.0,2699000000.0,42978000000.0,42978000000.0,11499000000.0,-6109000000.0,-254000000.0,-3629000000.0
NVDA,英伟达,US,USD,Q1,2024-04-28,2024-05-29,26044000000.0,20406000000.0,17343000000.0,17279000000.0,2398000000.0,14881000000.0,14881000000.0,0.6044272948822096,77072000000.0,53729000000.0,23343000000.0,7587000000.0,12365000000.0,5538000000.0,27930000000.0,15223000000.0,12707000000.0,2715000000.0,49142000000.0,49142000000.0,15345000000.0,-5693000000.0,-369000000.0,-9345000000.0
