country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,NVDA,2016-06-23,,,,,,1.18,1.18,0.0,0.0,0.0,,,,0.02,
US,NVDA,2016-06-24,-5.932203,,,,,1.169231,1.174815,-0.005584,-0.001117,-0.008934,0.0,,,0.024286,
US,NVDA,2016-06-27,-0.900901,,,,,1.15858,1.169273,-0.010693,-0.003032,-0.015322,0.0,,,0.024694,
US,NVDA,2016-06-28,1.818182,,,,,1.152645,1.165623,-0.012979,-0.005021,-0.015914,2.287582,,,0.024359,
US,NVDA,2016-06-29,1.785714,1.13,,,,1.150699,1.163725,-0.013026,-0.006622,-0.012807,4.636899,,,0.024762,12333779.6
US,NVDA,2016-06-30,0.877193,1.124,,,,1.150592,1.162708,-0.012117,-0.007721,-0.008791,5.855722,,,0.024421,12999079.6
US,NVDA,2016-07-01,-0.869565,1.13,,,,1.148962,1.161026,-0.012064,-0.00859,-0.006949,5.776218,,,0.024106,9003097.4
US,NVDA,2016-07-05,0.877193,1.14,,,,1.149122,1.16021,-0.011088,-0.009089,-0.003997,7.134059,,,0.025241,8606820.0
US,NVDA,2016-07-06,0.869565,1.148,,,,1.150795,1.160194,-0.009399,-0.009151,-0.000495,8.553253,,,0.025581,8062740.0
US,NVDA,2016-07-07,2.586207,1.158,1.144,,,1.156827,1.162402,-0.005575,-0.008436,0.005722,12.855836,,,0.026611,8445080.0
US,NVDA,2016-07-08,4.201681,1.176,1.15,,,1.169623,1.16815,0.001473,-0.006454,0.015854,19.641989,,,0.028996,8700040.0
US,NVDA,2016-07-11,2.419355,1.202,1.166,,,1.185065,1.175694,0.009371,-0.003289,0.02532,23.491715,,,0.029782,9851487.4
US,NVDA,2016-07-12,1.574803,1.23,1.185,,,1.201209,1.184161,0.017048,0.000778,0.032539,26.035709,,,0.029797,10179876.4
US,NVDA,2016-07-13,0.0,1.256,1.202,,,1.214869,1.192001,0.022868,0.005196,0.035344,26.035709,,,0.028383,10437382.4
US,NVDA,2016-07-14,0.775194,1.278,1.218,,,1.227966,1.200001,0.027965,0.00975,0.03643,27.434893,,,0.028499,10044842.4
US,NVDA,2016-07-15,-0.769231,1.288,1.232,,,1.23751,1.206668,0.030842,0.013968,0.033748,26.887143,,,0.028606,9778262.4
US,NVDA,2016-07-18,0.0,1.292,1.247,,,1.245585,1.212841,0.032745,0.017724,0.030042,26.887143,,,0.027991,8799342.6
US,NVDA,2016-07-19,1.550388,1.296,1.263,,,1.255495,1.220038,0.035458,0.02127,0.028375,30.123165,,,0.02742,8528793.6
US,NVDA,2016-07-20,1.526718,1.304,1.28,,,1.266958,1.228183,0.038775,0.024771,0.028007,33.302329,,,0.02689,8388068.0
US,NVDA,2016-07-21,-2.255639,1.304,1.291,1.2175,,1.272041,1.233503,0.038538,0.027525,0.022027,31.022352,1.37279,1.06221,0.027113,8610148.0
US,NVDA,2016-07-22,2.307692,1.312,1.3,1.225,,1.280958,1.240651,0.040307,0.030081,0.020452,35.758815,1.386679,1.063321,0.028033,8045908.0
US,NVDA,2016-07-25,1.503759,1.324,1.308,1.237,,1.29158,1.248751,0.042829,0.032631,0.020397,38.777052,1.398382,1.075618,0.028174,8343582.6
US,NVDA,2016-07-26,2.222222,1.338,1.317,1.251,,1.305183,1.258473,0.04671,0.035447,0.022527,43.09582,1.410987,1.091013,0.028304,9002870.4
US,NVDA,2016-07-27,-1.449275,1.344,1.324,1.263,,1.313616,1.265993,0.047623,0.037882,0.019482,41.01843,1.417803,1.108197,0.029139,9753950.0
US,NVDA,2016-07-28,0.0,1.356,1.33,1.274,,1.320752,1.272957,0.047795,0.039865,0.015862,41.01843,1.423452,1.124548,0.028487,9056996.8
US,NVDA,2016-07-29,2.205882,1.368,1.34,1.286,,1.331406,1.281627,0.049779,0.041847,0.015863,45.58182,1.432205,1.139795,0.030023,9526096.8
US,NVDA,2016-08-01,-0.719424,1.374,1.349,1.298,,1.338882,1.288914,0.049968,0.043472,0.012993,44.350052,1.433292,1.162708,0.030022,9469054.6
US,NVDA,2016-08-02,-1.449275,1.37,1.354,1.3085,,1.342131,1.294179,0.047951,0.044368,0.007168,41.910688,1.427878,1.189122,0.030734,8310250.8
US,NVDA,2016-08-03,0.0,1.37,1.357,1.3185,,1.34488,1.299055,0.045825,0.044659,0.002332,41.910688,1.418355,1.218645,0.029968,7576012.6
US,NVDA,2016-08-04,2.205882,1.376,1.366,1.3285,,1.351821,1.305792,0.04603,0.044933,0.002193,46.983558,1.413887,1.243113,0.030684,7829986.4
US,NVDA,2016-08-05,2.158273,1.382,1.375,1.3375,,1.36231,1.314251,0.048059,0.045558,0.005001,51.540956,1.421613,1.253387,0.030635,7639993.4
US,NVDA,2016-08-08,0.704225,1.392,1.383,1.3455,,1.372724,1.322825,0.049899,0.046426,0.006945,52.99155,1.432787,1.258213,0.03059,7659714.0
US,NVDA,2016-08-09,0.0,1.406,1.388,1.3525,,1.381536,1.330764,0.050772,0.047295,0.006952,52.99155,1.443247,1.261753,0.029834,8107690.0
US,NVDA,2016-08-10,-0.699301,1.418,1.394,1.359,,1.387453,1.337374,0.050079,0.047852,0.004454,51.213576,1.449532,1.268468,0.029845,8487248.2
US,NVDA,2016-08-11,2.112676,1.43,1.403,1.3665,,1.397076,1.345717,0.051359,0.048554,0.005611,55.984776,1.461004,1.271996,0.030571,10529007.6
US,NVDA,2016-08-12,6.206897,1.454,1.418,1.379,,1.419064,1.360108,0.058956,0.050634,0.016644,66.552811,1.4937,1.2643,0.034816,15799789.0
US,NVDA,2016-08-15,-0.649351,1.474,1.433,1.391,,1.436131,1.372693,0.063438,0.053195,0.020487,64.694157,1.515724,1.266276,0.035186,17140991.8
US,NVDA,2016-08-16,0.0,1.494,1.45,1.402,,1.450573,1.384345,0.066227,0.055801,0.020852,64.694157,1.534755,1.269245,0.033387,16717540.8
US,NVDA,2016-08-17,-2.614379,1.508,1.463,1.41,,1.456638,1.392172,0.064467,0.057535,0.013865,57.27391,1.543716,1.276284,0.034574,17814901.6
US,NVDA,2016-08-18,1.342282,1.52,1.475,1.4205,,1.464848,1.4009,0.063948,0.058817,0.010262,59.759187,1.550957,1.290043,0.034961,16068001.6
US,NVDA,2016-08-19,0.662252,1.516,1.485,1.43,,1.473333,1.409722,0.063611,0.059776,0.00767,60.981294,1.560384,1.299616,0.033893,10397073.2
US,NVDA,2016-08-22,0.0,1.514,1.494,1.4385,,1.480512,1.417891,0.062622,0.060345,0.004553,60.981294,1.569079,1.307921,0.033615,8754289.8
US,NVDA,2016-08-23,1.315789,1.516,1.505,1.4465,,1.489664,1.426936,0.062729,0.060822,0.003813,63.549032,1.5813,1.3117,0.033356,9014840.8
US,NVDA,2016-08-24,-1.298701,1.522,1.515,1.4545,,1.494331,1.433829,0.060502,0.060758,-0.000512,59.343366,1.586784,1.322216,0.033831,7531028.8
US,NVDA,2016-08-25,-0.657895,1.522,1.521,1.462,,1.496742,1.439472,0.05727,0.06006,-0.00558,57.301412,1.588902,1.335098,0.033557,7902768.8
US,NVDA,2016-08-26,0.662252,1.522,1.519,1.4685,,1.50032,1.445437,0.054883,0.059025,-0.008283,58.827114,1.593284,1.343716,0.033303,7945093.6
US,NVDA,2016-08-29,0.0,1.522,1.518,1.4755,,1.503348,1.45096,0.052388,0.057698,-0.010619,58.827114,1.595246,1.355754,0.031639,8094613.6
US,NVDA,2016-08-30,-0.657895,1.516,1.516,1.483,,1.504371,1.455333,0.049038,0.055966,-0.013855,56.486291,1.591093,1.374907,0.030807,7823518.0
US,NVDA,2016-08-31,-0.662252,1.512,1.517,1.49,,1.503699,1.458642,0.045057,0.053784,-0.017454,54.16518,1.582304,1.397696,0.030035,8273997.6
US,NVDA,2016-09-01,3.333333,1.52,1.521,1.498,,1.510822,1.465409,0.045413,0.05211,-0.013394,62.46931,1.58157,1.41443,0.031461,8386298.6
US,NVDA,2016-09-02,-1.290323,1.522,1.522,1.5035,,1.513772,1.470194,0.043579,0.050403,-0.013649,57.946866,1.579992,1.427008,0.031357,8501922.2
US,NVDA,2016-09-06,1.30719,1.528,1.525,1.5095,,1.519346,1.476105,0.043241,0.048971,-0.011461,60.988349,1.580627,1.438373,0.030546,8662726.2
US,NVDA,2016-09-07,-1.935484,1.53,1.523,1.514,,1.519447,1.479357,0.04009,0.047195,-0.01421,54.60833,1.575123,1.452877,0.030507,9224941.8
US,NVDA,2016-09-08,1.315789,1.538,1.525,1.52,,1.522609,1.483849,0.03876,0.045508,-0.013496,57.779313,1.564272,1.475728,0.030471,8861257.2
US,NVDA,2016-09-09,-5.194805,1.52,1.52,1.5205,,1.512977,1.482082,0.030894,0.042585,-0.023381,44.413927,1.561719,1.479281,0.034723,10207596.2
US,NVDA,2016-09-12,2.054795,1.512,1.517,1.518,,1.509442,1.482669,0.026773,0.039423,-0.025299,49.162961,1.560237,1.475763,0.038671,11583152.6
US,NVDA,2016-09-13,-1.342282,1.496,1.512,1.515,,1.503374,1.48173,0.021643,0.035867,-0.028447,46.321662,1.56169,1.46831,0.038766,12407928.6
US,NVDA,2016-09-14,0.680272,1.488,1.509,1.5125,,1.499778,1.481602,0.018176,0.032329,-0.028306,47.941694,1.561028,1.463972,0.03814,12014853.8
US,NVDA,2016-09-15,4.054054,1.488,1.513,1.515,,1.505966,1.485928,0.020038,0.02987,-0.019665,56.436987,1.563785,1.466215,0.039701,13012769.8
US,NVDA,2016-09-16,0.0,1.504,1.512,1.5165,1.384833,1.511202,1.489933,0.021269,0.02815,-0.013763,56.436987,1.56641,1.46659,0.039008,14036199.6
US,NVDA,2016-09-19,1.298701,1.518,1.515,1.5185,1.391167,1.518709,1.495123,0.023586,0.027237,-0.007303,59.022137,1.571895,1.465105,0.040508,13130536.2
US,NVDA,2016-09-20,-0.641026,1.534,1.515,1.52,1.3985,1.523523,1.499188,0.024335,0.026657,-0.004644,57.194554,1.575136,1.464864,0.040472,12427262.6
US,NVDA,2016-09-21,2.580645,1.556,1.522,1.5225,1.406667,1.53375,1.505915,0.027835,0.026892,0.001886,62.23221,1.58507,1.45993,0.040438,12511464.8
US,NVDA,2016-09-22,0.628931,1.568,1.528,1.5265,1.414667,1.543943,1.512884,0.031058,0.027726,0.006665,63.392132,1.59757,1.45543,0.038978,11478165.0
US,NVDA,2016-09-23,-0.625,1.578,1.541,1.5305,1.422167,1.551028,1.518597,0.032432,0.028667,0.00753,61.362602,1.606256,1.454744,0.036908,8346604.0
US,NVDA,2016-09-26,-0.628931,1.582,1.55,1.5335,1.429333,1.555486,1.523145,0.032341,0.029402,0.005878,59.317442,1.612056,1.454944,0.036415,7411169.6
US,NVDA,2016-09-27,2.531646,1.596,1.565,1.5385,1.437333,1.565411,1.530319,0.035091,0.03054,0.009104,64.424997,1.625281,1.451719,0.038814,7769363.2
US,NVDA,2016-09-28,0.617284,1.604,1.58,1.5445,1.445333,1.575348,1.537703,0.037644,0.031961,0.011368,65.588152,1.638835,1.450165,0.03747,7687236.0
US,NVDA,2016-09-29,1.226994,1.614,1.591,1.552,1.4535,1.586833,1.546021,0.040811,0.033731,0.014161,67.852068,1.654489,1.449511,0.037651,7827003.2
US,NVDA,2016-09-30,1.212121,1.63,1.604,1.558,1.4615,1.599628,1.555205,0.044423,0.035869,0.017107,69.979039,1.672647,1.443353,0.038533,8595995.2
US,NVDA,2016-10-03,0.0,1.648,1.615,1.565,1.468667,1.610454,1.563708,0.046746,0.038044,0.017403,69.979039,1.688693,1.441307,0.037923,8658768.2
US,NVDA,2016-10-04,0.0,1.658,1.627,1.571,1.475333,1.619615,1.571582,0.048033,0.040042,0.015982,69.979039,1.70259,1.43941,0.038786,8053137.2
US,NVDA,2016-10-05,0.0,1.666,1.635,1.5785,1.481667,1.627367,1.578872,0.048494,0.041733,0.013524,69.979039,1.714629,1.442371,0.038873,7981398.8
US,NVDA,2016-10-06,-1.796407,1.664,1.639,1.5835,1.4875,1.62931,1.5834,0.04591,0.042568,0.006684,61.737847,1.720945,1.446055,0.039667,8099035.0
US,NVDA,2016-10-07,-0.609756,1.656,1.643,1.592,1.493,1.629416,1.586852,0.042564,0.042567,-6e-06,59.233731,1.718428,1.465572,0.038977,7380674.6
US,NVDA,2016-10-10,0.613497,1.65,1.649,1.5995,1.498833,1.631045,1.590789,0.040256,0.042105,-0.003699,60.939896,1.718408,1.480592,0.038336,7607074.6
US,NVDA,2016-10-11,-1.829268,1.638,1.648,1.6065,1.504167,1.627807,1.592212,0.035595,0.040803,-0.010416,53.681351,1.70951,1.50349,0.038455,8141645.6
US,NVDA,2016-10-12,0.621118,1.628,1.647,1.6135,1.509333,1.626606,1.59427,0.032336,0.03911,-0.013548,55.580609,1.698653,1.528347,0.038565,8714048.8
US,NVDA,2016-10-13,-1.234568,1.62,1.642,1.6165,1.513833,1.622513,1.594695,0.027818,0.036851,-0.018067,51.070254,1.695056,1.537944,0.040096,8863567.4
US,NVDA,2016-10-14,0.625,1.616,1.636,1.62,1.519,1.620588,1.595828,0.024759,0.034433,-0.019347,53.118778,1.690427,1.549573,0.039375,9085447.0
US,NVDA,2016-10-17,-0.621118,1.608,1.629,1.622,1.5235,1.61742,1.596137,0.021283,0.031803,-0.02104,50.827128,1.687605,1.556395,0.038705,8622707.0
US,NVDA,2016-10-18,1.875,1.612,1.625,1.626,1.528167,1.619356,1.598646,0.02071,0.029584,-0.017749,56.8425,1.68271,1.56929,0.038083,8026867.0
US,NVDA,2016-10-19,-0.613497,1.612,1.62,1.6275,1.532167,1.619455,1.600228,0.019227,0.027513,-0.016571,54.451338,1.68186,1.57314,0.036792,6922562.0
US,NVDA,2016-10-20,1.851852,1.622,1.621,1.63,1.537,1.624154,1.603914,0.02024,0.026058,-0.011637,59.901062,1.683666,1.576334,0.037021,6532400.0
US,NVDA,2016-10-21,0.0,1.63,1.623,1.633,1.541833,1.62813,1.607328,0.020802,0.025007,-0.00841,59.901062,1.684029,1.581971,0.035805,6276760.0
US,NVDA,2016-10-24,4.848485,1.656,1.632,1.6405,1.5475,1.643803,1.616415,0.027388,0.025483,0.003809,70.731344,1.701319,1.579681,0.038962,6999309.2
US,NVDA,2016-10-25,1.734104,1.682,1.647,1.6475,1.553833,1.661679,1.627051,0.034628,0.027312,0.014632,73.609835,1.726715,1.568285,0.03975,7639755.6
US,NVDA,2016-10-26,0.0,1.71,1.661,1.654,1.5605,1.676805,1.636899,0.039906,0.029831,0.020151,73.609835,1.746607,1.561393,0.039768,8313415.6
US,NVDA,2016-10-27,-1.704545,1.726,1.674,1.658,1.566667,1.684989,1.643795,0.041194,0.032104,0.018181,66.073522,1.756306,1.559694,0.041213,8696320.0
US,NVDA,2016-10-28,-0.578035,1.74,1.685,1.6605,1.572167,1.690375,1.64944,0.040935,0.03387,0.014131,63.731241,1.762377,1.558623,0.041127,8753060.0
US,NVDA,2016-10-31,1.162791,1.742,1.699,1.664,1.5775,1.69801,1.656148,0.041862,0.035468,0.012787,66.30403,1.771592,1.556408,0.040332,8315814.4
US,NVDA,2016-11-01,-2.873563,1.728,1.705,1.665,1.581833,1.696778,1.658656,0.038122,0.035999,0.004246,55.671655,1.773167,1.556833,0.04388,8694633.8
US,NVDA,2016-11-02,-0.591716,1.712,1.711,1.6655,1.586,1.694197,1.660237,0.03396,0.035591,-0.003263,53.813027,1.773847,1.557153,0.043602,8504920.0
US,NVDA,2016-11-03,-1.190476,1.698,1.712,1.6665,1.59,1.688936,1.660219,0.028716,0.034216,-0.011,50.203061,1.774254,1.558746,0.044774,8109915.6
US,NVDA,2016-11-04,-0.60241,1.684,1.712,1.6675,1.593333,1.682945,1.659462,0.023483,0.03207,-0.017173,48.452852,1.774247,1.560753,0.045861,8299535.6
US,NVDA,2016-11-07,5.454545,1.684,1.713,1.6725,1.596667,1.691723,1.665428,0.026295,0.030915,-0.009239,61.471568,1.782931,1.562069,0.049728,9475496.8
US,NVDA,2016-11-08,0.0,1.694,1.711,1.679,1.600167,1.69915,1.670952,0.028198,0.030371,-0.004346,61.471568,1.789254,1.568746,0.048319,9258792.4
US,NVDA,2016-11-09,-1.724138,1.7,1.706,1.6835,1.603167,1.700819,1.673844,0.026975,0.029692,-0.005434,56.003581,1.791069,1.575931,0.049154,10062206.2
US,NVDA,2016-11-10,-3.508772,1.698,1.698,1.686,1.605833,1.693001,1.672078,0.020923,0.027938,-0.014031,46.999124,1.787863,1.584137,0.054214,12860294.0
US,NVDA,2016-11-11,30.30303,1.798,1.741,1.713,1.6165,1.763309,1.70748,0.055829,0.033516,0.044625,78.30438,1.93518,1.49082,0.087484,22093120.6
US,NVDA,2016-11-14,-4.651163,1.86,1.772,1.7355,1.625333,1.807415,1.732852,0.074563,0.041726,0.065675,69.466929,1.995306,1.475694,0.089093,26399198.4
US,NVDA,2016-11-15,2.439024,1.932,1.813,1.759,1.635,1.852428,1.760048,0.09238,0.051857,0.081047,71.21615,2.058393,1.459607,0.089157,27380237.0
US,NVDA,2016-11-16,6.666667,2.038,1.869,1.79,1.646667,1.912055,1.7956,0.116455,0.064776,0.103357,75.456096,2.14805,1.43195,0.094218,30037505.8
US,NVDA,2016-11-17,0.892857,2.16,1.929,1.8205,1.659,1.965585,1.83,0.135585,0.078938,0.113294,75.999985,2.226381,1.414619,0.094631,29856046.8
US,NVDA,2016-11-18,0.884956,2.186,1.992,1.852,1.671833,2.013956,1.863333,0.150623,0.093275,0.114696,76.559381,2.296054,1.407946,0.092157,21859620.2
US,NVDA,2016-11-21,-0.438596,2.23,2.045,1.879,1.684333,2.053348,1.893457,0.159891,0.106598,0.106585,75.610428,2.354643,1.403357,0.089146,17297817.6
US,NVDA,2016-11-22,0.881057,2.268,2.1,1.9055,1.697167,2.089756,1.92283,0.166925,0.118664,0.096524,76.244623,2.40986,1.40114,0.084921,15819204.0
US,NVDA,2016-11-23,0.873362,2.282,2.16,1.933,1.7105,2.123639,1.951509,0.17213,0.129357,0.085546,76.891723,2.462003,1.403997,0.083141,13095455.2
US,NVDA,2016-11-25,0.0,2.292,2.226,1.962,1.724,2.15231,1.978064,0.174246,0.138335,0.071822,76.891723,2.506669,1.417331,0.08006,9908326.4
US,NVDA,2016-11-28,0.0,2.298,2.242,1.9915,1.736667,2.17657,2.002652,0.173918,0.145451,0.056933,76.891723,2.544393,1.438607,0.076484,8421706.4
US,NVDA,2016-11-29,-0.865801,2.302,2.266,2.019,1.749333,2.194021,2.023937,0.170084,0.150378,0.039412,74.361768,2.57383,1.46417,0.074592,8462366.4
US,NVDA,2016-11-30,-0.873362,2.298,2.283,2.048,1.761333,2.20571,2.042164,0.163546,0.153011,0.021069,71.817017,2.591529,1.504471,0.072836,9013029.0
US,NVDA,2016-12-01,-5.286344,2.266,2.274,2.0715,1.771833,2.197139,2.050152,0.146987,0.151807,-0.009639,58.812332,2.589391,1.553609,0.081204,11974469.0
