country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,ORCL,Q1,2016-08-31,2016-09-19,0.793368,0.324491,0.213147,0.038621,0.014867,4.916854,0.611826,1.589354,0.069752,2.597723,0.683537,3.206878,0.718325,,
US,ORCL,Q2,2016-11-30,2016-12-19,0.801107,0.350083,0.224903,0.04193,0.01644,3.959993,0.604814,1.542549,0.073099,2.550452,0.120199,0.534449,0.203985,,
US,ORCL,Q3,2017-02-28,2017-03-17,0.79446,0.342205,0.243237,0.044236,0.017857,4.180557,0.59306,1.46911,0.073416,2.477171,0.29321,1.205449,0.34101,,
US,ORCL,Q4,2017-05-31,2017-06-27,0.816104,0.386522,0.29664,0.059989,0.023935,3.081934,0.598151,1.499165,0.080687,2.506331,0.410026,1.382235,0.458226,,
US,ORCL,Q1,2017-08-31,2017-09-18,0.790138,0.323174,0.233373,0.038314,0.016048,3.625779,0.578089,1.380135,0.068767,2.387409,0.714706,3.0625,0.766191,0.068877,0.170306
US,ORCL,Q2,2017-11-30,2017-12-18,0.796279,0.343104,0.230122,0.039629,0.015955,5.069382,0.594269,1.476015,0.069335,2.483747,0.088348,0.383921,0.150608,0.064859,0.089567
US,ORCL,Q3,2018-02-28,2018-03-21,0.795722,0.347457,-0.414185,-0.084685,-0.029283,4.326135,0.650712,1.881793,0.070701,2.8919,0.338758,-0.81789,0.368028,0.061488,-2.807503
US,ORCL,Q4,2018-05-31,2018-06-22,0.806862,0.416674,0.291174,0.070872,0.023866,3.957489,0.663247,1.96954,0.081966,2.96954,0.414185,1.422466,0.447782,0.03296,0.013928
US,ORCL,Q1,2018-08-31,2018-09-19,0.787556,0.333841,0.246383,0.0595,0.017646,3.425468,0.699559,2.358841,0.07162,3.371897,0.731209,2.96777,0.772871,0.000653,0.056437
US,ORCL,Q2,2018-11-30,2018-12-19,0.790734,0.344384,0.243987,0.076312,0.019718,2.802757,0.737529,2.854344,0.080816,3.870143,0.057101,0.234033,0.101129,-0.006132,0.053749
US,ORCL,Q3,2019-02-28,2019-03-18,0.794466,0.374142,0.285521,0.115754,0.025083,2.647448,0.778523,3.592814,0.087849,4.614911,0.297587,1.042259,0.343665,-0.016068,1.67828
US,ORCL,Q4,2019-05-31,2019-06-21,0.814745,0.394307,0.335848,0.171678,0.034404,2.489855,0.794286,3.963553,0.102439,4.990085,0.397091,1.182353,0.434177,-0.010221,0.141636
US,ORCL,Q1,2019-08-31,2019-09-13,0.787698,0.322847,0.231829,0.115933,0.020117,2.24551,0.820962,4.731189,0.086775,5.762979,0.6509,2.807674,0.692775,0.002719,-0.056512
US,ORCL,Q2,2019-11-30,2019-12-13,0.786977,0.340649,0.240379,0.148493,0.023476,2.36705,0.83559,5.285485,0.097661,6.325451,0.05336,0.221982,0.089661,0.005438,-0.00943
US,ORCL,Q3,2020-02-29,2020-03-13,0.79951,0.360555,0.262454,0.180611,0.026586,2.124651,0.846118,5.748015,0.101299,6.793397,0.307472,1.171529,0.347897,0.018931,-0.063388
US,ORCL,Q4,2020-05-31,2020-06-22,0.81138,0.409522,0.298496,0.258075,0.026993,3.031395,0.889837,8.50762,0.090429,9.560875,0.346202,1.15982,0.387681,-0.06259,-0.166845
US,ORCL,Q1,2020-08-31,2020-09-14,0.799295,0.342586,0.240312,0.237172,0.019825,2.663697,0.910697,10.895164,0.082495,11.963544,0.635529,2.644602,0.682075,0.016164,0.053346
US,ORCL,Q2,2020-11-30,2020-12-11,0.802143,0.36449,0.249184,0.30845,0.022197,2.166628,0.921683,12.807629,0.08908,13.89592,0.141633,0.568387,0.199592,0.019347,0.056685
US,ORCL,Q3,2021-02-28,2021-03-11,0.810114,0.382846,0.497868,0.564157,0.042512,2.160198,0.918406,12.187865,0.085387,13.270674,0.367278,0.737702,0.408329,0.029502,0.952937
US,ORCL,Q4,2021-05-31,2021-06-21,0.810991,0.432262,0.359223,0.76995,0.030761,2.299578,0.954602,23.893662,0.085632,25.029973,0.431282,1.200595,0.495146,0.075486,0.294288
US,ORCL,Q1,2021-08-31,2021-09-13,0.78382,0.348067,0.25257,-1.594419,0.019988,2.042261,1.009193,-80.502271,0.079138,-79.768981,0.554174,2.194139,0.663343,0.03854,0.091515
US,ORCL,Q2,2021-11-30,2021-12-10,0.791602,-0.078861,-0.120367,0.123453,-0.011665,1.645993,1.090349,-11.538957,0.096916,-10.582814,-0.355405,2.952686,-0.26612,0.057143,-1.510647
US,ORCL,Q3,2022-02-28,2022-03-11,0.789023,0.333587,0.220584,-0.266674,0.021345,1.520424,1.075577,-13.437787,0.096766,-12.49356,0.365738,1.658042,0.470465,0.042439,-0.53814
US,ORCL,Q4,2022-05-31,2022-06-21,0.797551,0.365541,0.269341,-0.512701,0.029177,1.621291,1.052774,-18.499196,0.108329,-17.571865,0.336571,1.249608,0.456757,0.054601,-0.209273
US,ORCL,Q1,2022-08-31,2022-09-13,0.734644,0.213456,0.135256,-0.263489,0.011879,0.603234,1.041816,-23.107745,0.08783,-22.180255,0.558672,4.130491,0.708869,0.176501,-0.369963
US,ORCL,Q2,2022-11-30,2022-12-13,0.726436,0.244399,0.141833,-0.410033,0.013552,0.647864,1.029392,-31.145784,0.095548,-30.256477,0.069165,0.487651,0.267536,0.184846,2.396151
US,ORCL,Q3,2023-02-28,2023-03-10,0.722617,0.252137,0.152928,-0.783147,0.014405,0.817133,1.014527,-55.155721,0.094195,-54.365964,0.344814,2.254747,0.556783,0.179302,-0.182406
US,ORCL,Q4,2023-05-31,2023-06-20,0.730413,0.293727,0.239881,3.093197,0.024698,0.909658,0.988421,123.79124,0.102959,125.241379,0.408138,1.701416,0.546401,0.168581,0.040765
US,ORCL,Q1,2023-08-31,2023-09-12,0.71011,0.26074,0.194331,1.021097,0.017708,0.874157,0.979211,56.464557,0.091123,57.663291,0.560026,2.881818,0.665542,0.088073,0.563307
US,ORCL,Q2,2023-11-30,2023-12-12,0.710996,0.278804,0.193416,0.647439,0.018634,0.790306,0.967407,33.612519,0.096342,34.744956,0.01105,0.057131,0.094506,0.054257,0.437679
US,ORCL,Q3,2024-02-29,2024-03-12,0.70866,0.281702,0.180798,0.426996,0.017515,0.846414,0.954903,23.279388,0.096876,24.378801,0.412274,2.2803,0.538328,0.071141,0.26635
US,ORCL,Q4,2024-05-31,2024-06-20,0.725345,0.326171,0.22006,0.361213,0.022302,0.715001,0.934464,15.135225,0.101343,16.196691,0.425632,1.93416,0.621474,0.032596,-0.052727
US,ORCL,Q1,2024-08-31,2024-09-10,0.70647,0.30142,0.22011,0.270803,0.02031,0.719988,0.921859,12.291513,0.092273,13.333395,0.558127,2.535678,0.731194,0.068578,0.210331
US,ORCL,Q2,2024-11-30,2024-12-10,0.709439,0.302724,0.224127,0.22923,0.021221,0.808998,0.904124,9.766259,0.094684,10.801906,0.092752,0.413837,0.375133,0.086392,0.258889
US,ORCL,Q3,2025-02-28,2025-03-11,0.703114,0.307148,0.207785,0.175493,0.018193,1.016642,0.89304,8.614286,0.087558,9.646025,0.419887,2.020777,0.834749,0.064006,0.222824
US,ORCL,Q4,2025-05-31,2025-06-18,0.701943,0.322581,0.215494,0.167571,0.020355,0.752964,0.875452,7.20708,0.094458,8.232409,0.38716,1.796615,0.958121,0.11311,0.090013
US,ORCL,Q1,2025-08-31,2025-09-10,0.672786,0.291438,0.196101,0.121181,0.016221,0.617796,0.863308,6.449574,0.082716,7.470771,0.545357,2.781004,1.114967,0.121665,-0.000683
US,ORCL,Q2,2025-11-30,2025-12-11,0.665338,0.460767,0.382053,0.204835,0.029929,0.909274,0.851418,5.827084,0.078338,6.843978,0.128659,0.336756,0.878005,0.142186,0.947001
US,ORCL,Q3,2026-02-28,2026-03-11,0.645608,0.325538,0.216463,0.096662,0.015173,1.347031,0.840764,5.356254,0.070095,6.370697,0.415998,1.921795,1.500058,0.216561,0.267371
US,ORCL,Q4,2026-05-31,2026-06-10,0.651845,0.354879,0.224354,0.099963,0.016443,1.115003,0.835513,5.079501,0.073289,6.079501,0.762093,3.39684,1.62182,0.206313,0.255909
