country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,ORCL,2016-06-23,,,,,,35.45,35.45,0.0,0.0,0.0,,,,0.52,
US,ORCL,2016-06-24,-3.921016,,,,,35.236154,35.347037,-0.110883,-0.022177,-0.177413,0.0,,,0.595,
US,ORCL,2016-06-27,-1.908397,,,,,34.955207,35.203553,-0.248346,-0.06741,-0.361871,0.0,,,0.6175,
US,ORCL,2016-06-28,1.706076,,,,,34.805175,35.112919,-0.307744,-0.115477,-0.384534,3.174982,,,0.617679,
US,ORCL,2016-06-29,3.619776,34.422,,,,34.867456,35.12011,-0.252654,-0.142913,-0.219484,9.828132,,,0.670702,23985620.2
US,ORCL,2016-06-30,0.937234,34.44,,,,34.970924,35.151213,-0.180289,-0.150388,-0.059802,11.583493,,,0.665651,24919803.8
US,ORCL,2016-07-01,0.196961,34.75,,,,35.069244,35.185198,-0.115954,-0.143501,0.055094,11.974938,,,0.640962,18355224.2
US,ORCL,2016-07-05,-1.12328,35.11,,,,35.090898,35.187035,-0.096136,-0.134028,0.075784,11.657336,,,0.639465,16348914.2
US,ORCL,2016-07-06,0.340812,35.38,,,,35.127683,35.197625,-0.069941,-0.121211,0.102539,12.407888,,,0.62736,15823594.2
US,ORCL,2016-07-07,0.0,35.404,34.913,,,35.158809,35.20743,-0.048621,-0.106693,0.116143,12.407888,,,0.608263,13556992.8
US,ORCL,2016-07-08,0.820832,35.42,34.93,,,35.229761,35.237991,-0.00823,-0.087,0.157541,14.445124,,,0.604816,12383929.2
US,ORCL,2016-07-11,-0.224593,35.406,35.078,,,35.27749,35.260362,0.017128,-0.066175,0.166606,14.345999,,,0.5859,12690006.8
US,ORCL,2016-07-12,1.575689,35.584,35.347,,,35.40403,35.322558,0.081473,-0.036645,0.236236,18.55897,,,0.59405,12853931.2
US,ORCL,2016-07-13,0.110803,35.746,35.563,,,35.517256,35.383109,0.134148,-0.002487,0.273268,18.865943,,,0.576618,12351611.2
US,ORCL,2016-07-14,0.498063,35.944,35.674,,,35.640755,35.452508,0.188247,0.03566,0.305174,20.32139,,,0.560431,11868233.6
US,ORCL,2016-07-15,0.247797,36.102,35.761,,,35.759101,35.523433,0.235667,0.075662,0.320011,21.08367,,,0.548257,11354376.0
US,ORCL,2016-07-18,-0.32958,36.252,35.829,,,35.840778,35.580216,0.260561,0.112642,0.29584,20.797965,,,0.52481,10519757.0
US,ORCL,2016-07-19,-1.322678,36.194,35.889,,,35.836043,35.597237,0.238805,0.137874,0.201862,19.650875,,,0.525895,10400159.2
US,ORCL,2016-07-20,0.390952,36.156,35.951,,,35.853574,35.623368,0.230207,0.156341,0.147732,21.01914,,,0.514046,10759559.2
US,ORCL,2016-07-21,-0.417246,36.052,35.998,35.4555,,35.845332,35.636452,0.208881,0.166849,0.084064,20.614097,37.020971,33.890029,0.512328,11216851.2
US,ORCL,2016-07-22,0.027933,35.932,36.017,35.4735,,35.839897,35.649307,0.190589,0.171597,0.037985,20.723775,37.046564,33.900436,0.491448,10968855.6
US,ORCL,2016-07-25,0.195476,35.85,36.051,35.5645,,35.846066,35.666395,0.179671,0.173212,0.012918,21.540932,37.004937,34.124063,0.473487,11015954.6
