country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,ORCL,2016-06-23,40.4,40.87,40.26,40.83,35.08,35.48,34.96,35.45,15430000.0,626303700.0,0.8682341415625766,42.21,1723.4343,42.21,1723.4343,0.0036555318644870883
US,ORCL,2016-06-24,39.38,39.89,39.02,39.23,34.19,34.63,33.88,34.06,44204510.0,1740773603.8,0.8682131022176907,42.21,1655.8983,42.21,1655.8983,0.010472520729684909
US,ORCL,2016-06-27,38.87,38.88,38.18,38.48,33.75,33.76,33.15,33.41,22532950.0,869828202.375,0.8682432432432432,42.21,1624.2408,42.21,1624.2408,0.005338296612177209
US,ORCL,2016-06-28,38.72,39.19,38.58,39.13,33.62,34.03,33.5,33.98,14750900.0,573883764.5,0.8683874265269613,42.21,1651.6773,42.21,1651.6773,0.0034946458185264157
US,ORCL,2016-06-29,39.76,40.7,39.49,40.55,34.52,35.34,34.29,35.21,23009741.0,923265857.625,0.8683107274969175,42.21,1711.6155,42.21,1711.6155,0.005451253494432599
US,ORCL,2016-06-30,40.48,41.16,40.47,40.93,35.15,35.74,35.14,35.54,20100918.0,819313417.68,0.8683117517713169,42.21,1727.6553,42.21,1727.6553,0.00476212224591329
US,ORCL,2016-07-01,40.7,41.05,40.69,40.86,35.47,35.78,35.46,35.61,11381612.0,464654309.9,0.8715124816446402,42.21,1724.7006,42.21,1724.7006,0.0026964254915896706
US,ORCL,2016-07-05,40.33,40.58,40.15,40.4,35.15,35.37,34.99,35.21,12501400.0,504619011.0,0.8715346534653465,42.21,1705.284,42.21,1705.284,0.0029617152333570244
US,ORCL,2016-07-06,40.2,40.57,40.02,40.53,35.04,35.36,34.89,35.33,12124300.0,488973019.0,0.8716999753269182,42.21,1710.7713,42.21,1710.7713,0.002872376214167259
US,ORCL,2016-07-07,40.65,40.83,40.42,40.53,35.43,35.59,35.23,35.33,11676734.0,474162975.905,0.8716999753269182,42.21,1710.7713,42.21,1710.7713,0.0027663430466714047
