country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,PLTR,Q1,2019-03-31,2019-05-15,0.68574,-0.882838,-0.86922,,,,,,,,-1.054752,1.213447,-1.032183,,
US,PLTR,Q2,2019-06-30,2019-08-14,0.679055,-0.794663,-0.760356,,,,,,,,-0.965069,1.269233,-0.944419,,
US,PLTR,Q3,2019-09-30,2019-11-14,0.658483,-0.722474,-0.734015,,,,,,,,-0.838276,1.142042,-0.819042,,
US,PLTR,Q4,2019-12-31,2020-03-30,0.669068,-0.666081,-0.694665,,,,,,,,1.459871,-2.101546,1.46924,,
US,PLTR,Q1,2020-03-31,2020-05-15,0.719641,-0.205484,-0.236666,,,,,,,,-1.25229,5.291373,-1.239139,0.421495,0.612963
US,PLTR,Q2,2020-06-30,2020-08-14,0.728412,-0.412348,-0.438507,,,,,,,,0.241591,-0.550939,0.253219,0.42859,0.176115
US,PLTR,Q3,2020-09-30,2020-11-13,0.483906,-2.971244,-2.948926,-0.681699,-0.327732,2.541347,0.519243,1.080053,0.111136,2.080053,-0.179669,0.060927,-0.174381,0.518655,-5.101237
US,PLTR,Q4,2020-12-31,2021-02-26,0.781108,-0.478505,-0.460562,-0.097431,-0.055136,3.738561,0.434102,0.767104,0.119714,1.767104,-0.056779,0.123282,-0.041997,0.404316,0.06894
US,PLTR,Q1,2021-03-31,2021-05-12,0.782815,-0.347363,-0.361846,-0.068371,-0.040964,3.878965,0.400852,0.669037,0.113209,1.669037,0.342524,-0.946604,0.344599,0.48798,-1.275012
US,PLTR,Q2,2021-06-30,2021-08-12,0.757945,-0.382415,-0.368915,-0.06698,-0.045057,3.900684,0.327313,0.486575,0.122133,1.486575,0.060563,-0.164165,0.062418,0.4913,-0.254629
US,PLTR,Q3,2021-09-30,2021-11-09,0.778644,-0.255237,-0.260457,-0.045433,-0.031677,4.125389,0.302783,0.434273,0.121621,1.434273,0.257029,-0.986841,0.270744,0.35519,0.880306
US,PLTR,Q4,2021-12-31,2022-02-24,0.797714,-0.283184,-0.360822,-0.068174,-0.048096,4.337857,0.294514,0.417463,0.133294,1.417463,0.215833,-0.59817,0.229334,0.343928,-0.052884
US,PLTR,Q1,2022-03-31,2022-05-09,0.788503,-0.221262,-0.227125,-0.042871,-0.030543,4.375066,0.287551,0.403609,0.134478,1.403609,0.079481,-0.349944,0.113568,0.308067,0.178945
US,PLTR,Q2,2022-06-30,2022-08-08,0.783886,-0.372235,-0.379123,-0.076348,-0.054635,4.359705,0.284405,0.397439,0.144108,1.397439,0.131987,-0.348137,0.143526,0.259204,-0.294047
US,PLTR,Q3,2022-09-30,2022-11-07,0.774816,-0.25466,-0.259218,-0.051904,-0.037325,4.280686,0.280888,0.390603,0.14399,1.390603,0.098489,-0.379948,0.128698,0.218628,-0.212832
US,PLTR,Q4,2022-12-31,2023-02-21,0.794915,0.07778,0.060709,0.012037,0.008921,5.173269,0.236563,0.31918,0.146949,1.349239,0.154855,2.55078,0.164524,0.175012,1.197698
US,PLTR,Q1,2023-03-31,2023-05-08,0.795035,0.007835,0.031992,0.006169,0.004562,5.414161,0.238912,0.323066,0.142592,1.352239,0.35678,11.152006,0.365834,0.176605,1.165735
US,PLTR,Q2,2023-06-30,2023-08-07,0.799558,0.018889,0.05274,0.009517,0.007067,5.218847,0.237453,0.319788,0.13399,1.346743,0.169115,3.206599,0.176492,0.127496,1.156846
US,PLTR,Q3,2023-09-30,2023-11-03,0.806646,0.144602,0.128109,0.022415,0.017052,5.52948,0.219754,0.288876,0.133104,1.314545,0.239077,1.866205,0.241881,0.16799,1.577235
US,PLTR,Q4,2023-12-31,2024-02-20,0.82142,0.174871,0.153515,0.026871,0.020651,5.547611,0.212598,0.276634,0.134519,1.301207,0.495064,3.22485,0.503053,0.19607,2.024516
US,PLTR,Q1,2024-03-31,2024-05-06,0.816729,0.127505,0.166362,0.027953,0.021953,5.910394,0.196774,0.250556,0.131959,1.273322,0.204274,1.227888,0.208474,0.207835,5.2808
US,PLTR,Q2,2024-06-30,2024-08-05,0.810418,0.155337,0.197787,0.033113,0.025834,5.915724,0.203024,0.260232,0.130614,1.28178,0.212623,1.075012,0.216869,0.27154,3.768585
US,PLTR,Q3,2024-09-30,2024-11-04,0.797883,0.155944,0.197825,0.031908,0.024883,5.67272,0.204007,0.261605,0.125781,1.282329,0.578584,2.924731,0.584077,0.299838,1.007202
US,PLTR,Q4,2024-12-31,2025-02-18,0.789089,0.013345,0.095477,0.015791,0.01246,5.958014,0.196578,0.249132,0.130505,1.267347,0.556274,5.82626,0.560027,0.360268,-0.153998
US,PLTR,Q1,2025-03-31,2025-05-05,0.8043,0.199182,0.242156,0.039459,0.03177,6.494025,0.180787,0.224541,0.131196,1.242021,0.351034,1.449617,0.35803,0.39335,1.028153
US,PLTR,Q2,2025-06-30,2025-08-04,0.807777,0.268325,0.325524,0.055108,0.044358,6.32355,0.181941,0.226032,0.136267,1.242336,0.536268,1.647403,0.543874,0.480087,1.435971
US,PLTR,Q3,2025-09-30,2025-11-03,0.824479,0.33296,0.402677,0.072165,0.058615,6.426751,0.175708,0.216327,0.145563,1.231168,0.429826,1.06742,0.435577,0.627934,2.313701
US,PLTR,Q4,2025-12-31,2026-02-17,0.846484,0.409009,0.432666,0.082395,0.068388,7.109824,0.158688,0.191191,0.158061,1.204829,0.552526,1.277026,0.56196,0.700024,6.703882
US,PLTR,Q1,2026-03-31,2026-05-04,0.867818,0.461844,0.533221,0.103025,0.085353,6.906765,0.161082,0.194434,0.16007,1.207052,0.550762,1.032897,0.555296,0.847116,3.067294
