code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2019-03-31,2019-05-15,161328000.0,110629000.0,-142426500.0,-137000000.0,3229500.0,-140229500.0,-140229500.0,-0.24540835059990446,0.0,,,,,,0.0,,,,0.0,,-170161000.0,-3641000.0,-3641000.0,49860500.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2019-06-30,2019-08-14,176320000.0,119731000.0,-140115000.0,-132677000.0,1389000.0,-134066000.0,-134066000.0,-0.23462192998995782,0.0,,,,,,0.0,,,,0.0,,-170161000.0,-3641000.0,-3641000.0,49860500.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2019-09-30,2019-11-14,190541000.0,125468000.0,-137661000.0,-137834000.0,2026000.0,-139860000.0,-139860000.0,-0.15446258374178043,0.0,,,,,,0.0,,,,0.0,,-159726000.0,-3665000.0,-3665000.0,-159155000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2019-12-31,2020-03-30,229358000.0,153456000.0,-152771000.0,-155437000.0,3890000.0,-159327000.0,-159327000.0,-0.1759621055328661,0.0,,,,,,0.0,,,,0.0,,334833000.0,-11017000.0,-2149000.0,383967000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2020-03-31,2020-05-15,229327000.0,165033000.0,-47123000.0,-51717000.0,2557000.0,-54274000.0,-54274000.0,-0.05994067117118112,0.0,,,,,,0.0,,,,0.0,,-287184000.0,-3016000.0,-3016000.0,2494000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2020-06-30,2020-08-14,251889000.0,183479000.0,-103866000.0,-109512000.0,943000.0,-110455000.0,-110455000.0,-0.12198744882729784,0.0,,,,,,0.0,,,,0.0,,60854000.0,-2679000.0,-2929000.0,464781000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2020-09-30,2020-11-13,289366000.0,140026000.0,-859777000.0,-861862000.0,-8543000.0,-853319000.0,-853319000.0,-0.9424128131007948,2603712000.0,2394424000.0,209288000.0,1800190000.0,162269000.0,29369000.0,1351959000.0,942187000.0,409772000.0,22221000.0,1251753000.0,1251753000.0,-51990000.0,-4280000.0,-1530000.0,350069000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2020-12-31,2021-02-26,322091000.0,251588000.0,-154122000.0,-155936000.0,-7593000.0,-148343000.0,-148343000.0,-0.08411785024739941,2690504000.0,2257429000.0,433075000.0,2011323000.0,156932000.0,246616000.0,1167954000.0,603823000.0,564131000.0,16358000.0,1522550000.0,1522550000.0,-18288000.0,-4945000.0,-4761000.0,219109000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2021-03-31,2021-05-12,341234000.0,267123000.0,-118532000.0,-120372000.0,3102000.0,-123474000.0,-123474000.0,-0.06779971864055727,3014185000.0,2589698000.0,424487000.0,2339437000.0,151400000.0,240709000.0,1208242000.0,667626000.0,540616000.0,17234000.0,1805943000.0,1805943000.0,116881000.0,-708000.0,-708000.0,206354000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2021-06-30,2021-08-12,375642000.0,284716000.0,-143651000.0,-144241000.0,-5661000.0,-138580000.0,-138580000.0,-0.07314449547821553,3075668000.0,2662552000.0,413116000.0,2341156000.0,242998000.0,234067000.0,1006705000.0,682586000.0,324119000.0,30914000.0,2068963000.0,2068963000.0,22750000.0,-697000.0,-697000.0,-31410000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2021-09-30,2021-11-09,392146000.0,305342000.0,-100090000.0,-100699000.0,1438000.0,-102137000.0,-102137000.0,-0.05199412541774948,3224327000.0,2811490000.0,412837000.0,2335068000.0,174405000.0,249624000.0,976271000.0,681509000.0,294762000.0,17654000.0,2248056000.0,2248056000.0,100793000.0,-214634000.0,-5378000.0,99338000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2021-12-31,2022-02-24,432867000.0,345304000.0,-122581000.0,-123182000.0,33006000.0,-156188000.0,-156188000.0,-0.0776373371826914,3247450000.0,2863250000.0,384200000.0,2290674000.0,190923000.0,248202000.0,956420000.0,660061000.0,296359000.0,74907000.0,2291030000.0,2291030000.0,93427000.0,-181873000.0,-5844000.0,32465000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2022-03-31,2022-05-09,446357000.0,351954000.0,-98762000.0,-99356000.0,2023000.0,-101379000.0,-101379000.0,-0.049785715022341914,3319179000.0,2927374000.0,391805000.0,2269411000.0,256554000.0,266754000.0,954433000.0,669104000.0,285329000.0,27454000.0,2364746000.0,2364746000.0,35477000.0,-96468000.0,-15215000.0,27241000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2022-06-30,2022-08-08,473010000.0,370786000.0,-176071000.0,-176741000.0,2588000.0,-179329000.0,-179329000.0,-0.08727325641096768,3282338000.0,2902439000.0,379899000.0,2358393000.0,265826000.0,259054000.0,933514000.0,665742000.0,267772000.0,56798000.0,2348824000.0,2348824000.0,62431000.0,5304000.0,-5458000.0,20607000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2022-09-30,2022-11-07,477880000.0,370269000.0,-121697000.0,-122779000.0,1096000.0,-123875000.0,-123875000.0,-0.059748753777254714,3318835000.0,2946610000.0,372225000.0,2411290000.0,343264000.0,257181000.0,932220000.0,688350000.0,243870000.0,59507000.0,2386615000.0,2386615000.0,47066000.0,-27344000.0,-14436000.0,23991000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2022-12-31,2023-02-21,508624000.0,404313000.0,39561000.0,37849000.0,6971000.0,30878000.0,30878000.0,0.014773406337570278,3461239000.0,3041577000.0,419662000.0,2598540000.0,258346000.0,269410000.0,818802000.0,587941000.0,230861000.0,44788000.0,2642437000.0,2565326000.0,78763000.0,73081000.0,-4918000.0,14157000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2023-03-31,2023-05-08,525186000.0,417541000.0,4115000.0,20832000.0,4030000.0,16802000.0,16802000.0,0.007971420167190124,3683138000.0,3256147000.0,426991000.0,1264738000.0,254041000.0,273134000.0,879945000.0,601413000.0,278532000.0,4530000.0,2803193000.0,2723733000.0,187376000.0,-1554591000.0,-4755000.0,25983000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2023-06-30,2023-08-07,533317000.0,426418000.0,10074000.0,30043000.0,1916000.0,28127000.0,28127000.0,0.013197580357578556,3980264000.0,3576914000.0,403350000.0,1055923000.0,375756000.0,253758000.0,945126000.0,685384000.0,259742000.0,4613000.0,3035138000.0,2955474000.0,90192000.0,-391099000.0,-3934000.0,90684000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2023-09-30,2023-11-03,558159000.0,450237000.0,80711000.0,79969000.0,8464000.0,71505000.0,71505000.0,0.03306543724248912,4193417000.0,3809397000.0,384020000.0,1040310000.0,430269000.0,240324000.0,921520000.0,688925000.0,232595000.0,9475000.0,3271897000.0,3190015000.0,133443000.0,-196264000.0,-1565000.0,50940000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2023-12-31,2024-02-20,608350000.0,499711000.0,106383000.0,106247000.0,12856000.0,93391000.0,93391000.0,0.042698611109841106,4522425000.0,4138618000.0,383807000.0,831047000.0,364784000.0,230621000.0,961460000.0,746018000.0,215442000.0,12122000.0,3560965000.0,3475561000.0,301172000.0,-569226000.0,-4860000.0,51232000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2024-03-31,2024-05-06,634338000.0,518082000.0,80881000.0,110726000.0,5196000.0,105530000.0,105530000.0,0.04767465761933912,4807079000.0,4436064000.0,371015000.0,520388000.0,486986000.0,220613000.0,945907000.0,750553000.0,195354000.0,35634000.0,3861172000.0,3775227000.0,129579000.0,-511245000.0,-2664000.0,75248000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2024-06-30,2024-08-05,678134000.0,549572000.0,105339000.0,140759000.0,6633000.0,134126000.0,134126000.0,0.06010328052798182,5191880000.0,4773510000.0,418370000.0,512659000.0,659339000.0,256936000.0,1054074000.0,806919000.0,247155000.0,67345000.0,4137806000.0,4050524000.0,144187000.0,-148878000.0,-2879000.0,-1975000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2024-09-30,2024-11-04,725516000.0,578877000.0,113140000.0,157150000.0,13625000.0,143525000.0,143525000.0,0.0637879816820383,5768097000.0,5351962000.0,416135000.0,768710000.0,668110000.0,251915000.0,1176735000.0,943456000.0,233279000.0,27021000.0,4591362000.0,4498143000.0,419772000.0,-320726000.0,-3985000.0,151427000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2024-12-31,2025-02-18,827519000.0,652986000.0,11043000.0,80538000.0,1529000.0,79009000.0,79009000.0,0.03427896340074529,6340884000.0,5934289000.0,406595000.0,2098524000.0,575048000.0,240378000.0,1246477000.0,996018000.0,250459000.0,103000.0,5094407000.0,5003275000.0,460327000.0,640194000.0,-3106000.0,238664000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2025-03-31,2025-05-05,883855000.0,710885000.0,176048000.0,223316000.0,9285000.0,214031000.0,214031000.0,0.09112824698479444,6736917000.0,6282599000.0,454318000.0,993464000.0,725205000.0,249017000.0,1217944000.0,967443000.0,250501000.0,2330000.0,5518973000.0,5424155000.0,310263000.0,-1390277000.0,-6184000.0,-28897000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q2,2025-06-30,2025-08-04,1003697000.0,810763000.0,269317000.0,332168000.0,5441000.0,326727000.0,326727000.0,0.13813950302638767,7365688000.0,6890393000.0,475295000.0,929547000.0,747484000.0,246997000.0,1340124000.0,1089640000.0,250484000.0,10774000.0,6025564000.0,5928901000.0,538251000.0,-617010000.0,-7634000.0,6450000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q3,2025-09-30,2025-11-03,1181092000.0,973785000.0,393256000.0,480501000.0,4902000.0,475599000.0,475599000.0,0.20120230900864502,8113960000.0,7586156000.0,527804000.0,1615967000.0,1005910000.0,250021000.0,1425691000.0,1180403000.0,245288000.0,67503000.0,6688269000.0,6590457000.0,507664000.0,181567000.0,-6792000.0,6435000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q4,2025-12-31,2026-02-17,1406802000.0,1190836000.0,575394000.0,621383000.0,12707000.0,608676000.0,608676000.0,0.2550064853886038,8900392000.0,8358174000.0,542218000.0,1423796000.0,1042065000.0,252065000.0,1412381000.0,1175581000.0,236800000.0,8064000.0,7488011000.0,7387268000.0,777295000.0,-957831000.0,-13272000.0,-10898000.0
PLTR,Palantir Technologies Inc-A,US,USD,Q1,2026-03-31,2026-05-04,1632583000.0,1416785000.0,753998000.0,888601000.0,18074000.0,870527000.0,870527000.0,0.3636485538682359,10199183000.0,9551704000.0,647479000.0,2291631000.0,1405588000.0,55726000.0,1642902000.0,1382949000.0,259953000.0,495962000.0,8556281000.0,8449663000.0,899165000.0,-26724000.0,-7401000.0,3397000.0
