country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,PLTR,2020-09-30,,,,,,9.5,9.5,0.0,0.0,0.0,,,,2.31,
US,PLTR,2020-10-01,-0.421053,,,,,9.493846,9.497037,-0.003191,-0.000638,-0.005105,0.0,,,2.207143,
US,PLTR,2020-10-02,-2.748414,,,,,9.448639,9.475034,-0.026395,-0.00579,-0.041211,0.0,,,2.086633,
US,PLTR,2020-10-05,-1.847826,,,,,9.384233,9.442069,-0.057836,-0.016199,-0.083274,0.0,,,1.978302,
US,PLTR,2020-10-06,9.634551,9.418,,,,9.463582,9.47599,-0.012408,-0.015441,0.006066,51.164186,,,1.928423,130563846.4
US,PLTR,2020-10-07,1.010101,9.518,,,,9.546108,9.514805,0.031302,-0.006092,0.074789,54.072897,,,1.832821,73947937.0
US,PLTR,2020-10-08,0.0,9.626,,,,9.615937,9.550746,0.065192,0.008165,0.114054,54.072897,,,1.731191,55214900.6
US,PLTR,2020-10-09,-0.5,9.776,,,,9.667332,9.58032,0.087012,0.023934,0.126155,52.267659,,,1.628963,47987015.0
US,PLTR,2020-10-12,-0.603015,9.948,,,,9.701588,9.603259,0.098329,0.038813,0.119032,50.105888,,,1.540466,44791761.4
US,PLTR,2020-10-13,-4.246714,9.862,9.64,,,9.665959,9.593388,0.072571,0.045565,0.054013,38.196638,,,1.464718,30961105.0
US,PLTR,2020-10-14,-1.372756,9.73,9.624,,,9.615812,9.574619,0.041193,0.04469,-0.006995,35.392582,,,1.386524,22687352.0
US,PLTR,2020-10-15,6.102784,9.712,9.669,,,9.661071,9.599462,0.06161,0.048074,0.027071,52.023217,,,1.33963,18118089.0
US,PLTR,2020-10-16,-2.018163,9.664,9.72,,,9.668599,9.60765,0.060949,0.050649,0.0206,47.411623,,,1.264656,16384401.4
US,PLTR,2020-10-19,-1.441813,9.6,9.774,,,9.65343,9.604861,0.048569,0.050233,-0.003328,44.441815,,,1.195038,14055861.4
US,PLTR,2020-10-20,-3.134796,9.56,9.711,,,9.594441,9.580056,0.014384,0.043063,-0.057358,38.829034,,,1.137535,11882012.8
US,PLTR,2020-10-21,-0.755124,9.532,9.631,,,9.533757,9.551904,-0.018147,0.030821,-0.097936,37.634672,,,1.076283,10946580.6
US,PLTR,2020-10-22,5.217391,9.486,9.599,,,9.556256,9.561393,-0.005136,0.02363,-0.057532,49.178604,,,1.038691,11941794.8
US,PLTR,2020-10-23,-1.96281,9.442,9.553,,,9.546063,9.556104,-0.010041,0.016896,-0.053874,45.581936,,,0.990213,12230636.6
US,PLTR,2020-10-26,4.847208,9.518,9.559,,,9.608207,9.585282,0.022925,0.018102,0.009648,54.296785,,,0.953769,15201726.4
US,PLTR,2020-10-27,10.050251,9.854,9.707,9.6735,,9.814637,9.686372,0.128265,0.040134,0.176261,66.759468,10.504049,8.842951,0.965643,23797832.4
US,PLTR,2020-10-28,-0.913242,10.184,9.858,9.741,,9.973923,9.772567,0.201357,0.072379,0.257956,64.854918,10.711771,8.770229,0.96024,28298417.4
US,PLTR,2020-10-29,-0.921659,10.398,9.942,9.8055,,10.09332,9.844969,0.248351,0.107573,0.281555,62.92177,10.860763,8.750237,0.930223,28835887.0
US,PLTR,2020-10-30,-5.767442,10.526,9.984,9.852,,10.098963,9.866083,0.23288,0.132635,0.200492,52.477627,10.877994,8.826006,0.928064,30225628.0
US,PLTR,2020-11-02,4.047384,10.644,10.081,9.9275,,10.166815,9.916002,0.250812,0.15627,0.189085,57.501331,10.922183,8.932817,0.893202,27793165.0
US,PLTR,2020-11-03,-0.379507,10.554,10.204,9.9575,,10.218074,9.959261,0.258813,0.176779,0.164068,56.869694,10.982778,8.932222,0.865116,21337660.2
US,PLTR,2020-11-04,2.095238,10.528,10.356,9.9935,,10.295293,10.015612,0.279681,0.197359,0.164644,59.504473,11.071429,8.915571,0.833322,18156124.8
US,PLTR,2020-11-05,10.820896,10.754,10.576,10.0875,,10.539094,10.153715,0.385379,0.234963,0.300832,69.933869,11.44336,8.73164,0.874514,23798186.4
US,PLTR,2020-11-06,16.414141,11.494,11.01,10.2815,,11.045388,10.426033,0.619355,0.311842,0.615027,79.494458,12.399351,8.163649,1.032048,38040647.2
US,PLTR,2020-11-09,6.073753,12.32,11.482,10.5205,,11.60302,10.740401,0.86262,0.421997,0.881245,82.130482,13.362672,7.678328,1.106188,48145659.8
US,PLTR,2020-11-10,-4.567144,13.02,11.787,10.747,,11.971786,10.981852,0.989934,0.535585,0.908699,73.963261,13.920863,7.573137,1.157889,51521147.2
US,PLTR,2020-11-11,14.0,14.068,12.298,11.078,,12.585358,11.350604,1.234754,0.675418,1.118671,80.174302,14.908705,7.247295,1.215897,57782951.0
US,PLTR,2020-11-12,-8.646617,14.608,12.681,11.3115,,12.892226,11.589819,1.302407,0.800816,1.003182,67.893812,15.390246,7.232754,1.318333,68118564.6
US,PLTR,2020-11-13,8.367627,15.002,13.248,11.616,,13.339576,11.901684,1.437892,0.928231,1.019321,71.979965,16.063657,7.168343,1.332023,65518740.8
US,PLTR,2020-11-16,0.822785,15.254,13.787,11.934,,13.738102,12.200078,1.538025,1.05019,0.97567,72.3833,16.652268,7.215732,1.314736,66684805.4
US,PLTR,2020-11-17,12.052731,16.024,14.522,12.363,,14.370702,12.61859,1.752112,1.190574,1.123075,77.528206,17.569373,7.156627,1.422255,82418477.4
US,PLTR,2020-11-18,0.280112,16.412,15.24,12.798,,14.913671,13.009806,1.903865,1.333232,1.141265,77.645004,18.318886,7.277114,1.442808,91253858.4
US,PLTR,2020-11-19,6.03352,17.292,15.95,13.263,,15.53926,13.452043,2.087218,1.484029,1.206376,80.056249,19.205586,7.320414,1.416893,82553975.8
