country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,PLTR,2020-09-30,10.0,11.42,9.11,9.5,10.0,11.42,9.11,9.5,338549492.0,3493830757.44,1.0,17.63513922,167.533823,17.63513922,167.533823,0.19197438011493057
US,PLTR,2020-10-01,9.69,10.1,9.23,9.46,9.69,10.1,9.23,9.46,129660350.0,1243442756.5,1.0,17.63513922,166.828417,17.63513922,166.828417,0.07352385959786033
US,PLTR,2020-10-02,9.06,9.28,8.94,9.2,9.06,9.28,8.94,9.2,56343795.0,514418848.35,1.0,17.63513922,162.243281,17.63513922,162.243281,0.03194973076033363
US,PLTR,2020-10-05,9.43,9.49,8.92,9.03,9.43,9.49,8.92,9.03,36951976.0,336632501.36,1.0,17.63513922,159.245307,17.63513922,159.245307,0.02095360605834786
US,PLTR,2020-10-06,9.04,10.18,8.9,9.9,9.04,10.18,8.9,9.9,91313619.0,883915831.92,1.0,17.63513922,174.587878,17.63513922,174.587878,0.051779358167153726
US,PLTR,2020-10-07,10.04,10.49,9.99,10.0,10.04,10.49,9.99,10.0,55469945.0,568566936.25,1.0,17.63513922,176.351392,17.63513922,176.351392,0.03145421440001538
US,PLTR,2020-10-08,10.29,10.4,9.99,10.0,10.29,10.4,9.99,10.0,35995168.0,367150713.6,1.0,17.63513922,176.351392,17.63513922,176.351392,0.020411048390918233
US,PLTR,2020-10-09,10.13,10.19,9.89,9.95,10.13,10.19,9.89,9.95,20204367.0,202447757.34,1.0,17.63513922,175.469635,17.63513922,175.469635,0.011456879782999524
US,PLTR,2020-10-12,10.04,10.05,9.66,9.89,10.04,10.05,9.66,9.89,20975708.0,208498537.52,1.0,17.63513922,174.411527,17.63513922,174.411527,0.011894268447969758
US,PLTR,2020-10-13,9.88,9.88,9.41,9.47,9.88,9.88,9.41,9.47,22160337.0,211852821.72,1.0,17.63513922,167.004768,17.63513922,167.004768,0.012566011939881924
US,PLTR,2020-10-14,9.6,9.66,9.29,9.34,9.6,9.66,9.29,9.34,14101180.0,133115139.2,1.0,17.63513922,164.7122,17.63513922,164.7122,0.007996069565477465
US,PLTR,2020-10-15,9.27,9.91,9.18,9.91,9.27,9.91,9.18,9.91,13148853.0,125308569.09,1.0,17.63513922,174.76423,17.63513922,174.76423,0.00745605284765084
US,PLTR,2020-10-16,9.94,9.95,9.66,9.71,9.94,9.95,9.66,9.71,11535929.0,112706026.33,1.0,17.63513922,171.237202,17.63513922,171.237202,0.006541444814292767
US,PLTR,2020-10-19,9.79,9.82,9.53,9.57,9.79,9.82,9.53,9.57,9333008.0,89970197.12,1.0,17.63513922,168.768282,17.63513922,168.768282,0.00529227917260525
US,PLTR,2020-10-20,9.6,9.66,9.27,9.27,9.6,9.66,9.27,9.27,11291094.0,106362105.48,1.0,17.63513922,163.477741,17.63513922,163.477741,0.006402611206604356
US,PLTR,2020-10-21,9.3,9.48,9.2,9.2,9.3,9.48,9.2,9.2,9424019.0,87549136.51,1.0,17.63513922,162.243281,17.63513922,162.243281,0.005343886930766175
US,PLTR,2020-10-22,9.37,9.75,9.22,9.68,9.37,9.75,9.22,9.68,18124924.0,173093024.2,1.0,17.63513922,170.708148,17.63513922,170.708148,0.010277732301338759
US,PLTR,2020-10-23,9.71,9.83,9.47,9.49,9.71,9.83,9.47,9.49,12980138.0,124739126.18,1.0,17.63513922,167.357471,17.63513922,167.357471,0.007360383061381922
US,PLTR,2020-10-26,9.72,9.97,9.6,9.95,9.72,9.97,9.6,9.95,24188457.0,237046878.6,1.0,17.63513922,175.469635,17.63513922,175.469635,0.013716056730965803
US,PLTR,2020-10-27,10.0,11.04,9.92,10.95,10.0,11.04,9.92,10.95,54271624.0,573651065.68,1.0,17.63513922,193.104774,17.63513922,193.104774,0.030774706863924604
US,PLTR,2020-10-28,10.66,10.985,10.1,10.85,10.66,10.99,10.1,10.85,31926944.0,338425606.4,1.0,17.63513922,191.341261,17.63513922,191.341261,0.018104163285420322
US,PLTR,2020-10-29,10.9,11.1,10.56,10.75,10.9,11.1,10.56,10.75,20812272.0,226645642.08,1.0,17.63513922,189.577747,17.63513922,189.577747,0.011801592116946157
US,PLTR,2020-10-30,10.61,10.68,9.85,10.13,10.61,10.68,9.85,10.13,19928843.0,203274198.6,1.0,17.63513922,178.64396,17.63513922,178.64396,0.011300643987771138
US,PLTR,2020-11-02,10.23,10.57,10.23,10.54,10.23,10.57,10.23,10.54,12026142.0,125312399.64,1.0,17.63513922,185.874367,17.63513922,185.874367,0.006819419937644246
US,PLTR,2020-11-03,10.57,10.94,10.44,10.5,10.57,10.94,10.44,10.5,21994100.0,235116929.0,1.0,17.63513922,185.168962,17.63513922,185.168962,0.012471747302712817
US,PLTR,2020-11-04,10.82,10.92,10.55,10.72,10.82,10.92,10.55,10.72,16019267.0,172207120.25,1.0,17.63513922,189.048692,17.63513922,189.048692,0.00908372017944296
US,PLTR,2020-11-05,10.9,12.13,10.85,11.88,10.9,12.13,10.85,11.88,49022580.0,573073960.2,1.0,17.63513922,209.505454,17.63513922,209.505454,0.027798238158734535
US,PLTR,2020-11-06,12.22,14.96,12.05,13.83,12.22,14.96,12.05,13.83,91141147.0,1259570651.54,1.0,17.63513922,243.893975,17.63513922,243.893975,0.05168155797524801
US,PLTR,2020-11-09,14.96,15.9,14.11,14.67,14.96,15.9,14.11,14.67,62551205.0,941395635.25,1.0,17.63513922,258.707492,17.63513922,258.707492,0.03546964059635022
US,PLTR,2020-11-10,14.99,15.01,13.18,14.0,14.99,15.01,13.18,14.0,38871537.0,544201518.0,1.0,17.63513922,246.891949,17.63513922,246.891949,0.022042092503537378
US,PLTR,2020-11-11,14.57,15.97,14.4,15.96,14.57,15.97,14.4,15.96,47328286.0,721756361.5,1.0,17.63513922,281.456822,17.63513922,281.456822,0.02683748929315229
US,PLTR,2020-11-12,16.66,17.06,14.41,14.58,16.66,17.06,14.41,14.58,100700648.0,1529642843.12,1.0,17.63513922,257.12033,17.63513922,257.12033,0.05710226993036463
US,PLTR,2020-11-13,14.49,16.0,14.49,15.8,14.49,16.0,14.49,15.8,78142028.0,1198698709.52,1.0,17.63513922,278.6352,17.63513922,278.6352,0.04431041174394539
US,PLTR,2020-11-16,15.96,16.1,15.01,15.93,15.96,16.1,15.01,15.93,68381528.0,1079744327.12,1.0,17.63513922,280.927768,17.63513922,280.927768,0.038775723370784936
US,PLTR,2020-11-17,16.29,18.75,16.18,17.85,16.29,18.75,16.18,17.85,117539897.0,2079280777.93,1.0,17.63513922,314.787235,17.63513922,314.787235,0.06665096063812077
US,PLTR,2020-11-18,18.28,19.25,17.54,17.9,18.28,19.25,17.54,17.9,91505191.0,1681865410.58,1.0,17.63513922,315.668992,17.63513922,315.668992,0.05188798900789171
US,PLTR,2020-11-19,18.5,18.98,17.96,18.98,18.5,18.98,17.96,18.98,57201235.0,1058222847.5,1.0,17.63513922,334.714942,17.63513922,334.714942,0.03243594183545096
US,PLTR,2020-11-20,19.03,19.66,18.0,18.15,19.03,19.66,18.0,18.15,73103035.0,1367757784.85,1.0,17.63513922,320.077777,17.63513922,320.077777,0.04145305239047611
US,PLTR,2020-11-23,18.63,21.45,18.57,21.04,18.63,21.45,18.57,21.04,85694342.0,1715600726.84,1.0,17.63513922,371.043329,17.63513922,371.043329,0.048592948958868495
US,PLTR,2020-11-24,22.35,24.27,20.63,23.82,22.35,24.27,20.63,23.82,117722583.0,2685252118.23,1.0,17.63513922,420.069016,17.63513922,420.069016,0.06675455267542821
US,PLTR,2020-11-25,23.96,29.75,23.69,29.05,23.96,29.75,23.69,29.05,203256795.0,5526552256.05,1.0,17.63513922,512.300794,17.63513922,512.300794,0.11525669996950555
