country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,QCOM,Q3,2016-06-26,2016-07-20,0.580741,0.283918,0.238915,0.047117,0.028433,3.065761,0.396724,0.657422,0.119009,1.657128,0.304434,1.274238,0.326936,,
US,QCOM,Q4,2016-09-30,2016-11-02,0.589424,0.329237,0.258571,0.050318,0.030539,3.143346,0.393266,0.647964,0.118108,1.647649,0.336999,1.303315,0.361255,,
US,QCOM,Q1,2016-12-25,2017-01-25,0.592765,0.305384,0.113686,0.021848,0.013024,1.973855,0.404079,0.677879,0.114559,1.677591,0.229872,2.021994,0.251375,,
US,QCOM,Q2,2017-03-26,2017-04-19,0.559809,0.195774,0.149322,0.023896,0.013356,1.666634,0.441253,0.789465,0.089445,1.789146,0.16248,1.088117,0.186802,,
US,QCOM,Q3,2017-06-25,2017-07-19,0.536772,0.184696,0.161236,0.027673,0.013452,2.948925,0.514081,1.057583,0.083428,2.057231,0.015267,0.094688,0.048222,-0.11135,-0.400277
US,QCOM,Q4,2017-09-30,2017-11-01,0.55072,0.258764,0.02845,0.005464,0.002565,3.996791,0.530495,1.129903,0.090172,2.129903,0.409314,14.386905,0.453683,-0.045116,-0.894934
US,QCOM,Q1,2017-12-24,2018-01-31,0.56114,0.018128,-0.981048,-0.24883,-0.092508,3.406169,0.628226,1.689809,0.094295,2.689809,0.290376,-0.295985,0.32762,0.011502,-9.728739
US,QCOM,Q2,2018-03-25,2018-04-25,0.574416,0.094279,0.068998,0.01524,0.005661,3.597472,0.628559,1.69222,0.082042,2.69222,0.09808,1.421488,0.133245,0.048844,-0.515354
US,QCOM,Q3,2018-06-24,2018-07-25,0.555099,0.204679,0.217717,0.052844,0.019633,2.733654,0.628475,1.691607,0.090176,2.691607,0.366673,1.684167,0.404894,0.04245,0.407621
US,QCOM,Q4,2018-09-30,2018-11-07,0.508875,-0.09788,-0.084956,-0.53125,-0.015083,1.54717,0.971609,34.221983,0.177538,35.221983,-0.075134,0.884381,-0.047734,-0.017273,-3.934524
US,QCOM,Q1,2018-12-30,2019-01-30,0.548121,0.177406,0.22057,0.295272,0.031186,1.543577,0.894382,8.468067,0.141389,9.468067,0.073523,0.333333,0.104915,-0.202044,1.179405
US,QCOM,Q2,2019-03-31,2019-05-01,0.562625,0.185066,0.133079,0.171495,0.019487,1.552154,0.886371,7.800569,0.14643,8.800569,0.159374,1.197587,0.193497,-0.053032,0.826446
US,QCOM,Q3,2019-06-30,2019-07-31,0.780592,0.580592,0.223041,0.393374,0.06296,1.769465,0.83995,5.248032,0.282278,6.248032,0.509497,2.284318,0.535236,0.720843,0.76292
US,QCOM,Q4,2019-09-30,2019-11-06,0.560033,0.158704,0.10511,0.103076,0.015353,1.876329,0.851048,5.713587,0.146069,6.713587,0.254882,2.424901,0.320731,-0.170429,2.026369
US,QCOM,Q1,2019-12-29,2020-02-05,0.583809,0.202876,0.182194,0.204963,0.027936,1.762563,0.863701,6.336805,0.153333,7.336805,0.220209,1.208649,0.278511,0.048534,-0.133895
