code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
QCOM,高通,US,USD,Q3,2016-06-26,2016-07-20,6044000000.0,3510000000.0,1716000000.0,1693000000.0,249000000.0,1444000000.0,1444000000.0,0.981645139360979,50786000000.0,20979000000.0,29807000000.0,5885000000.0,1939000000.0,2341000000.0,20148000000.0,6843000000.0,13305000000.0,1572000000.0,30638000000.0,30647000000.0,1840000000.0,-794000000.0,-136000000.0,-943000000.0
QCOM,高通,US,USD,Q4,2016-09-30,2016-11-02,6184000000.0,3645000000.0,2036000000.0,1960000000.0,361000000.0,1599000000.0,1599000000.0,1.0833333333333333,52359000000.0,22981000000.0,29378000000.0,5946000000.0,2194000000.0,2306000000.0,20591000000.0,7311000000.0,13280000000.0,1858000000.0,31768000000.0,31778000000.0,2084000000.0,-1259000000.0,-150000000.0,-757000000.0
QCOM,高通,US,USD,Q1,2016-12-25,2017-01-25,5999000000.0,3556000000.0,1832000000.0,870000000.0,188000000.0,682000000.0,682000000.0,0.4614343707713126,52366000000.0,15779000000.0,36587000000.0,6885000000.0,2085000000.0,2270000000.0,21160000000.0,7994000000.0,13166000000.0,1648000000.0,31206000000.0,31215000000.0,1379000000.0,681000000.0,-129000000.0,-1104000000.0
QCOM,高通,US,USD,Q2,2017-03-26,2017-04-19,5016000000.0,2808000000.0,982000000.0,857000000.0,108000000.0,749000000.0,749000000.0,0.5071090047393365,56079000000.0,16908000000.0,39171000000.0,7124000000.0,4177000000.0,3065000000.0,24745000000.0,10145000000.0,14600000000.0,1289000000.0,31334000000.0,31344000000.0,815000000.0,79000000.0,-122000000.0,-666000000.0
QCOM,高通,US,USD,Q3,2017-06-25,2017-07-19,5371000000.0,2883000000.0,992000000.0,858000000.0,-8000000.0,866000000.0,866000000.0,0.5859269282814614,64379000000.0,27021000000.0,37358000000.0,14909000000.0,3500000000.0,3164000000.0,33096000000.0,9163000000.0,23933000000.0,1508000000.0,31283000000.0,31294000000.0,82000000.0,-1102000000.0,-177000000.0,8771000000.0
QCOM,高通,US,USD,Q4,2017-09-30,2017-11-01,5905000000.0,3252000000.0,1528000000.0,434000000.0,266000000.0,168000000.0,168000000.0,0.11382113821138211,65486000000.0,43593000000.0,21893000000.0,35029000000.0,3576000000.0,3216000000.0,34740000000.0,10907000000.0,23833000000.0,1971000000.0,30746000000.0,30746000000.0,2417000000.0,18805000000.0,-262000000.0,-1122000000.0
QCOM,高通,US,USD,Q1,2017-12-24,2018-01-31,6068000000.0,3405000000.0,110000000.0,-27000000.0,5926000000.0,-5953000000.0,-5953000000.0,-4.030467163168585,64351000000.0,40966000000.0,23385000000.0,33362000000.0,3053000000.0,3224000000.0,40427000000.0,12027000000.0,28400000000.0,1685000000.0,23924000000.0,23924000000.0,1762000000.0,-3261000000.0,-226000000.0,-165000000.0
QCOM,高通,US,USD,Q2,2018-03-25,2018-04-25,5261000000.0,3022000000.0,496000000.0,358000000.0,-5000000.0,363000000.0,363000000.0,0.24493927125506074,64126000000.0,45544000000.0,18582000000.0,37946000000.0,3535000000.0,3224000000.0,40307000000.0,12660000000.0,27647000000.0,1454000000.0,23819000000.0,23819000000.0,516000000.0,4742000000.0,-185000000.0,-709000000.0
QCOM,高通,US,USD,Q3,2018-06-24,2018-07-25,5599000000.0,3108000000.0,1146000000.0,956000000.0,-263000000.0,1219000000.0,1219000000.0,0.8247631935047361,62090000000.0,44318000000.0,17772000000.0,35619000000.0,3163000000.0,3073000000.0,39022000000.0,16212000000.0,22810000000.0,1644000000.0,23068000000.0,23068000000.0,2053000000.0,1134000000.0,-214000000.0,-5463000000.0
QCOM,高通,US,USD,Q4,2018-09-30,2018-11-07,5803000000.0,2953000000.0,-568000000.0,-775000000.0,-282000000.0,-493000000.0,-493000000.0,-0.3484098939929329,32686000000.0,17384000000.0,15302000000.0,11777000000.0,2667000000.0,2975000000.0,31758000000.0,11236000000.0,20522000000.0,1825000000.0,928000000.0,928000000.0,-436000000.0,1766000000.0,-159000000.0,-25150000000.0
QCOM,高通,US,USD,Q1,2018-12-30,2019-01-30,4842000000.0,2654000000.0,859000000.0,559000000.0,-509000000.0,1068000000.0,1068000000.0,0.8804616652926628,34246000000.0,16294000000.0,17952000000.0,10066000000.0,2330000000.0,2932000000.0,30629000000.0,10556000000.0,20073000000.0,1422000000.0,3617000000.0,3617000000.0,356000000.0,-152000000.0,-152000000.0,-1887000000.0
QCOM,高通,US,USD,Q2,2019-03-31,2019-05-01,4982000000.0,2803000000.0,922000000.0,806000000.0,143000000.0,663000000.0,663000000.0,0.5465787304204451,34023000000.0,16324000000.0,17699000000.0,10135000000.0,2430000000.0,2945000000.0,30157000000.0,10517000000.0,19640000000.0,1667000000.0,3866000000.0,3866000000.0,794000000.0,-109000000.0,-170000000.0,-644000000.0
QCOM,高通,US,USD,Q3,2019-06-30,2019-07-31,9635000000.0,7521000000.0,5594000000.0,5501000000.0,3352000000.0,2149000000.0,2149000000.0,1.7658175842235004,34133000000.0,19204000000.0,14929000000.0,13923000000.0,1036000000.0,3037000000.0,28670000000.0,10853000000.0,17817000000.0,1587000000.0,5463000000.0,5463000000.0,4909000000.0,-208000000.0,-248000000.0,-915000000.0
QCOM,高通,US,USD,Q4,2019-09-30,2019-11-06,4814000000.0,2696000000.0,764000000.0,615000000.0,109000000.0,506000000.0,506000000.0,0.4227234753550543,32957000000.0,16765000000.0,16192000000.0,11839000000.0,1046000000.0,3081000000.0,28048000000.0,8935000000.0,19113000000.0,1368000000.0,4909000000.0,4909000000.0,1227000000.0,-337000000.0,-317000000.0,-2940000000.0
QCOM,高通,US,USD,Q1,2019-12-29,2020-02-05,5077000000.0,2964000000.0,1030000000.0,947000000.0,22000000.0,925000000.0,925000000.0,0.8085664335664335,33111000000.0,16205000000.0,16906000000.0,11109000000.0,2737000000.0,3171000000.0,28598000000.0,9194000000.0,19404000000.0,1718000000.0,4513000000.0,4513000000.0,1118000000.0,-203000000.0,-296000000.0,-1659000000.0
