country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,QCOM,2016-06-20,,,,,,41.55,41.55,0.0,0.0,0.0,,,,0.61,
US,QCOM,2016-06-21,-0.024067,,,,,41.548462,41.549259,-0.000798,-0.00016,-0.001276,0.0,,,0.602857,
US,QCOM,2016-06-22,0.288878,,,,,41.565621,41.557462,0.008159,0.001504,0.01331,48.0,,,0.619796,
US,QCOM,2016-06-23,2.808449,,,,,41.760141,41.651724,0.108417,0.022887,0.17106,91.390728,,,0.660525,
US,QCOM,2016-06-24,-6.187252,41.552,,,,41.517042,41.542708,-0.025665,0.013176,-0.077683,30.108832,,,0.80263,9912968.4
US,QCOM,2016-06-27,-1.8666,41.128,,,,41.195959,41.386211,-0.190252,-0.027509,-0.325485,24.999526,,,0.825299,10517212.0
US,QCOM,2016-06-28,2.688308,40.918,,,,41.08735,41.319825,-0.232475,-0.068502,-0.327945,40.394631,,,0.844921,10724960.0
US,QCOM,2016-06-29,1.975796,40.844,,,,41.118527,41.317616,-0.199089,-0.09462,-0.208938,48.917059,,,0.857427,10454020.0
US,QCOM,2016-06-30,0.024219,40.538,,,,41.146446,41.316311,-0.169865,-0.109669,-0.120392,49.015192,,,0.85761,10514453.0
US,QCOM,2016-07-01,-1.065375,40.674,41.113,,,41.102377,41.28251,-0.180133,-0.123762,-0.112742,44.925696,,,0.836352,8387752.8
US,QCOM,2016-07-05,-1.982379,40.798,40.963,,,40.940473,41.191213,-0.25074,-0.149157,-0.203165,38.549335,,,0.837327,8172591.6
US,QCOM,2016-07-06,0.82397,40.776,40.847,,,40.854246,41.131123,-0.276877,-0.174701,-0.204351,42.151658,,,0.852518,8226648.0
US,QCOM,2016-07-07,1.064884,40.68,40.762,,,40.847439,41.107336,-0.259897,-0.19174,-0.136313,46.548633,,,0.847338,7953977.2
US,QCOM,2016-07-08,2.376868,40.776,40.657,,,40.99091,41.157163,-0.166253,-0.186643,0.04078,54.880064,,,0.863957,7473876.0
US,QCOM,2016-07-11,-0.119674,40.95,40.812,,,41.104616,41.199595,-0.094979,-0.16831,0.146662,54.409286,,,0.844389,7585196.0
US,QCOM,2016-07-12,0.910616,41.362,41.08,,,41.259291,41.267033,-0.007742,-0.136196,0.256909,57.400226,,,0.817647,6942703.0
US,QCOM,2016-07-13,0.379957,41.74,41.258,,,41.414784,41.341327,0.073458,-0.094266,0.335447,58.63086,,,0.779958,6529839.0
US,QCOM,2016-07-14,0.09463,42.04,41.36,,,41.55251,41.41308,0.13943,-0.047527,0.373912,58.95013,,,0.769246,6697435.0
US,QCOM,2016-07-15,-0.236351,42.126,41.451,,,41.653662,41.472111,0.181551,-0.001711,0.366524,57.750189,,,0.753586,7374042.0
US,QCOM,2016-07-18,1.089789,42.314,41.632,41.3725,,41.810022,41.560844,0.249178,0.048467,0.401423,61.620264,43.187602,39.557398,0.749044,7830902.0
US,QCOM,2016-07-19,-0.374971,42.394,41.878,41.4205,,41.917711,41.631152,0.286559,0.096085,0.380948,59.57611,43.30142,39.53958,0.748398,7980993.6
US,QCOM,2016-07-20,1.246765,42.548,42.144,41.4955,,42.090371,41.735511,0.35486,0.14784,0.414039,63.853659,43.504743,39.486257,0.744941,10286577.2
US,QCOM,2016-07-21,7.365242,43.328,42.684,41.723,,42.72416,42.066955,0.657205,0.249713,0.814984,78.5047,44.598748,38.847252,0.94816,15748732.0
US,QCOM,2016-07-22,2.034192,44.316,43.221,41.939,,43.405058,42.443476,0.961582,0.392087,1.13899,80.968123,45.644223,38.233777,0.95472,16202485.0
US,QCOM,2016-07-25,-0.699894,45.146,43.73,42.271,,43.930434,42.767663,1.162771,0.546224,1.233094,77.605644,46.44638,38.09562,0.94224,16190552.6
US,QCOM,2016-07-26,1.025203,46.104,44.249,42.6645,,44.448829,43.103392,1.345437,0.706066,1.278741,78.973453,47.165426,38.163574,0.917794,16812239.6
US,QCOM,2016-07-27,1.902748,47.136,44.842,43.05,,45.025932,43.480918,1.545014,0.873856,1.342316,81.281969,48.034632,38.065368,0.925094,16050404.8
US,QCOM,2016-07-28,-0.145228,47.52,45.424,43.392,,45.503481,43.825295,1.678186,1.034722,1.286928,80.541301,48.769775,38.014225,0.893302,10970790.2
US,QCOM,2016-07-29,0.249325,47.74,46.028,43.7395,,45.926022,44.153051,1.772971,1.182372,1.1812,80.863234,49.421241,38.057759,0.861637,10127855.2
US,QCOM,2016-08-01,-1.160622,47.914,46.53,44.081,,46.197404,44.415047,1.782356,1.302369,0.959976,74.655864,49.849767,38.312233,0.855092,11215847.6
US,QCOM,2016-08-02,-2.033969,47.798,46.951,44.4145,,46.277803,44.585784,1.692019,1.380299,0.62344,65.30463,49.980186,38.848814,0.900443,11907882.6
US,QCOM,2016-08-03,0.684932,47.566,47.351,44.7475,,46.395064,44.767578,1.627486,1.429736,0.3955,66.782821,50.100678,39.394322,0.869697,10518493.4
US,QCOM,2016-08-04,-0.042517,47.344,47.432,45.058,,46.491208,44.934424,1.556784,1.455146,0.203276,66.59186,50.176881,39.939119,0.834718,9849568.0
US,QCOM,2016-08-05,1.658869,47.254,47.497,45.359,,46.692561,45.146689,1.545872,1.473291,0.145162,70.173867,50.378482,40.339518,0.836524,9855504.6
US,QCOM,2016-08-08,-0.669456,47.212,47.563,45.6465,,46.813705,45.319527,1.494178,1.477468,0.03342,66.999998,50.455904,40.837096,0.821772,8616390.4
US,QCOM,2016-08-09,0.652906,47.426,47.612,45.9305,,46.963904,45.502525,1.461379,1.474251,-0.025742,68.486961,50.537592,41.323408,0.810217,6739921.4
US,QCOM,2016-08-10,-0.439422,47.534,47.55,46.196,,47.058688,45.656412,1.402276,1.459856,-0.115159,66.307296,50.532779,41.859221,0.792345,6217527.8
US,QCOM,2016-08-11,0.042034,47.65,47.497,46.4605,,47.141967,45.800381,1.341586,1.436202,-0.189232,66.416918,50.448214,42.472786,0.762177,6181267.8
US,QCOM,2016-08-12,-0.042017,47.606,47.43,46.729,,47.209357,45.932205,1.277152,1.404392,-0.25448,66.185015,50.229114,43.228886,0.747022,5506666.2
US,QCOM,2016-08-15,1.155948,47.736,47.474,47.002,,47.350994,46.095005,1.25599,1.374711,-0.237444,69.353991,50.010346,43.993654,0.73652,5124340.4
US,QCOM,2016-08-16,-0.560981,47.75,47.588,47.2695,,47.429303,46.225745,1.203558,1.340481,-0.273846,66.080085,49.477562,45.061438,0.724626,5584497.6
US,QCOM,2016-08-17,0.334308,47.838,47.686,47.5185,,47.520179,46.358653,1.161526,1.30469,-0.286327,67.072059,48.59667,46.44033,0.706438,6179731.2
US,QCOM,2016-08-18,1.20783,48.038,47.844,47.638,,47.686306,46.524679,1.161627,1.276077,-0.2289,70.446118,48.636411,46.639589,0.703121,6769259.8
US,QCOM,2016-08-19,-0.432099,48.2,47.903,47.7,,47.794566,46.66285,1.131716,1.247205,-0.230978,67.739625,48.723191,46.676809,0.709327,7198319.8
US,QCOM,2016-08-22,0.103327,48.262,47.999,47.781,,47.893864,46.794491,1.099373,1.217638,-0.236532,68.054326,48.768581,46.793419,0.687232,7042752.8
US,QCOM,2016-08-23,0.412882,48.418,48.084,47.848,,48.008654,46.931196,1.077458,1.189602,-0.224288,69.342599,48.876914,46.819086,0.685287,6706636.0
US,QCOM,2016-08-24,-0.760691,48.468,48.153,47.8515,,48.048861,47.030366,1.018495,1.155381,-0.273772,64.185679,48.885643,46.817357,0.679195,6724637.0
US,QCOM,2016-08-25,0.06215,48.408,48.223,47.86,,48.087498,47.124413,0.963085,1.116922,-0.307674,64.416747,48.905887,46.814113,0.65211,6120792.2
