country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,QCOM,2016-06-20,54.17,54.66,53.86,53.89,41.77,42.14,41.53,41.55,8680800.0,470021916.0,0.7710150306,14.71,792.7219,14.71,792.7219,0.005901291638341265
US,QCOM,2016-06-21,54.25,54.25,53.6,53.88,41.83,41.83,41.32,41.54,6431700.0,347279641.5,0.7709725316,14.71,792.5748,14.71,792.5748,0.004372331747110809
US,QCOM,2016-06-22,53.9,54.97,53.9,54.04,41.55,42.38,41.55,41.66,8481600.0,459723924.0,0.7709104367,14.71,794.9284,14.71,794.9284,0.005765873555404487
US,QCOM,2016-06-23,54.85,55.57,54.57,55.55,42.29,42.85,42.07,42.83,8952241.0,493581807.535,0.7710171017,14.71,817.1405,14.71,817.1405,0.006085819850441876
US,QCOM,2016-06-24,53.01,53.82,52.12,52.12,40.87,41.49,40.18,40.18,17018501.0,898023751.5175,0.7709132771,14.71,766.6852,14.71,766.6852,0.011569341264445955
US,QCOM,2016-06-27,52.29,52.29,50.84,51.14,40.32,40.32,39.2,39.43,11702018.0,604292209.52,0.7710207274,14.76,754.8264,14.76,754.8264,0.00792819647696477
US,QCOM,2016-06-28,51.7,52.56,51.53,52.51,39.87,40.53,39.73,40.49,7470440.0,389023163.0,0.7710912207,14.76,775.0476,14.76,775.0476,0.005061273712737127
US,QCOM,2016-06-29,53.06,53.84,52.75,53.55,40.91,41.51,40.67,41.29,7126900.0,379863770.0,0.7710550887,14.76,790.398,14.76,790.398,0.004828523035230352
US,QCOM,2016-06-30,52.9,53.57,52.46,53.57,40.78,41.3,40.44,41.3,9254406.0,491640318.75,0.7709538921,14.76,790.6932,14.76,790.6932,0.006269922764227642
US,QCOM,2016-07-01,52.99,53.39,52.84,53.0,40.85,41.16,40.74,40.86,6385000.0,338756175.0,0.7709433962,14.76,782.28,14.76,782.28,0.004325880758807588
US,QCOM,2016-07-05,52.95,52.97,51.89,51.94,40.83,40.84,40.01,40.05,10626212.0,557211991.75,0.7710820177,14.76,766.6344,14.76,766.6344,0.007199330623306233
US,QCOM,2016-07-06,51.57,52.53,51.16,52.37,39.76,40.5,39.45,40.38,7740722.0,401801527.215,0.7710521291,14.76,772.9812,14.76,772.9812,0.005244391598915989
US,QCOM,2016-07-07,52.58,53.38,52.41,52.93,40.54,41.16,40.41,40.81,5763546.0,304459317.45,0.7710183261,14.76,781.2468,14.76,781.2468,0.003904841463414634
US,QCOM,2016-07-08,53.49,54.33,53.32,54.19,41.24,41.89,41.11,41.78,6853900.0,368962571.75,0.7709909577,14.76,799.8444,14.76,799.8444,0.004643563685636856
US,QCOM,2016-07-11,53.96,54.71,53.94,54.12,41.61,42.18,41.59,41.73,6941600.0,376113242.0,0.7710643016,14.76,798.8112,14.76,798.8112,0.0047029810298102985
US,QCOM,2016-07-12,54.45,54.74,54.21,54.62,41.98,42.2,41.79,42.11,7413747.0,404086280.235,0.7709630172,14.76,806.1912,14.76,806.1912,0.005022863821138211
US,QCOM,2016-07-13,54.91,55.0,54.63,54.83,42.33,42.4,42.12,42.27,5676402.0,311308076.685,0.7709283239,14.76,809.2908,14.76,809.2908,0.00384580081300813
US,QCOM,2016-07-14,55.19,55.37,54.56,54.88,42.55,42.69,42.06,42.31,6601526.0,363083930.0,0.7709548105,14.76,810.0288,14.76,810.0288,0.004472578590785908
US,QCOM,2016-07-15,54.86,54.86,54.17,54.75,42.29,42.29,41.76,42.21,10236935.0,559550867.1,0.7709589041,14.76,808.11,14.76,808.11,0.006935592818428185
US,QCOM,2016-07-18,55.14,55.65,54.98,55.35,42.51,42.9,42.38,42.67,9225900.0,510007752.0,0.7709123758,14.76,816.966,14.76,816.966,0.006250609756097561
US,QCOM,2016-07-19,55.73,55.9,54.95,55.14,42.96,43.1,42.36,42.51,8164205.0,452541883.15,0.7709466812,14.76,813.8664,14.76,813.8664,0.005531304200542006
US,QCOM,2016-07-20,55.36,55.95,55.04,55.82,42.69,43.14,42.44,43.04,17204320.0,955570943.6,0.7710498029,14.76,823.9032,14.76,823.9032,0.011656043360433604
US,QCOM,2016-07-21,59.8,60.47,59.13,59.93,46.11,46.63,45.59,46.21,33912300.0,2029057689.75,0.771066244,14.76,884.5668,14.76,884.5668,0.02297581300813008
US,QCOM,2016-07-22,60.21,61.18,59.83,61.15,46.43,47.17,46.13,47.15,12505700.0,757751627.25,0.7710547833,14.76,902.574,14.76,902.574,0.00847269647696477
US,QCOM,2016-07-25,60.96,60.97,60.15,60.73,47.0,47.01,46.37,46.82,9166238.0,556413562.195,0.7709534003,14.76,896.3748,14.76,896.3748,0.006210188346883469
US,QCOM,2016-07-26,61.0,61.5,60.77,61.35,47.03,47.42,46.85,47.3,11272640.0,689378299.2,0.7709861451,14.76,905.526,14.76,905.526,0.007637289972899729
US,QCOM,2016-07-27,61.82,62.66,61.65,62.51,47.67,48.32,47.54,48.2,13395146.0,832642275.36,0.7710766277,14.76,922.6476,14.76,922.6476,0.00907530216802168
US,QCOM,2016-07-28,62.44,62.79,62.17,62.43,48.14,48.41,47.93,48.13,8514227.0,531777332.8525,0.7709434567,14.76,921.4668,14.76,921.4668,0.00576844647696477
US,QCOM,2016-07-29,62.6,62.82,62.24,62.58,48.27,48.44,47.99,48.25,8291025.0,518686524.0,0.7710131032,14.76,923.6808,14.76,923.6808,0.005617225609756097
US,QCOM,2016-08-01,62.37,62.4,61.58,61.85,48.09,48.11,47.48,47.69,14606200.0,906314710.0,0.7710590137,14.76,912.906,14.76,912.906,0.00989579945799458
US,QCOM,2016-08-02,61.74,61.95,60.02,60.6,47.6,47.76,46.27,46.72,14732815.0,899843508.1625,0.7709570957,14.76,894.456,14.76,894.456,0.009981581978319783
US,QCOM,2016-08-03,60.59,61.11,60.5,61.01,46.72,47.12,46.65,47.04,6448200.0,392066680.5,0.7710211441,14.76,900.5076,14.76,900.5076,0.00436869918699187
US,QCOM,2016-08-04,61.11,61.23,60.73,60.98,47.12,47.21,46.83,47.02,5169600.0,315410220.0,0.7710724828,14.76,900.0648,14.76,900.0648,0.0035024390243902437
US,QCOM,2016-08-05,61.52,62.11,61.27,62.0,47.43,47.88,47.24,47.8,8320708.0,513595701.3,0.7709677419,14.76,915.12,14.76,915.12,0.005637336043360434
US,QCOM,2016-08-08,62.05,62.19,61.37,61.58,47.84,47.95,47.32,47.48,8410629.0,519755845.6275,0.7710295551,14.76,908.9208,14.76,908.9208,0.005698258130081301
US,QCOM,2016-08-09,61.91,62.44,61.83,61.99,47.73,48.14,47.67,47.79,5350470.0,331956534.975,0.7709307953,14.76,914.9724,14.76,914.9724,0.003624979674796748
