country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,RKLB,Q1,2020-03-31,2020-05-15,-2.609739,-8.577276,-10.05434,,,,,,,,-5.437544,0.540816,-0.920254,,
US,RKLB,Q2,2020-06-30,2020-08-14,-0.297301,-1.520038,-1.254907,,,,,,,,-0.598828,0.477189,0.657579,,
US,RKLB,Q3,2020-09-30,2020-11-16,-0.176664,-1.203843,-1.18135,,,,,,,,-0.873196,0.739151,-0.670853,,
US,RKLB,Q4,2020-12-31,2021-03-30,-0.257609,-1.194764,-1.203978,0.113654,-0.100852,1.923088,1.887363,-2.126935,0.083766,-1.126935,-0.402999,0.334723,0.063672,,
US,RKLB,Q1,2021-03-31,2021-05-24,0.077562,-0.675627,-0.873021,-0.060688,-0.049509,0.459376,0.184204,0.225797,0.05671,1.225797,-0.850869,0.974625,-0.628463,11.838391,-0.114761
US,RKLB,Q2,2021-06-30,2021-08-03,0.218351,-1.414007,-1.477394,-0.063939,-0.052022,0.137853,0.186381,0.229076,0.035212,1.229076,-1.870833,1.266307,-1.724291,0.537623,-0.810232
US,RKLB,Q3,2021-09-30,2021-11-15,-2.355022,-16.394174,-16.638737,-0.130495,-0.092078,11.141145,0.294396,0.417225,0.005534,1.417225,-2.514659,0.151133,-1.427464,-0.504499,-5.978897
US,RKLB,Q4,2021-12-31,2022-03-23,0.243286,-0.885472,0.116311,0.004576,0.003258,8.044732,0.287913,0.404324,0.028015,1.404324,-0.797511,-6.856696,-0.278841,0.746076,1.168681
US,RKLB,Q1,2022-03-31,2022-05-16,0.091762,-0.474953,-0.656192,-0.036458,-0.025257,4.303638,0.307228,0.443477,0.03849,1.443477,-0.647102,0.986147,-0.493747,1.237412,-0.681715
US,RKLB,Q2,2022-06-30,2022-08-11,0.089375,-0.597739,-0.674496,-0.052445,-0.03724,4.902228,0.28992,0.408293,0.055212,1.408293,-0.68962,1.022423,-0.458377,3.917908,-1.245245
US,RKLB,Q3,2022-09-30,2022-11-09,0.134275,-0.507509,-0.548868,-0.050099,-0.034563,4.335255,0.310104,0.449493,0.062971,1.449493,-0.364702,0.664461,-0.232298,10.926802,0.606566
US,RKLB,Q4,2022-12-31,2023-03-07,0.035354,-0.915401,-0.718828,-0.05527,-0.037617,4.06465,0.319391,0.469272,0.052331,1.469272,-0.366021,0.509192,-0.076369,0.883762,-12.642053
US,RKLB,Q1,2023-03-31,2023-05-09,0.115803,-0.808926,-0.830986,-0.071275,-0.046036,3.219828,0.35411,0.54825,0.055399,1.54825,-0.462428,0.556481,-0.231551,0.348672,-0.707926
US,RKLB,Q2,2023-06-30,2023-08-08,0.2352,-0.715336,-0.739608,-0.075099,-0.046754,1.831088,0.377432,0.60625,0.063215,1.60625,-0.097736,0.132145,0.072657,0.118452,-0.226421
US,RKLB,Q3,2023-09-30,2023-11-08,0.221206,-0.558712,-0.599577,-0.069252,-0.042681,1.666628,0.383686,0.62255,0.071185,1.62255,-0.37246,0.621204,-0.061394,0.073013,-0.172147
US,RKLB,Q4,2023-12-31,2024-02-27,0.258239,-0.79817,-0.841743,-0.09106,-0.053651,2.134197,0.410819,0.69727,0.063738,1.69727,-0.703722,0.83603,-0.53013,0.158978,-0.357154
US,RKLB,Q1,2024-03-31,2024-05-06,0.260588,-0.467375,-0.477109,-0.092411,-0.037447,3.121469,0.594774,1.46776,0.078488,2.46776,-0.027898,0.058473,0.178824,0.689899,0.029748
US,RKLB,Q2,2024-06-30,2024-08-08,0.25564,-0.392156,-0.391817,-0.091461,-0.035025,2.821773,0.617045,1.61127,0.089392,2.61127,-0.122352,0.312267,0.022061,0.712483,0.092789
US,RKLB,Q3,2024-09-30,2024-11-12,0.267117,-0.482225,-0.495563,-0.123713,-0.045046,2.583587,0.635885,1.746386,0.090898,2.746386,-0.294968,0.595217,-0.189842,0.549016,-0.280295
US,RKLB,Q4,2024-12-31,2025-02-27,0.278099,-0.376862,-0.395391,-0.136866,-0.044198,2.039971,0.677076,2.096699,0.111782,3.096699,-0.01803,0.045601,0.144779,1.206798,-0.036596
US,RKLB,Q1,2025-03-31,2025-05-08,0.287569,-0.480081,-0.494546,-0.140545,-0.048301,2.082208,0.656332,1.909785,0.097667,2.909785,-0.442404,0.894566,-0.208438,0.321256,-0.369544
US,RKLB,Q2,2025-06-30,2025-08-07,0.321029,-0.422878,-0.459619,-0.096464,-0.042759,2.672535,0.556741,1.256016,0.09303,2.256016,-0.160847,0.349956,0.0609,0.359968,-0.595302
US,RKLB,Q3,2025-09-30,2025-11-10,0.369577,-0.378888,-0.117726,-0.014252,-0.008219,3.17626,0.423342,0.734129,0.069812,1.734129,-0.151683,1.288437,0.144371,0.479658,0.648491
US,RKLB,Q4,2025-12-31,2026-02-26,0.379801,-0.203866,-0.294581,-0.030735,-0.022767,4.082637,0.259251,0.349986,0.077287,1.349986,-0.3592,1.219361,-0.08281,0.357011,-0.011023
US,RKLB,Q1,2026-03-31,2026-05-07,0.381801,-0.279359,-0.224719,-0.019883,-0.015966,4.474672,0.197016,0.245355,0.071047,1.245355,-0.251223,1.117942,-0.116133,0.634573,0.257259
