code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
RKLB,Rocket Lab Corp,US,USD,Q1,2020-03-31,2020-05-15,1417000.0,-3698000.0,-12154000.0,-13961000.0,286000.0,-14247000.0,-14247000.0,-0.035264476145427166,0.0,,,,,,0.0,,,,0.0,,-7705000.0,-6401000.0,-6401000.0,5000.0
RKLB,Rocket Lab Corp,US,USD,Q2,2020-06-30,2020-08-14,7336000.0,-2181000.0,-11151000.0,-8743000.0,463000.0,-9206000.0,-9206000.0,-0.022242608729897754,0.0,,,,,,0.0,,,,0.0,,-4393000.0,-21425000.0,-9217000.0,20517000.0
RKLB,Rocket Lab Corp,US,USD,Q3,2020-09-30,2020-11-16,10670000.0,-1885000.0,-12845000.0,-13605000.0,-1000000.0,-12605000.0,-12605000.0,-0.028141211622065444,0.0,,,,,,0.0,,,,0.0,,-9317000.0,-2159000.0,-2159000.0,347000.0
RKLB,Rocket Lab Corp,US,USD,Q4,2020-12-31,2021-03-30,15737000.0,-4054000.0,-18802000.0,-18229000.0,718000.0,-18947000.0,-18947000.0,-0.04230000290386941,187869000.0,93114000.0,94755000.0,52792000.0,2730000.0,76734000.0,354577000.0,48419000.0,306158000.0,3368000.0,-166708000.0,-166708000.0,-6342000.0,-7344000.0,-7344000.0,609000.0
RKLB,Rocket Lab Corp,US,USD,Q1,2021-03-31,2021-05-24,18192000.0,1411000.0,-12291000.0,-15618000.0,264000.0,-15882000.0,-15882000.0,-0.03545725688073331,320787359.0,777703.0,320009656.0,425453.0,0.0,0.0,59090288.0,1692954.0,57397334.0,0.0,261697071.0,261697071.0,-15479000.0,-4046000.0,-4046000.0,414000.0
RKLB,Rocket Lab Corp,US,USD,Q2,2021-06-30,2021-08-03,11280000.0,2463000.0,-15950000.0,-16225000.0,440000.0,-16665000.0,-16665000.0,-0.03720533849121147,320343990.0,329471.0,320014519.0,44846.0,0.0,0.0,59706013.0,2390012.0,57316000.0,0.0,260637976.0,260637976.0,-21103000.0,-1653000.0,-1653000.0,96955000.0
RKLB,Rocket Lab Corp,US,USD,Q3,2021-09-30,2021-11-15,5287000.0,-12451000.0,-86676000.0,-89653000.0,-1684000.0,-87969000.0,-87969000.0,-0.19453240309358907,955377000.0,855016000.0,100361000.0,792660000.0,13336000.0,80238000.0,281259000.0,76744000.0,204515000.0,2205000.0,674118000.0,674118000.0,-13295000.0,-5748000.0,-5748000.0,704410000.0
RKLB,Rocket Lab Corp,US,USD,Q4,2021-12-31,2022-03-23,27478000.0,6685000.0,-24331000.0,-3345000.0,-6541000.0,3196000.0,3196000.0,0.007067552891212935,980847000.0,774764000.0,206083000.0,690959000.0,13957000.0,93763000.0,282399000.0,96307000.0,186092000.0,3489000.0,698448000.0,698448000.0,-21914000.0,-80687000.0,-14252000.0,-1840000.0
RKLB,Rocket Lab Corp,US,USD,Q1,2022-03-31,2022-05-16,40703000.0,3735000.0,-19332000.0,-22321000.0,4388000.0,-26709000.0,-26709000.0,-0.0585088186058122,1057484000.0,746182000.0,311302000.0,603144000.0,32990000.0,149075000.0,324889000.0,173384000.0,151505000.0,15106000.0,732595000.0,732595000.0,-26339000.0,-71830000.0,-6242000.0,14444000.0
RKLB,Rocket Lab Corp,US,USD,Q2,2022-06-30,2022-08-11,55474000.0,4958000.0,-33159000.0,-39490000.0,-2073000.0,-37417000.0,-37417000.0,-0.08051516207426476,1004752000.0,706416000.0,298336000.0,542511000.0,40183000.0,144317000.0,291298000.0,144101000.0,147197000.0,14156000.0,713454000.0,713454000.0,-38256000.0,-12313000.0,-12828000.0,-15010000.0
