country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,RKLB,2020-11-24,,,,,,9.74,9.74,0.0,0.0,0.0,,,,0.01,
US,RKLB,2020-11-25,0.0,,,,,9.74,9.74,0.0,0.0,0.0,,,,0.009286,
US,RKLB,2020-11-27,0.821355,,,,,9.752308,9.745926,0.006382,0.001276,0.010211,,,,0.014337,
US,RKLB,2020-11-30,1.323829,,,,,9.782722,9.761043,0.021679,0.005357,0.032645,,,,0.090456,
US,RKLB,2020-12-01,0.201005,9.844,,,,9.811534,9.776521,0.035013,0.011288,0.04745,,,,0.091137,12160.0
US,RKLB,2020-12-02,0.802407,9.906,,,,9.848221,9.796779,0.051442,0.019319,0.064247,,,,0.094627,27680.0
US,RKLB,2020-12-03,0.0,9.968,,,,9.879264,9.815536,0.063728,0.028201,0.071055,,,,0.087868,27900.0
US,RKLB,2020-12-04,0.099502,10.016,,,,9.907069,9.833644,0.073425,0.037246,0.072359,,,,0.095878,43820.0
US,RKLB,2020-12-07,1.39165,10.066,,,,9.952136,9.860782,0.091354,0.048067,0.086573,,,,0.103315,70700.0
US,RKLB,2020-12-08,-0.098039,10.11,9.977,,,9.98873,9.885168,0.103562,0.059166,0.088791,97.16605,,,0.117364,73160.0
US,RKLB,2020-12-09,1.07949,10.16,10.033,,,10.036618,9.915896,0.120721,0.071477,0.098488,97.878326,,,0.194695,100160.0
US,RKLB,2020-12-10,-0.485437,10.2,10.084,,,10.069446,9.940645,0.128801,0.082942,0.091718,87.15542,,,0.190788,153600.0
US,RKLB,2020-12-11,0.97561,10.258,10.137,,,10.112608,9.970967,0.141641,0.094682,0.093918,89.607619,,,0.242161,190660.0
US,RKLB,2020-12-14,-0.483092,10.278,10.172,,,10.141438,9.99534,0.146097,0.104965,0.082265,81.254688,,,0.289149,165680.0
US,RKLB,2020-12-15,0.38835,10.308,10.209,,,10.171986,10.020871,0.151115,0.114195,0.07384,82.648207,,,0.301353,183060.0
US,RKLB,2020-12-16,0.967118,10.336,10.248,,,10.213219,10.051917,0.161301,0.123616,0.07537,85.541921,,,0.302685,141240.0
US,RKLB,2020-12-17,-1.340996,10.346,10.273,,,10.22657,10.070294,0.156276,0.130148,0.052255,68.355121,,,0.302493,89200.0
US,RKLB,2020-12-18,0.38835,10.344,10.301,,,10.24402,10.090272,0.153748,0.134868,0.037761,70.197526,,,0.294458,40920.0
US,RKLB,2020-12-21,-1.06383,10.33,10.304,,,10.241863,10.100622,0.141241,0.136143,0.010197,59.873814,,,0.283425,110560.0
US,RKLB,2020-12-22,0.097752,10.31,10.309,10.143,,10.241577,10.110946,0.13063,0.13504,-0.00882,60.443356,10.55215,9.73385,0.272466,98700.0
US,RKLB,2020-12-23,0.097656,10.272,10.304,10.1685,,10.242873,10.121247,0.121626,0.132357,-0.021463,61.0389,10.535394,9.801606,0.269433,111720.0
US,RKLB,2020-12-24,0.487805,10.272,10.309,10.1965,,10.251661,10.134488,0.117174,0.129321,-0.024294,63.960542,10.509886,9.883114,0.268045,110700.0
US,RKLB,2020-12-28,0.194175,10.268,10.306,10.2215,,10.262175,10.148229,0.113946,0.126246,-0.0246,65.088288,10.486851,9.956149,0.259613,161140.0
US,RKLB,2020-12-29,-0.290698,10.28,10.305,10.2385,,10.266456,10.158731,0.107725,0.122542,-0.029633,61.956474,10.47398,10.00302,0.286783,98160.0
US,RKLB,2020-12-30,1.263362,10.316,10.313,10.261,,10.290078,10.178084,0.111994,0.120432,-0.016876,68.932476,10.474532,10.047468,0.29487,161020.0
US,RKLB,2020-12-31,-2.975048,10.288,10.28,10.264,,10.262374,10.173041,0.089333,0.114212,-0.049759,46.864143,10.467017,10.060983,0.314523,173340.0
US,RKLB,2021-01-04,1.879327,10.288,10.28,10.2765,,10.268162,10.182445,0.085717,0.108513,-0.045592,56.133599,10.45452,10.09848,0.330628,184240.0
US,RKLB,2021-01-05,0.485437,10.294,10.281,10.291,,10.280753,10.194857,0.085896,0.10399,-0.036187,58.200133,10.441187,10.140813,0.32844,131440.0
US,RKLB,2021-01-06,0.289855,10.312,10.296,10.3,,10.296022,10.208571,0.087451,0.100682,-0.026463,59.434939,10.448862,10.151138,0.321409,113460.0
US,RKLB,2021-01-07,0.289017,10.31,10.313,10.311,,10.313557,10.223492,0.090065,0.098559,-0.016987,60.685657,10.458228,10.163772,0.301308,42340.0
US,RKLB,2021-01-08,0.096061,10.372,10.33,10.317,,10.329933,10.238048,0.091885,0.097224,-0.010678,61.116026,10.471544,10.162456,0.288358,16940.0
US,RKLB,2021-01-11,-0.191939,10.392,10.34,10.3245,,10.340712,10.250044,0.090668,0.095913,-0.010489,59.708232,10.479867,10.169133,0.278475,6200.0
US,RKLB,2021-01-12,-0.865385,10.384,10.339,10.3225,,10.335987,10.254485,0.081502,0.09303,-0.023057,53.71232,10.477532,10.167468,0.287155,42880.0
US,RKLB,2021-01-13,2.036857,10.412,10.362,10.3335,,10.364297,10.274153,0.090144,0.092453,-0.004619,63.038985,10.51028,10.15672,0.289501,125520.0
US,RKLB,2021-01-14,-0.190114,10.43,10.37,10.3415,,10.385174,10.290883,0.094292,0.092821,0.002942,61.762599,10.532631,10.150369,0.289537,156740.0
US,RKLB,2021-01-15,-1.428571,10.416,10.394,10.337,,10.379763,10.295262,0.084501,0.091157,-0.013311,53.081722,10.522806,10.151194,0.286713,264680.0
US,RKLB,2021-01-19,0.483092,10.416,10.404,10.342,,10.382876,10.30302,0.079856,0.088897,-0.018081,55.335267,10.528933,10.155067,0.276948,336720.0
US,RKLB,2021-01-20,0.288462,10.44,10.412,10.3465,,10.390126,10.312426,0.0777,0.086657,-0.017915,56.679737,10.537317,10.155683,0.268594,307660.0
US,RKLB,2021-01-21,-0.095877,10.42,10.416,10.356,,10.394722,10.320394,0.074328,0.084191,-0.019728,56.073824,10.541515,10.170485,0.267266,227160.0
US,RKLB,2021-01-22,0.767754,10.42,10.425,10.369,,10.410919,10.333699,0.07722,0.082797,-0.011154,59.778226,10.556606,10.181394,0.266747,212260.0
US,RKLB,2021-01-25,-0.380952,10.442,10.429,10.3795,,10.41847,10.343054,0.075415,0.081321,-0.011811,57.181621,10.562746,10.196254,0.268408,123840.0
US,RKLB,2021-01-26,-0.095602,10.452,10.434,10.387,,10.42332,10.350976,0.072344,0.079526,-0.014362,56.520632,10.56889,10.20511,0.26495,107340.0
