country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,SNDK,Q1,2023-09-29,2023-11-13,-0.122635,-0.356164,-0.3379,,,,,,,,-0.007828,0.023166,0.011089,,
US,SNDK,Q2,2023-12-28,2024-02-11,0.096697,-0.14955,-0.180781,,,,,,,,0.001201,-0.006645,0.046246,,
US,SNDK,Q3,2024-03-31,2024-05-15,0.271554,0.03695,0.015836,,,,,,,,-0.007038,-0.444444,0.009971,,
US,SNDK,Q4,2024-06-30,2024-09-28,0.361364,0.117045,0.068182,0.010828,0.008885,1.67122,0.179476,0.218733,0.130312,1.218733,-0.073864,-1.083333,-0.052273,,
US,SNDK,Q1,2024-09-30,2024-11-14,0.385555,0.166224,0.112055,0.017401,0.015191,2.980978,0.126998,0.145473,0.135565,1.145473,-0.06957,-0.620853,-0.033988,0.228311,1.407336
US,SNDK,Q2,2024-12-27,2025-03-07,0.323028,0.09435,0.055437,0.008666,0.007306,2.379071,0.156878,0.186068,0.131797,1.186068,0.05064,0.913462,0.076226,0.126727,1.345515
US,SNDK,Q3,2025-03-28,2025-05-12,0.225369,-0.024779,-1.140413,-0.211003,-0.149151,3.701818,0.293133,0.414693,0.130787,1.414693,0.015339,-0.013451,0.041298,-0.005865,-72.592593
US,SNDK,Q4,2025-06-27,2025-08-20,0.261967,0.012099,-0.012099,-0.002496,-0.001771,3.564121,0.290258,0.408963,0.1464,1.408963,0.049448,-4.086957,0.073119,0.080114,-1.191667
US,SNDK,Q1,2025-10-03,2025-11-07,0.29766,0.083189,0.048527,0.011939,0.008785,3.287599,0.264178,0.359024,0.181034,1.359024,0.211438,4.357143,0.233102,0.225704,-0.469194
US,SNDK,Q2,2026-01-02,2026-01-30,0.509421,0.355372,0.265455,0.078625,0.061779,3.113664,0.214264,0.272692,0.232728,1.272692,0.33686,1.268991,0.349752,,
US,SNDK,Q3,2026-04-03,2026-05-01,0.783529,0.690924,0.607563,0.262394,0.211713,4.782473,0.193148,0.239384,0.348463,1.239384,0.510588,0.840387,0.518151,2.510324,2.87015
