country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,SNDK,2025-02-13,,,,,,36.0,36.0,0.0,0.0,0.0,,,,9.01,
US,SNDK,2025-02-14,1.805556,,,,,36.1,36.048148,0.051852,0.01037,0.082963,,,,8.562143,
US,SNDK,2025-02-18,28.649386,,,,,37.8,36.870508,0.929492,0.194195,1.470595,,,,8.700561,
US,SNDK,2025-02-19,-2.439024,,,,,39.061538,37.546766,1.514772,0.45831,2.112924,93.865498,,,8.293378,
US,SNDK,2025-02-20,4.913043,42.812,,,,40.476686,38.340339,2.136347,0.793918,2.684859,94.57042,,,7.95028,344675.4
US,SNDK,2025-02-21,4.372151,45.686,,,,41.998735,39.231425,2.76731,1.188596,3.157427,95.132764,,,7.574546,521275.4
US,SNDK,2025-02-24,-3.513996,48.076,,,,43.014314,39.925394,3.08892,1.568661,3.040519,86.993269,,,7.518507,7242435.4
US,SNDK,2025-02-25,-0.90535,48.278,,,,43.805958,40.535364,3.270593,1.909047,2.723092,85.045301,,,7.495756,8793316.0
US,SNDK,2025-02-26,-3.280731,48.394,,,,44.232734,40.983115,3.249618,2.177162,2.144914,78.267818,,,7.289631,10426967.0
US,SNDK,2025-02-27,-3.048519,47.774,45.293,,,44.37539,41.292514,3.082876,2.358304,1.449143,72.663169,,,7.218228,12272945.2
US,SNDK,2025-02-28,3.74225,47.07,46.378,,,44.756099,41.70418,3.051919,2.497027,1.109784,74.961228,,,7.056212,13565306.8
US,SNDK,2025-03-03,7.385272,47.412,47.744,,,45.610546,42.341648,3.268898,2.651401,1.234992,78.876433,,,6.840054,7758206.8
US,SNDK,2025-03-04,-3.220036,47.518,47.898,,,46.084308,42.811896,3.272412,2.775604,0.993616,73.112036,,,6.723622,7333366.2
US,SNDK,2025-03-05,-0.451838,47.896,48.145,,,46.451337,43.231015,3.220322,2.864547,0.71155,72.338873,,,6.450506,6669909.6
US,SNDK,2025-03-06,-4.06437,48.164,47.969,,,46.458824,43.473162,2.985662,2.88877,0.193783,65.644521,,,6.262613,5566149.6
US,SNDK,2025-03-07,9.677419,48.994,48.032,,,47.157466,44.030706,3.126761,2.936368,0.380785,72.015251,,,6.145997,5588544.0
US,SNDK,2025-03-10,3.921569,49.532,48.472,,,48.056318,44.695098,3.36122,3.021339,0.679763,74.296572,,,6.001283,5670711.4
US,SNDK,2025-03-11,-1.584906,50.226,48.872,,,48.687653,45.248053,3.4396,3.104991,0.669218,71.654513,,,5.813335,5086451.4
US,SNDK,2025-03-12,-3.297546,50.62,49.258,,,48.957245,45.632642,3.324603,3.148913,0.35138,66.444191,,,5.592382,4507588.8
US,SNDK,2025-03-13,-3.965107,51.008,49.586,47.4395,,48.877669,45.840595,3.037074,3.126546,-0.178942,60.898989,55.859385,39.019615,5.407926,4385620.6
US,SNDK,2025-03-14,13.170933,51.772,50.383,48.3805,,49.791874,46.505736,3.286138,3.158464,0.255348,69.611525,55.596764,41.164236,5.485931,3789986.2
