country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,SNDK,2025-02-13,35.06,44.0,34.99,36.0,35.06,44.0,34.99,36.0,369100.0,13845863.75,1.0,1.45,52.2,1.45,52.2,0.0025455172413793104
US,SNDK,2025-02-14,37.0,38.25,35.51,36.65,37.0,38.25,35.51,36.65,242700.0,8944101.75,1.0,1.45,53.1425,1.45,53.1425,0.0016737931034482758
US,SNDK,2025-02-18,40.53,47.15,39.0,47.15,40.53,47.15,39.0,47.15,444500.0,19316858.75,1.0,1.45,68.3675,1.45,68.3675,0.0030655172413793104
US,SNDK,2025-02-19,46.51,48.5,45.5,46.0,46.51,48.5,45.5,46.0,220849.0,10297636.7475,1.0,1.45,66.7,1.45,66.7,0.001523096551724138
US,SNDK,2025-02-20,48.98,49.49,46.71,48.26,48.98,49.49,46.71,48.26,446228.0,21579586.08,1.0,1.45,69.977,1.45,69.977,0.003077434482758621
US,SNDK,2025-02-21,48.99,50.69,48.0,50.37,48.99,50.69,48.0,50.37,1252100.0,61994601.25,1.0,1.45,73.0365,1.45,73.0365,0.008635172413793104
US,SNDK,2025-02-24,52.0,53.0,46.21,48.6,52.0,53.0,46.21,48.6,33848500.0,1690817196.25,1.0,1.45,70.47,1.45,70.47,0.23343793103448277
US,SNDK,2025-02-25,48.3,55.01,47.81,48.16,48.3,55.01,47.81,48.16,8198903.0,408469347.46,1.0,1.45,69.832,1.45,69.832,0.05654415862068966
US,SNDK,2025-02-26,46.15,49.91,45.3,46.58,46.15,49.91,45.3,46.58,8389104.0,394162051.44,1.0,1.45,67.541,1.45,67.541,0.05785588965517242
US,SNDK,2025-02-27,46.04,47.87,41.58,45.16,46.04,47.87,41.58,45.16,9676119.0,436997724.3375,1.0,1.45,65.482,1.45,65.482,0.0667318551724138
US,SNDK,2025-02-28,45.23,48.7,43.75,46.85,45.23,48.7,43.75,46.85,7713908.0,355861860.81,1.0,1.45,67.9325,1.45,67.9325,0.05319936551724138
US,SNDK,2025-03-03,48.49,50.88,47.61,50.31,48.49,50.88,47.61,50.31,4813000.0,237389192.5,1.0,1.45,72.9495,1.45,72.9495,0.03319310344827586
US,SNDK,2025-03-04,46.69,50.1,45.1,48.69,46.69,50.1,45.1,48.69,6074700.0,289429081.5,1.0,1.45,70.6005,1.45,70.6005,0.04189448275862069
US,SNDK,2025-03-05,47.6,49.4,46.5,48.47,47.6,49.4,46.5,48.47,5071821.0,243409369.3425,1.0,1.45,70.2815,1.45,70.2815,0.03497807586206896
US,SNDK,2025-03-06,47.41,49.06,45.24,46.5,47.41,49.06,45.24,46.5,4157319.0,195612252.2475,1.0,1.45,67.425,1.45,67.425,0.02867116551724138
US,SNDK,2025-03-07,49.2,51.13,47.16,51.0,49.2,51.13,47.16,51.0,7825880.0,388339730.3,1.0,1.45,73.95,1.45,73.95,0.05397158620689655
US,SNDK,2025-03-10,50.49,53.67,49.55,53.0,50.49,53.67,49.55,53.0,5223837.0,269954836.5675,1.0,1.45,76.85,1.45,76.85,0.036026462068965516
US,SNDK,2025-03-11,51.84,53.19,49.82,52.16,51.84,53.19,49.82,52.16,3153400.0,163196333.5,1.0,1.45,75.632,1.45,75.632,0.02174758620689655
US,SNDK,2025-03-12,53.0,53.1,50.38,50.44,53.0,53.1,50.38,50.44,2177508.0,112642488.84,1.0,1.45,73.138,1.45,73.138,0.015017296551724138
US,SNDK,2025-03-13,50.0,50.87,47.86,48.44,50.0,50.87,47.86,48.44,3547478.0,174864059.315,1.0,1.45,70.238,1.45,70.238,0.02446536551724138
US,SNDK,2025-03-14,49.43,54.94,49.43,54.82,49.43,54.94,49.43,54.82,4847708.0,252832210.74,1.0,1.45,79.489,1.45,79.489,0.03343246896551724
US,SNDK,2025-03-17,54.8,58.36,54.75,55.65,54.8,58.36,54.75,55.65,2930729.0,163798443.81,1.0,1.45,80.6925,1.45,80.6925,0.020211924137931034
US,SNDK,2025-03-18,55.14,57.89,54.57,56.42,55.14,57.89,54.57,56.42,2587306.0,144902072.53,1.0,1.45,81.809,1.45,81.809,0.017843489655172413
US,SNDK,2025-03-19,56.3,57.61,55.67,56.33,56.3,57.61,55.67,56.33,2520700.0,142362834.25,1.0,1.45,81.6785,1.45,81.6785,0.017384137931034483
US,SNDK,2025-03-20,56.51,57.17,54.92,56.21,56.51,57.17,54.92,56.21,2701980.0,151858030.95,1.0,1.45,81.5045,1.45,81.5045,0.01863434482758621
US,SNDK,2025-03-21,55.1,55.45,51.92,53.96,55.1,55.45,51.92,53.96,6372291.0,344788735.2825,1.0,1.45,78.242,1.45,78.242,0.04394683448275862
US,SNDK,2025-03-24,54.61,55.69,51.84,52.99,54.61,55.69,51.84,52.99,3563069.0,191630758.4925,1.0,1.45,76.8355,1.45,76.8355,0.024572889655172413
US,SNDK,2025-03-25,52.13,53.18,51.76,52.2,52.13,53.18,51.76,52.2,3079132.0,161092488.41,1.0,1.45,75.69,1.45,75.69,0.021235393103448276
US,SNDK,2025-03-26,53.53,53.7,51.98,52.62,53.53,53.7,51.98,52.62,1242406.0,65794715.745,1.0,1.45,76.299,1.45,76.299,0.00856831724137931
US,SNDK,2025-03-27,51.95,54.24,51.71,52.88,51.95,54.24,51.71,52.88,1618100.0,85265779.5,1.0,1.45,76.676,1.45,76.676,0.011159310344827587
US,SNDK,2025-03-28,52.21,52.89,48.46,48.97,52.21,52.89,48.46,48.97,3987300.0,201886967.25,1.0,1.45,71.0065,1.45,71.0065,0.02749862068965517
US,SNDK,2025-03-31,47.41,48.4,47.02,47.61,47.41,48.4,47.02,47.61,2113400.0,100618974.0,1.0,1.45,69.0345,1.45,69.0345,0.014575172413793103
US,SNDK,2025-04-01,47.55,49.36,46.58,48.11,47.55,49.36,46.58,48.11,2115600.0,101337240.0,1.0,1.45,69.7595,1.45,69.7595,0.014590344827586206
US,SNDK,2025-04-02,46.92,48.71,46.51,47.67,46.92,48.71,46.51,47.67,1725300.0,81869798.25,1.0,1.45,69.1215,1.45,69.1215,0.011898620689655172
US,SNDK,2025-04-03,44.8,44.8,37.55,38.26,44.8,44.8,37.55,38.26,7372389.0,304866716.1225,1.0,1.45,55.477,1.45,55.477,0.050844062068965516
US,SNDK,2025-04-04,35.72,35.87,28.36,30.11,35.72,35.87,28.36,30.11,11428600.0,371600929.0,1.0,1.45,43.6595,1.45,43.6595,0.07881793103448276
US,SNDK,2025-04-07,29.22,32.98,27.89,31.48,29.22,32.98,27.89,31.48,6238614.0,189607075.995,1.0,1.45,45.646,1.45,45.646,0.043024924137931034
US,SNDK,2025-04-08,33.0,35.84,31.66,32.35,33.0,35.84,31.66,32.35,5979813.0,198604539.2625,1.0,1.45,46.9075,1.45,46.9075,0.04124008965517242
US,SNDK,2025-04-09,31.92,39.65,31.26,36.58,31.92,39.65,31.26,36.58,5601600.0,195229764.0,1.0,1.45,53.041,1.45,53.041,0.038631724137931034
US,SNDK,2025-04-10,34.6,35.03,30.51,31.08,34.6,35.03,30.51,31.08,4153445.0,136253763.225,1.0,1.45,45.066,1.45,45.066,0.02864444827586207
US,SNDK,2025-04-11,30.56,32.05,28.27,31.97,30.56,32.05,28.27,31.97,4856278.0,149148438.075,1.0,1.45,46.3565,1.45,46.3565,0.0334915724137931
US,SNDK,2025-04-14,33.75,36.17,32.48,33.55,33.75,36.17,32.48,33.55,4102300.0,139426921.25,1.0,1.45,48.6475,1.45,48.6475,0.028291724137931035
US,SNDK,2025-04-15,33.3,34.56,32.89,33.23,33.3,34.56,32.89,33.23,1936800.0,64873116.0,1.0,1.45,48.1835,1.45,48.1835,0.013357241379310344
US,SNDK,2025-04-16,32.3,33.12,30.75,32.03,32.3,33.12,30.75,32.03,2321109.0,74391543.45,1.0,1.45,46.4435,1.45,46.4435,0.01600764827586207
US,SNDK,2025-04-17,31.75,32.66,30.39,31.29,31.75,32.66,30.39,31.29,2057341.0,64852531.6725,1.0,1.45,45.3705,1.45,45.3705,0.014188558620689655
US,SNDK,2025-04-21,31.07,31.07,28.94,29.81,31.07,31.07,28.94,29.81,2579400.0,77955916.5,1.0,1.45,43.2245,1.45,43.2245,0.01778896551724138
US,SNDK,2025-04-22,30.26,31.12,29.32,29.62,30.26,31.12,29.32,29.62,2883700.0,86741696.0,1.0,1.45,42.949,1.45,42.949,0.01988758620689655
US,SNDK,2025-04-23,31.99,32.78,30.2,30.36,31.99,32.78,30.2,30.36,2750200.0,86170641.5,1.0,1.45,44.022,1.45,44.022,0.01896689655172414
US,SNDK,2025-04-24,30.81,32.98,30.31,32.29,30.81,32.98,30.31,32.29,2590565.0,81855377.5875,1.0,1.45,46.8205,1.45,46.8205,0.01786596551724138
US,SNDK,2025-04-25,32.26,33.37,31.6,32.85,32.26,33.37,31.6,32.85,1322100.0,42994692.0,1.0,1.45,47.6325,1.45,47.6325,0.009117931034482758
US,SNDK,2025-04-28,32.63,33.0,31.66,32.27,32.63,33.0,31.66,32.27,1421051.0,46027841.89,1.0,1.45,46.7915,1.45,46.7915,0.00980035172413793
US,SNDK,2025-04-29,31.39,33.04,31.39,32.94,31.39,33.04,31.39,32.94,1385943.0,44613505.17,1.0,1.45,47.763,1.45,47.763,0.009558227586206896
US,SNDK,2025-04-30,31.84,32.47,31.01,32.11,31.84,32.47,31.01,32.11,2322137.0,73977479.4775,1.0,1.45,46.5595,1.45,46.5595,0.016014737931034483
US,SNDK,2025-05-01,32.48,34.19,32.48,32.59,32.48,34.19,32.48,32.59,1910345.0,62917212.575,1.0,1.45,47.2555,1.45,47.2555,0.013174793103448277
US,SNDK,2025-05-02,33.11,35.41,33.05,34.4,33.11,35.41,33.05,34.4,2193700.0,74569347.25,1.0,1.45,49.88,1.45,49.88,0.01512896551724138
US,SNDK,2025-05-05,33.83,35.23,33.53,34.61,33.83,35.23,33.53,34.61,1993800.0,68387340.0,1.0,1.45,50.1845,1.45,50.1845,0.013750344827586207
