country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,SPCX,2020-12-16,,,,,,21.21,21.21,0.0,0.0,0.0,,,,0.14,
US,SPCX,2020-12-17,0.235738,,,,,21.217692,21.213704,0.003989,0.000798,0.006382,,,,0.14,
US,SPCX,2020-12-18,0.329257,,,,,21.23497,21.222318,0.012652,0.003169,0.018967,,,,0.140714,
US,SPCX,2020-12-21,0.562588,,,,,21.268052,21.239184,0.028868,0.008309,0.04112,,,,0.146378,
US,SPCX,2020-12-22,0.512821,21.362,,,,21.312967,21.262948,0.050019,0.016651,0.066737,,,,0.163065,118318.8
US,SPCX,2020-12-23,0.742115,21.464,,,,21.375587,21.296803,0.078784,0.029077,0.099413,,,,0.166417,135435.8
US,SPCX,2020-12-24,0.736648,21.588,,,,21.453189,21.340003,0.113186,0.045899,0.134574,,,,0.175959,142334.4
US,SPCX,2020-12-28,1.051188,21.744,,,,21.554237,21.39704,0.157197,0.068159,0.178077,,,,0.205533,207325.0
US,SPCX,2020-12-29,-1.356852,21.816,,,,21.593585,21.42763,0.165956,0.087718,0.156475,78.660084,,,0.229424,219680.6
US,SPCX,2020-12-30,0.229253,21.876,21.619,,,21.634572,21.459657,0.174915,0.105158,0.139515,79.447302,,,0.228751,200480.8
US,SPCX,2020-12-31,-0.045746,21.902,21.683,,,21.667715,21.488571,0.179144,0.119955,0.118378,78.821036,,,0.224554,175560.2
US,SPCX,2021-01-04,-0.366133,21.88,21.734,,,21.683451,21.509418,0.174033,0.13077,0.086525,73.808462,,,0.231372,171240.2
US,SPCX,2021-01-05,-0.09187,21.808,21.776,,,21.693689,21.527239,0.166451,0.137906,0.057088,72.566019,,,0.227702,101170.6
US,SPCX,2021-01-06,-0.321839,21.782,21.799,,,21.691583,21.538554,0.153029,0.140931,0.024196,68.236497,,,0.222152,79336.4
US,SPCX,2021-01-07,2.859779,21.87,21.873,,,21.785186,21.594958,0.190228,0.15079,0.078875,79.756804,,,0.272713,99592.8
US,SPCX,2021-01-08,0.986547,22.004,21.953,,,21.898234,21.663479,0.234755,0.167583,0.134343,82.220917,,,0.27609,102373.4
US,SPCX,2021-01-11,1.332149,22.214,22.047,,,22.040044,21.749148,0.290897,0.192246,0.197302,84.917102,,,0.287084,97032.2
US,SPCX,2021-01-12,1.489921,22.496,22.152,,,22.212345,21.853655,0.35869,0.225535,0.26631,87.272781,,,0.294435,119492.8
US,SPCX,2021-01-13,2.374784,22.902,22.342,,,22.442754,21.991162,0.451591,0.270746,0.361691,89.99497,,,0.314833,157271.8
US,SPCX,2021-01-14,0.970055,23.23,22.55,22.0845,,22.673099,22.135521,0.537579,0.324113,0.426932,90.874021,23.597173,20.571827,0.330202,215815.4
US,SPCX,2021-01-15,-1.253133,23.454,22.729,22.206,,22.821853,22.246964,0.57489,0.374268,0.401243,80.890755,23.80603,20.60597,0.344473,264557.4
