country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,STX,Q4,2016-06-30,2016-08-05,0.249435,0.039186,0.026375,0.043942,0.008483,1.57092,0.806956,4.180163,0.321619,5.180163,0.101356,3.842857,0.156368,,
US,STX,Q1,2016-09-30,2016-10-28,0.286378,0.079728,0.059707,0.10958,0.019659,1.506135,0.8206,4.574147,0.329253,5.574147,0.211655,3.54491,0.261709,,
US,STX,Q2,2016-12-30,2017-01-26,0.307878,0.139254,0.102626,0.19501,0.034692,1.5442,0.8221,4.621142,0.338045,5.621142,0.22633,2.205387,0.259502,,
US,STX,Q3,2017-03-31,2017-04-28,0.305161,0.10172,0.07255,0.120647,0.01992,1.957691,0.834891,5.056592,0.274566,6.056592,0.159312,2.195876,0.194465,,
US,STX,Q4,2017-06-30,2017-08-04,0.276808,0.075644,0.047382,0.083578,0.0123,1.91965,0.852827,5.794721,0.259603,6.794721,0.100998,2.131579,0.144223,-0.093444,0.628571
US,STX,Q1,2017-09-29,2017-10-27,0.279635,0.094605,0.068769,0.145733,0.02021,1.962571,0.861322,6.21095,0.293881,7.21095,0.090046,1.309392,0.137158,-0.058992,0.083832
US,STX,Q2,2017-12-29,2018-01-29,0.300961,0.14825,0.054564,0.149859,0.018171,1.577257,0.878743,7.246937,0.333029,8.246937,0.291695,5.345912,0.318119,0.006911,-0.464646
US,STX,Q3,2018-03-30,2018-05-01,0.302176,0.161613,0.135926,0.279326,0.042277,1.717512,0.848646,5.607038,0.31103,6.607038,0.199072,1.464567,0.223689,0.048242,0.963918
US,STX,Q4,2018-06-30,2018-08-03,0.318871,0.183422,0.16261,0.276877,0.04899,1.351097,0.823061,4.651652,0.301275,5.651652,0.165079,1.015184,0.198942,0.178304,3.04386
US,STX,Q1,2018-09-28,2018-11-02,0.305249,0.175861,0.150451,0.24377,0.046983,1.424567,0.807267,4.188516,0.312278,5.188516,0.196255,1.304444,0.255433,0.136398,1.486188
US,STX,Q2,2018-12-28,2019-02-04,0.292449,0.167219,0.141436,0.198552,0.043691,1.598261,0.779952,3.544467,0.308909,4.544467,0.106077,0.75,0.152855,-0.068291,1.415094
US,STX,Q3,2019-03-29,2019-04-30,0.259836,0.116732,0.084306,0.115453,0.022685,1.624884,0.803513,4.089402,0.269079,5.089402,0.189364,2.246154,0.252918,-0.174813,-0.488189
US,STX,Q4,2019-06-30,2019-08-02,0.26318,0.14593,0.414593,0.454672,0.110636,1.954749,0.756669,3.109621,0.266854,4.109621,0.18895,0.455748,0.252636,-0.163668,1.132321
US,STX,Q1,2019-10-04,2019-11-01,0.260279,0.098138,0.07758,0.112994,0.022889,1.581404,0.797436,3.936723,0.295033,4.936723,0.176881,2.28,0.233902,-0.138081,-0.555556
US,STX,Q2,2020-01-03,2020-02-04,0.281157,0.142433,0.117953,0.17377,0.035602,1.537778,0.795119,3.880874,0.301836,4.880874,0.178042,1.509434,0.25,,
US,STX,Q3,2020-04-03,2020-04-30,0.274467,0.142384,0.117734,0.178571,0.036244,1.492565,0.797033,3.926897,0.307849,4.926897,0.143488,1.21875,0.191317,0.175097,0.641026
US,STX,Q4,2020-06-30,2020-08-07,0.264998,0.083035,0.065952,0.092893,0.018589,1.511389,0.799888,3.997202,0.281859,4.997202,0.154152,2.337349,0.199444,0.061577,-0.831129
US,STX,Q1,2020-10-02,2020-10-29,0.257563,0.117113,0.09637,0.12246,0.025164,1.51059,0.794516,3.866557,0.261115,4.866557,0.128349,1.331839,0.176318,-0.102405,0.115
US,STX,Q2,2021-01-01,2021-01-28,0.265345,0.130766,0.106748,0.282828,0.03116,1.557039,0.889829,8.076768,0.291899,9.076768,0.180328,1.689286,0.240945,-0.027077,-0.119497
US,STX,Q3,2021-04-02,2021-04-29,0.270963,0.145734,0.120469,0.679752,0.038238,1.233545,0.943747,16.77686,0.317411,17.77686,0.138411,1.148936,0.176492,0.004783,0.028125
US,STX,Q4,2021-06-30,2021-08-06,0.293727,0.184534,0.159973,0.763867,0.055562,1.293735,0.927262,12.748019,0.34732,13.748019,0.158646,0.991701,0.199801,0.19706,1.903614
US,STX,Q1,2021-10-01,2021-10-28,0.306902,0.190048,0.16886,0.875208,0.06107,1.269643,0.930222,13.331115,0.361663,14.331115,0.15923,0.942966,0.19679,0.346154,1.358744
US,STX,Q2,2021-12-31,2022-01-27,0.304236,0.184852,0.160783,0.952471,0.05344,1.487299,0.943893,16.823194,0.332373,17.823194,0.167202,1.03992,0.197689,0.155786,0.575472
US,STX,Q3,2022-04-01,2022-04-28,0.287652,0.147752,0.123483,0.821853,0.037835,1.478306,0.953964,20.72209,0.306397,21.72209,0.164168,1.32948,0.198787,0.025998,0.051672
US,STX,Q4,2022-06-30,2022-08-05,0.288813,0.131659,0.105023,2.53211,0.030859,1.134459,0.987813,81.055046,0.293828,82.055046,0.068493,0.652174,0.09589,-0.12778,-0.427386
US,STX,Q1,2022-09-30,2022-10-27,0.236855,0.048157,0.014251,-0.082621,0.003368,1.191842,1.040762,-25.532764,0.236326,-24.532764,0.120393,8.448276,0.185749,-0.346709,-0.944867
US,STX,Q2,2022-12-30,2023-01-25,0.130366,0.020668,-0.017488,0.070213,-0.004195,1.130642,1.059743,-17.738298,0.239863,-16.738298,0.133015,-7.606061,0.174881,-0.394416,-1.065868
US,STX,Q3,2023-03-31,2023-04-26,0.171505,-0.171505,-0.232796,0.431275,-0.054349,0.988458,1.12602,-8.935259,0.233463,-7.935259,0.122581,-0.526559,0.151613,-0.336188,-2.251445
US,STX,Q4,2023-06-30,2023-08-04,0.231586,-0.000624,-0.057428,0.076731,-0.012176,1.120756,1.158682,-7.301918,0.212017,-6.301918,0.13608,-2.369565,0.167291,-0.390411,-1.333333
US,STX,Q1,2023-09-29,2023-10-27,0.102476,-0.043329,-0.126547,0.108108,-0.02557,1.065912,1.23652,-5.227967,0.202057,-4.227967,0.087345,-0.690217,0.135488,-0.285504,-7.344828
US,STX,Q2,2023-12-29,2024-01-26,0.232797,0.06045,-0.012219,0.010474,-0.002658,1.039146,1.253742,-4.941014,0.217513,-3.941014,0.108682,-8.894737,0.153698,-0.175941,0.424242
US,STX,Q3,2024-03-29,2024-04-26,0.256798,0.084592,0.015106,-0.013235,0.003523,0.854017,1.266206,-4.756485,0.23323,-3.756485,0.113595,7.52,0.149849,-0.110215,1.057737
US,STX,Q4,2024-06-28,2024-08-02,0.317965,0.328564,0.27186,-0.344064,0.066288,1.075186,1.192661,-6.190476,0.24383,-5.190476,0.229995,0.846004,0.258612,0.177903,6.576087
US,STX,Q1,2024-09-27,2024-10-25,0.329336,0.184963,0.140683,-0.234615,0.038259,1.141411,1.163071,-7.132308,0.271952,-6.132308,0.043819,0.311475,0.075185,0.491059,2.657609
US,STX,Q2,2024-12-27,2025-01-24,0.349247,0.186667,0.144516,-0.311399,0.042216,1.233412,1.13557,-8.376274,0.292122,-7.376274,0.095054,0.657738,0.125591,0.495177,18.684211
US,STX,Q3,2025-03-28,2025-05-02,0.351852,0.2,0.157407,-0.410133,0.04495,1.360697,1.109598,-10.124246,0.285563,-9.124246,0.119907,0.761765,0.139815,0.305136,12.6
US,STX,Q4,2025-06-27,2025-08-01,0.373977,0.231997,0.199673,-1.077263,0.060825,1.379532,1.056463,-18.710817,0.304624,-17.710817,0.207856,1.040984,0.241817,0.295178,-0.048733
US,STX,Q1,2025-10-03,2025-10-31,0.394447,0.263979,0.208825,-8.714286,0.065032,0.979354,1.007463,-135.0,0.311419,-134.0,0.202358,0.969035,0.242297,0.212638,0.8
US,STX,Q2,2026-01-02,2026-01-30,0.416283,0.275752,0.209912,1.291939,0.068098,1.119117,0.94729,17.971678,0.324414,18.971678,0.255929,1.219224,0.218761,,
US,STX,Q3,2026-04-03,2026-04-29,0.464974,0.34383,0.24036,0.683105,0.084121,1.326442,0.876856,7.120548,0.349978,8.120548,0.357969,1.489305,0.409704,0.440741,1.2
