code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
STX,希捷科技,US,USD,Q4,2016-06-30,2016-08-05,2654000000.0,662000000.0,104000000.0,54000000.0,-16000000.0,70000000.0,70000000.0,0.23411371237458195,8252000000.0,3533000000.0,4719000000.0,1125000000.0,1318000000.0,2160000000.0,6659000000.0,2249000000.0,4410000000.0,1517000000.0,1593000000.0,1593000000.0,269000000.0,-146000000.0,-146000000.0,-188000000.0
STX,希捷科技,US,USD,Q1,2016-09-30,2016-10-28,2797000000.0,801000000.0,223000000.0,173000000.0,6000000.0,167000000.0,167000000.0,0.5585284280936454,8495000000.0,3928000000.0,4567000000.0,1489000000.0,1307000000.0,2093000000.0,6971000000.0,2608000000.0,4363000000.0,1568000000.0,1524000000.0,1524000000.0,592000000.0,-139000000.0,-140000000.0,-89000000.0
STX,希捷科技,US,USD,Q2,2016-12-30,2017-01-26,2894000000.0,891000000.0,403000000.0,310000000.0,13000000.0,297000000.0,297000000.0,1.0033783783783783,8561000000.0,4140000000.0,4421000000.0,1716000000.0,1211000000.0,2012000000.0,7038000000.0,2681000000.0,4357000000.0,1631000000.0,1523000000.0,1523000000.0,655000000.0,-95000000.0,-96000000.0,-324000000.0
STX,希捷科技,US,USD,Q3,2017-03-31,2017-04-28,2674000000.0,816000000.0,272000000.0,212000000.0,18000000.0,194000000.0,194000000.0,0.6554054054054054,9739000000.0,5460000000.0,4279000000.0,3026000000.0,1156000000.0,1911000000.0,8131000000.0,2789000000.0,5342000000.0,1591000000.0,1608000000.0,1608000000.0,426000000.0,-103000000.0,-94000000.0,984000000.0
STX,希捷科技,US,USD,Q4,2017-06-30,2017-08-04,2406000000.0,666000000.0,182000000.0,120000000.0,6000000.0,114000000.0,114000000.0,0.3877551020408163,9268000000.0,5041000000.0,4227000000.0,2539000000.0,1199000000.0,1875000000.0,7904000000.0,2626000000.0,5278000000.0,1626000000.0,1364000000.0,1364000000.0,243000000.0,-122000000.0,-104000000.0,-617000000.0
STX,希捷科技,US,USD,Q1,2017-09-29,2017-10-27,2632000000.0,736000000.0,249000000.0,188000000.0,7000000.0,181000000.0,181000000.0,0.6241379310344828,8956000000.0,4824000000.0,4132000000.0,2285000000.0,1209000000.0,1817000000.0,7714000000.0,2458000000.0,5256000000.0,1539000000.0,1242000000.0,1242000000.0,237000000.0,-132000000.0,-124000000.0,-363000000.0
STX,希捷科技,US,USD,Q2,2017-12-29,2018-01-29,2914000000.0,877000000.0,432000000.0,371000000.0,212000000.0,159000000.0,159000000.0,0.5520833333333334,8750000000.0,4910000000.0,3840000000.0,2556000000.0,1055000000.0,1762000000.0,7689000000.0,3113000000.0,4576000000.0,1620000000.0,1061000000.0,1061000000.0,850000000.0,-78000000.0,-77000000.0,-502000000.0
STX,希捷科技,US,USD,Q3,2018-03-30,2018-05-01,2803000000.0,847000000.0,453000000.0,393000000.0,12000000.0,381000000.0,381000000.0,1.332167832167832,9012000000.0,5247000000.0,3765000000.0,2926000000.0,1076000000.0,1720000000.0,7648000000.0,3055000000.0,4593000000.0,1645000000.0,1364000000.0,1364000000.0,558000000.0,-29000000.0,-69000000.0,-162000000.0
STX,希捷科技,US,USD,Q4,2018-06-30,2018-08-03,2835000000.0,904000000.0,520000000.0,466000000.0,5000000.0,461000000.0,461000000.0,1.6062717770034842,9410000000.0,4310000000.0,5100000000.0,1853000000.0,1184000000.0,1792000000.0,7745000000.0,3190000000.0,4555000000.0,1728000000.0,1665000000.0,1665000000.0,468000000.0,-1349000000.0,-96000000.0,-184000000.0
STX,希捷科技,US,USD,Q1,2018-09-28,2018-11-02,2991000000.0,913000000.0,526000000.0,468000000.0,18000000.0,450000000.0,450000000.0,1.5679442508710801,9578000000.0,4523000000.0,5055000000.0,1942000000.0,1202000000.0,1789000000.0,7732000000.0,3175000000.0,4557000000.0,1776000000.0,1846000000.0,1846000000.0,587000000.0,-176000000.0,-177000000.0,-326000000.0
STX,希捷科技,US,USD,Q2,2018-12-28,2019-02-04,2715000000.0,794000000.0,454000000.0,398000000.0,14000000.0,384000000.0,384000000.0,1.3473684210526315,8789000000.0,3676000000.0,5113000000.0,1357000000.0,1058000000.0,1823000000.0,6855000000.0,2300000000.0,4555000000.0,1442000000.0,1934000000.0,1934000000.0,288000000.0,-54000000.0,-127000000.0,-815000000.0
STX,希捷科技,US,USD,Q3,2019-03-29,2019-04-30,2313000000.0,601000000.0,270000000.0,215000000.0,20000000.0,195000000.0,195000000.0,0.693950177935943,8596000000.0,3487000000.0,5109000000.0,1388000000.0,897000000.0,1822000000.0,6907000000.0,2146000000.0,4761000000.0,1310000000.0,1689000000.0,1689000000.0,438000000.0,-129000000.0,-147000000.0,-276000000.0
