country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,STX,2016-06-23,,,,,,16.64,16.64,0.0,0.0,0.0,,,,0.39,
US,STX,2016-06-24,-5.408654,,,,,16.501538,16.573333,-0.071795,-0.014359,-0.114872,0.0,,,0.433571,
US,STX,2016-06-27,-9.911055,,,,,16.144379,16.396049,-0.251671,-0.061821,-0.379699,0.0,,,0.519031,
US,STX,2016-06-28,7.96897,,,,,16.016013,16.315601,-0.299589,-0.109375,-0.380428,8.405951,,,0.566243,
US,STX,2016-06-29,6.335728,15.63,,,,16.056626,16.312964,-0.256338,-0.138767,-0.235141,15.010316,,,0.600083,6609765.8
US,STX,2016-06-30,1.719902,15.614,,,,16.134068,16.331263,-0.197195,-0.150453,-0.093484,16.873578,,,0.614362,7333925.6
US,STX,2016-07-01,-1.388889,15.732,,,,16.164212,16.33117,-0.166958,-0.153754,-0.026408,16.552561,,,0.591908,7023440.8
US,STX,2016-07-05,-3.612982,16.044,,,,16.098948,16.287379,-0.188431,-0.160689,-0.055483,15.72605,,,0.604629,6445391.4
US,STX,2016-07-06,1.58831,16.18,,,,16.082187,16.265351,-0.183164,-0.165184,-0.03596,17.603485,,,0.636441,6489724.2
US,STX,2016-07-07,0.875547,16.15,15.89,,,16.089543,16.255325,-0.165782,-0.165304,-0.000957,18.695824,,,0.630981,6189157.2
US,STX,2016-07-08,1.177929,16.102,15.858,,,16.124998,16.260116,-0.135118,-0.159267,0.048297,20.241211,,,0.620197,5796162.6
US,STX,2016-07-11,0.306373,16.11,15.921,,,16.16269,16.268255,-0.105565,-0.148526,0.085923,20.668548,,,0.594468,5854658.4
US,STX,2016-07-12,21.869273,16.952,16.498,,,16.745353,16.540977,0.204376,-0.077946,0.564644,43.861301,,,0.817006,10996127.0
US,STX,2016-07-13,1.60401,17.808,16.994,,,17.287607,16.817201,0.470406,0.031724,0.877362,45.397925,,,0.815791,11828092.6
US,STX,2016-07-14,-2.121362,18.55,17.35,,,17.680283,17.041112,0.63917,0.153214,0.971914,43.668213,,,0.818235,11886564.0
US,STX,2016-07-15,-1.008065,19.214,17.658,,,17.981778,17.233622,0.748155,0.272202,0.951907,42.850427,,,0.81479,11901358.6
US,STX,2016-07-18,4.327902,20.038,18.074,,,18.367658,17.474836,0.892822,0.396326,0.992993,47.362181,,,0.833019,12276578.6
US,STX,2016-07-19,-0.536847,20.124,18.538,,,18.677249,17.690033,0.987216,0.514504,0.945424,46.84675,,,0.814232,7048430.0
US,STX,2016-07-20,1.71737,20.216,19.012,,,18.993057,17.915216,1.077841,0.627172,0.901339,48.757607,,,0.794644,5691287.6
US,STX,2016-07-21,2.363724,20.492,19.521,17.7055,,19.335664,18.160014,1.175649,0.736867,0.877564,51.392219,22.126185,13.284815,0.793598,5621327.0
US,STX,2016-07-22,1.131008,20.856,20.035,17.9465,,19.662485,18.404458,1.258027,0.841099,0.833855,52.675648,22.626493,13.266507,0.770484,5252971.2
US,STX,2016-07-25,-0.419385,21.032,20.535,18.228,,19.925179,18.624128,1.301052,0.933089,0.735924,52.119891,23.019211,13.436789,0.741878,4694231.2
US,STX,2016-07-26,3.228825,21.368,20.746,18.622,,20.253613,18.878637,1.374976,1.021467,0.707019,55.956509,23.311813,13.932187,0.760315,4911018.2
US,STX,2016-07-27,-1.269266,21.578,20.897,18.9455,,20.488442,19.093553,1.394889,1.096151,0.597476,54.063338,23.568968,14.322032,0.766007,5056915.0
US,STX,2016-07-28,1.74472,21.766,21.129,19.2395,,20.745605,19.320697,1.424908,1.161903,0.52601,56.22779,23.895286,14.583714,0.753435,4396191.2
US,STX,2016-07-29,-1.759928,21.828,21.342,19.5,,20.903204,19.502127,1.401077,1.209738,0.382679,53.444507,24.109733,14.890267,0.764618,4758867.0
US,STX,2016-08-01,1.240239,21.962,21.497,19.7855,,21.078096,19.690117,1.387978,1.245386,0.285185,55.101505,24.280401,15.290599,0.741431,5364930.0
US,STX,2016-08-02,-5.490018,21.716,21.542,20.04,,21.039927,19.774553,1.265374,1.249383,0.031981,47.024005,24.149749,15.930251,0.857757,7351223.0
US,STX,2016-08-03,0.288046,21.538,21.558,20.285,,21.016861,19.857179,1.159683,1.231443,-0.143521,47.435492,23.961131,16.608869,0.845775,7664528.2
US,STX,2016-08-04,1.723313,21.356,21.561,20.541,,21.052729,19.960351,1.092378,1.20363,-0.222504,49.947601,23.700942,17.381058,0.818219,7729788.2
US,STX,2016-08-05,2.776471,21.37,21.599,20.817,,21.173848,20.099584,1.074264,1.177757,-0.206987,53.841061,23.357599,18.276401,0.819061,7465568.8
US,STX,2016-08-08,1.465201,21.394,21.678,21.1065,,21.325563,20.252207,1.073356,1.156877,-0.167042,55.84716,22.695516,19.517484,0.790557,7039040.4
US,STX,2016-08-09,-0.361011,21.644,21.68,21.213,,21.44163,20.387599,1.054031,1.136308,-0.164553,55.201253,22.762724,19.663276,0.753374,4813427.2
US,STX,2016-08-10,-3.396739,21.732,21.635,21.266,,21.424457,20.457407,0.96705,1.102456,-0.270813,49.42946,22.754387,19.777613,0.763847,4509570.8
US,STX,2016-08-11,1.172058,21.798,21.577,21.353,,21.448386,20.540562,0.907824,1.06353,-0.311411,51.258909,22.693912,20.012088,0.738572,4083838.2
US,STX,2016-08-12,-0.648749,21.718,21.544,21.443,,21.447096,20.607187,0.839909,1.018806,-0.357793,50.16447,22.529409,20.356591,0.712246,3514897.6
US,STX,2016-08-15,1.445896,21.636,21.515,21.506,,21.493697,20.69184,0.801857,0.975416,-0.347118,52.578888,22.506808,20.505192,0.702085,3196985.4
US,STX,2016-08-16,1.425287,21.632,21.638,21.59,,21.58082,20.793185,0.787635,0.93786,-0.300449,54.930373,22.473855,20.706145,0.693365,3184019.4
US,STX,2016-08-17,-2.085222,21.686,21.709,21.6335,,21.583771,20.852949,0.730822,0.896452,-0.33126,50.897215,22.424532,20.842468,0.693125,2979438.8
US,STX,2016-08-18,0.925926,21.73,21.764,21.6625,,21.617037,20.923101,0.693936,0.855949,-0.324026,52.5292,22.433029,20.891971,0.685044,2983791.4
US,STX,2016-08-19,0.779817,21.836,21.777,21.688,,21.671339,21.000649,0.67069,0.818897,-0.296414,53.9308,22.463773,20.912227,0.676113,3065571.4
US,STX,2016-08-22,-1.411015,21.818,21.727,21.7025,,21.669595,21.04949,0.620105,0.779139,-0.318068,50.975146,22.464678,20.940322,0.674962,2901495.2
US,STX,2016-08-23,0.784857,21.772,21.702,21.691,,21.694272,21.107305,0.586967,0.740704,-0.307475,52.512137,22.438045,20.943955,0.656036,2779834.4
US,STX,2016-08-24,-1.694915,21.744,21.715,21.675,,21.65823,21.133431,0.524799,0.697523,-0.345448,48.917487,22.427423,20.922577,0.656319,2631426.2
US,STX,2016-08-25,1.491146,21.74,21.735,21.656,,21.676964,21.181325,0.495639,0.657147,-0.323015,51.979165,22.37701,20.93499,0.650153,2679246.2
US,STX,2016-08-26,3.99449,21.876,21.856,21.7,,21.826662,21.290116,0.536546,0.633026,-0.19296,59.148084,22.540904,20.859096,0.673,3364868.2
US,STX,2016-08-29,1.236203,22.13,21.974,21.7445,,21.996406,21.411589,0.584818,0.623385,-0.077134,61.157873,22.733772,20.755228,0.656357,3597931.4
US,STX,2016-08-30,0.523332,22.374,22.073,21.8555,,22.158498,21.532952,0.625545,0.623817,0.003457,62.020252,22.905728,20.805272,0.640903,3670673.8
US,STX,2016-08-31,-0.520607,22.668,22.206,21.9575,,22.27719,21.636437,0.640753,0.627204,0.027098,60.571975,23.009087,20.905913,0.635124,4175641.6
US,STX,2016-09-01,-0.087222,22.894,22.317,22.0405,,22.374546,21.730775,0.64377,0.630517,0.026506,60.319158,23.117356,20.963644,0.625472,4487226.6
US,STX,2016-09-02,0.611087,22.974,22.425,22.101,,22.478462,21.828496,0.649966,0.634407,0.031118,61.529601,23.25891,20.94309,0.618653,3814529.8
US,STX,2016-09-06,1.64859,23.074,22.602,22.1645,,22.624852,21.947126,0.677727,0.643071,0.069311,64.67906,23.459559,20.869441,0.610892,3891509.2
US,STX,2016-09-07,5.889885,23.426,22.9,22.301,,22.961029,22.15919,0.801838,0.674824,0.254028,73.245288,24.033327,20.568673,0.672971,5202366.8
US,STX,2016-09-08,-0.523982,23.776,23.222,22.4685,,23.225486,22.345917,0.879569,0.715773,0.327591,71.486433,24.426073,20.510927,0.659902,5090526.0
