country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,STX,2016-06-20,23.53,23.99,23.3,23.43,15.99,16.3,15.83,15.92,4353930.0,102589475.625,0.679470764,2.99,70.0557,2.99,70.0557,0.014561638795986622
US,STX,2016-06-21,23.38,23.92,23.2,23.86,15.89,16.26,15.77,16.22,3550523.0,83756837.57,0.6797988265,2.99,71.3414,2.99,71.3414,0.011874658862876255
US,STX,2016-06-22,23.86,24.24,23.77,23.87,16.21,16.47,16.15,16.22,3949339.0,94527428.965,0.6795140344,2.99,71.3713,2.99,71.3713,0.013208491638795986
US,STX,2016-06-23,24.16,24.68,24.11,24.48,16.42,16.78,16.39,16.64,4714601.0,114835893.8575,0.6797385621,2.99,73.1952,2.99,73.1952,0.015767896321070233
US,STX,2016-06-24,23.41,23.92,23.01,23.16,15.91,16.26,15.64,15.74,6496845.0,151863751.875,0.6796200345,2.99,69.2484,2.99,69.2484,0.021728578595317724
US,STX,2016-06-27,23.0,23.07,20.77,20.87,15.63,15.67,14.11,14.18,6675247.0,146371478.5925,0.6794441782,2.99,62.4013,2.99,62.4013,0.022325240802675585
US,STX,2016-06-28,21.48,22.6,21.43,22.53,14.6,15.36,14.56,15.31,6165136.0,135694643.36,0.6795383933,2.99,67.3647,2.99,67.3647,0.020619183946488293
US,STX,2016-06-29,23.24,24.06,22.91,23.95,15.8,16.35,15.57,16.28,8997000.0,211789380.0,0.6797494781,2.99,71.6105,2.99,71.6105,0.03009030100334448
US,STX,2016-06-30,23.8,24.37,23.2,24.36,16.18,16.57,15.77,16.56,8335400.0,199486960.5,0.6798029557,2.99,72.8364,2.99,72.8364,0.02787759197324415
US,STX,2016-07-01,24.21,24.21,23.93,24.03,16.45,16.45,16.26,16.33,4944421.0,119135823.995,0.6795672077,2.99,71.8497,2.99,71.8497,0.01653652508361204
US,STX,2016-07-05,23.78,23.8,22.89,23.16,16.16,16.17,15.56,15.74,3785000.0,88597387.5,0.6796200345,2.99,69.2484,2.99,69.2484,0.01265886287625418
US,STX,2016-07-06,22.35,23.64,22.09,23.52,15.19,16.07,15.02,15.99,6386800.0,146257720.0,0.6798469388,2.99,70.3248,2.99,70.3248,0.021360535117056857
US,STX,2016-07-07,24.02,24.34,23.51,23.73,16.33,16.54,15.98,16.13,7494165.0,179110543.5,0.6797302992,2.99,70.9527,2.99,70.9527,0.025064096989966554
US,STX,2016-07-08,24.2,24.21,23.51,24.01,16.45,16.46,15.98,16.32,6370427.0,152778765.5275,0.6797167847,2.99,71.7899,2.99,71.7899,0.021305775919732442
US,STX,2016-07-11,24.14,24.33,23.94,24.09,16.4,16.53,16.27,16.37,5236900.0,126340212.5,0.6795350768,2.99,72.0291,2.99,72.0291,0.017514715719063545
US,STX,2016-07-12,27.48,29.54,27.47,29.35,18.68,20.08,18.67,19.95,29492343.0,839352081.78,0.6797274276,2.99,87.7565,2.99,87.7565,0.09863659866220736
US,STX,2016-07-13,29.35,30.15,28.97,29.83,19.94,20.49,19.69,20.27,10546628.0,311916523.1,0.6795172645,2.99,89.1917,2.99,89.1917,0.03527300334448161
US,STX,2016-07-14,30.03,30.29,29.04,29.19,20.41,20.59,19.74,19.84,7786522.0,230773045.775,0.6796848236,2.99,87.2781,2.99,87.2781,0.026041879598662207
US,STX,2016-07-15,29.4,29.43,28.3,28.9,19.98,20.0,19.23,19.64,6444400.0,186935933.0,0.6795847751,2.99,86.411,2.99,86.411,0.021553177257525084
US,STX,2016-07-18,29.2,30.47,29.0,30.15,19.84,20.71,19.71,20.49,7113000.0,211291665.0,0.67960199,2.99,90.1485,2.99,90.1485,0.023789297658862875
US,STX,2016-07-19,30.35,30.55,29.71,29.99,20.62,20.76,20.19,20.38,3351600.0,101050740.0,0.6795598533,2.99,89.6701,2.99,89.6701,0.011209364548494983
US,STX,2016-07-20,30.03,30.5,29.71,30.5,20.41,20.73,20.19,20.73,3760916.0,113523249.46,0.6796721311,2.99,91.195,2.99,91.195,0.012578314381270902
US,STX,2016-07-21,30.48,31.55,30.4,31.22,20.72,21.44,20.66,21.22,7436719.0,229887576.0875,0.6796925048,2.99,93.3478,2.99,93.3478,0.02487196989966555
US,STX,2016-07-22,31.38,31.76,31.06,31.58,21.32,21.58,21.11,21.46,4602621.0,144729417.345,0.6795440152,2.99,94.4242,2.99,94.4242,0.01539338127090301
US,STX,2016-07-25,31.62,31.83,31.3,31.44,21.49,21.64,21.27,21.37,4319300.0,136263116.75,0.6797073791,2.99,94.0056,2.99,94.0056,0.01444581939799331
US,STX,2016-07-26,31.28,32.47,31.0,32.45,21.26,22.07,21.07,22.06,4435535.0,141050013.0,0.6798151002,2.99,97.0255,2.99,97.0255,0.014834565217391304
US,STX,2016-07-27,32.53,33.03,31.8,32.05,22.11,22.45,21.61,21.78,4490400.0,145275666.0,0.6795631825,2.99,95.8295,2.99,95.8295,0.015018060200668896
US,STX,2016-07-28,32.07,32.63,31.76,32.6,21.8,22.18,21.59,22.16,4133100.0,133354471.5,0.6797546012,2.99,97.474,2.99,97.474,0.013823076923076922
US,STX,2016-07-29,32.09,32.41,31.26,32.03,21.81,22.03,21.25,21.77,6416000.0,204975160.0,0.6796753044,2.99,95.7697,2.99,95.7697,0.02145819397993311
US,STX,2016-08-01,32.0,32.44,31.8,32.43,21.75,22.05,21.61,22.04,7349615.0,236418740.5125,0.679617638,2.99,96.9657,2.99,96.9657,0.024580652173913045
US,STX,2016-08-02,33.3,33.75,30.27,30.65,22.63,22.94,20.57,20.83,14367000.0,459636247.5,0.6796084829,2.99,91.6435,2.99,91.6435,0.048050167224080266
US,STX,2016-08-03,30.64,31.1,30.09,30.73,20.83,21.14,20.45,20.89,6056926.0,185584212.64,0.6797917345,2.99,91.8827,2.99,91.8827,0.020257277591973245
US,STX,2016-08-04,30.94,31.39,30.71,31.26,21.03,21.34,20.88,21.25,4459400.0,138575855.0,0.6797824696,2.99,93.4674,2.99,93.4674,0.01491438127090301
US,STX,2016-08-05,31.48,32.48,31.48,32.13,21.4,22.08,21.4,21.84,5094903.0,162489193.9275,0.6797385621,2.99,96.0687,2.99,96.0687,0.017039809364548495
US,STX,2016-08-08,32.23,32.75,32.19,32.61,21.9,22.26,21.87,22.16,5216973.0,169264688.985,0.6795461515,2.99,97.5039,2.99,97.5039,0.017448070234113714
US,STX,2016-08-09,32.6,32.65,32.25,32.49,22.15,22.19,21.92,22.08,3238934.0,105257257.665,0.6795937211,2.99,97.1451,2.99,97.1451,0.010832555183946489
US,STX,2016-08-10,32.53,32.63,31.3,31.38,22.11,22.18,21.28,21.33,4537644.0,145023102.24,0.6797323136,2.99,93.8262,2.99,93.8262,0.015176066889632108
US,STX,2016-08-11,31.4,31.98,31.4,31.75,21.34,21.74,21.34,21.58,2330737.0,73727038.1525,0.6796850394,2.99,94.9325,2.99,94.9325,0.007795107023411371
US,STX,2016-08-12,31.76,31.87,31.33,31.55,21.58,21.66,21.29,21.44,2250200.0,71168200.5,0.6795562599,2.99,94.3345,2.99,94.3345,0.007525752508361204
US,STX,2016-08-15,31.57,32.38,31.57,32.0,21.46,22.01,21.46,21.75,3627412.0,115641894.56,0.6796875,2.99,95.68,2.99,95.68,0.0121318127090301
US,STX,2016-08-16,32.0,32.75,31.9,32.46,21.75,22.26,21.68,22.06,3174104.0,102452141.86,0.6796056685,2.99,97.0554,2.99,97.0554,0.010615732441471572
US,STX,2016-08-17,32.49,32.51,31.5,31.78,22.08,22.1,21.41,21.6,3514741.0,112717743.87,0.6796727502,2.99,95.0222,2.99,95.0222,0.011754986622073579
US,STX,2016-08-18,31.82,32.49,31.64,32.07,21.63,22.09,21.51,21.8,2352500.0,75291762.5,0.6797630184,2.99,95.8893,2.99,95.8893,0.007867892976588629
US,STX,2016-08-19,31.91,32.72,31.91,32.33,21.68,22.24,21.68,21.97,2659100.0,85669554.25,0.6795545933,2.99,96.6667,2.99,96.6667,0.008893311036789298
US,STX,2016-08-22,32.21,32.33,31.35,31.87,21.89,21.97,21.31,21.66,2807031.0,89656570.14,0.6796360213,2.99,95.2913,2.99,95.2913,0.009388063545150501
US,STX,2016-08-23,32.18,32.48,31.97,32.12,21.87,22.07,21.73,21.83,2565800.0,82586687.5,0.6796388543,2.99,96.0388,2.99,96.0388,0.008581270903010033
US,STX,2016-08-24,32.13,32.4,31.43,31.58,21.83,22.02,21.36,21.46,2772700.0,88407539.5,0.6795440152,2.99,94.4242,2.99,94.4242,0.009273244147157191
US,STX,2016-08-25,31.41,32.25,31.41,32.05,21.35,21.92,21.35,21.78,2591600.0,82361048.0,0.6795631825,2.99,95.8295,2.99,95.8295,0.008667558528428094
US,STX,2016-08-26,32.23,33.48,32.21,33.33,21.9,22.75,21.89,22.65,6087210.0,199736578.125,0.6795679568,2.99,99.6567,2.99,99.6567,0.0203585618729097
US,STX,2016-08-29,33.42,33.97,33.42,33.73,22.72,23.09,22.72,22.93,3972347.0,133609891.345,0.6798102579,2.99,100.8527,2.99,100.8527,0.013285441471571907
US,STX,2016-08-30,33.5,34.14,33.5,33.92,22.76,23.2,22.76,23.05,2929512.0,98914972.68,0.6795400943,2.99,101.4208,2.99,101.4208,0.009797698996655519
US,STX,2016-08-31,33.6,34.14,33.32,33.74,22.83,23.2,22.64,22.93,5297539.0,178527064.3,0.679608773,2.99,100.8826,2.99,100.8826,0.017717521739130434
US,STX,2016-09-01,33.76,34.08,33.34,33.71,22.94,23.16,22.66,22.91,4149525.0,139932356.8125,0.6796202907,2.99,100.7929,2.99,100.7929,0.013878010033444816
US,STX,2016-09-02,33.79,34.25,33.47,33.92,22.96,23.27,22.74,23.05,2723726.0,92218553.045,0.6795400943,2.99,101.4208,2.99,101.4208,0.009109451505016722
US,STX,2016-09-06,34.1,34.57,33.82,34.47,23.18,23.5,22.99,23.43,4357244.0,149192034.56,0.679721497,2.99,103.0653,2.99,103.0653,0.014572722408026756
US,STX,2016-09-07,35.56,36.65,35.28,36.51,24.16,24.91,23.97,24.81,9483800.0,341416800.0,0.6795398521,2.99,109.1649,2.99,109.1649,0.03171839464882943
US,STX,2016-09-08,36.48,36.58,35.85,36.31,24.8,24.86,24.37,24.68,4738335.0,172025252.175,0.6797025613,2.99,108.5669,2.99,108.5669,0.01584727424749164
US,STX,2016-09-09,36.77,37.96,35.99,36.09,24.99,25.8,24.46,24.53,7724200.0,283497450.5,0.6796896647,2.99,107.9091,2.99,107.9091,0.02583344481605351
US,STX,2016-09-12,35.83,36.71,35.06,36.55,24.35,24.95,23.83,24.84,6149700.0,221619813.75,0.6796169631,2.99,109.2845,2.99,109.2845,0.020567558528428093
US,STX,2016-09-13,36.05,36.5,35.47,36.14,24.5,24.8,24.1,24.56,4716900.0,169997076.0,0.6795794134,2.99,108.0586,2.99,108.0586,0.015775585284280937
US,STX,2016-09-14,36.09,36.63,35.46,36.07,24.53,24.9,24.11,24.52,4074408.0,146933338.5,0.6797892986,2.99,107.8493,2.99,107.8493,0.013626782608695652
US,STX,2016-09-15,36.13,36.64,36.03,36.45,24.55,24.9,24.48,24.77,4246900.0,154215556.25,0.6795610425,2.99,108.9855,2.99,108.9855,0.014203678929765887
US,STX,2016-09-16,37.32,37.32,36.11,36.4,25.37,25.37,24.54,24.74,8966600.0,329858797.5,0.6796703297,2.99,108.836,2.99,108.836,0.029988628762541807
US,STX,2016-09-19,36.28,36.5,35.5,35.95,25.09,25.24,24.55,24.86,4950122.0,178489024.015,0.6915159944,2.99,107.4905,2.99,107.4905,0.016555591973244146
US,STX,2016-09-20,36.17,36.21,35.33,35.53,25.01,25.04,24.43,24.57,2624883.0,93997060.23,0.691528286,2.99,106.2347,2.99,106.2347,0.008778872909698997
US,STX,2016-09-21,35.4,36.72,35.4,36.69,24.48,25.39,24.48,25.37,3641139.0,131272163.7975,0.6914690651,2.99,109.7031,2.99,109.7031,0.012177722408026757
US,STX,2016-09-22,36.76,37.1,36.36,36.4,25.42,25.65,25.14,25.17,2585414.0,94768350.17,0.6914835165,2.99,108.836,2.99,108.836,0.008646869565217392
US,STX,2016-09-23,36.17,36.85,36.17,36.46,25.01,25.48,25.01,25.21,2497642.0,90945389.325,0.6914426769,2.99,109.0154,2.99,109.0154,0.00835331772575251
US,STX,2016-09-26,36.37,37.42,36.18,37.2,25.16,25.88,25.02,25.73,5411700.0,199109972.25,0.6916666667,2.99,111.228,2.99,111.228,0.01809933110367893
US,STX,2016-09-27,37.02,38.53,37.0,38.42,25.6,26.65,25.59,26.57,6853033.0,258650598.0025,0.6915668922,2.99,114.8758,2.99,114.8758,0.022919842809364547
US,STX,2016-09-28,38.71,39.04,37.65,38.21,26.77,26.99,26.03,26.42,4971532.0,190919257.63,0.6914420309,2.99,114.2479,2.99,114.2479,0.016627197324414717
US,STX,2016-09-29,38.12,38.86,37.41,37.79,26.36,26.87,25.87,26.13,4046500.0,153949092.5,0.6914527653,2.99,112.9921,2.99,112.9921,0.013533444816053512
US,STX,2016-09-30,37.94,38.85,37.94,38.55,26.24,26.87,26.24,26.66,3840000.0,147148800.0,0.6915693904,2.96,114.108,2.96,114.108,0.012972972972972972
US,STX,2016-10-03,38.56,39.33,38.2,38.41,26.66,27.2,26.41,26.56,3671026.0,141793379.25,0.691486592,2.96,113.6936,2.96,113.6936,0.012402114864864864
US,STX,2016-10-04,38.61,38.99,38.05,38.24,26.71,26.97,26.32,26.45,3593600.0,138254776.0,0.6916841004,2.96,113.1904,2.96,113.1904,0.012140540540540541
US,STX,2016-10-05,38.39,38.91,38.03,38.54,26.55,26.91,26.3,26.65,2679700.0,103081359.75,0.6914893617,2.96,114.0784,2.96,114.0784,0.009053040540540541
US,STX,2016-10-06,38.21,38.31,37.47,37.81,26.43,26.5,25.91,26.15,4165300.0,158073135.0,0.6916159746,2.96,111.9176,2.96,111.9176,0.01407195945945946
US,STX,2016-10-07,37.93,38.25,37.58,37.89,26.23,26.45,25.99,26.2,3340221.0,126636128.6625,0.6914753233,2.96,112.1544,2.96,112.1544,0.011284530405405405
US,STX,2016-10-10,38.14,38.56,37.66,37.97,26.38,26.67,26.05,26.26,4466600.0,170099294.5,0.6915986305,2.96,112.3912,2.96,112.3912,0.015089864864864865
US,STX,2016-10-11,38.22,38.22,34.83,35.1,26.43,26.43,24.08,24.27,14457900.0,529050705.75,0.6914529915,2.96,103.896,2.96,103.896,0.04884425675675676
US,STX,2016-10-12,35.51,36.0,35.15,35.23,24.55,24.89,24.3,24.36,5153129.0,182794368.4525,0.6914561453,2.96,104.2808,2.96,104.2808,0.017409219594594596
US,STX,2016-10-13,34.76,35.53,33.58,35.18,24.04,24.57,23.22,24.33,7302333.0,253847350.9125,0.6915861285,2.96,104.1328,2.96,104.1328,0.02467004391891892
US,STX,2016-10-14,35.36,36.01,34.97,35.16,24.46,24.91,24.19,24.32,5413500.0,191502562.5,0.6916951081,2.96,104.0736,2.96,104.0736,0.018288851351351353
US,STX,2016-10-17,35.23,35.57,34.65,35.01,24.36,24.6,23.96,24.21,4548300.0,159713554.5,0.6915167095,2.96,103.6296,2.96,103.6296,0.015365878378378378
US,STX,2016-10-18,35.34,35.62,34.82,35.34,24.44,24.63,24.08,24.44,5505109.0,194220245.52,0.6915676287,2.96,104.6064,2.96,104.6064,0.018598341216216216
US,STX,2016-10-19,34.95,35.3,33.54,34.32,24.17,24.41,23.19,23.73,10115441.0,349260889.1275,0.6914335664,2.96,101.5872,2.96,101.5872,0.03417378716216216
US,STX,2016-10-20,34.49,35.28,34.4,34.98,23.85,24.4,23.79,24.19,5159227.0,179476609.2625,0.6915380217,2.96,103.5408,2.96,103.5408,0.017429820945945945
US,STX,2016-10-21,34.8,35.0,34.13,34.5,24.07,24.21,23.6,23.86,4484120.0,155184182.9,0.6915942029,2.96,102.12,2.96,102.12,0.015149054054054053
US,STX,2016-10-24,34.7,34.82,34.49,34.52,23.99,24.08,23.85,23.87,2949600.0,102152022.0,0.6914831981,2.96,102.1792,2.96,102.1792,0.009964864864864864
US,STX,2016-10-25,35.04,35.04,34.15,34.27,24.23,24.23,23.62,23.7,4172327.0,144466822.375,0.6915669682,2.96,101.4392,2.96,101.4392,0.014095699324324324
