country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,TER,Q2,2016-07-03,2016-08-12,0.531918,-0.432737,-0.420364,-0.128064,-0.09284,3.102864,0.275049,0.379404,0.220857,1.379404,0.339761,-0.808254,0.389139,,
US,TER,Q3,2016-10-02,2016-11-10,0.553892,0.146937,0.155415,0.035796,0.026966,3.482102,0.24667,0.327439,0.173512,1.327439,0.490422,3.155563,0.538315,,
US,TER,Q4,2016-12-31,2017-03-01,0.576348,0.159184,0.174597,0.036281,0.024016,4.35691,0.33804,0.510666,0.137553,1.510666,0.097537,0.55864,0.147591,,
US,TER,Q1,2017-04-02,2017-05-12,0.580014,0.213209,0.186515,0.044389,0.029983,4.717262,0.324538,0.480468,0.160756,1.480468,-0.133769,-0.717206,-0.085476,,
US,TER,Q2,2017-07-02,2017-08-11,0.560536,0.304758,0.251077,0.08541,0.057744,4.735865,0.323929,0.479134,0.229983,1.479134,0.330482,1.316255,0.364778,0.310477,1.782729
US,TER,Q3,2017-10-01,2017-11-09,0.58578,0.263836,0.205452,0.049017,0.033477,4.961085,0.317037,0.464207,0.162941,1.464207,0.615502,2.995842,0.669696,0.22633,0.621156
US,TER,Q4,2017-12-31,2018-03-01,0.569306,0.215811,-0.220942,-0.054218,-0.034064,4.996921,0.371726,0.591662,0.154175,1.591662,0.30761,-1.392266,0.374625,0.261655,-2.596548
US,TER,Q1,2018-04-01,2018-05-11,0.553539,0.210701,0.17842,0.045656,0.029038,5.510573,0.363987,0.572294,0.16275,1.572294,-0.168073,-0.942006,-0.09669,0.06687,0.02057
US,TER,Q2,2018-07-01,2018-08-10,0.583255,0.238459,0.191747,0.058069,0.034463,4.187803,0.406512,0.684955,0.179734,1.684955,0.250225,1.304977,0.303109,-0.243897,-0.422567
US,TER,Q3,2018-09-30,2018-11-09,0.588682,0.258272,0.211663,0.071941,0.041624,4.099795,0.421416,0.728358,0.196652,1.728358,0.424424,2.005184,0.469597,0.126088,0.160133
US,TER,Q4,2018-12-31,2019-03-01,0.595766,0.239257,0.276756,0.094453,0.053126,3.637475,0.437541,0.777908,0.191959,1.777908,0.35872,1.296159,0.408975,0.083733,2.357505
US,TER,Q1,2019-03-31,2019-05-10,0.58214,0.201375,0.220883,0.074232,0.041709,3.606691,0.438124,0.779753,0.188829,1.779753,0.036462,0.165075,0.088498,0.013605,0.254835
US,TER,Q2,2019-06-30,2019-08-09,0.574141,0.24279,0.172635,0.065835,0.036458,3.462154,0.446227,0.805794,0.211183,1.805794,0.257468,1.491401,0.316395,0.070691,-0.036026
US,TER,Q3,2019-09-29,2019-11-08,0.59281,0.270079,0.233421,0.091634,0.050341,3.351311,0.45063,0.820267,0.215666,1.820267,0.342156,1.465832,0.405884,0.026797,0.132346
US,TER,Q4,2019-12-31,2020-03-02,0.585409,0.236513,0.208941,0.092411,0.049079,3.077541,0.468909,0.882917,0.234893,1.882917,0.330448,1.581542,0.389402,0.260013,-0.048737
US,TER,Q1,2020-03-29,2020-05-04,0.575775,0.287667,0.250145,0.113622,0.06247,3.31266,0.450192,0.818815,0.249737,1.818815,0.061194,0.244632,0.113298,0.425534,0.614387
US,TER,Q2,2020-06-28,2020-08-03,0.562174,0.266298,0.22525,0.108285,0.05814,2.869631,0.463081,0.862479,0.258114,1.862479,0.265777,1.179924,0.322193,0.486518,0.939567
US,TER,Q3,2020-09-27,2020-11-02,0.560021,0.329437,0.271778,0.11172,0.064809,3.339533,0.419893,0.72382,0.238464,1.72382,0.417961,1.537873,0.494665,0.407956,0.63932
US,TER,Q4,2020-12-31,2021-02-22,0.592633,0.30209,0.25868,0.088805,0.053754,3.446332,0.394689,0.652043,0.207803,1.652043,0.343129,1.326461,0.393335,0.159351,0.435339
US,TER,Q1,2021-04-04,2021-05-07,0.590602,0.294262,0.262936,0.088362,0.055249,3.641453,0.374741,0.599338,0.210125,1.599338,0.048796,0.18558,0.099013,0.109676,0.166416
US,TER,Q2,2021-07-04,2021-08-06,0.595903,0.35883,0.302395,0.130563,0.082061,2.739574,0.371484,0.59105,0.271369,1.59105,0.189996,0.628304,0.221963,0.294597,0.737984
US,TER,Q3,2021-10-03,2021-11-05,0.600737,0.317243,0.270087,0.101055,0.068236,3.34548,0.32476,0.480956,0.252646,1.480956,0.549878,2.03593,0.580604,0.159877,0.152659
US,TER,Q4,2021-12-31,2022-02-23,0.595504,0.291111,0.253139,0.087381,0.058812,3.199805,0.326944,0.485761,0.232331,1.485761,0.374312,1.478678,0.407429,0.166116,0.14114
US,TER,Q1,2022-04-03,2022-05-06,0.602265,0.240109,0.214369,0.065438,0.044866,3.333874,0.314373,0.45852,0.209293,1.45852,0.009879,0.046082,0.068127,-0.033567,-0.212075
US,TER,Q2,2022-07-03,2022-08-05,0.602295,0.284865,0.235246,0.086047,0.056698,2.847351,0.341079,0.517633,0.241016,1.517633,0.137321,0.583734,0.191729,-0.22562,-0.397577
US,TER,Q3,2022-10-02,2022-11-04,0.586864,0.274433,0.221849,0.0814,0.055268,3.030958,0.321027,0.472814,0.249125,1.472814,0.328392,1.480252,0.37546,-0.129856,-0.285266
