code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
TER,泰瑞达,US,USD,Q2,2016-07-03,2016-08-12,531792000.0,282870000.0,-230126000.0,-230817000.0,-7271000.0,-223546000.0,-223546000.0,-1.1011141869193866,2407858000.0,1412886000.0,994972000.0,381095000.0,349547000.0,264555000.0,662279000.0,455349000.0,206930000.0,103090000.0,1745579000.0,1745579000.0,180682000.0,-86747000.0,-26259000.0,-32198000.0
TER,泰瑞达,US,USD,Q3,2016-10-02,2016-11-10,410475000.0,227359000.0,60314000.0,59681000.0,-4113000.0,63794000.0,63794000.0,0.3154823427014356,2365687000.0,1285188000.0,1080498999.0,297937000.0,163213000.0,261821000.0,583543000.0,369084000.0,214459000.0,61890000.0,1782144000.0,1782144000.0,201306000.0,-252101000.0,-19659000.0,-34844000.0
TER,泰瑞达,US,USD,Q4,2016-12-31,2017-03-01,379989000.0,219006000.0,60488000.0,58885000.0,-7460000.0,66345000.0,66345000.0,0.33038693292166726,2762493000.0,1623803000.0,1138689999.0,307884000.0,192444000.0,253821000.0,933834000.0,372696000.0,561137999.0,95362000.0,1828659000.0,1828659000.0,37063000.0,-372330000.0,-19020000.0,347695000.0
TER,泰瑞达,US,USD,Q1,2017-04-02,2017-05-12,456913000.0,265016000.0,97418000.0,92016000.0,6795000.0,85221000.0,85221000.0,0.426094347641309,2842280000.0,1854153000.0,988127000.0,324746000.0,314962000.0,253548000.0,922427000.0,393057000.0,529370000.0,121417000.0,1919853000.0,1919853000.0,-61121000.0,126394000.0,-22066000.0,-50006000.0
TER,泰瑞达,US,USD,Q2,2017-07-02,2017-08-11,696901000.0,390638000.0,212386000.0,206877000.0,31901000.0,174976000.0,174976000.0,0.8802760924466982,3030225000.0,2080025000.0,950199999.0,598349000.0,405946000.0,258017000.0,981577000.0,439207000.0,542370000.0,103454000.0,2048648000.0,2048648000.0,230313000.0,113681000.0,-23901000.0,-70520000.0
TER,泰瑞达,US,USD,Q3,2017-10-01,2017-11-09,503378000.0,294869000.0,132809000.0,127437000.0,24017000.0,103420000.0,103420000.0,0.5236853431906221,3089327000.0,2140088000.0,949239000.0,418677000.0,268067999.0,259079999.0,979430000.0,431375000.0,548055000.0,79429000.0,2109897000.0,2109897000.0,309830000.0,-428357000.0,-27280000.0,-62197000.0
TER,泰瑞达,US,USD,Q4,2017-12-31,2018-03-01,479415000.0,272934000.0,103463000.0,98083000.0,204006000.0,-105923000.0,-105923000.0,-0.5431148751515688,3109545000.0,2270281000.0,839264000.0,429843000.0,272783000.0,268447000.0,1155899000.0,454336000.0,701562999.0,86393000.0,1953646000.0,1953646000.0,147473000.0,-74519000.0,-32128000.0,-62466000.0
TER,泰瑞达,US,USD,Q1,2018-04-01,2018-05-11,487467000.0,269832000.0,102710000.0,95820000.0,8846000.0,86974000.0,86974000.0,0.4454380169521907,2995193000.0,2156425000.0,838768000.0,637873000.0,413978000.0,281284000.0,1090210000.0,391325000.0,698885000.0,103950000.0,1904983000.0,1904983000.0,-81930000.0,462892000.0,-34797000.0,-174410000.0
TER,泰瑞达,US,USD,Q2,2018-07-01,2018-08-10,526929000.0,307334000.0,125651000.0,120012000.0,18975000.0,101037000.0,101037000.0,0.5297383736171551,2931720000.0,1894185000.0,1037534999.0,480384000.0,454122000.0,285302000.0,1191780000.0,452310000.0,739470000.0,102737000.0,1739940000.0,1739940000.0,131851000.0,-44343000.0,-27866000.0,-243708000.0
TER,泰瑞达,US,USD,Q3,2018-09-30,2018-11-09,566848000.0,333693000.0,146401000.0,140844000.0,20863000.0,119981000.0,119981000.0,0.6459481867516582,2882487000.0,1879395000.0,1003092000.0,814019000.0,352476000.0,278071000.0,1214727000.0,458412000.0,756315000.0,107890000.0,1667760000.0,1667760000.0,240584000.0,300497000.0,-25606000.0,-207918000.0
TER,泰瑞达,US,USD,Q4,2018-12-31,2019-03-01,519558000.0,309535000.0,124308000.0,111126000.0,-32665000.0,143791000.0,143791000.0,0.803490204405503,2706606000.0,1732482000.0,974124000.0,926752000.0,291267000.0,279821000.0,1184252000.0,476287000.0,707964999.0,100688000.0,1522354000.0,1522354000.0,186376000.0,203964000.0,-26110000.0,-277385000.0
TER,泰瑞达,US,USD,Q1,2019-03-31,2019-05-10,494099000.0,287635000.0,99499000.0,93979000.0,-15159000.0,109138000.0,109138000.0,0.6289214669340525,2616643000.0,1594042000.0,1022601000.0,483728000.0,333840000.0,334033000.0,1146415000.0,441968000.0,704446999.0,118816000.0,1470228000.0,1470228000.0,18016000.0,-260951000.0,-25711000.0,-199760000.0
TER,泰瑞达,US,USD,Q2,2019-06-30,2019-08-09,564178000.0,323918000.0,136977000.0,131177000.0,33780000.0,97397000.0,97397000.0,0.5687714974801595,2671514000.0,1616826000.0,1054688000.0,495107000.0,372199000.0,352210000.0,1192102000.0,467000000.0,725102000.0,103449000.0,1479412000.0,1479412000.0,145258000.0,-28236000.0,-33245000.0,-105453000.0
