country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,TER,2016-06-23,20.09,20.29,20.0,20.28,19.04,19.23,18.95,19.22,1329915.0,26817735.975,0.947731755424063,2.03018,41.17205,2.03018,41.17205,0.0065507245662946145
US,TER,2016-06-24,19.4,19.72,18.97,19.0,18.39,18.69,17.98,18.01,3331727.0,64210708.6075,0.9478947368421053,2.03018,38.57342,2.03018,38.57342,0.01641099311391108
US,TER,2016-06-27,18.74,18.85,18.07,18.17,17.76,17.86,17.13,17.22,2344370.0,43271209.275,0.9477160154100164,2.03018,36.888371,2.03018,36.888371,0.011547596764818884
US,TER,2016-06-28,18.49,18.84,18.43,18.82,17.53,17.86,17.47,17.84,1536400.0,28646178.0,0.9479277364505845,2.03018,38.207988,2.03018,38.207988,0.007567801869784945
US,TER,2016-06-29,19.1,19.37,19.01,19.22,18.1,18.35,18.01,18.21,1192500.0,22866187.5,0.9474505723204996,2.03018,39.02006,2.03018,39.02006,0.005873863401274763
US,TER,2016-06-30,19.36,19.69,19.19,19.69,18.35,18.66,18.19,18.66,1441800.0,28089868.5,0.9476891823260538,2.03018,39.974244,2.03018,39.974244,0.007101833334975224
US,TER,2016-07-01,19.55,19.75,19.38,19.45,18.52,18.71,18.36,18.43,1377909.0,26914007.5425,0.9475578406169666,2.03018,39.487001,2.03018,39.487001,0.006787127249800511
US,TER,2016-07-05,19.26,19.42,19.06,19.17,18.26,18.41,18.07,18.17,1031834.0,19839588.235,0.9478351591027647,2.02211,38.763849,2.02211,38.763849,0.005102758999263146
US,TER,2016-07-06,19.0,19.31,18.87,19.3,18.01,18.3,17.88,18.29,1573830.0,30091629.6,0.9476683937823833,2.02211,39.026723,2.02211,39.026723,0.007783107743891282
US,TER,2016-07-07,19.39,19.66,19.29,19.42,18.37,18.63,18.28,18.4,1201708.0,23361203.52,0.9474768280123582,2.02211,39.269376,2.02211,39.269376,0.005942841882983616
US,TER,2016-07-08,19.63,19.92,19.63,19.9,18.6,18.88,18.6,18.86,1334445.0,26381977.65,0.9477386934673367,2.02211,40.239989,2.02211,40.239989,0.0065992700693829716
US,TER,2016-07-11,20.05,20.57,20.05,20.53,19.01,19.5,19.01,19.46,1891600.0,38399480.0,0.9478811495372625,2.02211,41.513918,2.02211,41.513918,0.009354585062138064
US,TER,2016-07-12,20.71,20.93,20.67,20.88,19.63,19.84,19.59,19.79,1672819.0,34790453.1525,0.9477969348659004,2.02211,42.221657,2.02211,42.221657,0.008272640954250758
US,TER,2016-07-13,21.0,21.39,20.96,21.17,19.9,20.27,19.86,20.06,3704020.0,78265942.6,0.9475673122342937,2.02211,42.808069,2.02211,42.808069,0.018317598943677644
