country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,TSLA,Q2,2016-06-30,2016-08-05,0.216356,-0.191471,-0.230854,-0.116331,-0.024702,1.381611,0.787657,3.709352,0.107003,4.709352,0.118373,-0.512763,0.350433,,
US,TSLA,Q3,2016-09-30,2016-11-01,0.27703,0.033381,0.009519,0.008162,0.001737,1.267006,0.787134,3.6978,0.182526,4.6978,0.184321,19.364156,0.292051,,
US,TSLA,Q4,2016-12-31,2017-03-01,0.190524,-0.062721,-0.05311,-0.025529,-0.005354,1.074273,0.73945,3.526039,0.100804,4.768462,-0.196184,3.693919,0.102017,,
US,TSLA,Q1,2017-03-31,2017-05-09,0.24773,-0.101087,-0.122494,-0.066218,-0.013183,1.125283,0.754085,3.787831,0.10762,5.023083,-0.025892,0.211371,0.260642,,
US,TSLA,Q2,2017-06-30,2017-08-04,0.238968,-0.09942,-0.120592,-0.065886,-0.012917,0.971448,0.747267,3.811699,0.107111,5.100856,-0.071758,0.595047,0.343331,1.196472,-0.147376
US,TSLA,Q3,2017-09-30,2017-11-02,0.150482,-0.185728,-0.207519,-0.131461,-0.022036,1.092719,0.78021,4.654464,0.106189,5.965657,-0.100702,0.485266,0.316338,0.298568,-29.310449
US,TSLA,Q4,2017-12-31,2018-02-23,0.133441,-0.192667,-0.205383,-0.159384,-0.023568,0.856131,0.803446,5.433499,0.114752,6.762741,0.155065,-0.755003,0.430635,0.439291,-4.565903
US,TSLA,Q1,2018-03-31,2018-05-04,0.133928,-0.184665,-0.208156,-0.159425,-0.026018,0.737995,0.790242,4.84217,0.124993,6.127454,-0.116869,0.561448,0.096886,0.264247,-1.148351
US,TSLA,Q2,2018-06-30,2018-08-03,0.154646,-0.141275,-0.179285,-0.183682,-0.025709,0.73291,0.811282,5.796325,0.143398,7.144647,-0.032398,0.180707,0.136811,0.434719,-1.133012
US,TSLA,Q3,2018-09-30,2018-11-01,0.223329,0.065358,0.045574,0.068976,0.010628,0.810254,0.799965,5.191835,0.233198,6.490079,0.203845,4.472797,0.285784,1.286346,1.502118
US,TSLA,Q4,2018-12-31,2019-02-19,0.199685,0.056281,0.019303,0.028333,0.00469,0.831282,0.787727,4.758684,0.242968,6.041032,0.170853,8.850978,0.21983,1.197484,1.206534
US,TSLA,Q1,2019-03-31,2019-04-29,0.124573,-0.107234,-0.154576,-0.152423,-0.02428,0.830681,0.791166,4.966701,0.157076,6.277694,-0.140924,0.911681,-0.073722,0.332296,0.010642
US,TSLA,Q2,2019-06-30,2019-07-29,0.145054,-0.031159,-0.064255,-0.071386,-0.012801,1.061862,0.775655,4.325536,0.199221,5.576624,0.13607,-2.117647,0.179064,0.586534,0.43139
US,TSLA,Q3,2019-09-30,2019-10-29,0.188958,0.057274,0.022688,0.023675,0.00436,1.078257,0.771855,4.190894,0.192194,5.429636,0.119943,5.286713,0.184991,-0.076348,-0.540193
US,TSLA,Q4,2019-12-31,2020-02-13,0.18838,0.046587,0.01422,0.015866,0.00306,1.134621,0.763619,3.958749,0.21522,5.184195,0.192985,13.571429,0.253792,0.021883,-0.24722
US,TSLA,Q1,2020-03-31,2020-04-30,0.206182,0.039933,0.002673,0.001744,0.00043,1.242533,0.713503,2.897416,0.160671,4.060831,-0.073517,-27.5,0.00685,0.317857,1.022792
US,TSLA,Q2,2020-06-30,2020-07-28,0.209907,0.053015,0.01723,0.010553,0.002727,1.249878,0.702714,2.719229,0.15828,3.869609,0.159708,9.269231,0.253479,-0.0494,1.254902
US,TSLA,Q3,2020-09-30,2020-10-26,0.235207,0.081861,0.034204,0.018714,0.006566,1.634641,0.616992,1.75853,0.191963,2.850165,0.273629,8.0,0.390605,0.39156,1.097902
US,TSLA,Q4,2020-12-31,2021-02-08,0.192293,0.058172,0.022245,0.010754,0.004583,1.87514,0.545927,1.280945,0.206029,2.346367,0.280994,12.631799,0.389799,0.455038,1.27619
US,TSLA,Q1,2021-03-31,2021-04-27,0.213206,0.060834,0.04216,0.019029,0.008269,1.660617,0.538152,1.238519,0.196122,2.301429,0.157956,3.746575,0.433247,0.73584,26.375
US,TSLA,Q2,2021-06-30,2021-07-27,0.241177,0.1144,0.095501,0.046041,0.020709,1.508338,0.523991,1.164973,0.216843,2.22327,0.177622,1.859895,0.304315,0.981113,9.980769
US,TSLA,Q3,2021-09-30,2021-10-25,0.266046,0.145962,0.117613,0.059809,0.027977,1.385076,0.507314,1.084538,0.23787,2.137804,0.228756,1.944994,0.361416,0.568464,4.393333
US,TSLA,Q4,2021-12-31,2022-02-04,0.273548,0.152717,0.130989,0.076882,0.037357,1.375285,0.491671,1.011892,0.285188,2.058068,0.258762,1.975442,0.361138,0.6492,8.711297
US,TSLA,Q1,2022-03-31,2022-04-22,0.291107,0.196577,0.176903,0.097345,0.050244,1.353997,0.463854,0.898694,0.284018,1.93745,0.212999,1.204039,0.307955,0.805371,6.575342
US,TSLA,Q2,2022-06-30,2022-07-25,0.25003,0.148695,0.1334,0.062101,0.032972,1.430824,0.450352,0.848224,0.247165,1.883467,0.138833,1.040726,0.240994,0.416123,0.978109
US,TSLA,Q3,2022-09-30,2022-10-24,0.250862,0.171949,0.153445,0.082608,0.044232,1.462354,0.447451,0.835663,0.288259,1.867607,0.237718,1.54921,0.321758,0.559497,1.034611
US,TSLA,Q4,2022-12-31,2023-01-30,0.237561,0.165145,0.152726,0.08308,0.045107,1.531956,0.442566,0.81514,0.295344,1.841849,0.134797,0.882606,0.211202,0.372425,0.600172
US,TSLA,Q1,2023-03-31,2023-04-21,0.193364,0.121265,0.10772,0.052295,0.028941,1.567175,0.432992,0.782411,0.268665,1.806988,0.10772,1.0,0.196579,0.243815,-0.242616
US,TSLA,Q2,2023-06-30,2023-07-21,0.181851,0.118947,0.108437,0.052865,0.029837,1.590135,0.423983,0.751203,0.27516,1.771778,0.122959,1.133925,0.2056,0.472009,0.196547
US,TSLA,Q3,2023-09-30,2023-10-20,0.178929,0.089208,0.079358,0.034658,0.019725,1.690165,0.419902,0.737777,0.24856,1.757023,0.14167,1.785213,0.246981,0.088375,-0.43712
US,TSLA,Q4,2023-12-31,2024-01-26,0.176342,0.089482,0.315095,0.126609,0.074378,1.725894,0.403393,0.686672,0.236048,1.702238,0.17364,0.551072,0.265308,0.034912,1.135164
US,TSLA,Q1,2024-03-31,2024-04-23,0.173513,0.076475,0.065255,0.021591,0.012726,1.715784,0.403256,0.684178,0.195018,1.696635,0.011361,0.174101,0.14173,-0.08693,-0.446876
US,TSLA,Q2,2024-06-30,2024-07-23,0.179529,0.077373,0.054902,0.021063,0.012408,1.910527,0.403866,0.685578,0.226,1.697539,0.141647,2.58,0.230745,0.022987,-0.482057
US,TSLA,Q3,2024-09-30,2024-10-23,0.198435,0.114209,0.086054,0.030988,0.018081,1.843837,0.410022,0.702721,0.210109,1.713861,0.248392,2.886479,0.387896,0.078458,0.169455
US,TSLA,Q4,2024-12-31,2025-01-29,0.162563,0.111332,0.090014,0.031736,0.018956,2.024912,0.396412,0.663668,0.210592,1.674187,0.187264,2.08038,0.295406,0.021457,-0.708197
US,TSLA,Q1,2025-03-31,2025-04-22,0.163072,0.035169,0.021153,0.005479,0.003269,1.996068,0.397191,0.665653,0.154543,1.6759,0.111508,5.271394,0.188673,-0.092296,-0.705755
US,TSLA,Q2,2025-06-30,2025-07-23,0.172386,0.07268,0.052098,0.015159,0.009116,2.037223,0.392752,0.653116,0.174975,1.66292,0.112909,2.167235,0.219328,-0.117804,-0.162857
