country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,TSLA,2016-06-23,,,,,,13.09,13.09,0.0,0.0,0.0,,,,0.36,
US,TSLA,2016-06-24,-1.604278,,,,,13.057692,13.074444,-0.016752,-0.00335,-0.026803,0.0,,,0.365714,
US,TSLA,2016-06-27,2.795031,,,,,13.08574,13.086708,-0.000968,-0.002874,0.003812,11.650485,,,0.391735,
US,TSLA,2016-06-28,1.586103,,,,,13.14178,13.113618,0.028161,0.003333,0.049657,17.675713,,,0.389468,
US,TSLA,2016-06-29,4.163569,13.334,,,,13.275352,13.180017,0.095335,0.021733,0.147203,31.158328,,,0.409506,7313980.0
US,TSLA,2016-06-30,0.999286,13.546,,,,13.409913,13.251868,0.158046,0.048996,0.2181,34.065583,,,0.401684,6256460.0
US,TSLA,2016-07-01,1.978799,13.856,,,,13.56685,13.339137,0.227713,0.084739,0.285947,39.562889,,,0.431564,5931160.0
US,TSLA,2016-07-05,-1.108801,14.062,,,,13.675027,13.408089,0.266937,0.121179,0.291517,37.632066,,,0.440738,5525140.0
US,TSLA,2016-07-06,0.210231,14.232,,,,13.771176,13.474157,0.297019,0.156347,0.281345,38.240682,,,0.439257,5266640.0
US,TSLA,2016-07-07,0.699301,14.31,13.822,,,13.867918,13.542738,0.325181,0.190114,0.270134,40.330913,,,0.432167,4790060.0
US,TSLA,2016-07-08,0.347222,14.37,13.958,,,13.957469,13.609943,0.347527,0.221596,0.251861,41.398868,,,0.426298,4636400.0
US,TSLA,2016-07-11,3.737024,14.482,14.169,,,14.11632,13.712169,0.404151,0.258107,0.292088,51.49583,,,0.443705,4642360.0
US,TSLA,2016-07-12,-0.066711,14.624,14.343,,,14.249194,13.806082,0.443112,0.295108,0.296007,51.319487,,,0.432726,4521560.0
US,TSLA,2016-07-13,-0.934579,14.732,14.482,,,14.340087,13.882669,0.457418,0.32757,0.259696,48.799965,,,0.426817,4251000.0
US,TSLA,2016-07-14,-0.471698,14.806,14.558,,,14.406228,13.948397,0.457831,0.353622,0.208417,47.54313,,,0.414902,4063760.0
US,TSLA,2016-07-15,-0.541638,14.854,14.612,,,14.449885,14.003331,0.446554,0.372209,0.148691,46.082398,,,0.400266,3695640.0
US,TSLA,2016-07-18,2.654867,14.872,14.677,,,14.546826,14.083084,0.463742,0.390515,0.146453,53.571455,,,0.413818,3292100.0
