country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,TXN,2016-06-20,,,,,,47.17,47.17,0.0,0.0,0.0,,,,0.48,
US,TXN,2016-06-21,0.0424,,,,,47.173077,47.171481,0.001595,0.000319,0.002553,,,,0.476429,
US,TXN,2016-06-22,0.021191,,,,,47.177219,47.173594,0.003625,0.00098,0.005289,,,,0.475255,
US,TXN,2016-06-23,2.012712,,,,,47.326878,47.24592,0.080957,0.016976,0.127963,,,,0.50988,
US,TXN,2016-06-24,-4.361371,47.152,,,,47.130435,47.157334,-0.026899,0.008201,-0.070199,34.680145,,,0.63346,4748472.0
US,TXN,2016-06-27,-2.432139,46.704,,,,46.791906,46.992346,-0.20044,-0.033527,-0.333825,25.218798,,,0.693213,5441499.2
US,TXN,2016-06-28,2.025373,46.434,,,,46.645459,46.906987,-0.261528,-0.079127,-0.364801,39.63003,,,0.710126,5781715.6
US,TXN,2016-06-29,1.636126,46.312,,,,46.636927,46.883506,-0.246579,-0.112618,-0.267923,48.447828,,,0.716546,6297275.6
US,TXN,2016-06-30,2.275166,46.212,,,,46.792784,46.940284,-0.147499,-0.119594,-0.05581,57.824147,,,0.746078,6896049.6
US,TXN,2016-07-01,-0.860441,46.45,46.801,,,46.861587,46.962485,-0.100898,-0.115855,0.029914,53.751832,,,0.734215,6181809.6
US,TXN,2016-07-05,-1.375953,46.782,46.743,,,46.819804,46.934894,-0.115089,-0.115702,0.001225,47.982457,,,0.742486,5791801.6
US,TXN,2016-07-06,-0.321958,46.902,46.668,,,46.761373,46.898235,-0.136862,-0.119934,-0.033856,46.735798,,,0.738022,5971961.6
US,TXN,2016-07-07,1.162791,46.98,46.646,,,46.795008,46.904291,-0.109284,-0.117804,0.01704,51.610046,,,0.734592,6009228.2
US,TXN,2016-07-08,2.44785,47.076,46.644,,,47.000391,46.995085,0.005307,-0.093182,0.196977,60.004176,,,0.764978,5751886.6
US,TXN,2016-07-11,0.186994,47.272,46.861,,,47.188023,47.085819,0.102204,-0.054105,0.312617,60.580492,,,0.744623,5671766.6
US,TXN,2016-07-12,1.555371,47.748,47.265,,,47.462174,47.225388,0.236786,0.004073,0.465424,65.094328,,,0.746436,5645052.8
US,TXN,2016-07-13,0.245048,48.278,47.59,,,47.712608,47.363507,0.349101,0.073079,0.552044,65.769711,,,0.717404,5245932.8
US,TXN,2016-07-14,0.427786,48.742,47.861,,,47.956823,47.506951,0.449871,0.148437,0.602867,66.974005,,,0.703304,4670610.8
US,TXN,2016-07-15,0.060852,48.982,48.029,,,48.168081,47.641992,0.526089,0.223968,0.604242,67.1518,,,0.692354,4792012.2
US,TXN,2016-07-18,0.527063,49.256,48.264,47.5325,,48.386837,47.786289,0.600549,0.299284,0.602529,68.723326,50.056821,45.008179,0.679329,4575732.2
US,TXN,2016-07-19,-0.383142,49.342,48.545,47.644,,48.542709,47.905823,0.636886,0.366804,0.540163,66.22972,50.28856,44.99944,0.657948,4107892.4
US,TXN,2016-07-20,0.769231,49.48,48.879,47.7735,,48.733061,48.044651,0.68841,0.431125,0.51457,68.677617,50.56597,44.98103,0.650237,4243012.4
US,TXN,2016-07-21,-0.823624,49.494,49.118,47.882,,48.831052,48.142825,0.688227,0.482546,0.411362,63.34256,50.744653,45.019347,0.641649,4521307.8
US,TXN,2016-07-22,0.891229,49.59,49.286,47.965,,48.981659,48.266319,0.71534,0.529104,0.372471,66.362518,50.947667,44.982333,0.646531,4442027.2
US,TXN,2016-07-25,1.124272,49.746,49.501,48.181,,49.19525,48.422148,0.773102,0.577904,0.390397,69.775385,51.203091,45.158909,0.648922,5740707.4
US,TXN,2016-07-26,7.841969,50.73,50.036,48.6505,,49.983673,48.859026,1.124648,0.687253,0.87479,82.930772,52.34847,44.95253,0.94757,9534150.8
US,TXN,2016-07-27,-0.202504,51.616,50.548,49.069,,50.633877,49.255394,1.378483,0.825499,1.105969,81.862194,53.261402,44.876598,0.956315,11380016.0
US,TXN,2016-07-28,-0.940786,52.482,50.988,49.4245,,51.105588,49.584624,1.520964,0.964592,1.112745,76.913875,53.911243,44.937757,0.946578,12130320.6
US,TXN,2016-07-29,-0.670391,53.188,51.389,49.709,,51.449344,49.8628,1.586544,1.088982,0.995123,73.534901,54.425307,44.992693,0.92468,12611759.8
US,TXN,2016-08-01,0.187477,53.802,51.774,50.019,,51.755599,50.127778,1.627821,1.19675,0.862142,73.878195,54.858838,45.179162,0.899346,11819179.6
US,TXN,2016-08-02,-1.478293,53.468,52.099,50.322,,51.893199,50.314609,1.57859,1.273118,0.610944,66.535474,55.02196,45.62204,0.913678,8690809.8
US,TXN,2016-08-03,0.037987,53.16,52.388,50.6335,,52.012707,50.489083,1.523624,1.323219,0.40081,66.62591,55.08211,46.18489,0.879844,6742484.6
US,TXN,2016-08-04,1.063224,53.066,52.774,50.946,,52.199983,50.692113,1.507869,1.360149,0.29544,69.140593,55.197853,46.694147,0.881284,5790260.0
US,TXN,2016-08-05,0.770242,53.126,53.157,51.2215,,52.421524,50.910475,1.511048,1.390329,0.241439,70.87112,55.421525,47.021475,0.851192,5107121.6
US,TXN,2016-08-08,-0.018643,53.164,53.483,51.492,,52.607443,51.111922,1.495522,1.411368,0.168308,70.766883,55.579286,47.404714,0.80825,4883709.4
US,TXN,2016-08-09,0.167817,53.378,53.423,51.7295,,52.778606,51.305113,1.473493,1.423793,0.099401,71.177755,55.754544,47.704456,0.789803,4292338.0
US,TXN,2016-08-10,-0.521221,53.532,53.346,51.947,,52.880359,51.463252,1.417106,1.422455,-0.010698,67.976706,55.84617,48.04783,0.760532,4448484.2
US,TXN,2016-08-11,0.168413,53.592,53.329,52.1585,,52.980304,51.616345,1.363959,1.410756,-0.093595,68.467585,55.916751,48.400249,0.729779,4172775.2
US,TXN,2016-08-12,-0.242854,53.544,53.335,52.362,,53.044872,51.748467,1.296405,1.387886,-0.182962,66.87301,55.921071,48.802929,0.701938,3952293.6
US,TXN,2016-08-15,0.71161,53.574,53.369,52.5715,,53.157969,51.898951,1.259017,1.362112,-0.206189,69.135778,55.941481,49.201519,0.698942,3808866.0
US,TXN,2016-08-16,-0.725177,53.508,53.443,52.771,,53.193666,52.009399,1.184267,1.326543,-0.284553,64.282693,55.823847,49.718153,0.676875,3858499.8
US,TXN,2016-08-17,0.0,53.498,53.515,52.9515,,53.223871,52.111666,1.112205,1.283675,-0.342941,64.282693,55.685905,50.217095,0.654241,4038933.6
US,TXN,2016-08-18,0.449522,53.518,53.555,53.1645,,53.286353,52.224135,1.062217,1.239384,-0.354333,65.986732,55.360437,50.968563,0.628224,4201562.6
US,TXN,2016-08-19,0.186463,53.584,53.564,53.3605,,53.354606,52.335681,1.018925,1.195292,-0.352734,66.699623,54.935904,51.785096,0.616208,4208962.6
US,TXN,2016-08-22,-0.372232,53.534,53.554,53.5185,,53.38159,52.424149,0.957441,1.147722,-0.380562,63.818662,54.292561,52.744439,0.614336,4251484.6
