country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,UNH,Q2,2016-06-30,2016-08-02,0.22603,0.068904,0.037733,0.048205,0.014665,0.702845,0.682023,2.241851,0.388661,3.287061,0.036205,0.959521,0.044552,,
US,UNH,Q3,2016-09-30,2016-11-08,0.240382,0.077334,0.042512,0.052268,0.015917,0.700016,0.680602,2.234968,0.374412,3.28381,0.155596,3.660061,0.164388,,
US,UNH,Q4,2016-12-31,2017-02-08,0.242579,0.067045,0.035427,0.043999,0.013727,0.685726,0.670612,2.149501,0.387475,3.205283,-0.029641,-0.836698,-0.019438,,
US,UNH,Q1,2017-03-31,2017-05-08,0.225109,0.070049,0.044579,0.051834,0.015836,0.712319,0.667082,2.183495,0.355235,3.273202,0.132504,2.972376,0.14291,,
US,UNH,Q2,2017-06-30,2017-08-04,0.232054,0.074541,0.045632,0.052918,0.016539,0.721959,0.65971,2.110794,0.362448,3.199578,0.043374,0.950525,0.051725,0.076756,0.302166
US,UNH,Q3,2017-09-30,2017-11-07,0.239518,0.081237,0.049382,0.054859,0.017695,0.704466,0.647659,2.007859,0.358337,3.100181,0.149954,3.03662,0.159215,0.087033,0.262703
US,UNH,Q4,2017-12-31,2018-02-13,0.237702,0.076391,0.069476,0.075707,0.026011,0.734875,0.625894,1.821731,0.374386,2.910604,-0.0495,-0.712469,-0.03736,0.095214,1.147862
US,UNH,Q1,2018-03-31,2018-05-07,0.238113,0.07344,0.051388,0.059639,0.01823,0.714573,0.666219,2.179526,0.354749,3.271487,0.151645,2.950987,0.160288,0.132689,0.305709
US,UNH,Q2,2018-06-30,2018-08-07,0.235139,0.074956,0.052099,0.060506,0.018899,0.751531,0.659649,2.11188,0.362756,3.20152,0.071444,1.371321,0.080056,0.120532,0.279335
US,UNH,Q3,2018-09-30,2018-11-08,0.241884,0.081158,0.056369,0.063747,0.0211,0.687408,0.640174,1.934053,0.374327,3.021136,0.016638,0.295169,0.026275,0.123882,0.282897
US,UNH,Q4,2018-12-31,2019-02-12,0.236866,0.076981,0.05204,0.058805,0.019971,0.72717,0.630623,1.856894,0.383764,2.944541,0.041015,0.788158,0.050567,0.122088,-0.159524
US,UNH,Q1,2019-03-31,2019-05-07,0.231943,0.080122,0.057488,0.067029,0.021508,0.726503,0.649466,2.024051,0.374126,3.116484,0.053625,0.932795,0.062944,0.092774,0.222496
US,UNH,Q2,2019-06-30,2019-08-06,0.227956,0.07829,0.054344,0.062012,0.019695,0.674464,0.652775,2.055326,0.36241,3.148598,0.096939,1.783784,0.103787,0.080394,0.126968
US,UNH,Q3,2019-09-30,2019-11-06,0.243293,0.083081,0.058624,0.064332,0.020367,0.695088,0.656051,2.072187,0.347426,3.158575,0.052195,0.890334,0.059552,0.067102,0.109787
US,UNH,Q4,2019-12-31,2020-02-14,0.248173,0.08366,0.058144,0.061459,0.020364,0.690072,0.642519,1.939166,0.350229,3.018068,0.101887,1.75233,0.11256,0.042522,0.164803
US,UNH,Q1,2020-03-31,2020-05-06,0.244237,0.077552,0.052498,0.059357,0.017888,0.748124,0.674168,2.237096,0.340731,3.318304,0.045684,0.870195,0.052964,0.0682,-0.024517
US,UNH,Q2,2020-06-30,2020-07-31,0.321204,0.148717,0.106811,0.104316,0.034481,0.843095,0.644867,1.95093,0.322823,3.025321,0.16098,1.507157,0.168238,0.025464,1.015487
US,UNH,Q3,2020-09-30,2020-11-02,0.238716,0.071427,0.048714,0.048627,0.01661,0.823175,0.633705,1.855222,0.340972,2.92758,0.048023,0.985813,0.056577,0.078938,-0.103448
US,UNH,Q4,2020-12-31,2021-03-01,0.240778,0.053722,0.033788,0.033776,0.011212,0.741756,0.642459,1.93538,0.331833,3.01246,0.093192,2.758137,0.10196,0.074974,-0.375318
US,UNH,Q1,2021-03-31,2021-05-05,0.252436,0.096003,0.069263,0.073218,0.023697,0.737937,0.655985,2.026821,0.342134,3.089739,0.085546,1.235088,0.093638,0.089645,0.437611
US,UNH,Q2,2021-06-30,2021-08-03,0.239971,0.083818,0.059814,0.061814,0.020286,0.76957,0.651337,1.984684,0.339152,3.047092,0.077677,1.29864,0.085557,0.147784,-0.35724
US,UNH,Q3,2021-09-30,2021-11-03,0.238232,0.078964,0.056486,0.058141,0.019179,0.774238,0.649689,1.969507,0.339539,3.031461,0.104787,1.855115,0.113483,0.110911,0.288146
US,UNH,Q4,2021-12-31,2022-02-15,0.23845,0.075139,0.055205,0.056731,0.019184,0.788816,0.6396,1.891402,0.347507,2.957163,0.043638,0.790469,0.053063,0.126415,0.840416
US,UNH,Q1,2022-03-31,2022-05-04,0.238793,0.086713,0.062721,0.069084,0.022722,0.782908,0.649034,1.973325,0.362275,3.040403,0.066364,1.058086,0.073289,0.141789,0.033937
US,UNH,Q2,2022-06-30,2022-08-03,0.244523,0.088782,0.063113,0.069624,0.022027,0.77066,0.647537,2.046759,0.349009,3.160835,0.085533,1.355227,0.093711,0.126344,0.188467
US,UNH,Q3,2022-09-30,2022-11-02,0.246656,0.092244,0.065048,0.070493,0.021649,0.821687,0.658851,2.145366,0.332809,3.256223,0.2293,3.525086,0.23825,0.118294,0.287812
US,UNH,Q4,2022-12-31,2023-02-24,0.252238,0.083238,0.057509,0.061217,0.019377,0.773995,0.648575,2.049041,0.336937,3.159299,-0.054755,-0.952111,-0.044294,0.122642,0.169492
US,UNH,Q1,2023-03-31,2023-05-03,0.246718,0.087957,0.061035,0.069006,0.019779,0.80609,0.680547,2.374274,0.324067,3.488772,0.177601,2.90982,0.185868,0.147001,0.116173
US,UNH,Q2,2023-06-30,2023-08-02,0.246354,0.086725,0.058922,0.06647,0.019539,0.795435,0.671064,2.282953,0.331602,3.401989,0.118748,2.015345,0.127671,0.156488,0.079684
US,UNH,Q3,2023-09-30,2023-11-06,0.253224,0.092312,0.063241,0.069129,0.020708,0.80492,0.666812,2.225992,0.327448,3.338261,0.074729,1.181647,0.083802,0.141753,0.110034
US,UNH,Q4,2023-12-31,2024-03-30,0.233005,0.081428,0.057769,0.061461,0.019929,0.791861,0.638612,1.969456,0.344977,3.083961,-0.054995,-0.951971,-0.044839,0.140602,0.145768
US,UNH,Q1,2024-03-31,2024-05-08,0.23052,0.008467,-0.014119,-0.016254,-0.004958,0.851682,0.658992,2.16053,0.351135,3.278539,0.011463,-0.811923,0.018909,0.085553,-1.251114
US,UNH,Q2,2024-06-30,2024-08-09,0.223125,0.06727,0.042648,0.04718,0.014738,0.879316,0.653096,2.09069,0.345579,3.2012,0.068241,1.600095,0.07687,0.064067,-0.229814
US,UNH,Q3,2024-09-30,2024-11-04,0.228417,0.086173,0.060058,0.06405,0.02023,0.908364,0.651013,2.061184,0.336843,3.166118,0.138316,2.303055,0.148145,0.091586,0.036638
US,UNH,Q4,2024-12-31,2025-02-27,0.211374,0.077316,0.054986,0.059822,0.018583,0.826634,0.656056,2.111928,0.337963,3.219128,0.0235,0.427386,0.032547,0.067565,0.016132
US,UNH,Q1,2025-03-31,2025-05-06,0.216966,0.083085,0.057422,0.066205,0.020311,0.848543,0.660515,2.153044,0.353707,3.259644,0.049792,0.867133,0.057988,0.09799,5.465578
US,UNH,Q2,2025-06-30,2025-08-11,0.179293,0.045773,0.030515,0.035957,0.011038,0.845804,0.660424,2.151398,0.361717,3.257601,0.064399,2.110393,0.072337,0.129088,-0.192125
US,UNH,Q3,2025-09-30,2025-10-28,0.182368,0.037398,0.020749,0.024513,0.007448,0.822906,0.664372,2.186685,0.358935,3.291355,0.052536,2.531942,0.060401,0.122406,-0.612221
US,UNH,Q4,2025-12-31,2026-03-02,0.163353,0.002244,8.8e-05,0.000106,3.2e-05,0.788376,0.671498,2.208936,0.365704,3.289565,0.009787,110.8,0.01816,0.123087,-0.998196
US,UNH,Q1,2026-03-31,2026-05-05,0.227433,0.081113,0.056211,0.060446,0.020087,0.798491,0.663134,1.995524,0.357343,3.00923,0.07977,1.419108,0.0866,0.019585,-0.001907
