code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
UNH,联合健康,US,USD,Q2,2016-06-30,2016-08-02,46485000000.0,10507000000.0,3203000000.0,2932000000.0,1178000000.0,1754000000.0,1754000000.0,1.8443743427970558,119603000000.0,33298000000.0,86305000000.0,8217000000.0,9346000000.0,5189000000.0,81572000000.0,47376000000.0,34196000000.0,30998000000.0,38031000000.0,36386000000.0,1683000000.0,-2232000000.0,-388000000.0,-1861000000.0
UNH,联合健康,US,USD,Q3,2016-09-30,2016-11-08,46293000000.0,11128000000.0,3580000000.0,3311000000.0,1343000000.0,1968000000.0,1968000000.0,2.0672268907563027,123642000000.0,35768000000.0,87874000000.0,12796000000.0,7347000000.0,5524000000.0,84151000000.0,51096000000.0,33055000000.0,12994000000.0,39491000000.0,37652000000.0,7203000000.0,-2328000000.0,-407000000.0,-301000000.0
UNH,联合健康,US,USD,Q4,2016-12-31,2017-02-08,47535000000.0,11531000000.0,3187000000.0,2919000000.0,1235000000.0,1684000000.0,1684000000.0,1.76890756302521,122679000000.0,33748000000.0,88931000000.0,10430000000.0,8152000000.0,5901000000.0,82270000000.0,49215000000.0,33055000000.0,29752000000.0,40189000000.0,38274000000.0,-1409000000.0,-614000000.0,-485000000.0,-351000000.0
UNH,联合健康,US,USD,Q1,2017-03-31,2017-05-08,48723000000.0,10968000000.0,3413000000.0,3130000000.0,958000000.0,2172000000.0,2172000000.0,2.250777202072539,137157000000.0,40989000000.0,96168000000.0,16142000000.0,9595000000.0,6329000000.0,91495000000.0,57543000000.0,33952000000.0,31123000000.0,45662000000.0,41903000000.0,6456000000.0,-2289000000.0,-507000000.0,1525000000.0
UNH,联合健康,US,USD,Q2,2017-06-30,2017-08-04,50053000000.0,11615000000.0,3731000000.0,3430000000.0,1146000000.0,2284000000.0,2284000000.0,2.366839378238342,138097000000.0,41239000000.0,96858000000.0,14582000000.0,10538000000.0,6324000000.0,91104000000.0,57121000000.0,33983000000.0,32224000000.0,46993000000.0,43161000000.0,2171000000.0,-1367000000.0,-418000000.0,-2337000000.0
UNH,联合健康,US,USD,Q3,2017-09-30,2017-11-07,50322000000.0,12053000000.0,4088000000.0,3794000000.0,1309000000.0,2485000000.0,2485000000.0,2.564499484004128,140432000000.0,40921000000.0,99511000000.0,16269000000.0,8638000000.0,6562000000.0,90952000000.0,58088000000.0,32864000000.0,33841000000.0,49480000000.0,45298000000.0,7546000000.0,-2239000000.0,-466000000.0,-3645000000.0
UNH,联合健康,US,USD,Q4,2017-12-31,2018-02-13,52061000000.0,12375000000.0,3977000000.0,3669000000.0,52000000.0,3617000000.0,3617000000.0,3.7327141382868936,139057000000.0,37084000000.0,101973000000.0,11981000000.0,9568000000.0,7013000000.0,87035000000.0,50463000000.0,36572000000.0,33051000000.0,52022000000.0,47776000000.0,-2577000000.0,-2704000000.0,-632000000.0,1016000000.0
UNH,联合健康,US,USD,Q1,2018-03-31,2018-05-07,55188000000.0,13141000000.0,4053000000.0,3724000000.0,888000000.0,2836000000.0,2836000000.0,2.948024948024948,155569000000.0,48353000000.0,107216000000.0,18243000000.0,11512000000.0,8144000000.0,103643000000.0,67667000000.0,35976000000.0,37799000000.0,51926000000.0,47553000000.0,8369000000.0,-4517000000.0,-477000000.0,2422000000.0
UNH,联合健康,US,USD,Q2,2018-06-30,2018-08-07,56086000000.0,13188000000.0,4204000000.0,3860000000.0,938000000.0,2922000000.0,2922000000.0,3.0374220374220373,154611000000.0,46634000000.0,107977000000.0,18368000000.0,10874000000.0,7906000000.0,101989000000.0,62052000000.0,39937000000.0,36866000000.0,52622000000.0,48293000000.0,4007000000.0,-2181000000.0,-483000000.0,-1635000000.0
UNH,联合健康,US,USD,Q3,2018-09-30,2018-11-08,56556000000.0,13680000000.0,4590000000.0,4237000000.0,1049000000.0,3188000000.0,3188000000.0,3.313929313929314,151087000000.0,38754000000.0,112333000000.0,10263000000.0,10992000000.0,8042000000.0,96722000000.0,56377000000.0,40345000000.0,38841000000.0,54365000000.0,50010000000.0,941000000.0,-4547000000.0,-545000000.0,-4480000000.0
