country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,UNH,2016-06-23,,,,,,118.69,118.69,0.0,0.0,0.0,,,,1.68,
US,UNH,2016-06-24,-1.3649,,,,,118.440769,118.57,-0.129231,-0.025846,-0.206769,0.0,,,1.805714,
US,UNH,2016-06-27,-0.13667,,,,,118.205266,118.447037,-0.241771,-0.069031,-0.345479,0.0,,,1.793163,
US,UNH,2016-06-28,1.171842,,,,,118.216764,118.434664,-0.2179,-0.098805,-0.238191,6.500813,,,1.785794,
US,UNH,2016-06-29,1.301995,118.154,,,,118.463415,118.537281,-0.073866,-0.093817,0.039902,13.322022,,,1.778238,3802615.2
US,UNH,2016-06-30,0.484059,118.496,,,,118.761352,118.675261,0.086091,-0.057835,0.287853,15.813114,,,1.716221,4219416.0
US,UNH,2016-07-01,-0.240864,119.104,,,,118.968836,118.781538,0.187298,-0.008809,0.392214,15.572133,,,1.664348,3900896.0
US,UNH,2016-07-05,0.499542,119.864,,,,119.236707,118.924387,0.312321,0.055417,0.513807,18.344741,,,1.659752,3845469.0
US,UNH,2016-07-06,0.579902,120.49,,,,119.57106,119.108506,0.462554,0.136845,0.651419,21.580373,,,1.661912,3830094.2
US,UNH,2016-07-07,-1.111935,120.538,119.346,,,119.646282,119.178987,0.467294,0.202935,0.52872,19.939379,,,1.708204,3792297.0
US,UNH,2016-07-08,0.333167,120.55,119.523,,,119.771469,119.273877,0.497592,0.261866,0.471452,21.835936,,,1.721904,3567233.6
US,UNH,2016-07-11,-0.672422,120.458,119.781,,,119.752781,119.301738,0.451044,0.299702,0.302684,20.763299,,,1.695339,3807533.6
US,UNH,2016-07-12,-0.325951,120.168,120.016,,,119.676969,119.298646,0.378323,0.315426,0.125794,20.247573,,,1.670672,3919700.6
US,UNH,2016-07-13,1.157136,120.014,120.252,,,119.825128,119.398006,0.427122,0.337765,0.178714,27.143456,,,1.656338,3735982.4
US,UNH,2016-07-14,-0.455902,120.02,120.279,,,119.865877,119.449265,0.416613,0.353534,0.126156,26.172156,,,1.683029,3633014.4
US,UNH,2016-07-15,0.349738,120.03,120.29,,,119.964973,119.527838,0.437135,0.370255,0.133761,28.28265,,,1.681384,3661654.0
US,UNH,2016-07-18,-0.406605,120.104,120.281,,,119.973439,119.564294,0.409145,0.378033,0.062224,27.302052,,,1.699856,3678114.0
US,UNH,2016-07-19,1.308115,120.57,120.369,,,120.22214,119.714346,0.507794,0.403985,0.207618,35.069968,,,1.779867,3881327.8
US,UNH,2016-07-20,0.296077,120.832,120.423,,,120.487965,119.87995,0.608015,0.444791,0.326448,36.739154,,,1.767019,4346342.4
US,UNH,2016-07-21,-0.106601,121.178,120.599,119.9725,,120.692893,120.023658,0.669236,0.48968,0.359112,36.375496,122.68158,117.26342,1.737946,4446664.8
US,UNH,2016-07-22,0.574618,121.58,120.805,120.164,,120.973987,120.208572,0.765415,0.544827,0.441176,39.829234,123.020819,117.307181,1.68595,4236424.8
US,UNH,2016-07-25,-1.363043,121.746,120.925,120.353,,120.954912,120.256085,0.698827,0.575627,0.2464,34.9543,122.842595,117.863405,1.716239,3948284.8
US,UNH,2016-07-26,-0.016549,121.594,121.082,120.549,,120.935695,120.298597,0.637097,0.587921,0.098353,34.899209,122.477491,118.620509,1.665079,3416669.0
US,UNH,2016-07-27,-0.016552,121.366,121.099,120.6755,,120.916357,120.336479,0.579878,0.586312,-0.012869,34.840074,122.300006,119.050994,1.694002,2855527.4
US,UNH,2016-07-28,0.761526,121.348,121.263,120.771,,121.041533,120.439703,0.60183,0.589416,0.024828,39.886058,122.407629,119.134371,1.685145,2658465.6
US,UNH,2016-07-29,0.312166,121.266,121.423,120.8565,,121.205912,120.563429,0.642484,0.600029,0.084909,41.887823,122.582875,119.130125,1.704777,2772908.8
US,UNH,2016-08-01,0.212923,121.57,121.658,120.9695,,121.385003,120.697249,0.687754,0.617574,0.14036,43.279543,122.779467,119.159533,1.650865,2726768.8
US,UNH,2016-08-02,-0.236986,121.82,121.707,121.038,,121.491925,120.799675,0.692251,0.63251,0.119482,42.069335,122.906257,119.169743,1.632232,2728972.6
US,UNH,2016-08-03,-0.204784,122.024,121.695,121.059,,121.543937,120.875995,0.667942,0.639596,0.056691,41.004852,122.952778,119.165222,1.587786,2584872.6
US,UNH,2016-08-04,-0.114914,122.016,121.682,121.1405,,121.566408,120.936292,0.630116,0.6377,-0.015167,40.388535,122.995186,119.285814,1.548659,2459652.0
US,UNH,2016-08-05,0.197222,121.98,121.623,121.214,,121.622345,121.0099,0.612446,0.632649,-0.040407,41.997993,123.071497,119.356503,1.507326,2205737.4
US,UNH,2016-08-08,-0.606906,121.744,121.657,121.291,,121.555831,121.023241,0.53259,0.612637,-0.160095,38.54261,123.004907,119.577093,1.473231,2076043.0
US,UNH,2016-08-09,-0.214539,121.514,121.667,121.3745,,121.459549,121.016334,0.443215,0.578753,-0.271076,37.378963,122.827311,119.921689,1.456572,1968354.2
US,UNH,2016-08-10,0.256347,121.396,121.71,121.4045,,121.425772,121.032902,0.392871,0.541577,-0.297412,39.715946,122.819696,119.989304,1.438245,1948894.2
US,UNH,2016-08-11,0.313428,121.382,121.699,121.481,,121.455653,121.07639,0.379263,0.509114,-0.259702,42.54642,122.762825,120.199175,1.434085,1942218.6
US,UNH,2016-08-12,0.172669,121.362,121.671,121.547,,121.513245,121.132213,0.381032,0.483497,-0.204931,44.108218,122.755902,120.338098,1.43165,1899771.4
US,UNH,2016-08-15,-0.878273,121.276,121.51,121.584,,121.397361,121.104642,0.292719,0.445342,-0.305245,38.382955,122.639223,120.528777,1.427961,2004412.2
US,UNH,2016-08-16,-0.380921,121.15,121.332,121.5195,,121.228537,121.045039,0.183498,0.392973,-0.418951,36.207107,122.713895,120.325105,1.404535,1913972.2
US,UNH,2016-08-17,0.440565,121.068,121.232,121.4635,,121.167223,121.02911,0.138113,0.342001,-0.407776,40.399326,122.676781,120.250219,1.38064,1910532.2
US,UNH,2016-08-18,0.331044,120.99,121.186,121.434,,121.176881,121.043991,0.13289,0.300179,-0.334577,43.421318,122.639842,120.228158,1.377737,1853567.8
US,UNH,2016-08-19,-0.090737,120.848,121.105,121.364,,121.16813,121.049621,0.118509,0.263845,-0.290672,42.778942,122.467764,120.260236,1.342184,1886026.4
US,UNH,2016-08-22,0.033025,120.928,121.102,121.3795,,121.166879,121.057797,0.109082,0.232892,-0.247621,43.108541,122.462468,120.296532,1.324886,1729712.8
US,UNH,2016-08-23,-0.057775,121.086,121.118,121.3925,,121.155052,121.060183,0.094869,0.205288,-0.220837,42.645599,122.454816,120.330184,1.298108,1851112.8
US,UNH,2016-08-24,-1.503014,120.774,120.921,121.3155,,120.865044,120.927577,-0.062533,0.151724,-0.428513,32.786862,122.707599,119.923401,1.361815,1987255.6
US,UNH,2016-08-25,-1.844554,119.942,120.466,121.0825,,120.281191,120.64183,-0.360639,0.049251,-0.819781,25.202399,123.382777,118.782223,1.438114,2450921.8
US,UNH,2016-08-26,-0.49543,119.016,119.932,120.8015,,119.697931,120.334287,-0.636356,-0.08787,-1.096972,23.649185,123.79858,117.80442,1.476105,2677361.8
US,UNH,2016-08-29,0.480728,118.194,119.561,120.5355,,119.290557,120.091007,-0.80045,-0.230386,-1.140127,28.247225,123.855467,117.215533,1.465669,2822929.0
US,UNH,2016-08-30,-0.290474,117.318,119.202,120.267,,118.893548,119.840562,-0.947014,-0.373712,-1.146604,27.177092,123.897923,116.636077,1.44955,2769149.6
US,UNH,2016-08-31,-0.599777,116.666,118.72,119.976,,118.449925,119.556816,-1.106891,-0.520348,-1.173087,25.071179,123.973586,115.978414,1.426725,2830646.8
US,UNH,2016-09-01,-0.232739,116.4,118.171,119.6785,,118.033014,119.274089,-1.241076,-0.664493,-1.153165,24.289364,123.994499,115.362501,1.424102,2605520.6
US,UNH,2016-09-02,0.648004,116.4,117.708,119.4065,,117.795627,119.06786,-1.272233,-0.786041,-0.972384,30.7494,123.805519,115.007481,1.385952,2467140.6
US,UNH,2016-09-06,-0.472144,116.178,117.186,119.144,,117.510146,118.836167,-1.326021,-0.894037,-0.863968,28.808158,123.709402,114.578598,1.361241,2452440.6
US,UNH,2016-09-07,-0.258755,115.964,116.641,118.8795,,117.222431,118.599414,-1.376983,-0.990626,-0.772713,27.778038,123.610324,114.148676,1.371867,2610469.0
US,UNH,2016-09-08,0.328606,115.966,116.316,118.6185,,117.037442,118.408346,-1.370905,-1.066682,-0.608445,31.137002,123.375513,113.861487,1.347447,2608357.2
US,UNH,2016-09-09,-1.335977,115.712,116.056,118.261,,116.642451,118.116617,-1.474166,-1.148179,-0.651975,25.854851,123.135234,113.386766,1.361916,2719737.2
US,UNH,2016-09-12,1.423954,115.634,116.017,117.9745,,116.558997,117.967238,-1.408241,-1.200191,-0.4161,37.804002,122.645288,113.303712,1.468207,2933117.2
US,UNH,2016-09-13,-1.162791,115.396,115.787,117.674,,116.28069,117.728924,-1.448234,-1.2498,-0.396869,33.052896,122.362575,112.985425,1.495478,3150945.6
US,UNH,2016-09-14,-0.191721,115.174,115.569,117.3855,,116.011353,117.491967,-1.480614,-1.295963,-0.369302,32.339608,122.102234,112.668766,1.493658,3506085.0
US,UNH,2016-09-15,1.431939,115.204,115.585,117.1525,,116.03576,117.394043,-1.358283,-1.308427,-0.099713,42.330569,121.619378,112.685622,1.583397,3607255.2
US,UNH,2016-09-16,2.108978,116.034,115.873,117.022,119.476167,116.433335,117.484855,-1.051519,-1.257045,0.411052,53.400829,121.143939,112.900061,1.655297,4427175.2
US,UNH,2016-09-19,-0.573259,116.402,116.018,116.863,119.463667,116.66513,117.518569,-0.853439,-1.176324,0.64577,50.5031,120.564227,113.161773,1.651347,4383597.4
US,UNH,2016-09-20,-0.15262,117.004,116.2,116.693,119.475167,116.833571,117.536453,-0.702882,-1.081636,0.757508,49.733776,119.86342,113.52258,1.623394,4202436.8
US,UNH,2016-09-21,1.774796,118.068,116.621,116.631,119.524167,117.297637,117.707827,-0.410189,-0.947346,1.074314,57.776515,119.488061,113.773939,1.65958,3985272.6
US,UNH,2016-09-22,0.809345,118.998,117.101,116.7085,119.5665,117.839539,117.938358,-0.098819,-0.777641,1.357644,60.903166,119.910913,113.506087,1.633182,3922416.6
US,UNH,2016-09-23,-0.372455,119.348,117.691,116.8735,119.575667,118.228841,118.11848,0.110361,-0.60004,1.420803,58.730396,120.451451,113.295549,1.603669,2998436.6
US,UNH,2016-09-26,-0.564925,119.698,118.05,117.0335,119.563833,118.453635,118.234889,0.218746,-0.436283,1.310058,55.507778,120.809272,113.257728,1.587692,2877834.4
US,UNH,2016-09-27,0.768652,120.268,118.636,117.2115,119.572167,118.785383,118.410823,0.37456,-0.274114,1.29735,58.801528,121.296586,113.126414,1.605714,3002414.6
US,UNH,2016-09-28,-0.273609,120.354,119.211,117.39,119.565,119.015324,118.54928,0.466044,-0.126083,1.184253,57.166742,121.678743,113.101257,1.61602,2699170.4
US,UNH,2016-09-29,-1.488194,119.888,119.443,117.514,119.516333,118.934505,118.544889,0.389616,-0.022943,0.825118,49.179767,121.779318,113.248682,1.657733,2535708.0
US,UNH,2016-09-30,1.215292,119.8,119.574,117.7235,119.514167,119.087658,118.64749,0.440168,0.069679,0.740978,54.666934,122.031095,113.415905,1.671467,2808128.0
US,UNH,2016-10-03,-1.075627,119.59,119.644,117.831,119.483833,119.018788,118.646935,0.371852,0.130114,0.483477,49.509734,122.117355,113.544645,1.672076,2825708.0
US,UNH,2016-10-04,-0.244437,119.138,119.703,117.9515,119.462167,118.915897,118.62494,0.290957,0.162282,0.257349,48.404217,122.153101,113.749899,1.687642,2706500.0
US,UNH,2016-10-05,-0.397127,118.658,119.506,118.0635,119.439167,118.756528,118.569759,0.186769,0.16718,0.039179,46.58854,122.12991,113.99709,1.709953,3233542.6
US,UNH,2016-10-06,-0.822871,118.342,119.115,118.108,119.377,118.472447,118.446814,0.025633,0.13887,-0.226475,43.00332,122.102835,114.113165,1.706385,3598405.2
US,UNH,2016-10-07,0.136857,117.77,118.785,118.238,119.326667,118.256686,118.344828,-0.088142,0.093468,-0.36322,43.771959,121.906731,114.569269,1.680215,3279325.8
US,UNH,2016-10-10,1.042112,117.7,118.645,118.3475,119.289667,118.261811,118.340767,-0.078955,0.058983,-0.275877,49.377775,121.882745,114.812255,1.663771,3251645.8
US,UNH,2016-10-11,-2.417787,117.116,118.127,118.3815,119.213167,117.826148,118.125154,-0.299006,-0.012615,-0.572783,39.448688,121.788447,114.974553,1.772787,3431845.8
US,UNH,2016-10-12,0.259898,116.686,117.672,118.4415,119.1155,117.503664,117.947735,-0.444072,-0.098906,-0.690331,40.793577,121.60886,115.27414,1.773303,3364305.0
US,UNH,2016-10-13,-0.673983,116.294,117.318,118.3805,118.998833,117.110792,117.725681,-0.614889,-0.202103,-0.825572,38.405158,121.760361,115.000639,1.738067,3244382.4
US,UNH,2016-10-14,-0.200087,115.824,116.797,118.1855,118.8805,116.742978,117.503038,-0.76006,-0.313694,-0.892732,37.704145,121.919096,114.451904,1.713205,3421225.4
US,UNH,2016-10-17,0.156904,115.146,116.423,118.0335,118.7535,116.459443,117.31022,-0.850777,-0.421111,-0.859333,38.647977,122.032771,114.034229,1.676547,3624531.8
US,UNH,2016-10-18,6.910357,116.628,116.872,118.2875,118.786667,117.441067,117.719834,-0.278766,-0.392642,0.227751,64.324564,122.79767,113.77733,2.158222,4982194.6
US,UNH,2016-10-19,0.675676,118.216,117.451,118.4785,118.834,118.399365,118.160587,0.238778,-0.266358,1.010271,65.929752,123.52842,113.42858,2.220492,5283819.2
US,UNH,2016-10-20,0.485162,120.08,118.187,118.651,118.891667,119.302539,118.613136,0.689403,-0.075206,1.529218,67.082774,124.218265,113.083735,2.1776,5639419.2
US,UNH,2016-10-21,0.209222,122.042,118.933,118.859,118.938333,120.106764,119.051422,1.055342,0.150904,1.808876,67.594559,124.953499,112.764501,2.124914,5615195.6
US,UNH,2016-10-24,-0.465751,123.852,119.499,119.072,118.969,120.698031,119.41428,1.283751,0.377473,1.812556,65.160735,125.55328,112.59072,2.10742,5480729.2
US,UNH,2016-10-25,-0.629286,123.918,120.273,119.2,118.982333,121.078334,119.692481,1.385853,0.579149,1.613407,61.931212,125.895303,112.504697,2.065462,4071426.4
US,UNH,2016-10-26,-1.079808,123.552,120.884,119.278,118.978333,121.195513,119.851557,1.343957,0.732111,1.223692,56.764972,126.05763,112.49837,2.033643,3565746.4
US,UNH,2016-10-27,-0.205187,123.016,121.548,119.433,118.974333,121.256204,119.98033,1.275873,0.840863,0.87002,55.822332,126.274942,112.591058,1.990526,3196607.6
