country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,UNH,2016-06-23,139.35,139.98,138.01,139.19,118.83,119.36,117.68,118.69,2646815.0,368257987.9875,0.8527193045477405,9.51,1323.6969,9.51,1323.6969,0.002783191377497371
US,UNH,2016-06-24,135.66,138.62,135.15,137.29,115.68,118.2,115.25,117.07,4475100.0,611656668.0,0.8527205186102411,9.51,1305.6279,9.51,1305.6279,0.004705678233438486
US,UNH,2016-06-27,136.15,137.39,135.48,137.11,116.09,117.15,115.52,116.91,4026435.0,549739236.6375,0.8526730362482677,9.51,1303.9161,9.51,1303.9161,0.004233895899053628
US,UNH,2016-06-28,138.21,139.09,137.65,138.71,117.85,118.6,117.38,118.28,4160200.0,575834083.0,0.8527142960132651,9.51,1319.1321,9.51,1319.1321,0.004374553101997897
US,UNH,2016-06-29,139.8,140.68,139.6,140.52,119.21,119.96,119.04,119.82,3704526.0,519189318.9,0.8526900085397096,9.51,1336.3452,9.51,1336.3452,0.0038954006309148267
US,UNH,2016-06-30,140.68,141.31,140.24,141.2,119.96,120.49,119.58,120.4,4730819.0,666371337.2925,0.8526912181303117,9.52,1344.224,9.52,1344.224,0.004969347689075631
US,UNH,2016-07-01,141.16,141.79,140.62,140.86,120.37,120.9,119.91,120.11,2882500.0,406742368.75,0.8526906147948317,9.52,1340.9872,9.52,1340.9872,0.0030278361344537813
US,UNH,2016-07-05,140.15,141.91,140.03,141.56,119.51,121.01,119.41,120.71,3749300.0,528323236.25,0.8527126306866346,9.52,1347.6512,9.52,1347.6512,0.003938340336134454
US,UNH,2016-07-06,140.98,142.96,140.97,142.38,120.22,121.9,120.21,121.41,4083326.0,579107501.635,0.8527180783817953,9.52,1355.4576,9.52,1355.4576,0.004289207983193277
US,UNH,2016-07-07,142.37,142.66,139.95,140.8,121.4,121.65,119.34,120.06,3515540.0,497255555.3,0.8526988636363636,9.52,1340.416,9.52,1340.416,0.003692794117647059
US,UNH,2016-07-08,141.7,141.78,139.55,141.27,120.83,120.89,118.99,120.46,3605502.0,508646194.65,0.852693423939973,9.52,1344.8904,9.52,1344.8904,0.0037872920168067225
US,UNH,2016-07-11,141.27,141.6,140.01,140.32,120.46,120.74,119.39,119.65,4084000.0,575027200.0,0.8526938426453821,9.52,1335.8464,9.52,1335.8464,0.004289915966386555
US,UNH,2016-07-12,140.89,140.95,139.37,139.86,120.14,120.19,118.84,119.26,4310135.0,604571861.1125,0.8527098527098527,9.52,1331.4672,9.52,1331.4672,0.004527452731092437
US,UNH,2016-07-13,140.96,141.59,139.92,141.48,120.2,120.73,119.31,120.64,3164735.0,446188075.8125,0.8527000282725474,9.52,1346.8896,9.52,1346.8896,0.0033243014705882355
US,UNH,2016-07-14,142.39,142.85,140.47,140.84,121.41,121.8,119.77,120.09,3000700.0,425011646.25,0.85266969610906,9.52,1340.7968,9.52,1340.7968,0.0031519957983193276
US,UNH,2016-07-15,141.65,142.78,141.06,141.33,120.78,121.75,120.28,120.51,3748700.0,531209533.5,0.8526852048397368,9.52,1345.4616,9.52,1345.4616,0.003937710084033613
US,UNH,2016-07-18,141.76,141.9,139.62,140.75,120.88,121.0,119.06,120.02,4166300.0,587479547.25,0.8527175843694493,9.52,1339.94,9.52,1339.94,0.004376365546218487
US,UNH,2016-07-19,140.75,142.63,139.32,142.59,120.02,121.62,118.8,121.59,5326204.0,752712464.79,0.8527245949926362,9.52,1357.4568,9.52,1357.4568,0.005594752100840336
US,UNH,2016-07-20,143.47,144.48,142.81,143.02,122.33,123.19,121.77,121.95,5489808.0,787485508.56,0.85267794714026,9.52,1361.5504,9.52,1361.5504,0.005766605042016807
US,UNH,2016-07-21,142.71,143.73,142.13,142.87,121.68,122.55,121.19,121.82,3502312.0,500340292.32,0.8526632603065724,9.52,1360.1224,9.52,1360.1224,0.0036788991596638657
