country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,V,Q3,2016-06-30,2016-07-25,0.825895,0.152342,0.113499,0.012551,0.006451,1.846846,0.48601,0.945563,0.056837,1.945563,0.083471,0.735437,0.119835,,
US,V,Q4,2016-09-30,2016-11-15,0.800282,0.620746,0.45318,0.058672,0.030155,1.778896,0.486031,0.945643,0.066542,1.945643,0.575452,1.269808,0.608543,,
US,V,Q1,2016-12-31,2017-02-02,0.839498,0.699171,0.464022,0.065246,0.032665,1.420462,0.499353,0.997415,0.070396,1.997415,0.562206,1.211594,0.600538,,
US,V,Q2,2017-03-31,2017-04-21,0.809247,0.633683,0.096046,0.013969,0.006801,1.519204,0.513135,1.053958,0.070808,2.053958,0.088452,0.92093,0.121063,,
US,V,Q3,2017-06-30,2017-07-20,0.812486,0.669003,0.451041,0.064457,0.032172,1.652613,0.500875,1.003506,0.071328,2.003506,0.774808,1.717824,0.817525,0.257576,3.997573
US,V,Q4,2017-09-30,2017-11-16,0.83069,0.668795,0.440783,0.065324,0.031481,1.903442,0.518072,1.075,0.071421,2.075,0.569928,1.292991,0.610093,0.139404,0.108234
US,V,Q1,2017-12-31,2018-02-01,0.827437,0.697861,0.518717,0.075507,0.037555,2.067081,0.502621,1.010539,0.072401,2.010539,0.568079,1.095163,0.597079,0.08989,0.218357
US,V,Q2,2018-03-31,2018-04-27,0.804258,0.657599,0.513503,0.076386,0.037731,1.940739,0.506054,1.024514,0.073477,2.024514,0.555884,1.082534,0.597871,0.133125,5.05814
US,V,Q3,2018-06-30,2018-07-27,0.805153,0.566221,0.444466,0.069902,0.034162,1.691147,0.511287,1.046191,0.076861,2.046191,0.694084,1.561614,0.726336,0.147864,0.131132
US,V,Q4,2018-09-30,2018-11-16,0.815421,0.67869,0.523555,0.083662,0.041098,1.611322,0.508761,1.03567,0.078498,2.03567,0.642989,1.22812,0.678874,0.119258,0.329439
US,V,Q1,2018-12-31,2019-01-31,0.822012,0.676353,0.540683,0.087315,0.041546,1.501755,0.524178,1.101628,0.07684,2.101628,0.598256,1.106483,0.626771,0.132456,0.180412
US,V,Q2,2019-03-31,2019-04-26,0.806152,0.694758,0.541864,0.086856,0.042611,1.62478,0.509411,1.038366,0.078637,2.038366,0.375683,0.693315,0.404077,0.082988,0.142802
US,V,Q3,2019-06-30,2019-07-26,0.819178,0.683904,0.530993,0.088613,0.044143,1.690368,0.501843,1.007401,0.083133,2.007401,0.579452,1.091261,0.612671,0.114504,0.331473
US,V,Q4,2019-09-30,2019-11-14,0.826625,0.621639,0.492912,0.087216,0.041682,1.563176,0.522088,1.092435,0.084562,2.092435,0.658628,1.336198,0.699202,0.129371,0.063269
US,V,Q1,2019-12-31,2020-01-31,0.807896,0.67476,0.540469,0.09277,0.043754,1.26964,0.528356,1.120244,0.080956,2.120244,0.640073,1.184291,0.671622,0.099528,0.099093
US,V,Q2,2020-03-31,2020-05-04,0.808165,0.67424,0.526819,0.089172,0.042351,1.248714,0.525062,1.105537,0.08039,2.105537,0.250598,0.475681,0.287496,0.065526,0.035942
US,V,Q3,2020-06-30,2020-07-30,0.769899,0.635518,0.490593,0.0668,0.030468,1.553478,0.543886,1.192433,0.062105,2.192433,0.620633,1.265065,0.653918,-0.171747,-0.234763
US,V,Q4,2020-09-30,2020-11-19,0.781807,0.627328,0.418937,0.059017,0.026409,1.905238,0.552515,1.234714,0.063038,2.234714,0.4109,0.980814,0.443835,-0.168812,-0.293554
US,V,Q1,2020-12-31,2021-01-29,0.797081,0.682961,0.549675,0.082964,0.038868,2.121065,0.531507,1.134505,0.070711,2.134505,0.617725,1.1238,0.645859,-0.060621,-0.044621
US,V,Q2,2021-03-31,2021-04-29,0.774306,0.65439,0.52819,0.080274,0.037733,2.116356,0.529946,1.127414,0.071438,2.127414,0.581079,1.100132,0.608658,-0.021353,-0.018807
US,V,Q3,2021-06-30,2021-07-29,0.790538,0.737357,0.420065,0.06814,0.031148,1.999715,0.542887,1.187642,0.074149,2.187642,0.720065,1.714175,0.749266,0.267314,0.085124
US,V,Q4,2021-09-30,2021-11-18,0.811099,0.674341,0.546425,0.095347,0.043235,1.75405,0.546552,1.205326,0.079123,2.205326,0.605428,1.10798,0.63714,0.285826,0.677117
US,V,Q1,2021-12-31,2022-01-28,0.813713,0.712707,0.560844,0.109383,0.048322,1.395196,0.558227,1.263607,0.08616,2.263607,0.599518,1.068957,0.624026,0.241252,0.266475
